date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"706,102","4,528,328",6.56,6.59,6.35,6.37,-0.06,148
107/07/03,"560,856","3,517,090",6.37,6.39,6.16,6.16,-0.21,201
107/07/04,"403,001","2,460,366",6.16,6.19,6.05,6.07,-0.09,152
107/07/05,"374,004","2,265,054",6.04,6.12,6.0,6.04,-0.03,113
107/07/06,"356,005","2,149,040",6.06,6.14,6.01,6.01,-0.03,101
107/07/09,"123,073","740,941",6.02,6.07,6.0,6.05,0.04,83
107/07/10,"291,692","1,828,727",6.06,6.39,6.06,6.31,0.26,133
107/07/11,"163,968","1,019,851",6.12,6.27,6.12,6.18,-0.13,79
107/07/12,"255,816","1,627,944",6.33,6.45,6.23,6.38,0.2,110
107/07/13,"144,194","910,301",6.4,6.4,6.22,6.31,-0.07,80
107/07/16,"221,435","1,404,238",6.23,6.4,6.23,6.3,-0.01,105
107/07/17,"130,513","817,524",6.31,6.32,6.24,6.28,-0.02,64
107/07/18,"156,611","981,595",6.27,6.31,6.23,6.28,0.0,76
107/07/19,"105,566","660,752",6.35,6.35,6.24,6.3,0.02,56
107/07/20,"180,375","1,121,580",6.3,6.3,6.14,6.14,-0.16,69
107/07/23,"64,438","395,895",6.15,6.24,6.11,6.19,0.05,38
107/07/24,"136,401","838,977",6.22,6.23,6.12,6.18,-0.01,75
107/07/25,"204,019","1,247,315",6.13,6.18,6.1,6.17,-0.01,75
107/07/26,"226,648","1,385,311",6.15,6.17,6.1,6.16,-0.01,81
107/07/27,"95,255","582,652",6.16,6.17,6.1,6.11,-0.05,51
107/07/30,"204,768","1,245,845",6.13,6.17,6.06,6.06,-0.05,76
107/07/31,"64,658","392,098",6.06,6.11,6.06,6.06,0.0,48
107/08/01,"112,492","689,184",6.15,6.15,6.11,6.14,0.08,99
107/08/02,"165,988","1,010,748",6.15,6.15,6.05,6.05,-0.09,98
107/08/03,"145,221","884,506",6.05,6.16,6.05,6.07,0.02,66
