date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"334,560","8,682,560",25.9,26.1,25.8,25.85,-0.05,163
107/07/03,"602,203","15,430,955",25.95,25.95,25.4,25.5,-0.35,266
107/07/04,"345,502","8,778,299",25.5,25.55,25.35,25.35,-0.15,178
107/07/05,"581,548","14,582,726",25.3,25.35,24.85,25.0,-0.35,295
107/07/06,"580,620","14,455,200",25.05,25.2,24.55,25.05,+0.05,262
107/07/09,"417,751","10,540,923",25.15,25.7,25.05,25.6,+0.55,267
107/07/10,"636,550","16,687,281",26.2,26.35,26.05,26.15,+0.55,330
107/07/11,"275,323","7,165,979",26.15,26.2,25.75,25.9,-0.25,143
107/07/12,"226,019","5,886,049",25.9,26.2,25.85,26.2,+0.30,133
107/07/13,"553,350","14,693,688",26.25,26.7,26.25,26.5,+0.30,289
107/07/16,"474,762","12,702,853",26.75,26.95,26.55,26.75,+0.25,264
107/07/17,"425,244","11,363,615",26.75,27.0,26.5,26.6,-0.15,247
107/07/18,"260,444","6,910,997",26.75,26.8,26.35,26.45,-0.15,165
107/07/19,"2,155,502","58,645,302",26.7,27.45,26.6,27.0,+0.55,"1,070"
107/07/20,"463,101","12,429,527",26.95,27.0,26.7,26.75,-0.25,235
107/07/23,"247,483","6,581,621",26.6,26.9,26.5,26.55,-0.20,164
107/07/24,"3,271,758","90,492,204",27.9,28.1,27.45,27.45,+0.90,"1,498"
107/07/25,"890,503","24,508,481",27.55,27.65,27.35,27.55,+0.10,515
107/07/26,"716,251","19,813,789",27.8,27.85,27.55,27.65,+0.10,360
107/07/27,"1,280,747","35,853,975",27.85,28.2,27.75,27.95,+0.30,589
107/07/30,"466,416","12,916,701",28.0,28.0,27.55,27.75,-0.20,267
107/07/31,"735,250","20,615,772",28.2,28.25,27.9,27.95,+0.20,433
107/08/01,"629,880","17,664,876",28.2,28.2,27.95,28.15,+0.20,291
107/08/02,"484,741","13,529,496",28.2,28.2,27.75,27.8,-0.35,261
107/08/03,"401,001","11,183,877",27.8,28.0,27.75,28.0,+0.20,209
107/08/06,"913,286","25,843,113",28.1,28.5,28.05,28.4,+0.40,530
107/08/07,"784,015","22,340,927",28.4,28.75,28.25,28.5,+0.10,406
107/08/08,"1,879,046","54,324,124",28.6,29.2,28.6,28.85,+0.35,826
107/08/09,"550,910","15,791,709",28.65,29.05,28.5,28.7,-0.15,307
107/08/10,"441,535","12,582,946",28.7,28.7,28.35,28.35,-0.35,266
107/08/13,"953,202","26,380,712",28.2,28.2,27.1,27.7,-0.65,528
107/08/14,"396,806","11,007,693",27.7,27.95,27.5,27.8,+0.10,207
107/08/15,"390,012","10,729,833",27.9,27.9,27.3,27.6,-0.20,226
107/08/16,"321,000","8,868,350",27.15,27.85,27.15,27.75,+0.15,222
107/08/17,"509,683","14,239,740",27.95,28.1,27.8,27.85,+0.10,256
107/08/20,"231,787","6,458,945",27.95,28.05,27.7,27.8,-0.05,138
107/08/21,"182,611","5,089,558",28.0,28.05,27.8,27.9,+0.10,130
107/08/22,"198,014","5,511,591",28.0,28.0,27.7,27.75,-0.15,134
107/08/23,"359,000","9,980,550",27.75,28.05,27.55,27.75, 0.00,186
107/08/24,"214,113","5,925,185",28.0,28.0,27.55,27.55,-0.20,118
107/08/27,"185,010","5,147,430",27.6,27.95,27.6,27.9,+0.35,127
107/08/28,"263,238","7,342,089",28.0,28.0,27.8,27.9, 0.00,168
107/08/29,"213,042","5,919,464",27.85,27.85,27.7,27.7,-0.20,127
107/08/30,"472,001","13,163,877",27.75,28.0,27.7,28.0,+0.30,258
107/08/31,"306,916","8,544,759",27.85,28.0,27.75,27.9,-0.10,140
107/09/03,"239,001","6,636,480",27.9,27.9,27.65,27.7,-0.20,114
107/09/04,"359,100","9,880,594",27.7,27.75,27.4,27.5,-0.20,158
107/09/05,"627,361","17,110,461",27.5,27.5,27.15,27.15,-0.35,305
107/09/06,"555,000","14,887,450",27.1,27.1,26.65,26.8,-0.35,305
107/09/07,"982,300","25,562,359",26.3,26.3,25.7,25.9,-0.90,541
107/09/10,"654,003","16,570,225",25.9,25.9,25.1,25.4,-0.50,372
107/09/11,"341,001","8,637,027",25.4,25.6,25.15,25.35,-0.05,185
107/09/12,"290,962","7,345,437",25.55,25.55,25.1,25.1,-0.25,189
107/09/13,"312,062","7,947,998",25.25,25.7,25.25,25.65,+0.55,204
