date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"64,649","822,577",12.85,12.85,12.65,12.65,-0.20,42
107/07/03,"197,104","2,473,154",12.65,12.7,12.45,12.45,-0.20,69
107/07/04,"90,202","1,127,614",12.45,12.6,12.45,12.45, 0.00,48
107/07/05,"220,009","2,718,211",12.45,12.5,12.3,12.35,-0.10,64
107/07/06,"121,167","1,489,137",12.35,12.35,12.2,12.3,-0.05,68
107/07/09,"92,100","1,144,340",12.35,12.5,12.35,12.4,+0.10,52
107/07/10,"68,051","843,979",12.4,12.5,12.3,12.4, 0.00,50
107/07/11,"33,007","407,686",12.3,12.4,12.3,12.35,-0.05,17
107/07/12,"75,687","941,768",12.35,12.5,12.35,12.45,+0.10,37
107/07/13,"61,100","767,409",12.5,12.65,12.5,12.5,+0.05,44
107/07/16,"88,264","1,107,100",12.55,12.65,12.5,12.5, 0.00,41
107/07/17,"182,358","2,280,674",12.6,12.6,12.45,12.5, 0.00,70
107/07/18,"88,110","1,102,975",12.6,12.6,12.5,12.5, 0.00,57
107/07/19,"145,209","1,814,391",12.5,12.55,12.45,12.5, 0.00,45
107/07/20,"98,521","1,233,111",12.5,12.55,12.5,12.55,+0.05,38
107/07/23,"46,879","586,185",12.5,12.55,12.5,12.5,-0.05,30
107/07/24,"61,594","769,515",12.45,12.5,12.45,12.5, 0.00,35
107/07/25,"175,749","2,192,737",12.5,12.5,12.45,12.45,-0.05,71
107/07/26,"50,817","616,283",12.25,12.25,12.1,12.15,X0.00,42
107/07/27,"51,962","632,984",12.2,12.2,12.15,12.2,+0.05,46
107/07/30,"90,163","1,108,954",12.3,12.35,12.25,12.25,+0.05,40
107/07/31,"74,000","906,199",12.2,12.3,12.2,12.2,-0.05,47
107/08/01,"79,244","969,400",12.25,12.3,12.2,12.25,+0.05,55
107/08/02,"95,191","1,156,117",12.2,12.2,12.1,12.15,-0.10,50
107/08/03,"123,043","1,492,968",12.15,12.2,12.1,12.1,-0.05,73
107/08/06,"75,400","914,750",12.15,12.2,12.1,12.15,+0.05,49
107/08/07,"733,411","9,002,703",12.15,12.45,12.1,12.3,+0.15,174
107/08/08,"145,209","1,773,308",12.3,12.3,12.15,12.25,-0.05,79
107/08/09,"118,483","1,448,391",12.2,12.3,12.2,12.2,-0.05,56
107/08/10,"164,604","2,019,518",12.2,12.35,12.2,12.3,+0.10,72
107/08/13,"341,583","4,116,546",12.2,12.25,11.95,12.0,-0.30,146
107/08/14,"155,000","1,857,950",12.0,12.1,11.95,12.05,+0.05,56
107/08/15,"148,173","1,764,319",12.05,12.1,11.8,11.85,-0.20,129
107/08/16,"176,163","2,080,989",11.8,12.0,11.7,11.95,+0.10,86
107/08/17,"52,133","622,825",12.0,12.05,11.85,11.85,-0.10,38
107/08/20,"123,359","1,476,152",11.9,12.05,11.9,11.9,+0.05,74
107/08/21,"71,821","857,961",11.9,12.0,11.9,11.9, 0.00,57
107/08/22,"156,391","1,875,649",12.0,12.05,11.95,12.0,+0.10,79
107/08/23,"131,806","1,579,072",12.0,12.05,11.95,11.95,-0.05,64
107/08/24,"131,000","1,568,300",12.0,12.0,11.9,11.95, 0.00,64
107/08/27,"172,100","2,049,955",11.85,12.0,11.8,11.95, 0.00,99
107/08/28,"217,395","2,609,740",11.95,12.05,11.95,12.0,+0.05,100
107/08/29,"143,836","1,735,032",12.05,12.15,12.0,12.05,+0.05,81
107/08/30,"146,588","1,766,406",12.05,12.1,12.05,12.05, 0.00,53
107/08/31,"90,341","1,087,842",12.05,12.05,12.0,12.05, 0.00,49
107/09/03,"52,212","625,444",12.05,12.05,11.9,12.0,-0.05,39
107/09/04,"177,269","2,120,000",12.0,12.0,11.9,11.95,-0.05,61
107/09/05,"100,200","1,197,000",11.95,12.0,11.9,11.9,-0.05,32
107/09/06,"103,000","1,229,950",11.95,11.95,11.9,11.95,+0.05,34
107/09/07,"165,101","1,958,250",11.9,11.95,11.75,11.8,-0.15,68
107/09/10,"281,325","3,280,150",11.7,11.85,11.55,11.6,-0.20,112
107/09/11,"207,523","2,414,645",11.6,11.8,11.55,11.6, 0.00,83
107/09/12,"125,076","1,450,762",11.6,11.7,11.55,11.55,-0.05,45
107/09/13,"109,146","1,268,293",11.55,11.75,11.55,11.75,+0.20,53
107/09/14,"125,716","1,477,899",11.75,11.8,11.7,11.7,-0.05,47
107/09/17,"85,000","998,500",11.7,11.8,11.7,11.8,+0.10,23
107/09/18,"70,501","828,462",11.8,11.8,11.65,11.65,-0.15,24
107/09/19,"303,123","3,605,119",11.75,12.05,11.7,11.95,+0.30,194
107/09/20,"154,351","1,829,947",11.95,11.95,11.8,11.8,-0.15,72
107/09/21,"208,100","2,453,439",11.85,11.9,11.7,11.9,+0.10,91
107/09/25,"102,657","1,206,484",11.9,11.9,11.65,11.7,-0.20,56
107/09/26,"106,522","1,252,558",11.7,11.9,11.7,11.7, 0.00,49
107/09/27,"135,000","1,584,700",11.7,11.8,11.7,11.8,+0.10,33
107/09/28,"148,143","1,747,385",11.85,11.9,11.75,11.75,-0.05,68
107/10/01,"89,000","1,045,100",11.75,11.8,11.7,11.75, 0.00,30
107/10/02,"110,000","1,291,850",11.8,11.8,11.7,11.7,-0.05,33
107/10/03,"124,471","1,460,060",11.7,11.8,11.7,11.7, 0.00,40
107/10/04,"98,000","1,139,150",11.7,11.7,11.6,11.6,-0.10,53
107/10/05,"313,112","3,617,410",11.6,11.7,11.5,11.65,+0.05,89
107/10/08,"123,204","1,441,117",11.65,11.75,11.65,11.7,+0.05,42
107/10/09,"132,000","1,548,400",11.7,11.85,11.65,11.65,-0.05,55
107/10/11,"334,100","3,793,734",11.3,11.5,11.15,11.2,-0.45,114
107/10/12,"361,100","4,004,434",11.1,11.15,11.0,11.15,-0.05,148
107/10/15,"165,000","1,833,250",11.15,11.3,11.05,11.05,-0.10,50
107/10/16,"368,236","4,067,431",11.05,11.2,10.95,11.1,+0.05,143
107/10/17,"236,000","2,620,500",11.1,11.3,11.0,11.0,-0.10,79
107/10/18,"176,300","1,943,840",11.0,11.1,11.0,11.0, 0.00,56
107/10/19,"236,000","2,598,250",11.0,11.1,10.95,11.05,+0.05,63
107/10/22,"129,000","1,431,550",11.05,11.15,11.0,11.15,+0.10,50
107/10/23,"326,482","3,606,826",11.15,11.15,11.0,11.0,-0.15,79
107/10/24,"229,000","2,514,950",11.0,11.05,10.95,11.0, 0.00,62
107/10/25,"252,743","2,738,573",10.95,10.95,10.75,10.8,-0.20,90
107/10/26,"216,481","2,340,443",11.0,11.0,10.6,10.85,+0.05,64
107/10/29,"133,625","1,437,087",10.85,10.85,10.65,10.8,-0.05,42
107/10/30,"229,768","2,453,689",10.75,10.85,10.6,10.7,-0.10,99
107/10/31,"135,692","1,466,453",10.75,10.85,10.75,10.8,+0.10,54
107/11/01,"175,872","1,915,167",10.85,10.95,10.85,10.9,+0.10,75
107/11/02,"159,000","1,730,950",10.9,10.9,10.85,10.85,-0.05,65
107/11/05,"61,045","665,238",10.85,10.9,10.85,10.9,+0.05,23
107/11/06,"112,000","1,220,800",10.9,10.9,10.9,10.9, 0.00,33
107/11/07,"83,000","904,650",10.9,10.9,10.85,10.9, 0.00,27
107/11/08,"448,368","5,019,148",11.25,11.3,11.1,11.1,+0.20,145
107/11/09,"201,100","2,220,115",11.1,11.1,11.0,11.05,-0.05,75
107/11/12,"237,036","2,633,347",11.1,11.2,11.0,11.05, 0.00,84
107/11/13,"271,098","2,977,687",10.9,11.0,10.9,11.0,-0.05,68
107/11/14,"351,000","3,924,100",11.0,11.25,11.0,11.2,+0.20,106
107/11/15,"152,000","1,693,900",11.2,11.2,11.1,11.15,-0.05,44
107/11/16,"116,100","1,307,065",11.15,11.3,11.15,11.2,+0.05,46
107/11/19,"79,268","888,401",11.2,11.25,11.15,11.2, 0.00,27
107/11/20,"62,492","696,961",11.2,11.2,11.15,11.15,-0.05,19
107/11/21,"68,989","772,725",11.1,11.3,11.1,11.3,+0.15,41
107/11/22,"135,050","1,527,515",11.3,11.35,11.25,11.35,+0.05,58
107/11/23,"83,100","941,390",11.4,11.4,11.3,11.3,-0.05,29
107/11/26,"79,184","907,115",11.35,11.55,11.35,11.5,+0.20,58
107/11/27,"68,224","782,131",11.55,11.55,11.4,11.4,-0.10,40
107/11/28,"233,936","2,718,256",11.5,11.7,11.5,11.65,+0.25,94
107/11/29,"227,040","2,655,818",11.7,11.75,11.6,11.75,+0.10,81
107/11/30,"330,200","3,864,989",11.7,11.75,11.7,11.7,-0.05,72
107/12/03,"191,387","2,247,947",11.65,11.8,11.65,11.75,+0.05,74
107/12/04,"180,435","2,127,539",11.75,11.9,11.7,11.8,+0.05,58
107/12/05,"64,880","756,184",11.55,11.7,11.55,11.7,-0.10,30
107/12/06,"228,000","2,622,700",11.65,11.65,11.4,11.55,-0.15,90
107/12/07,"63,000","732,150",11.6,11.65,11.55,11.65,+0.10,23
107/12/10,"219,100","2,533,260",11.6,11.65,11.45,11.6,-0.05,65
107/12/11,"156,040","1,815,962",11.6,11.7,11.6,11.7,+0.10,53
107/12/12,"136,500","1,603,700",11.7,11.8,11.7,11.75,+0.05,37
107/12/13,"64,500","759,300",11.75,11.8,11.75,11.8,+0.05,30
107/12/14,"431,772","5,087,054",11.9,11.9,11.7,11.7,-0.10,59
107/12/17,"122,845","1,429,928",11.6,11.7,11.55,11.65,-0.05,41
107/12/18,"303,100","3,509,550",11.65,11.65,11.5,11.5,-0.15,78
107/12/19,"65,638","755,637",11.5,11.55,11.45,11.55,+0.05,27
107/12/20,"87,002","993,222",11.5,11.5,11.35,11.4,-0.15,43
107/12/21,"425,529","4,814,777",11.3,11.4,11.2,11.4, 0.00,140
107/12/22,"84,220","968,529",11.4,11.55,11.4,11.55,+0.15,31
107/12/24,"135,001","1,574,511",11.55,11.75,11.55,11.7,+0.15,53
107/12/25,"104,001","1,213,011",11.45,11.75,11.45,11.7, 0.00,46
107/12/26,"263,000","3,090,950",11.6,11.85,11.6,11.75,+0.05,45
107/12/27,"95,168","1,119,574",11.8,11.8,11.7,11.8,+0.05,34
107/12/28,"134,322","1,582,667",11.75,11.8,11.75,11.8, 0.00,35
108/01/02,"102,150","1,202,405",11.8,11.8,11.7,11.8, 0.00,32
108/01/03,"154,815","1,821,885",11.75,11.8,11.75,11.75,-0.05,46
108/01/04,"298,000","3,489,750",11.75,11.75,11.65,11.7,-0.05,71
108/01/07,"80,434","941,533",11.7,11.75,11.65,11.65,-0.05,33
108/01/08,"90,200","1,045,419",11.65,11.65,11.55,11.6,-0.05,43
108/01/09,"82,578","955,547",11.6,11.65,11.55,11.55,-0.05,36
108/01/10,"125,150","1,455,332",11.55,11.8,11.55,11.55, 0.00,44
108/01/11,"124,100","1,419,000",11.55,11.55,11.4,11.4,-0.15,60
108/01/14,"275,450","3,105,506",11.4,11.45,11.15,11.35,-0.05,90
108/01/15,"172,000","1,962,050",11.3,11.5,11.3,11.35, 0.00,40
108/01/16,"56,000","638,350",11.35,11.4,11.35,11.4,+0.05,17
108/01/17,"65,692","751,188",11.5,11.5,11.4,11.45,+0.05,18
108/01/18,"91,203","1,036,393",11.35,11.45,11.35,11.35,-0.10,23
108/01/21,"83,290","947,156",11.35,11.45,11.35,11.4,+0.05,22
108/01/22,"77,439","884,118",11.4,11.45,11.3,11.45,+0.05,65
108/01/23,"83,001","947,562",11.45,11.45,11.35,11.45, 0.00,19
108/01/24,"78,617","889,659",11.45,11.45,11.3,11.3,-0.15,29
108/01/25,"100,754","1,144,370",11.35,11.4,11.3,11.35,+0.05,36
108/01/28,"109,124","1,253,487",11.35,11.6,11.3,11.55,+0.20,43
108/01/29,"77,052","887,900",11.55,11.6,11.4,11.5,-0.05,26
108/01/30,"121,961","1,400,003",11.45,11.55,11.45,11.45,-0.05,47
108/02/11,"114,206","1,324,628",11.45,11.65,11.45,11.6,+0.15,61
108/02/12,"158,000","1,847,950",11.7,11.75,11.6,11.75,+0.15,53
108/02/13,"83,357","982,060",11.8,11.8,11.65,11.8,+0.05,37
108/02/14,"108,300","1,272,340",11.7,11.8,11.7,11.75,-0.05,32
108/02/15,"115,211","1,335,717",11.75,11.75,11.5,11.55,-0.20,45
108/02/18,"110,000","1,283,950",11.65,11.75,11.6,11.6,+0.05,50
108/02/19,"94,415","1,100,164",11.7,11.7,11.6,11.7,+0.10,44
108/02/20,"83,149","976,991",11.7,11.85,11.65,11.8,+0.10,49
108/02/21,"34,966","409,950",11.8,11.85,11.7,11.7,-0.10,23
108/02/22,"35,616","418,366",11.7,11.8,11.7,11.8,+0.10,25
108/02/25,"78,692","932,714",11.8,11.9,11.8,11.85,+0.05,39
108/02/26,"271,400","3,262,740",11.85,12.1,11.85,12.0,+0.15,124
108/02/27,"628,599","7,744,915",12.0,12.55,12.0,12.4,+0.40,309
108/03/04,"166,046","2,055,419",12.45,12.45,12.2,12.45,+0.05,101
108/03/05,"189,100","2,323,425",12.4,12.4,12.2,12.25,-0.20,107
108/03/06,"138,147","1,718,421",12.3,12.55,12.3,12.5,+0.25,89
108/03/07,"162,300","2,003,610",12.55,12.55,12.2,12.2,-0.30,72
108/03/08,"53,400","652,679",12.15,12.3,12.15,12.3,+0.10,29
108/03/11,"90,001","1,097,512",12.3,12.3,12.1,12.15,-0.15,54
108/03/12,"64,370","783,213",12.2,12.25,12.15,12.2,+0.05,37
108/03/13,"32,400","397,079",12.3,12.3,12.25,12.25,+0.05,15
108/03/14,"73,372","897,288",12.25,12.3,12.15,12.25, 0.00,38
108/03/15,"155,279","1,908,902",12.35,12.45,12.1,12.1,-0.15,83
108/03/18,"175,601","2,159,841",12.25,12.45,12.15,12.4,+0.30,76
108/03/19,"104,001","1,276,912",12.4,12.4,12.2,12.3,-0.10,47
108/03/20,"181,839","2,237,217",12.25,12.4,12.25,12.4,+0.10,66
108/03/21,"197,879","2,464,345",12.4,12.5,12.4,12.5,+0.10,96
108/03/22,"180,100","2,229,229",12.5,12.5,12.3,12.35,-0.15,75
108/03/25,"77,002","946,424",12.25,12.35,12.25,12.3,-0.05,47
108/03/26,"70,702","873,483",12.45,12.45,12.3,12.4,+0.10,33
108/03/27,"178,488","2,197,999",12.3,12.45,12.3,12.45,+0.05,75
108/03/28,"175,391","2,167,877",12.45,12.45,12.3,12.35,-0.10,65
108/03/29,"73,679","912,585",12.3,12.45,12.3,12.4,+0.05,45
108/04/01,"201,592","2,517,390",12.4,12.55,12.4,12.5,+0.10,73
108/04/02,"3,309,566","44,711,859",12.55,13.75,12.55,13.55,+1.05,"1,327"
108/04/03,"1,113,092","14,911,963",13.4,13.6,13.2,13.3,-0.25,539
108/04/08,"434,902","5,808,298",13.6,13.6,13.2,13.35,+0.05,204
108/04/09,"279,853","3,738,386",13.5,13.5,13.3,13.45,+0.10,131
108/04/10,"425,486","5,731,561",13.45,13.6,13.35,13.6,+0.15,227
108/04/11,"1,066,151","13,963,988",13.4,13.4,12.95,12.95,-0.65,436
108/04/12,"203,603","2,640,874",12.95,13.05,12.9,12.9,-0.05,114
108/04/15,"483,301","6,177,387",12.9,13.0,12.7,12.7,-0.20,183
108/04/16,"130,224","1,677,716",12.8,12.95,12.8,12.9,+0.20,79
108/04/17,"186,856","2,430,891",13.0,13.1,12.95,13.0,+0.10,113
108/04/18,"266,207","3,453,715",13.05,13.1,12.9,12.9,-0.10,123
108/04/19,"58,341","751,564",12.9,12.9,12.85,12.85,-0.05,43
108/04/22,"106,246","1,363,674",12.85,12.85,12.8,12.8,-0.05,54
108/04/23,"644,060","8,598,344",12.8,13.55,12.8,13.25,+0.45,336
108/04/24,"822,235","10,922,355",13.6,13.6,13.0,13.05,-0.20,291
108/04/25,"197,850","2,571,414",13.0,13.1,12.95,13.0,-0.05,109
108/04/26,"105,294","1,364,292",13.0,13.05,12.95,12.95,-0.05,50
108/04/29,"264,419","3,367,400",12.95,13.05,12.5,12.65,-0.30,129
108/04/30,"70,435","895,380",12.65,12.85,12.55,12.75,+0.10,44
108/05/02,"66,123","843,412",12.7,12.85,12.7,12.75, 0.00,47
108/05/03,"129,439","1,668,284",12.75,13.0,12.7,12.95,+0.20,69
108/05/06,"91,112","1,157,861",12.8,12.8,12.65,12.7,-0.25,53
108/05/07,"87,290","1,111,062",12.7,12.85,12.65,12.85,+0.15,38
108/05/08,"76,000","970,000",12.75,12.85,12.65,12.85, 0.00,41
108/05/09,"145,000","1,832,000",12.7,12.75,12.55,12.65,-0.20,77
108/05/10,"329,371","4,265,347",13.05,13.1,12.85,12.85,+0.20,164
108/05/13,"109,261","1,401,914",12.85,13.0,12.75,12.8,-0.05,54
108/05/14,"406,740","5,294,606",12.7,13.15,12.65,13.15,+0.35,206
108/05/15,"352,054","4,647,005",13.1,13.35,13.05,13.2,+0.05,179
108/05/16,"429,000","5,671,450",13.25,13.35,13.0,13.0,-0.20,174
108/05/17,"159,123","2,070,136",13.05,13.15,12.95,12.95,-0.05,75
108/05/20,"375,741","4,813,886",13.0,13.05,12.7,12.7,-0.25,134
