date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"292,032","9,590,648",32.9,33.05,32.55,32.65,-0.25,132
107/07/03,"657,500","20,803,099",32.5,32.55,31.05,31.5,-1.15,314
107/07/04,"193,000","6,110,300",31.65,31.95,31.3,31.9,+0.40,104
107/07/05,"276,390","8,637,573",31.6,31.7,30.8,30.9,-1.00,167
107/07/06,"609,500","18,468,149",30.9,30.95,29.95,30.65,-0.25,278
107/07/09,"159,586","4,922,557",30.4,31.15,30.4,31.1,+0.45,93
107/07/10,"146,500","4,546,649",30.9,31.25,30.8,31.25,+0.15,78
107/07/11,"204,000","6,310,050",31.25,31.25,30.75,30.75,-0.50,111
107/07/12,"189,000","5,822,200",30.75,31.15,30.7,30.75, 0.00,76
107/07/13,"219,100","6,753,274",31.3,31.3,30.75,30.75, 0.00,117
107/07/16,"148,000","4,579,750",31.25,31.25,30.8,31.05,+0.30,90
107/07/17,"201,563","6,221,683",31.1,31.1,30.65,30.85,-0.20,118
107/07/18,"157,000","4,840,500",30.65,31.35,30.65,30.85, 0.00,96
107/07/19,"108,005","3,356,204",31.0,31.2,30.9,31.1,+0.25,54
107/07/20,"177,013","5,460,949",31.25,31.25,30.6,30.75,-0.35,106
107/07/23,"402,000","12,288,750",30.9,30.9,30.35,30.5,-0.25,170
107/07/24,"556,000","16,803,400",30.4,30.5,30.0,30.35,-0.15,186
107/07/25,"79,320","2,422,327",30.5,30.65,30.4,30.55,+0.20,51
107/07/26,"287,002","8,955,962",30.85,31.45,30.6,31.25,+0.70,138
107/07/27,"2,805,783","87,624,204",31.25,31.3,30.85,31.15,-0.10,140
107/07/30,"155,000","4,832,650",31.45,31.45,31.1,31.2,+0.05,78
107/07/31,"158,100","4,946,120",31.2,31.5,31.15,31.15,-0.05,97
107/08/01,"135,379","4,223,949",31.45,31.45,31.15,31.2,+0.05,78
107/08/02,"250,000","7,695,200",31.25,31.25,30.55,30.7,-0.50,163
107/08/03,"141,057","4,342,488",30.7,31.15,30.6,30.7, 0.00,88
107/08/06,"349,000","10,846,750",31.1,31.3,30.75,30.95,+0.25,161
107/08/07,"114,000","3,526,650",30.95,31.15,30.85,31.0,+0.05,74
107/08/08,"141,000","4,364,950",31.0,31.1,30.85,31.05,+0.05,67
107/08/09,"151,000","4,677,000",30.95,31.05,30.9,31.05, 0.00,66
107/08/10,"346,000","10,841,250",31.05,31.55,31.05,31.1,+0.05,166
107/08/13,"392,771","12,155,642",31.3,31.3,30.7,30.85,-0.25,233
107/08/14,"192,600","5,929,438",30.95,31.15,30.5,31.1,+0.25,107
107/08/15,"225,000","6,915,400",31.1,31.1,30.6,30.75,-0.35,97
107/08/16,"269,300","8,217,160",30.8,30.8,30.35,30.55,-0.20,128
107/08/17,"175,047","5,333,831",30.55,30.8,30.3,30.5,-0.05,93
107/08/20,"90,000","2,753,850",30.5,30.85,30.45,30.45,-0.05,68
107/08/21,"129,050","3,936,427",30.5,30.6,30.45,30.55,+0.10,81
107/08/22,"213,050","6,475,860",30.55,30.6,30.2,30.35,-0.20,100
107/08/23,"477,571","14,350,285",30.5,30.5,29.8,30.0,-0.35,211
107/08/24,"517,000","15,249,050",29.9,29.9,29.25,29.5,-0.50,250
107/08/27,"241,712","7,122,974",29.5,29.8,29.2,29.8,+0.30,116
107/08/28,"207,000","6,084,500",29.35,29.5,29.3,29.5,X0.00,90
107/08/29,"591,512","17,947,768",29.45,31.1,29.45,31.0,+1.50,262
107/08/30,"163,001","5,007,930",31.0,31.0,30.6,30.6,-0.40,79
107/08/31,"163,080","4,952,174",30.4,30.5,30.25,30.3,-0.30,94
107/09/03,"335,000","10,158,400",30.65,30.65,30.15,30.3, 0.00,143
107/09/04,"182,200","5,522,180",30.3,30.5,30.2,30.4,+0.10,79
