date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"2,276,102","102,019,540",45.25,45.3,44.5,44.55,-0.70,"1,345"
107/07/03,"2,590,611","114,895,462",44.55,44.65,44.2,44.2,-0.35,"1,465"
107/07/04,"887,831","39,454,308",44.0,44.65,44.0,44.45,+0.25,569
107/07/05,"1,829,077","80,767,313",44.5,44.5,44.0,44.0,-0.45,881
107/07/06,"1,706,029","74,658,423",44.05,44.2,43.4,43.95,-0.05,"1,050"
107/07/09,"1,449,875","64,698,825",44.1,45.0,44.0,44.8,+0.85,921
107/07/10,"1,928,360","86,931,600",45.2,45.4,44.85,44.85,+0.05,955
107/07/11,"1,403,566","63,102,900",44.8,45.3,44.6,45.0,+0.15,942
107/07/12,"1,397,009","63,454,101",45.3,45.8,44.95,45.5,+0.50,908
107/07/13,"742,346","33,802,677",45.6,45.8,45.3,45.6,+0.10,500
107/07/16,"870,366","39,588,960",45.6,45.9,45.35,45.4,-0.20,511
107/07/17,"858,468","39,021,385",45.4,45.8,45.2,45.4, 0.00,587
107/07/18,"2,269,980","104,149,980",45.65,46.2,45.4,46.15,+0.75,"1,415"
107/07/19,"1,534,241","70,553,493",46.3,46.4,45.6,45.65,-0.50,945
107/07/20,"792,897","36,383,268",45.75,46.1,45.7,45.85,+0.20,441
107/07/23,"996,425","45,673,504",45.85,46.05,45.6,45.8,-0.05,710
107/07/24,"916,186","41,932,508",45.7,45.9,45.65,45.7,-0.10,519
107/07/25,"975,070","44,648,225",45.75,45.85,45.7,45.8,+0.10,629
107/07/26,"1,011,042","46,450,917",46.0,46.05,45.8,45.95,+0.15,566
107/07/27,"1,570,054","72,406,784",46.05,46.25,45.85,46.2,+0.25,884
107/07/30,"1,438,117","66,564,165",46.2,46.4,46.15,46.4,+0.20,824
107/07/31,"3,580,570","167,962,098",46.5,47.3,46.4,47.3,+0.90,"1,956"
107/08/01,"2,136,315","100,873,212",47.5,47.6,46.9,47.2,-0.10,"1,442"
107/08/02,"1,989,560","93,434,556",47.2,47.3,46.75,46.9,-0.30,"1,253"
107/08/03,"1,930,858","91,144,369",47.05,47.4,47.0,47.35,+0.45,"1,093"
107/08/06,"1,191,233","56,368,570",47.35,47.45,47.2,47.35, 0.00,615
107/08/07,"2,605,378","124,067,998",47.5,47.7,47.5,47.65,+0.30,"1,433"
107/08/08,"7,054,141","337,779,987",47.65,47.95,47.65,47.9,+0.25,"1,270"
107/08/09,"3,299,881","159,255,285",48.05,48.5,48.05,48.3,+0.40,"1,894"
107/08/10,"2,420,690","115,759,020",48.0,48.05,47.55,48.0,-0.30,"1,380"
