date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"15,235,358","203,623,004",13.15,13.45,13.15,13.35,+0.35,"4,029"
107/07/03,"10,747,837","143,002,231",13.4,13.45,13.15,13.2,-0.15,"2,656"
107/07/04,"3,610,597","47,411,263",13.2,13.25,13.05,13.1,-0.10,"1,187"
107/07/05,"7,048,295","91,862,042",13.2,13.2,12.9,12.9,-0.20,"2,449"
107/07/06,"9,855,875","126,756,587",13.0,13.05,12.75,12.85,-0.05,"2,448"
107/07/09,"9,367,243","120,499,603",12.9,12.95,12.8,12.85, 0.00,"2,371"
107/07/10,"5,384,287","69,785,131",12.95,13.05,12.9,13.0,+0.15,"1,343"
107/07/11,"7,477,685","97,960,384",13.0,13.25,12.9,13.1,+0.10,"1,970"
107/07/12,"11,535,228","149,415,726",13.15,13.2,12.8,12.9,-0.20,"2,601"
107/07/13,"4,829,670","63,008,014",13.0,13.1,12.95,13.1,+0.20,"1,426"
107/07/16,"4,203,672","55,021,386",13.2,13.2,13.0,13.0,-0.10,"1,308"
107/07/17,"7,880,330","103,456,497",13.05,13.2,13.0,13.2,+0.20,"2,168"
107/07/18,"8,356,283","111,421,719",13.3,13.4,13.2,13.4,+0.20,"2,704"
107/07/19,"5,791,809","77,555,569",13.4,13.45,13.3,13.45,+0.05,"2,150"
107/07/20,"5,488,125","73,407,874",13.45,13.5,13.3,13.4,-0.05,"1,422"
107/07/23,"5,027,601","66,855,355",13.35,13.4,13.25,13.3,-0.10,"1,669"
107/07/24,"9,361,762","126,102,197",13.3,13.55,13.25,13.55,+0.25,"2,606"
107/07/25,"4,983,805","67,363,968",13.55,13.6,13.45,13.45,-0.10,"1,610"
107/07/26,"6,312,050","85,594,615",13.45,13.65,13.4,13.6,+0.15,"2,202"
107/07/27,"7,152,359","97,769,397",13.6,13.8,13.5,13.8,+0.20,"2,825"
107/07/30,"10,021,434","138,379,891",13.8,13.95,13.65,13.75,-0.05,"2,889"
107/07/31,"4,788,569","66,098,338",13.75,13.9,13.65,13.85,+0.10,"1,698"
107/08/01,"11,670,443","164,793,450",13.85,14.3,13.85,14.15,+0.30,"3,517"
107/08/02,"10,309,680","143,925,796",14.1,14.15,13.85,13.85,-0.30,"2,627"
107/08/03,"4,156,830","58,056,970",13.9,14.0,13.9,14.0,+0.15,"1,486"
107/08/06,"15,205,604","218,388,473",14.1,14.5,13.95,14.4,+0.40,"3,671"
107/08/07,"10,770,640","154,541,711",14.25,14.5,14.2,14.35,-0.05,"2,698"
107/08/08,"10,233,566","145,074,984",14.35,14.4,14.0,14.15,-0.20,"3,204"
107/08/09,"4,333,642","61,246,671",14.25,14.25,14.05,14.2,+0.05,"1,397"
107/08/10,"8,807,257","122,786,853",14.15,14.15,13.8,13.9,-0.30,"2,829"
107/08/13,"9,715,967","131,841,297",13.75,13.8,13.35,13.45,-0.45,"2,435"
107/08/14,"6,152,318","82,955,140",13.5,13.6,13.4,13.5,+0.05,"1,614"
