date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"267,151","6,528,283",24.6,24.6,24.35,24.35,-0.15,132
107/07/03,"380,189","9,181,625",24.45,24.45,23.9,23.9,-0.45,129
107/07/04,"248,635","5,924,015",23.85,24.0,23.65,23.65,-0.25,120
107/07/05,"174,569","4,151,376",23.8,23.95,23.6,23.6,-0.05,86
107/07/06,"616,654","14,328,600",23.65,23.65,22.9,23.35,-0.25,272
107/07/09,"344,235","8,131,568",23.5,23.9,23.4,23.6,+0.25,180
107/07/10,"1,386,884","32,830,822",23.6,23.9,23.55,23.85,+0.25,212
107/07/11,"517,047","11,841,989",22.4,23.3,22.4,23.0,X0.00,276
107/07/12,"299,662","6,877,021",23.0,23.05,22.8,23.05,+0.05,113
107/07/13,"159,196","3,652,958",23.0,23.1,22.8,23.0,-0.05,80
107/07/16,"164,502","3,787,870",22.95,23.2,22.9,23.1,+0.10,95
107/07/17,"191,101","4,427,637",23.05,23.3,23.05,23.25,+0.15,103
107/07/18,"313,600","7,347,299",23.2,23.6,23.2,23.55,+0.30,161
107/07/19,"147,702","3,468,395",23.55,23.55,23.4,23.5,-0.05,87
107/07/20,"215,513","5,065,203",23.5,23.6,23.45,23.55,+0.05,100
107/07/23,"208,199","4,898,104",23.6,23.65,23.4,23.55, 0.00,104
107/07/24,"84,010","1,976,884",23.55,23.6,23.45,23.55, 0.00,41
107/07/25,"203,971","4,819,163",23.5,23.7,23.5,23.6,+0.05,111
107/07/26,"233,962","5,556,145",23.8,23.95,23.6,23.7,+0.10,128
107/07/27,"160,422","3,811,990",23.85,23.9,23.65,23.8,+0.10,95
107/07/30,"202,394","4,837,726",24.0,24.0,23.8,23.8, 0.00,102
107/07/31,"1,001,200","24,292,600",24.1,24.6,24.05,24.05,+0.25,489
107/08/01,"205,599","4,951,026",24.2,24.2,24.0,24.2,+0.15,138
107/08/02,"380,409","9,121,324",24.2,24.2,23.75,24.0,-0.20,177
107/08/03,"164,137","3,937,360",24.0,24.1,23.9,23.9,-0.10,79
107/08/06,"252,426","6,082,090",24.05,24.2,23.95,24.1,+0.20,129
107/08/07,"797,237","19,426,410",24.15,24.5,24.1,24.2,+0.10,331
107/08/08,"978,117","24,084,863",24.4,24.8,24.4,24.55,+0.35,443
107/08/09,"835,655","20,725,508",24.55,24.95,24.55,24.85,+0.30,289
107/08/10,"1,083,911","27,018,865",25.1,25.35,24.55,24.6,-0.25,437
107/08/13,"990,643","23,565,884",24.6,24.6,23.45,23.65,-0.95,418
107/08/14,"494,908","11,731,206",23.7,24.0,23.5,23.75,+0.10,283
107/08/15,"464,439","11,146,686",24.2,24.2,23.85,24.0,+0.25,206
107/08/16,"227,419","5,446,306",24.05,24.05,23.85,23.95,-0.05,87
107/08/17,"135,815","3,282,660",24.1,24.3,24.05,24.05,+0.10,103
107/08/20,"388,500","9,394,119",24.3,24.4,23.9,23.95,-0.10,168
107/08/21,"135,838","3,270,681",24.1,24.15,24.0,24.15,+0.20,90
107/08/22,"101,001","2,432,324",24.2,24.2,24.0,24.1,-0.05,69
107/08/23,"404,682","9,856,217",24.2,24.5,24.2,24.25,+0.15,217
107/08/24,"200,251","4,806,235",24.25,24.3,23.9,23.9,-0.35,101
107/08/27,"667,639","16,254,448",23.95,24.45,23.95,24.25,+0.35,338
107/08/28,"200,413","4,876,108",24.4,24.4,24.25,24.35,+0.10,124
107/08/29,"294,587","7,191,999",24.4,24.5,24.35,24.45,+0.10,168
107/08/30,"381,252","9,264,607",24.5,24.55,24.1,24.45, 0.00,216
107/08/31,"180,250","4,388,861",24.3,24.5,24.25,24.45, 0.00,103
107/09/03,"203,002","4,937,998",24.5,24.5,24.15,24.15,-0.30,99
107/09/04,"141,293","3,428,190",24.1,24.4,24.1,24.3,+0.15,91
107/09/05,"105,192","2,563,095",24.4,24.5,24.25,24.3, 0.00,73
107/09/06,"225,224","5,446,936",24.15,24.4,24.05,24.1,-0.20,107
107/09/07,"602,080","14,411,220",24.1,24.1,23.75,23.85,-0.25,226
107/09/10,"802,134","19,299,006",23.85,24.5,23.85,23.9,+0.05,299
107/09/11,"3,474,823","86,520,401",24.05,25.4,24.05,25.4,+1.50,"1,335"
107/09/12,"3,604,801","92,508,590",25.7,26.1,25.2,25.65,+0.25,"1,568"
