date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"224,342","20,037,880",90.1,90.1,88.8,89.4,-0.50,201
107/07/03,"397,819","35,165,272",89.9,90.0,87.5,87.5,-1.90,354
107/07/04,"271,917","23,865,130",87.6,88.6,87.3,87.5, 0.00,237
107/07/05,"284,879","24,734,705",87.7,87.9,85.8,86.2,-1.30,239
107/07/06,"575,138","48,820,254",87.5,87.5,84.0,84.6,-1.60,447
107/07/09,"244,929","20,975,038",84.6,86.7,84.6,86.7,+2.10,225
107/07/10,"234,334","20,334,186",87.2,87.5,85.8,86.4,-0.30,207
107/07/11,"382,595","33,761,437",86.4,89.9,86.2,87.8,+1.40,350
107/07/12,"268,492","23,593,739",87.3,89.0,87.2,87.3,-0.50,219
107/07/13,"286,304","25,183,492",87.7,88.6,87.4,88.6,+1.30,233
107/07/16,"225,042","20,002,946",89.5,89.7,88.4,88.6, 0.00,184
107/07/17,"188,800","16,701,999",88.6,88.8,88.0,88.1,-0.50,178
107/07/18,"230,886","20,450,929",88.1,89.3,88.0,88.2,+0.10,210
107/07/19,"140,484","12,521,076",89.1,89.7,88.4,88.9,+0.70,136
107/07/20,"167,315","14,868,035",89.5,89.5,88.3,88.5,-0.40,166
107/07/23,"237,220","20,821,048",89.1,89.1,87.1,87.2,-1.30,215
107/07/24,"303,692","26,326,142",87.2,87.6,85.9,86.6,-0.60,292
107/07/25,"185,467","16,126,760",86.1,87.5,86.1,86.6, 0.00,177
107/07/26,"145,480","12,662,502",86.7,87.5,86.5,87.1,+0.50,135
107/07/27,"892,404","76,307,464",87.4,87.5,84.8,85.2,-1.90,638
107/07/30,"336,212","28,616,287",85.2,85.5,84.8,85.3,+0.10,261
107/07/31,"264,737","22,673,482",85.6,86.3,85.1,86.0,+0.70,216
107/08/01,"269,407","23,150,081",86.6,86.6,85.6,85.6,-0.40,214
107/08/02,"430,718","36,463,930",86.1,86.1,83.8,84.2,-1.40,362
107/08/03,"172,104","14,522,746",84.5,85.0,83.9,84.7,+0.50,157
107/08/06,"290,793","24,670,756",84.1,85.8,84.1,85.5,+0.80,250
107/08/07,"478,950","41,478,822",85.5,87.7,84.8,87.4,+1.90,420
107/08/08,"334,682","29,141,316",87.7,87.7,86.2,87.5,+0.10,291
107/08/09,"139,359","12,155,974",87.5,87.9,86.6,86.7,-0.80,131
107/08/10,"733,757","64,958,638",86.8,89.4,86.8,87.9,+1.20,600
107/08/13,"441,861","37,934,471",87.4,87.4,85.1,85.2,-2.70,396
107/08/14,"215,090","18,227,955",85.1,85.3,84.3,84.7,-0.50,202
107/08/15,"797,672","65,805,633",84.2,84.2,82.0,82.0,-2.70,657
107/08/16,"517,731","41,531,531",80.9,81.6,79.4,80.2,-1.80,418
107/08/17,"319,879","25,690,778",80.4,81.1,79.7,79.8,-0.40,277
107/08/20,"280,958","22,355,258",79.9,80.4,78.5,79.0,-0.80,252
107/08/21,"297,953","23,496,481",79.0,79.7,78.4,78.5,-0.50,258
107/08/22,"572,127","45,199,960",78.7,80.9,78.0,79.5,+1.00,443
107/08/23,"329,821","26,090,365",79.9,79.9,78.6,79.0,-0.50,254
107/08/24,"289,416","22,668,754",79.0,79.0,78.0,78.1,-0.90,272
107/08/27,"251,684","19,625,716",78.1,78.6,77.4,77.8,-0.30,209
107/08/28,"397,710","30,792,834",78.1,78.1,77.0,77.3,-0.50,309
107/08/29,"617,545","48,410,935",77.3,79.9,77.3,79.9,+2.60,408
107/08/30,"418,250","32,979,349",79.7,80.0,78.4,78.8,-1.10,322
107/08/31,"361,225","28,286,055",78.6,79.1,77.8,78.6,-0.20,256
107/09/03,"415,200","32,886,839",79.2,80.2,78.5,79.3,+0.70,294
107/09/04,"419,861","32,928,557",79.4,79.4,78.2,78.3,-1.00,293
107/09/05,"976,117","75,415,165",78.3,78.3,76.9,77.0,-1.30,710
107/09/06,"507,946","38,725,264",77.0,77.4,76.0,76.1,-0.90,400
107/09/07,"430,370","32,913,679",76.5,77.2,76.1,76.2,+0.10,313
107/09/10,"347,126","26,614,922",77.0,77.6,76.1,76.3,+0.10,309
107/09/11,"201,637","15,415,549",76.3,76.9,76.1,76.8,+0.50,162
107/09/12,"853,196","63,572,004",76.5,76.7,73.4,73.5,-3.30,677
107/09/13,"291,516","21,559,046",73.6,74.8,73.5,74.1,+0.60,246
107/09/14,"447,884","33,919,047",74.4,76.7,74.2,75.9,+1.80,352
107/09/17,"833,563","65,457,977",76.1,79.2,75.9,79.0,+3.10,640
107/09/18,"1,848,493","153,361,058",82.0,84.0,81.8,83.0,+4.00,"1,354"
107/09/19,"708,361","58,899,863",83.7,83.8,82.6,83.0, 0.00,495
107/09/20,"867,652","71,709,516",83.0,83.3,81.2,82.8,-0.20,526
107/09/21,"733,586","60,046,455",82.8,83.1,80.6,81.5,-1.30,519
