date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,2,64,32.00,32.00,32.00,32.00,0.5,2
107/07/03,9,294,32.80,32.80,32.00,32.00,0.0,8
107/07/04,11,343,31.00,32.00,30.55,32.00,0.0,9
107/07/05,5,155,30.60,32.00,30.60,32.00,0.0,5
107/07/06,1,32,31.55,31.55,31.55,31.55,-0.45,1
107/07/09,39,"1,223",31.95,31.95,31.30,31.50,-0.05,11
107/07/10,6,189,31.45,31.50,31.40,31.50,0.0,5
107/07/11,7,220,31.15,31.50,31.15,31.50,0.0,8
107/07/12,27,848,31.30,31.50,31.00,31.50,0.0,17
107/07/13,5,159,32.00,32.00,31.50,31.50,0.0,5
107/07/16,3,95,31.55,31.55,31.45,31.45,-0.05,5
107/07/17,6,188,30.70,31.50,30.70,31.45,0.0,6
107/07/18,9,282,31.95,31.95,30.50,31.40,-0.05,8
107/07/19,7,221,31.30,32.00,31.30,31.50,0.1,5
107/07/20,3,95,31.90,31.90,31.50,31.50,0.0,2
107/07/23,5,158,31.80,31.80,31.40,31.40,-0.1,4
107/07/24,13,410,32.10,32.10,31.00,31.45,0.05,8
107/07/25,13,407,30.95,31.40,30.95,31.40,-0.05,13
107/07/26,7,219,30.95,31.35,30.95,31.35,-0.05,6
107/07/27,19,588,31.00,31.35,30.50,31.35,0.0,10
107/07/30,41,"1,244",30.80,31.35,30.00,31.35,0.0,22
107/07/31,4,121,30.70,30.70,30.00,30.00,-1.35,3
107/08/01,21,624,29.55,30.40,29.00,29.35,-0.65,15
107/08/02,11,323,28.35,30.00,28.35,29.50,0.15,10
107/08/03,4,116,29.20,29.20,29.00,29.00,-0.5,4
107/08/06,9,261,28.95,29.50,28.95,29.00,0.0,7
107/08/07,5,156,29.00,29.15,29.00,29.15,0.15,6
107/08/08,23,652,29.25,29.75,27.00,28.05,-1.1,22
107/08/09,9,253,28.05,28.45,28.00,28.00,-0.05,8
107/08/10,1,29,29.00,29.00,29.00,29.00,1.0,1
107/08/13,17,492,29.00,29.05,28.05,29.00,0.0,10
107/08/14,0,0,--,--,--,--,0.0,0
107/08/15,3,85,28.00,28.50,28.00,28.50,-0.2,3
107/08/16,6,176,28.50,28.50,28.00,28.00,-0.5,7
107/08/17,1,28,28.45,28.45,28.45,28.45,0.45,1
107/08/20,3,85,27.35,29.95,27.35,27.60,-0.85,4
107/08/21,5,138,27.50,27.95,27.50,27.95,0.35,5
107/08/22,4,110,28.40,28.40,27.35,27.35,-0.6,3
107/08/23,24,637,27.35,27.35,26.05,27.35,0.0,22
107/08/24,11,294,26.80,27.05,26.55,26.55,-0.8,11
107/08/27,3,80,26.80,26.80,26.50,26.50,-0.05,3
107/08/28,5,133,26.55,26.55,26.45,26.45,-0.05,5
107/08/29,9,237,26.05,28.30,26.00,26.00,-0.45,9
107/08/30,1,26,25.70,25.70,25.70,25.70,-0.3,1
107/08/31,8,204,25.95,25.95,25.40,25.40,-0.3,8
107/09/03,13,326,25.10,25.10,24.55,24.55,-0.85,14
107/09/04,6,150,25.50,25.50,24.50,24.50,-0.05,4
107/09/05,20,492,24.00,25.00,23.90,24.80,0.3,17
107/09/06,7,173,24.80,24.80,24.65,24.70,-0.1,6
107/09/07,14,348,24.90,25.00,24.80,24.80,0.1,14
107/09/10,13,308,24.50,24.50,23.10,23.10,-1.7,13
107/09/11,12,279,23.30,23.35,23.00,23.30,0.2,12
107/09/12,5,115,22.95,23.00,22.95,23.00,-0.3,4
107/09/13,4,95,24.00,24.00,23.70,23.70,0.7,3
107/09/14,3,72,24.00,24.00,24.00,24.00,0.3,2
107/09/17,11,265,24.00,24.30,24.00,24.00,0.0,9
107/09/18,1,24,23.95,23.95,23.95,23.95,-0.05,1
107/09/19,4,96,24.30,24.30,24.00,24.00,0.05,4
107/09/20,3,73,24.55,24.55,24.00,24.00,0.0,3
107/09/21,9,216,23.95,24.10,23.90,24.10,0.1,6
107/09/25,10,241,24.15,24.20,24.00,24.00,-0.1,10
107/09/26,6,144,24.05,24.10,24.00,24.10,0.1,5
107/09/27,10,240,24.05,24.05,23.90,23.90,-0.2,10
107/09/28,3,72,24.00,24.00,24.00,24.00,0.1,2
107/10/01,2,47,23.60,23.60,23.60,23.60,-0.4,2
107/10/02,6,144,24.00,24.05,24.00,24.00,0.4,6
107/10/03,6,144,24.00,24.00,23.90,23.95,-0.05,5
107/10/04,0,0,--,--,--,--,0.0,0
107/10/05,0,0,--,--,--,--,0.0,0
107/10/08,1,24,23.75,23.75,23.75,23.75,-0.1,1
107/10/09,4,96,24.05,24.10,24.05,24.10,0.35,4
107/10/11,35,811,23.70,23.70,23.00,23.60,-0.5,12
107/10/12,7,162,22.00,23.55,22.00,23.30,-0.3,5
107/10/15,10,233,23.30,23.30,23.10,23.30,0.0,6
107/10/16,2,46,23.00,23.00,23.00,23.00,-0.3,1
107/10/17,17,384,22.65,22.65,22.50,22.50,-0.5,12
107/10/18,67,"1,525",22.50,22.85,22.50,22.85,0.35,34
107/10/19,23,529,22.80,23.70,22.80,23.70,0.85,13
107/10/22,8,199,24.50,25.10,24.50,25.10,1.4,5
107/10/23,17,466,25.25,27.00,25.25,27.00,1.9,17
107/10/24,27,779,27.00,29.40,27.00,29.00,2.0,27
107/10/25,75,"2,227",29.50,30.00,29.20,29.30,0.3,57
107/10/26,14,403,29.30,29.30,28.00,28.00,-1.3,13
107/10/29,19,529,27.55,28.60,27.50,28.60,0.6,12
107/10/30,2,57,28.60,28.60,28.55,28.55,-0.05,2
107/10/31,11,315,28.60,28.60,28.60,28.60,0.05,4
107/11/01,4,113,28.10,28.30,28.10,28.30,-0.3,4
107/11/02,11,316,28.30,30.00,28.30,28.40,0.1,9
107/11/05,0,0,--,--,--,--,0.0,0
107/11/06,3,81,27.00,27.00,27.00,27.00,-1.4,3
107/11/07,3,84,27.50,28.00,27.50,28.00,1.0,2
107/11/08,7,196,28.00,28.00,27.95,28.00,0.0,8
107/11/09,3,85,28.50,28.50,28.40,28.40,0.4,3
107/11/12,0,0,--,--,--,--,0.0,0
107/11/13,4,113,28.00,28.50,28.00,28.50,0.15,4
107/11/14,23,639,26.10,28.90,26.10,28.20,-0.3,17
107/11/15,15,419,27.70,28.70,27.60,28.40,0.2,13
107/11/16,11,310,28.35,28.40,28.00,28.00,-0.4,7
107/11/19,8,224,27.70,28.30,27.70,28.30,0.3,5
107/11/20,34,970,28.30,29.00,28.30,28.30,0.0,18
107/11/21,5,143,29.50,29.50,28.45,28.45,0.15,3
107/11/22,9,256,28.40,28.50,28.40,28.40,-0.05,6
107/11/23,6,170,28.10,28.40,28.10,28.40,0.0,3
107/11/26,8,226,28.05,28.40,28.05,28.20,-0.2,6
107/11/27,2,57,28.40,28.40,28.40,28.40,0.2,1
