date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"1,320,453","42,341,296",32.85,32.85,31.85,31.85,-0.85,808
107/07/03,"860,790","27,253,389",31.85,32.1,31.45,31.6,-0.25,533
107/07/04,"542,878","17,206,116",31.5,32.0,31.45,31.8,0.2,316
107/07/05,"496,563","15,628,247",31.8,31.85,31.25,31.25,-0.55,279
107/07/06,"1,090,151","33,679,112",31.3,31.3,30.7,30.8,-0.45,659
107/07/09,"733,591","23,099,412",30.95,32.05,30.95,31.95,1.15,412
107/07/10,"466,047","14,859,554",32.1,32.2,31.5,31.7,-0.25,330
107/07/11,"362,630","11,442,969",31.6,31.7,31.4,31.7,0.0,256
107/07/12,"160,052","5,085,559",31.6,31.9,31.5,31.9,0.2,134
107/07/13,"298,881","9,525,842",31.5,32.1,31.5,31.85,-0.05,217
107/07/16,"537,505","17,134,961",32.0,32.1,31.8,31.85,0.0,294
107/07/17,"369,992","11,801,642",31.85,32.05,31.8,31.8,-0.05,260
107/07/18,"1,385,696","45,521,966",32.15,33.55,32.1,33.35,1.55,"1,033"
107/07/19,"1,347,320","44,066,160",33.0,33.2,32.4,32.4,-0.95,857
107/07/20,"577,281","18,624,428",32.4,32.5,32.1,32.15,-0.25,489
107/07/23,"273,185","8,738,120",32.15,32.15,31.9,32.0,-0.15,183
107/07/24,"296,537","9,490,352",32.05,32.1,31.95,31.95,-0.05,204
107/07/25,"199,747","6,387,027",31.95,32.05,31.9,31.95,0.0,134
107/07/26,"567,000","18,212,650",32.0,32.3,31.95,32.3,0.35,309
107/07/27,"429,485","13,774,320",32.3,32.3,31.95,32.0,-0.3,289
107/07/30,"318,451","10,224,565",32.0,32.3,31.95,32.15,0.15,221
107/07/31,"475,745","15,310,885",32.15,32.25,32.05,32.2,0.05,331
107/08/01,"453,045","14,642,905",32.2,32.65,32.05,32.55,0.35,278
107/08/02,"665,113","21,430,625",32.8,32.8,32.0,32.0,-0.55,466
107/08/03,"715,871","23,175,779",32.25,32.55,32.1,32.3,0.3,420
107/08/06,"612,321","20,024,425",32.35,32.85,32.35,32.65,0.35,455
107/08/07,"616,652","20,273,114",32.65,33.0,32.65,32.8,0.15,373
107/08/08,"381,287","12,536,188",32.95,33.0,32.8,32.85,0.05,269
107/08/09,"342,857","11,294,085",32.95,33.0,32.85,32.95,0.1,213
107/08/10,"585,837","19,197,615",32.8,33.0,32.6,32.6,-0.35,339
107/08/13,"1,288,272","41,017,759",32.65,32.65,31.35,31.45,-1.15,745
107/08/14,"1,730,079","53,728,064",31.5,31.5,30.75,31.05,-0.4,913
107/08/15,"1,282,234","39,256,717",31.0,31.0,30.4,30.6,-0.45,742
107/08/16,"1,082,133","32,887,517",30.5,30.65,30.2,30.6,0.0,637
107/08/17,"753,787","23,151,315",30.7,30.9,30.55,30.55,-0.05,605
107/08/20,"565,694","17,260,615",30.6,30.8,30.4,30.45,-0.1,395
107/08/21,"751,390","22,924,844",30.7,30.75,30.35,30.5,0.05,603
107/08/22,"758,994","23,178,116",30.5,30.7,30.45,30.45,-0.05,582
107/08/23,"702,320","21,439,360",30.45,30.7,30.45,30.5,0.05,538
107/08/24,"1,094,193","33,220,485",30.5,30.55,30.2,30.3,-0.2,618
107/08/27,"763,065","23,246,482",30.35,30.65,30.35,30.55,0.25,493
107/08/28,"1,283,400","39,487,987",30.7,30.9,30.65,30.85,0.3,550
107/08/29,"546,394","16,989,090",30.9,31.2,30.85,31.15,0.3,351
107/08/30,"533,794","16,583,764",31.2,31.2,31.0,31.0,-0.15,377
