date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"191,999","3,411,281",17.8,17.85,17.7,17.75,-0.15,110
107/07/03,"263,367","4,662,685",17.8,17.85,17.55,17.55,-0.20,93
107/07/04,"81,129","1,426,193",17.7,17.7,17.55,17.55, 0.00,52
107/07/05,"133,096","2,322,080",17.6,17.6,17.35,17.45,-0.10,78
107/07/06,"410,200","7,019,250",17.45,17.45,16.65,17.1,-0.35,218
107/07/09,"130,064","2,256,650",17.25,17.45,17.25,17.35,+0.25,78
107/07/10,"234,204","4,045,098",17.4,17.5,17.15,17.2,-0.15,138
107/07/11,"95,000","1,635,300",17.2,17.4,17.0,17.2, 0.00,53
107/07/12,"256,799","4,499,901",17.3,17.75,17.2,17.7,+0.50,98
107/07/13,"116,008","2,056,189",17.8,17.85,17.65,17.7, 0.00,63
107/07/16,"268,503","4,774,952",17.75,17.85,17.7,17.8,+0.10,153
107/07/17,"122,568","2,105,484",17.2,17.2,17.1,17.15,X0.00,72
107/07/18,"102,300","1,760,089",17.25,17.3,17.15,17.25,+0.10,71
107/07/19,"223,090","3,816,392",17.45,17.45,16.95,17.15,-0.10,86
107/07/20,"230,200","3,921,900",17.1,17.15,17.0,17.05,-0.10,103
107/07/23,"157,496","2,647,032",17.0,17.0,16.7,16.7,-0.35,87
107/07/24,"69,867","1,171,264",16.65,16.9,16.65,16.9,+0.20,58
107/07/25,"92,450","1,565,202",16.95,17.0,16.85,16.85,-0.05,73
107/07/26,"120,876","2,054,342",17.0,17.15,16.85,17.15,+0.30,75
107/07/27,"86,394","1,475,606",17.15,17.2,17.0,17.15, 0.00,45
107/07/30,"139,064","2,386,797",17.15,17.2,17.1,17.2,+0.05,55
107/07/31,"75,798","1,305,695",17.2,17.3,17.2,17.25,+0.05,41
107/08/01,"207,686","3,612,535",17.35,17.5,17.25,17.5,+0.25,122
107/08/02,"208,338","3,628,595",17.5,17.6,17.3,17.35,-0.15,115
107/08/03,"95,104","1,654,847",17.5,17.5,17.3,17.45,+0.10,80
107/08/06,"153,129","2,656,251",17.5,17.5,17.3,17.35,-0.10,71
107/08/07,"86,132","1,494,981",17.35,17.45,17.3,17.4,+0.05,54
107/08/08,"154,879","2,704,547",17.4,17.55,17.35,17.55,+0.15,83
107/08/09,"269,783","4,740,263",17.6,17.65,17.5,17.55, 0.00,69
107/08/10,"1,611,450","29,060,377",17.55,18.25,17.55,17.95,+0.40,641
107/08/13,"454,818","8,024,381",17.9,17.9,17.45,17.5,-0.45,177
107/08/14,"109,547","1,915,465",17.5,17.6,17.45,17.55,+0.05,53
107/08/15,"345,863","6,014,761",17.5,17.75,17.25,17.4,-0.15,164
107/08/16,"81,920","1,423,210",17.3,17.45,17.3,17.45,+0.05,53
107/08/17,"54,471","955,992",17.5,17.6,17.5,17.5,+0.05,46
107/08/20,"61,141","1,064,089",17.3,17.5,17.3,17.35,-0.15,39
107/08/21,"232,318","4,078,565",17.45,17.65,17.45,17.6,+0.25,70
107/08/22,"89,200","1,568,209",17.6,17.65,17.5,17.6, 0.00,42
107/08/23,"137,148","2,412,274",17.7,17.7,17.5,17.5,-0.10,61
107/08/24,"11,461","200,617",17.5,17.55,17.4,17.55,+0.05,15
107/08/27,"175,372","3,125,620",17.6,17.95,17.6,17.9,+0.35,85
107/08/28,"196,076","3,527,518",17.9,18.05,17.9,18.0,+0.10,94
107/08/29,"237,994","4,299,942",18.0,18.2,17.9,18.1,+0.10,116
107/08/30,"5,819,769","115,350,449",19.15,19.9,19.15,19.9,+1.80,"1,563"
107/08/31,"2,541,349","49,968,923",19.9,19.9,19.3,19.8,-0.10,"1,068"
107/09/03,"1,933,750","38,425,048",19.8,20.25,19.55,19.9,+0.10,787
107/09/04,"4,383,324","91,434,347",20.15,21.65,20.15,21.25,+1.35,"2,121"
107/09/05,"1,807,892","38,025,351",21.1,21.55,20.6,20.75,-0.50,897
107/09/06,"1,061,592","21,880,253",20.6,21.1,20.35,20.55,-0.20,519
107/09/07,"1,058,506","21,484,971",20.45,20.5,20.2,20.4,-0.15,458
107/09/10,"912,309","18,155,860",20.3,20.4,19.5,20.05,-0.35,468
107/09/11,"482,630","9,685,612",20.0,20.35,19.85,20.0,-0.05,214
107/09/12,"413,323","8,221,695",20.2,20.2,19.75,19.8,-0.20,206
107/09/13,"426,143","8,609,895",19.8,20.55,19.8,20.4,+0.60,279
107/09/14,"675,979","13,721,524",20.6,20.65,20.1,20.2,-0.20,285
107/09/17,"285,582","5,700,679",20.25,20.25,19.9,19.9,-0.30,165
107/09/18,"322,310","6,428,002",20.0,20.1,19.85,20.0,+0.10,131
107/09/19,"1,683,870","34,818,170",20.05,21.1,20.0,21.1,+1.10,679
107/09/20,"1,829,495","38,669,745",21.2,21.55,20.85,20.9,-0.20,863
107/09/21,"693,094","14,419,394",20.95,21.0,20.65,20.85,-0.05,326
107/09/25,"3,231,518","70,172,465",20.95,22.2,20.95,21.95,+1.10,"1,513"
107/09/26,"1,294,726","28,084,581",21.75,22.05,21.4,22.05,+0.10,636
107/09/27,"3,501,100","77,112,382",22.3,22.45,21.5,21.5,-0.55,"1,479"
107/09/28,"1,162,517","24,847,535",21.65,21.85,21.1,21.4,-0.10,529
107/10/01,"287,530","6,153,661",21.5,21.5,21.3,21.4, 0.00,180
107/10/02,"1,051,199","22,122,167",21.6,21.65,20.85,20.85,-0.55,422
107/10/03,"899,530","18,563,987",20.85,20.95,20.45,20.45,-0.40,324
107/10/04,"637,960","12,865,646",20.5,20.5,20.0,20.05,-0.40,306
107/10/05,"1,056,475","20,675,337",19.85,20.0,19.15,19.6,-0.45,457
107/10/08,"1,025,630","19,913,885",19.6,20.0,19.15,19.35,-0.25,425
107/10/09,"887,586","17,627,846",19.45,20.3,19.3,20.15,+0.80,444
107/10/11,"1,656,314","31,885,696",19.3,19.5,19.05,19.2,-0.95,691
107/10/12,"883,285","16,894,949",19.05,19.35,18.8,19.3,+0.10,398
107/10/15,"393,010","7,487,441",19.2,19.2,18.95,19.05,-0.25,193
107/10/16,"262,324","5,024,939",19.05,19.25,19.05,19.1,+0.05,123
107/10/17,"304,099","5,809,895",19.3,19.3,19.0,19.0,-0.10,215
107/10/18,"332,909","6,270,606",19.1,19.1,18.65,18.7,-0.30,177
107/10/19,"361,021","6,629,990",18.4,18.6,18.25,18.55,-0.15,194
107/10/22,"134,842","2,516,737",18.55,18.9,18.5,18.9,+0.35,100
107/10/23,"195,247","3,630,844",18.65,18.8,18.5,18.55,-0.35,108
107/10/24,"160,000","2,944,150",18.4,18.5,18.3,18.45,-0.10,95
107/10/25,"352,105","6,289,029",18.0,18.0,17.75,17.8,-0.65,215
107/10/26,"251,053","4,431,788",18.1,18.1,17.5,17.8, 0.00,98
107/10/29,"56,298","997,634",17.8,18.0,17.65,17.7,-0.10,45
107/10/30,"148,965","2,664,911",17.75,18.1,17.75,17.95,+0.25,118
107/10/31,"236,253","4,301,729",18.0,18.4,18.0,18.3,+0.35,110
107/11/01,"172,000","3,182,400",18.3,18.7,18.3,18.5,+0.20,95
107/11/02,"329,389","6,063,077",18.5,18.5,18.3,18.45,-0.05,151
107/11/05,"75,631","1,383,522",18.4,18.4,18.2,18.3,-0.15,50
107/11/06,"205,050","3,763,705",18.55,18.55,18.2,18.2,-0.10,75
107/11/07,"281,255","5,215,330",18.4,18.7,18.35,18.6,+0.40,139
107/11/08,"264,093","4,928,608",18.9,18.9,18.5,18.5,-0.10,126
107/11/09,"96,000","1,783,450",18.45,18.65,18.45,18.6,+0.10,49
107/11/12,"166,249","3,064,190",18.3,18.6,18.3,18.45,-0.15,77
107/11/13,"221,000","4,040,050",18.2,18.6,17.9,18.55,+0.10,118
107/11/14,"335,818","6,283,364",18.7,18.8,18.6,18.7,+0.15,150
107/11/15,"383,500","7,243,599",18.75,19.15,18.65,19.1,+0.40,191
107/11/16,"232,095","4,429,055",19.15,19.2,19.0,19.1, 0.00,126
107/11/19,"151,000","2,875,350",19.2,19.2,19.0,19.05,-0.05,67
107/11/20,"97,000","1,828,750",19.0,19.0,18.75,18.9,-0.15,65
107/11/21,"149,641","2,811,185",18.7,18.9,18.7,18.8,-0.10,97
107/11/22,"110,000","2,061,050",18.9,18.9,18.65,18.7,-0.10,67
107/11/23,"92,534","1,735,509",18.6,18.9,18.6,18.8,+0.10,56
107/11/26,"200,042","3,782,732",18.8,19.0,18.8,18.85,+0.05,98
