date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"655,949","9,394,662",14.4,14.4,14.3,14.3,-0.05,281
107/07/03,"1,658,396","23,728,106",14.3,14.35,14.25,14.35,+0.05,544
107/07/04,"1,790,121","24,564,842",13.7,13.8,13.65,13.75,X0.00,697
107/07/05,"988,130","13,678,321",13.8,13.9,13.75,13.9,+0.15,480
107/07/06,"1,235,758","17,020,240",13.9,13.95,13.7,13.7,-0.20,546
107/07/09,"476,614","6,542,738",13.7,13.8,13.7,13.75,+0.05,236
107/07/10,"559,870","7,671,598",13.75,13.75,13.65,13.65,-0.10,330
107/07/11,"720,943","9,782,463",13.55,13.6,13.55,13.6,-0.05,343
107/07/12,"298,293","4,047,786",13.6,13.65,13.55,13.55,-0.05,182
107/07/13,"280,522","3,816,993",13.55,13.65,13.55,13.6,+0.05,106
107/07/16,"263,291","3,590,727",13.6,13.65,13.6,13.65,+0.05,216
107/07/17,"396,194","5,398,690",13.65,13.7,13.6,13.65, 0.00,256
107/07/18,"406,084","5,532,185",13.65,13.7,13.6,13.6,-0.05,245
107/07/19,"312,555","4,257,773",13.7,13.7,13.6,13.6, 0.00,151
107/07/20,"653,841","8,893,161",13.6,13.7,13.55,13.7,+0.10,304
107/07/23,"594,138","8,070,008",13.65,13.65,13.55,13.55,-0.15,283
107/07/24,"632,582","8,572,308",13.55,13.6,13.5,13.6,+0.05,243
107/07/25,"297,313","4,031,452",13.6,13.6,13.55,13.6, 0.00,172
107/07/26,"341,044","4,632,491",13.6,13.65,13.55,13.65,+0.05,189
107/07/27,"306,244","4,181,019",13.65,13.7,13.6,13.65, 0.00,173
107/07/30,"533,936","7,288,520",13.65,13.7,13.6,13.65, 0.00,257
107/07/31,"456,826","6,240,811",13.65,13.7,13.6,13.7,+0.05,200
107/08/01,"647,521","8,836,530",13.7,13.75,13.6,13.7, 0.00,250
107/08/02,"859,269","11,684,304",13.65,13.65,13.55,13.55,-0.15,400
107/08/03,"548,313","7,496,581",13.6,13.75,13.6,13.75,+0.20,277
107/08/06,"686,936","9,437,210",13.75,13.8,13.7,13.8,+0.05,354
107/08/07,"714,216","9,861,273",13.8,13.9,13.75,13.85,+0.05,229
107/08/08,"346,092","4,768,211",13.85,13.85,13.75,13.75,-0.10,167
107/08/09,"204,041","2,802,358",13.75,13.75,13.7,13.75, 0.00,116
107/08/10,"323,732","4,434,326",13.7,13.75,13.65,13.75, 0.00,146
107/08/13,"1,037,267","14,188,948",13.7,13.75,13.6,13.7,-0.05,353
107/08/14,"587,169","8,042,058",13.7,13.75,13.65,13.7, 0.00,154
107/08/15,"815,119","11,169,022",13.7,13.75,13.65,13.65,-0.05,177
107/08/16,"1,059,556","14,547,458",13.65,13.8,13.65,13.8,+0.15,212
107/08/17,"987,180","13,642,129",13.75,13.9,13.75,13.9,+0.10,238
107/08/20,"706,380","9,814,825",13.85,13.95,13.85,13.9, 0.00,224
107/08/21,"297,483","4,135,453",13.9,13.95,13.85,13.9, 0.00,191
107/08/22,"231,062","3,208,650",13.9,13.95,13.8,13.9, 0.00,112
107/08/23,"1,001,341","13,963,653",13.9,14.0,13.85,14.0,+0.10,262
107/08/24,"300,599","4,198,536",14.0,14.0,13.95,14.0, 0.00,120
107/08/27,"446,419","6,249,016",14.0,14.05,13.95,14.05,+0.05,201
107/08/28,"550,328","7,745,866",14.0,14.1,14.0,14.1,+0.05,240
107/08/29,"490,705","6,920,287",14.1,14.15,14.05,14.1, 0.00,208
107/08/30,"444,600","6,258,609",14.1,14.15,14.0,14.1, 0.00,234
107/08/31,"293,895","4,128,666",14.05,14.15,14.0,14.1, 0.00,117
107/09/03,"206,656","2,905,290",14.1,14.1,14.0,14.1, 0.00,146
107/09/04,"163,397","2,299,074",14.1,14.1,14.05,14.1, 0.00,113
107/09/05,"549,738","7,696,482",14.0,14.05,13.95,14.0,-0.10,278
107/09/06,"267,362","3,731,538",14.0,14.0,13.9,13.95,-0.05,176
107/09/07,"507,785","7,055,549",13.95,13.95,13.85,13.9,-0.05,277
107/09/10,"699,429","9,677,046",13.95,13.95,13.75,13.9, 0.00,286
107/09/11,"338,199","4,697,578",13.9,13.95,13.85,13.9, 0.00,192
107/09/12,"174,696","2,429,804",13.9,13.95,13.85,13.9, 0.00,88
107/09/13,"442,627","6,181,128",13.9,14.0,13.9,14.0,+0.10,350
107/09/14,"307,971","4,308,894",14.0,14.05,13.95,14.0, 0.00,151
107/09/17,"126,415","1,767,210",14.0,14.05,13.95,13.95,-0.05,98
107/09/18,"261,692","3,656,588",13.95,14.0,13.9,13.95, 0.00,186
107/09/19,"659,153","9,264,942",13.9,14.1,13.9,14.1,+0.15,544
107/09/20,"276,181","3,878,486",14.0,14.1,14.0,14.05,-0.05,193
107/09/21,"591,915","8,354,995",14.0,14.15,14.0,14.15,+0.10,270
107/09/25,"188,412","2,653,623",14.15,14.15,14.05,14.1,-0.05,120
107/09/26,"94,653","1,331,051",14.1,14.1,14.05,14.1, 0.00,53
107/09/27,"563,668","7,925,766",14.1,14.15,14.0,14.1, 0.00,301
107/09/28,"488,129","6,845,656",14.1,14.1,14.0,14.0,-0.10,256
107/10/01,"253,643","3,559,930",14.0,14.1,14.0,14.05,+0.05,125
107/10/02,"239,734","3,358,447",14.0,14.1,14.0,14.0,-0.05,140
107/10/03,"304,425","4,260,467",14.0,14.05,13.95,14.0, 0.00,177
107/10/04,"290,331","4,056,260",14.0,14.1,13.9,14.0, 0.00,202
107/10/05,"628,783","8,739,735",14.0,14.0,13.85,13.9,-0.10,342
107/10/08,"431,872","5,998,856",13.9,13.95,13.85,13.9, 0.00,198
107/10/09,"524,688","7,291,652",13.9,13.95,13.85,13.9, 0.00,344
107/10/11,"2,372,093","32,402,720",13.8,13.8,13.6,13.75,-0.15,866
107/10/12,"2,209,502","29,902,546",13.5,13.7,13.45,13.6,-0.15,769
107/10/15,"810,130","10,975,075",13.6,13.75,13.5,13.5,-0.10,519
107/10/16,"1,257,333","16,990,387",13.5,13.6,13.45,13.6,+0.10,378
107/10/17,"535,158","7,243,829",13.65,13.65,13.45,13.5,-0.10,343
107/10/18,"478,677","6,445,134",13.5,13.55,13.45,13.5, 0.00,322
107/10/19,"8,823,949","117,123,662",13.4,13.45,13.15,13.35,-0.15,"1,164"
107/10/22,"918,151","12,186,273",13.35,13.4,13.2,13.35, 0.00,475
107/10/23,"766,105","10,124,333",13.3,13.3,13.2,13.25,-0.10,356
107/10/24,"1,517,999","20,034,034",13.2,13.3,13.15,13.15,-0.10,403
