date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"73,074","1,014,825",13.9,13.95,13.8,13.9, 0.00,36
107/07/03,"61,001","842,363",13.95,13.95,13.75,13.85,-0.05,43
107/07/04,"110,320","1,511,132",13.75,13.75,13.65,13.7,-0.15,63
107/07/05,"77,317","1,056,992",13.6,13.75,13.6,13.75,+0.05,31
107/07/06,"152,003","2,067,489",13.75,13.75,13.55,13.6,-0.15,55
107/07/09,"272,184","3,697,560",13.6,13.65,13.5,13.6, 0.00,73
107/07/10,"69,001","948,613",13.7,13.8,13.65,13.8,+0.20,41
107/07/11,"59,416","821,874",13.75,13.9,13.7,13.9,+0.10,35
107/07/12,"38,558","532,855",13.8,13.85,13.75,13.85,-0.05,23
107/07/13,"163,301","2,254,417",13.85,13.9,13.75,13.75,-0.10,54
107/07/16,"70,147","968,826",13.75,13.85,13.75,13.85,+0.10,40
107/07/17,"60,001","830,613",13.8,13.85,13.8,13.85, 0.00,19
107/07/18,"74,501","1,034,460",13.85,13.9,13.8,13.9,+0.05,49
107/07/19,"77,300","1,073,550",13.85,13.9,13.85,13.9, 0.00,24
107/07/20,"147,050","2,039,442",13.9,13.9,13.8,13.8,-0.10,44
107/07/23,"90,790","1,256,931",13.8,13.9,13.8,13.9,+0.10,38
107/07/24,"100,154","1,390,090",13.95,13.95,13.8,13.95,+0.05,38
107/07/25,"335,600","4,684,050",13.95,14.0,13.9,14.0,+0.05,58
107/07/26,"160,553","2,242,342",13.95,14.0,13.9,14.0, 0.00,67
107/07/27,"2,154,804","31,430,683",14.0,14.1,13.95,14.1,+0.10,192
107/07/30,"204,354","2,762,025",13.55,13.55,13.45,13.5,X0.00,128
107/07/31,"154,103","2,085,795",13.45,13.6,13.45,13.6,+0.10,53
107/08/01,"120,200","1,630,359",13.55,13.6,13.5,13.6, 0.00,53
107/08/02,"211,002","2,853,376",13.55,13.6,13.45,13.6, 0.00,119
107/08/03,"173,130","2,345,268",13.5,13.6,13.5,13.6, 0.00,67
107/08/06,"143,256","1,936,634",13.6,13.6,13.5,13.5,-0.10,43
107/08/07,"454,455","6,235,378",13.5,13.9,13.5,13.9,+0.40,123
107/08/08,"150,700","2,085,510",13.9,13.9,13.75,13.9, 0.00,66
107/08/09,"79,200","1,095,509",13.9,13.9,13.75,13.85,-0.05,40
107/08/10,"475,001","6,642,363",13.85,14.05,13.85,14.0,+0.15,116
107/08/13,"147,065","2,026,590",13.95,14.0,13.75,13.8,-0.20,61
107/08/14,"156,005","2,142,115",13.8,13.8,13.65,13.75,-0.05,58
107/08/15,"219,601","2,990,453",13.75,13.75,13.55,13.75, 0.00,76
107/08/16,"86,500","1,177,098",13.6,13.65,13.55,13.65,-0.10,41
107/08/17,"84,085","1,153,873",13.65,13.8,13.65,13.8,+0.15,32
107/08/20,"134,194","1,859,892",13.8,14.0,13.7,14.0,+0.20,61
