date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"7,932,844","114,405,762",14.4,14.5,14.4,14.4, 0.00,"2,340"
107/07/03,"14,578,548","208,639,071",14.4,14.45,14.25,14.25,-0.15,"4,218"
107/07/04,"6,232,456","89,035,402",14.25,14.35,14.2,14.3,+0.05,"1,720"
107/07/05,"6,039,555","86,173,641",14.35,14.35,14.25,14.25,-0.05,"1,542"
107/07/06,"14,965,418","212,121,342",14.25,14.25,14.1,14.15,-0.10,"3,542"
107/07/09,"6,026,670","86,206,789",14.25,14.35,14.2,14.3,+0.15,"1,224"
107/07/10,"8,290,069","119,516,650",14.45,14.45,14.35,14.45,+0.15,"1,619"
107/07/11,"6,224,911","89,431,675",14.4,14.45,14.3,14.4,-0.05,"1,730"
107/07/12,"8,785,284","127,011,993",14.4,14.5,14.35,14.5,+0.10,"1,867"
107/07/13,"6,485,948","94,441,633",14.5,14.6,14.5,14.6,+0.10,"1,358"
107/07/16,"13,163,212","190,928,202",14.6,14.6,14.45,14.45,-0.15,"2,094"
107/07/17,"12,411,199","180,037,285",14.45,14.6,14.4,14.55,+0.10,"2,237"
107/07/18,"10,378,922","151,436,785",14.6,14.65,14.55,14.65,+0.10,"3,026"
107/07/19,"5,837,388","85,326,882",14.65,14.65,14.55,14.6,-0.05,"1,277"
107/07/20,"7,943,622","116,430,095",14.65,14.7,14.6,14.7,+0.10,"1,581"
107/07/23,"10,423,790","153,206,603",14.7,14.75,14.65,14.7, 0.00,"2,151"
107/07/24,"12,718,908","188,047,581",14.7,14.85,14.7,14.85,+0.15,"2,485"
107/07/25,"9,973,392","147,713,445",14.85,14.85,14.8,14.8,-0.05,"2,219"
107/07/26,"13,121,371","195,329,339",14.9,14.9,14.85,14.9,+0.10,"2,737"
107/07/27,"13,620,610","203,593,133",14.95,15.0,14.9,14.95,+0.05,"3,042"
107/07/30,"12,221,079","182,830,997",14.95,15.0,14.9,15.0,+0.05,"2,556"
107/07/31,"21,362,720","319,961,379",15.0,15.0,14.95,15.0, 0.00,"3,249"
107/08/01,"15,505,217","232,843,855",15.0,15.05,15.0,15.05,+0.05,"3,324"
107/08/02,"20,454,387","306,361,672",15.05,15.1,14.9,14.95,-0.10,"3,358"
107/08/03,"12,065,673","180,878,045",14.95,15.05,14.95,15.05,+0.10,"2,546"
107/08/06,"40,859,887","611,317,155",15.05,15.1,14.85,14.9,-0.15,"5,933"
107/08/07,"20,296,137","303,345,468",14.95,15.0,14.9,14.9, 0.00,"3,889"
107/08/08,"24,164,233","361,352,695",14.95,15.0,14.9,15.0,+0.10,"4,524"
107/08/09,"34,636,738","517,620,170",15.0,15.05,14.9,14.9,-0.10,"5,168"
107/08/10,"35,004,230","525,740,019",14.95,15.1,14.9,15.1,+0.20,"4,311"
107/08/13,"28,133,455","422,651,666",15.1,15.15,14.95,15.0,-0.10,"6,187"
107/08/14,"17,944,812","269,616,458",15.0,15.05,15.0,15.05,+0.05,"3,052"
107/08/15,"25,807,734","386,806,591",15.05,15.1,14.95,14.95,-0.10,"4,079"
107/08/16,"29,666,575","441,534,133",14.95,14.95,14.8,14.9,-0.05,"4,644"
107/08/17,"21,720,171","326,487,365",15.0,15.05,14.95,15.0,+0.10,"4,882"
107/08/20,"43,618,922","660,011,800",15.05,15.2,15.0,15.1,+0.10,"7,034"
107/08/21,"68,285,075","1,044,860,403",15.2,15.35,15.15,15.35,+0.25,"9,745"
107/08/22,"82,307,165","1,195,102,201",14.45,14.6,14.4,14.55,X0.00,"18,143"
107/08/23,"47,298,638","680,971,512",14.55,14.6,14.3,14.35,-0.20,"10,721"
107/08/24,"40,724,024","579,895,302",14.35,14.35,14.15,14.25,-0.10,"9,345"
107/08/27,"10,306,977","148,195,197",14.35,14.45,14.3,14.4,+0.15,"2,741"
107/08/28,"13,448,641","194,422,355",14.45,14.5,14.4,14.45,+0.05,"2,979"
107/08/29,"14,354,784","207,171,613",14.45,14.5,14.35,14.5,+0.05,"3,848"
107/08/30,"13,124,588","188,899,411",14.5,14.5,14.35,14.35,-0.15,"3,271"
107/08/31,"19,658,083","283,969,079",14.4,14.5,14.35,14.45,+0.10,"2,643"
107/09/03,"8,809,832","127,127,310",14.45,14.5,14.4,14.45, 0.00,"2,323"
107/09/04,"10,512,733","151,418,077",14.45,14.45,14.35,14.4,-0.05,"2,334"
107/09/05,"16,979,764","243,437,461",14.4,14.45,14.3,14.3,-0.10,"4,501"
107/09/06,"13,508,651","192,947,282",14.25,14.4,14.2,14.25,-0.05,"3,343"
107/09/07,"29,638,977","420,678,482",14.25,14.3,14.1,14.15,-0.10,"6,408"
107/09/10,"22,023,260","310,245,179",14.2,14.25,14.0,14.1,-0.05,"5,524"
107/09/11,"21,385,167","299,933,838",14.1,14.1,13.95,14.1, 0.00,"4,653"
107/09/12,"10,436,040","147,709,163",14.1,14.25,14.1,14.15,+0.05,"2,768"
107/09/13,"8,108,684","116,073,480",14.2,14.35,14.2,14.35,+0.20,"2,338"
107/09/14,"13,753,603","198,294,714",14.4,14.45,14.35,14.35, 0.00,"4,589"
107/09/17,"6,834,181","98,213,935",14.4,14.4,14.35,14.4,+0.05,"2,394"
107/09/18,"10,402,553","149,848,128",14.4,14.45,14.3,14.45,+0.05,"2,906"
107/09/19,"16,031,246","232,415,525",14.5,14.55,14.4,14.55,+0.10,"4,487"
107/09/20,"19,079,224","278,086,330",14.6,14.6,14.5,14.6,+0.05,"5,059"
107/09/21,"32,321,438","473,432,142",14.6,14.7,14.55,14.7,+0.10,"6,793"
107/09/25,"13,571,753","199,377,314",14.75,14.75,14.65,14.7, 0.00,"3,247"
107/09/26,"8,992,995","131,654,144",14.7,14.7,14.6,14.65,-0.05,"2,064"
107/09/27,"21,783,297","319,544,230",14.65,14.75,14.55,14.75,+0.10,"4,546"
107/09/28,"14,772,611","217,616,197",14.75,14.75,14.65,14.75, 0.00,"3,310"
107/10/01,"13,284,942","197,022,371",14.75,14.9,14.75,14.85,+0.10,"4,036"
107/10/02,"15,349,712","226,676,256",14.85,14.85,14.7,14.75,-0.10,"4,923"
107/10/03,"6,242,019","91,712,742",14.7,14.75,14.65,14.7,-0.05,"1,747"
107/10/04,"17,293,978","251,848,871",14.65,14.7,14.5,14.6,-0.10,"5,141"
107/10/05,"21,804,492","315,685,036",14.5,14.6,14.4,14.45,-0.15,"5,141"
107/10/08,"11,794,240","170,146,362",14.4,14.5,14.4,14.4,-0.05,"3,343"
