date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"5,000","127,950",25.65,25.65,25.50,25.50,-0.05,3
107/07/03,"3,000","75,750",25.40,25.40,25.05,25.30,-0.20,3
107/07/04,"18,053","454,232",25.35,25.35,25.05,25.15,-0.15,14
107/07/05,"13,010","329,202",25.35,25.35,25.15,25.25,+0.10,6
107/07/06,"14,000","353,950",25.25,25.35,25.05,25.10,-0.15,8
107/07/09,"45,000","1,127,300",25.20,25.20,24.90,25.10, 0.00,14
107/07/10,"46,000","1,155,050",25.20,25.20,24.85,25.15,+0.05,15
107/07/11,"26,700","671,350",25.15,25.15,25.10,25.10,-0.05,13
107/07/12,"39,005","978,825",25.20,25.20,24.85,25.20,+0.10,17
107/07/13,"9,239","233,034",25.30,25.30,24.95,25.30,+0.10,7
107/07/16,"18,001","455,675",25.45,25.50,25.10,25.30, 0.00,14
107/07/17,"25,100","633,484",25.45,25.45,25.00,25.10,-0.20,17
107/07/18,"16,007","405,227",25.40,25.40,25.30,25.35,+0.25,12
107/07/19,"9,855","247,181",25.10,25.30,25.00,25.15,-0.20,16
107/07/20,"5,005","125,826",25.15,25.15,25.10,25.10,-0.05,6
107/07/23,"8,102","202,985",25.10,25.15,24.95,25.10, 0.00,8
107/07/24,"6,000","151,700",25.30,25.30,25.25,25.30,+0.20,4
107/07/25,"14,000","352,300",25.10,25.25,25.10,25.25,-0.05,5
107/07/26,"14,533","365,957",25.05,25.25,25.00,25.25, 0.00,11
107/07/27,"26,001","655,625",25.25,25.25,25.10,25.10,-0.15,13
107/07/30,"9,646","241,612",25.20,25.20,24.90,25.10, 0.00,14
107/07/31,"10,074","253,028",25.15,25.15,25.00,25.10, 0.00,8
107/08/01,"29,052","729,707",25.00,25.20,25.00,25.15,+0.05,16
107/08/02,"41,000","1,029,250",25.15,25.15,25.05,25.15, 0.00,24
107/08/03,"54,266","1,367,289",25.25,25.25,25.15,25.15, 0.00,25
107/08/06,"32,217","812,339",25.15,25.30,25.05,25.15, 0.00,19
107/08/07,"37,000","928,800",25.15,25.15,25.05,25.15, 0.00,13
107/08/08,"26,000","652,800",25.10,25.15,25.10,25.10,-0.05,8
107/08/09,"6,000","150,600",25.10,25.10,25.10,25.10, 0.00,3
107/08/10,"18,000","449,950",25.00,25.00,24.95,24.95,-0.15,8
107/08/13,"36,001","899,475",25.00,25.10,24.80,25.05,+0.10,21
107/08/14,"11,000","275,200",25.00,25.05,25.00,25.00,-0.05,7
107/08/15,"4,668","116,465",25.00,25.05,25.00,25.05,+0.05,8
107/08/16,"2,000","50,100",25.05,25.05,25.05,25.05, 0.00,1
107/08/17,"1,202","29,998",25.05,25.05,25.05,25.05, 0.00,5
107/08/20,"10,001","251,275",25.15,25.15,25.10,25.10,+0.05,9
107/08/21,"2,117","53,548",25.30,25.30,25.30,25.30,+0.20,3
107/08/22,"17,000","427,000",25.00,25.25,25.00,25.15,-0.15,9
107/08/23,577,"14,482",--,--,--,--, 0.00,2
107/08/24,"4,000","100,350",25.10,25.15,25.00,25.15,X0.00,4
107/08/27,"2,000","50,400",25.20,25.20,25.20,25.20,+0.05,1
107/08/28,"6,000","150,900",25.00,25.20,25.00,25.20, 0.00,5
107/08/29,"6,426","161,584",25.00,25.20,25.00,25.20, 0.00,10
107/08/30,"10,205","255,586",25.10,25.10,25.00,25.05,-0.15,14
107/08/31,"9,000","223,750",24.80,24.95,24.75,24.95,X0.00,8
107/09/03,"16,003","400,075",25.00,25.00,25.00,25.00,+0.05,8
107/09/04,"8,000","201,200",25.15,25.15,25.15,25.15,+0.15,2
107/09/05,"57,174","1,425,866",24.95,25.00,24.60,24.80,-0.35,21
107/09/06,"39,196","972,350",24.85,24.85,24.70,24.85,+0.05,16
107/09/07,"36,038","895,493",24.90,24.90,24.35,24.35,-0.50,20
107/09/10,"39,006","953,097",24.25,24.50,24.25,24.40,+0.05,16
107/09/11,"10,000","244,500",24.45,24.45,24.45,24.45,+0.05,6
107/09/12,"26,000","635,400",24.50,24.50,24.30,24.30,-0.15,8
107/09/13,"25,002","609,602",24.40,24.45,24.20,24.45,+0.15,16
107/09/14,"9,000","220,500",24.50,24.50,24.50,24.50,+0.05,3
107/09/17,"6,002","147,048",24.50,24.50,24.50,24.50, 0.00,5
107/09/18,"30,200","739,850",24.50,24.50,24.45,24.45,-0.05,8
107/09/19,"21,160","519,002",24.50,24.65,24.40,24.40,-0.05,17
107/09/20,"9,150","223,489",24.50,24.50,24.35,24.35,-0.05,9
107/09/21,"2,064","50,437",24.40,24.45,24.40,24.45,+0.10,3
107/09/25,"2,000","48,900",24.45,24.45,24.45,24.45, 0.00,1
107/09/26,"7,100","172,950",24.45,24.45,24.30,24.45, 0.00,7
107/09/27,"17,000","415,650",24.50,24.50,24.35,24.45, 0.00,9
107/09/28,"50,577","1,238,079",24.50,24.70,24.35,24.60,+0.15,23
107/10/01,"29,000","715,000",24.70,24.70,24.50,24.65,+0.05,11
107/10/02,"62,450","1,546,736",24.80,24.90,24.70,24.90,+0.25,23
107/10/03,"59,100","1,470,764",24.80,25.00,24.75,25.00,+0.10,20
107/10/04,"40,000","998,650",25.00,25.05,24.80,24.80,-0.20,16
107/10/05,"9,000","225,000",25.00,25.00,25.00,25.00,+0.20,4
107/10/08,"74,001","1,849,827",25.00,25.00,24.90,25.00, 0.00,18
107/10/09,"34,001","850,077",25.00,25.05,24.95,25.00, 0.00,12
107/10/11,"52,001","1,297,827",24.90,25.20,24.15,24.75,-0.25,16
107/10/12,"31,113","764,107",24.20,24.80,24.20,24.40,-0.35,20
107/10/15,"17,000","414,150",24.50,24.50,24.15,24.15,-0.25,11
107/10/16,"68,001","1,652,674",24.15,24.50,24.05,24.45,+0.30,9
107/10/17,"4,000","98,100",24.60,24.60,24.50,24.50,+0.05,3
107/10/18,"15,001","363,674",24.45,24.50,24.05,24.10,-0.40,15
107/10/19,"7,000","169,800",24.10,24.35,24.10,24.30,+0.20,7
107/10/22,"2,004","48,898",24.50,24.50,24.30,24.30, 0.00,3
107/10/23,"3,267","79,340",24.20,24.40,24.20,24.40,+0.10,6
107/10/24,"8,000","195,350",24.40,24.50,24.25,24.45,+0.05,7
107/10/25,"10,217","249,282",24.40,24.45,24.35,24.35,-0.10,11
107/10/26,"15,000","362,700",24.50,24.50,23.85,24.35, 0.00,12
107/10/29,"8,000","193,200",24.00,24.30,24.00,24.30,-0.05,8
107/10/30,"13,000","313,000",24.05,24.20,23.90,24.20,-0.10,12
107/10/31,"15,000","367,800",24.60,24.60,24.20,24.20, 0.00,5
107/11/01,"12,000","294,300",24.50,24.60,24.50,24.60,+0.40,4
107/11/02,"15,000","366,200",24.70,24.70,24.15,24.60, 0.00,10
107/11/05,"34,000","831,550",24.50,24.55,24.20,24.25,-0.35,12
107/11/06,"8,000","196,000",24.50,24.50,24.50,24.50,+0.25,2
