date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"163,697","2,072,814",12.7,12.8,12.5,12.6,-0.15,108
107/07/03,"411,690","5,070,598",12.6,12.7,12.1,12.15,-0.45,212
107/07/04,"289,122","3,591,018",12.15,12.6,12.15,12.4,+0.25,161
107/07/05,"157,161","1,947,011",12.4,12.6,12.25,12.45,+0.05,94
107/07/06,"155,800","1,919,318",12.2,12.45,12.2,12.4,-0.05,100
107/07/09,"147,488","1,831,299",12.45,12.6,12.3,12.4, 0.00,115
107/07/10,"338,061","4,219,803",12.45,12.65,12.4,12.4, 0.00,152
107/07/11,"281,556","3,428,132",12.0,12.35,12.0,12.2,-0.20,140
107/07/12,"388,549","4,726,239",12.0,12.35,11.95,12.15,X0.00,245
107/07/13,"140,392","1,712,370",12.1,12.25,12.05,12.2,+0.05,91
107/07/16,"136,101","1,662,436",12.35,12.35,12.15,12.15,-0.05,93
107/07/17,"78,427","950,443",12.2,12.2,12.05,12.05,-0.10,57
107/07/18,"107,140","1,295,844",12.1,12.2,12.05,12.2,+0.15,69
107/07/19,"43,232","524,730",12.2,12.2,12.1,12.2, 0.00,43
107/07/20,"191,321","2,327,883",12.2,12.4,12.05,12.1,-0.10,102
107/07/23,"136,628","1,658,347",12.1,12.25,12.1,12.15,+0.05,87
107/07/24,"231,799","2,836,117",12.3,12.3,12.15,12.2,+0.05,110
107/07/25,"315,414","3,902,692",12.2,12.45,12.2,12.35,+0.15,153
107/07/26,"226,793","2,832,537",12.35,12.6,12.35,12.6,+0.25,117
107/07/27,"199,664","2,492,032",12.6,12.6,12.4,12.5,-0.10,131
107/07/30,"118,160","1,468,541",12.55,12.6,12.25,12.45,-0.05,75
107/07/31,"49,797","615,780",12.35,12.45,12.3,12.45, 0.00,42
107/08/01,"213,475","2,615,866",12.5,12.5,12.2,12.25,-0.20,134
107/08/02,"564,899","6,823,888",12.2,12.25,11.95,12.0,-0.25,257
107/08/03,"319,708","3,831,923",12.05,12.1,11.9,11.95,-0.05,170
