date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"308,670","4,603,494",15.0,15.05,14.85,14.95,-0.05,124
107/07/03,"396,324","5,897,352",14.95,15.0,14.8,14.85,-0.10,138
107/07/04,"148,610","2,207,573",14.85,14.9,14.85,14.85, 0.00,78
107/07/05,"490,532","7,263,963",14.9,14.9,14.75,14.75,-0.10,115
107/07/06,"708,420","10,439,417",14.75,14.8,14.7,14.75, 0.00,201
107/07/09,"264,448","3,904,728",14.85,14.85,14.7,14.8,+0.05,107
107/07/10,"166,607","2,468,350",14.85,14.9,14.8,14.8, 0.00,92
107/07/11,"149,445","2,208,032",14.75,14.85,14.75,14.8, 0.00,68
107/07/12,"250,880","3,715,717",14.8,14.9,14.75,14.8, 0.00,87
107/07/13,"228,362","3,395,050",14.8,14.95,14.8,14.85,+0.05,89
107/07/16,"270,114","4,011,428",14.8,14.9,14.8,14.85, 0.00,90
107/07/17,"449,206","6,662,016",14.85,14.9,14.8,14.8,-0.05,121
107/07/18,"350,519","5,210,574",14.85,14.9,14.8,14.9,+0.10,155
107/07/19,"263,066","3,913,020",14.9,14.95,14.85,14.9, 0.00,91
107/07/20,"378,101","5,644,648",14.9,14.95,14.9,14.95,+0.05,110
107/07/23,"665,468","10,024,020",14.95,15.25,14.95,15.1,+0.15,201
107/07/24,"705,516","10,702,184",15.1,15.25,15.1,15.15,+0.05,184
107/07/25,"1,787,831","27,347,166",15.15,15.4,15.15,15.35,+0.20,350
107/07/26,"958,258","14,737,239",15.35,15.45,15.3,15.4,+0.05,299
107/07/27,"634,760","9,775,558",15.4,15.45,15.35,15.45,+0.05,191
107/07/30,"464,840","7,163,086",15.45,15.45,15.35,15.45, 0.00,188
107/07/31,"606,400","9,386,451",15.35,15.55,15.35,15.45, 0.00,206
107/08/01,"1,682,292","26,386,948",15.5,15.9,15.45,15.9,+0.45,534
107/08/02,"1,799,828","28,476,902",15.85,15.95,15.75,15.75,-0.15,654
107/08/03,"1,086,941","17,205,217",15.9,15.95,15.75,15.75, 0.00,364
107/08/06,"822,183","13,087,428",15.8,16.05,15.8,15.85,+0.10,367
107/08/07,"516,624","8,175,270",15.85,15.9,15.75,15.8,-0.05,190
107/08/08,"623,740","9,838,463",15.9,15.9,15.7,15.75,-0.05,216
107/08/09,"359,658","5,643,108",15.7,15.75,15.65,15.7,-0.05,130
107/08/10,"801,777","12,494,397",15.65,15.7,15.5,15.5,-0.20,249
107/08/13,"976,833","15,035,840",15.5,15.5,15.3,15.35,-0.15,275
107/08/14,"721,250","11,050,902",15.3,15.4,15.25,15.35, 0.00,239
107/08/15,"424,708","6,495,377",15.3,15.35,15.25,15.3,-0.05,163
107/08/16,"296,934","4,536,940",15.3,15.3,15.25,15.25,-0.05,149
107/08/17,"285,457","4,372,910",15.25,15.4,15.25,15.35,+0.10,140
107/08/20,"395,635","6,066,893",15.4,15.4,15.3,15.3,-0.05,165
107/08/21,"279,319","4,294,193",15.3,15.45,15.3,15.4,+0.10,123
107/08/22,"253,093","3,913,271",15.4,15.55,15.4,15.45,+0.05,99
107/08/23,"343,076","5,298,964",15.45,15.5,15.4,15.5,+0.05,117
107/08/24,"347,307","5,354,694",15.5,15.5,15.35,15.35,-0.15,121
107/08/27,"195,180","2,999,995",15.4,15.45,15.35,15.35, 0.00,113
107/08/28,"335,763","5,164,467",15.4,15.45,15.35,15.4,+0.05,120
107/08/29,"320,847","4,926,901",15.4,15.4,15.3,15.35,-0.05,103
107/08/30,"385,773","5,917,770",15.35,15.4,15.3,15.35, 0.00,170
107/08/31,"653,512","10,063,632",15.3,15.5,15.3,15.5,+0.15,221
107/09/03,"1,843,596","28,841,382",15.5,15.8,15.5,15.6,+0.10,440
107/09/04,"276,888","4,313,758",15.6,15.65,15.55,15.55,-0.05,137
107/09/05,"240,625","3,731,022",15.55,15.55,15.45,15.5,-0.05,98
107/09/06,"406,139","6,300,086",15.55,15.55,15.45,15.45,-0.05,157
107/09/07,"431,055","6,626,581",15.45,15.5,15.25,15.35,-0.10,157
107/09/10,"824,923","12,541,735",15.35,15.35,15.1,15.15,-0.20,280
107/09/11,"213,177","3,235,857",15.15,15.25,15.15,15.15, 0.00,138
107/09/12,"413,238","6,327,137",15.15,15.4,15.15,15.3,+0.15,215
107/09/13,"341,536","5,225,192",15.25,15.4,15.2,15.35,+0.05,187
107/09/14,"459,166","7,075,341",15.4,15.45,15.35,15.4,+0.05,163
107/09/17,"675,930","10,395,019",15.4,15.45,15.3,15.3,-0.10,128
107/09/18,"243,954","3,742,838",15.3,15.4,15.25,15.3, 0.00,170
107/09/19,"539,772","8,292,994",15.3,15.5,15.25,15.35,+0.05,427
107/09/20,"306,917","4,707,031",15.4,15.4,15.3,15.3,-0.05,143
107/09/21,"754,054","11,590,316",15.3,15.45,15.3,15.35,+0.05,294
107/09/25,"427,947","6,580,629",15.4,15.4,15.3,15.35, 0.00,180
107/09/26,"515,092","7,934,158",15.4,15.45,15.4,15.4,+0.05,121
107/09/27,"6,419,613","101,685,413",15.6,16.05,15.55,15.8,+0.40,"2,207"
107/09/28,"1,363,508","21,357,292",15.8,15.85,15.55,15.55,-0.25,556
107/10/01,"1,019,756","15,836,225",15.6,15.65,15.4,15.5,-0.05,366
107/10/02,"440,000","6,827,645",15.6,15.6,15.45,15.55,+0.05,189
107/10/03,"527,504","8,210,428",15.55,15.65,15.45,15.55, 0.00,185
107/10/04,"478,384","7,435,329",15.55,15.6,15.5,15.5,-0.05,198
107/10/05,"2,141,381","32,984,393",15.45,15.55,15.25,15.45,-0.05,417
107/10/08,"1,981,949","31,009,499",15.4,15.95,15.3,15.65,+0.20,490
107/10/09,"825,708","12,905,432",15.9,15.9,15.5,15.55,-0.10,367
107/10/11,"2,232,215","33,223,676",15.15,15.2,14.6,14.8,-0.75,737
107/10/12,"942,338","13,878,726",14.6,14.85,14.6,14.8, 0.00,520
