date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,0,0,--,--,--,--, 0.00,0
107/07/03,"4,000","108,300",27.10,27.10,27.05,27.05,X0.00,3
107/07/04,"4,000","105,800",26.50,26.50,26.40,26.40,-0.65,4
107/07/05,"41,000","1,043,700",25.40,26.00,25.20,25.35,-1.05,31
107/07/06,"10,000","262,900",26.75,26.75,25.95,26.25,+0.90,9
107/07/09,"24,000","631,100",26.25,26.45,26.20,26.45,+0.20,17
107/07/10,"2,000","52,700",26.35,26.35,26.35,26.35,-0.10,2
107/07/11,"6,000","153,800",25.55,26.10,25.50,26.10,-0.25,6
107/07/12,"11,000","286,150",26.05,26.05,25.90,25.90,-0.20,7
107/07/13,"6,000","155,500",25.90,25.95,25.90,25.95,+0.05,6
107/07/16,"4,000","103,800",25.95,25.95,25.95,25.95, 0.00,3
107/07/17,"3,000","77,800",25.90,25.95,25.90,25.95, 0.00,2
107/07/18,"24,000","608,450",25.90,25.95,25.00,25.15,-0.80,19
107/07/19,"8,000","202,000",25.00,25.70,25.00,25.65,+0.50,4
107/07/20,"2,000","50,650",25.05,25.60,25.05,25.60,-0.05,2
107/07/23,"50,000","1,251,550",25.05,25.20,24.85,25.00,-0.60,26
107/07/24,"18,000","449,300",25.00,25.15,24.80,25.10,+0.10,10
107/07/25,"4,000","100,000",25.15,25.15,24.85,24.85,-0.25,2
107/07/26,"5,000","124,950",25.15,25.15,24.75,24.90,+0.05,5
107/07/27,"82,000","1,997,100",24.55,24.85,24.05,24.30,-0.60,36
107/07/30,"1,000","25,600",25.60,25.60,25.60,25.60,+1.30,1
107/07/31,"76,000","1,862,250",25.60,25.60,24.20,25.00,-0.60,47
107/08/01,"14,000","347,800",24.45,24.95,24.45,24.90,-0.10,10
107/08/02,"10,000","247,600",24.65,24.90,24.65,24.85,-0.05,9
107/08/03,"6,000","149,250",24.85,24.90,24.85,24.90,+0.05,5
107/08/06,"12,000","297,400",24.90,24.90,24.55,24.85,-0.05,9
107/08/07,"17,000","422,550",24.85,25.05,24.80,24.90,+0.05,16
107/08/08,"9,000","223,200",24.90,24.95,24.70,24.95,+0.05,6
107/08/09,"14,000","346,700",24.70,25.05,24.65,25.05,+0.10,10
107/08/10,"28,000","698,800",24.80,25.05,24.80,25.05, 0.00,15
107/08/13,"52,001","1,256,675",24.60,24.95,23.90,24.95,-0.10,15
107/08/14,"1,060","26,448",24.90,24.90,24.90,24.90,-0.05,6
107/08/15,"13,000","318,700",24.15,24.85,24.15,24.35,-0.55,10
107/08/16,"9,000","220,500",24.75,24.75,24.40,24.65,X0.00,7
107/08/17,"3,000","74,000",24.65,24.70,24.65,24.70,+0.05,3
107/08/20,"8,000","195,950",24.20,24.70,24.20,24.35,-0.35,7
107/08/21,"14,000","345,500",24.50,24.80,24.50,24.70,+0.35,6
107/08/22,"4,000","98,400",24.65,24.70,24.35,24.35,-0.35,4
107/08/23,"10,000","246,950",24.65,24.70,24.65,24.70,+0.35,6
107/08/24,"1,000","24,750",24.75,24.75,24.75,24.75,+0.05,1
107/08/27,"5,000","123,950",24.80,24.80,24.75,24.80,+0.05,5
107/08/28,"7,000","174,500",24.80,25.00,24.80,25.00,+0.20,6
107/08/29,"54,000","1,369,100",25.00,25.55,25.00,25.55,+0.55,13
107/08/30,"10,000","253,500",24.85,25.50,24.85,25.50,-0.05,7
107/08/31,"8,000","203,900",25.50,25.50,25.45,25.50, 0.00,8
107/09/03,"12,014","306,839",25.15,25.70,25.15,25.65,+0.15,12
107/09/04,"2,000","51,400",25.70,25.70,25.70,25.70,+0.05,2
107/09/05,"13,000","332,250",25.25,25.75,25.25,25.75,+0.05,13
107/09/06,"14,000","361,600",25.50,26.00,25.50,26.00,+0.25,14
107/09/07,"39,000","1,014,150",26.00,26.10,25.65,26.10,+0.10,31
107/09/10,"27,000","698,150",25.65,26.15,25.65,26.15,+0.05,16
107/09/11,"22,000","577,450",26.10,26.35,26.10,26.35,+0.20,19
107/09/12,"24,000","637,750",26.45,26.70,26.40,26.70,+0.35,21
107/09/13,"45,000","1,211,350",26.75,27.10,26.75,27.10,+0.40,30
107/09/14,"14,000","381,450",27.20,27.30,27.20,27.30,+0.20,12
107/09/17,"21,000","574,900",27.30,27.50,27.30,27.50,+0.20,21
107/09/18,"29,115","783,248",26.50,27.35,26.50,27.35,-0.15,24
107/09/19,"24,000","656,700",27.35,27.50,26.90,26.90,-0.45,24
107/09/20,"9,020","245,902",27.35,27.40,26.85,27.40,+0.50,10
107/09/21,"3,000","82,200",27.35,27.45,27.35,27.45,+0.05,3
107/09/25,"5,000","137,250",27.45,27.45,27.45,27.45, 0.00,5
107/09/26,"18,000","493,400",27.00,27.60,27.00,27.60,+0.15,16
107/09/27,"15,000","415,050",27.60,27.70,27.60,27.70,+0.10,13
107/09/28,"21,000","580,800",27.75,27.75,27.45,27.70, 0.00,17
107/10/01,"21,000","583,550",27.70,28.00,27.70,28.00,+0.30,18
107/10/02,"23,260","660,780",28.25,28.60,28.20,28.60,+0.60,23
107/10/03,"38,005","1,113,853",28.85,29.60,28.70,29.60,+1.00,37
107/10/04,"37,000","1,085,700",29.00,29.55,28.85,29.55,-0.05,36
107/10/05,"35,000","1,030,500",29.55,29.60,28.95,29.55, 0.00,32
107/10/08,"41,000","1,213,150",29.50,29.70,29.30,29.70,+0.15,34
107/10/09,"32,000","944,450",29.70,29.70,29.20,29.60,-0.10,30
107/10/11,"105,169","2,997,584",27.05,28.95,26.75,28.95,-0.65,85
107/10/12,"81,350","2,349,519",27.10,29.50,27.10,29.45,+0.50,67
107/10/15,"24,000","712,950",29.90,29.90,29.35,29.75,+0.30,21
107/10/16,"27,000","801,450",29.50,29.85,29.20,29.85,+0.10,21
107/10/17,"47,000","1,407,000",29.85,30.10,29.85,30.10,+0.25,35
107/10/18,"17,000","510,800",30.25,30.25,29.70,30.15,+0.05,15
107/10/19,"15,320","457,836",30.00,30.10,29.30,30.10,-0.05,15
107/10/22,"38,000","1,128,100",29.15,30.05,28.75,30.00,-0.10,31
107/10/23,"28,000","836,400",29.35,30.00,29.35,30.00, 0.00,22
107/10/24,"32,000","949,100",29.45,30.00,29.15,30.00, 0.00,27
107/10/25,"96,028","2,742,777",29.05,29.30,27.55,29.30,-0.70,79
107/10/26,"36,000","1,042,350",29.80,29.80,28.00,29.00,-0.30,30
107/10/29,"36,169","1,034,583",28.45,28.85,28.05,28.85,-0.15,35
107/10/30,"45,033","1,289,563",28.55,29.00,28.25,28.95,+0.10,44
107/10/31,"19,000","549,000",28.90,29.30,28.50,29.25,+0.30,17
107/11/01,"18,000","526,400",30.00,30.00,29.00,29.30,+0.05,16
107/11/02,"34,000","993,050",29.35,29.40,28.90,29.05,-0.25,31
107/11/05,"5,000","144,750",28.90,29.05,28.90,29.05, 0.00,4
107/11/06,"7,000","205,100",28.60,29.50,28.60,29.50,+0.45,7
107/11/07,"17,000","498,000",29.70,29.70,28.80,29.50, 0.00,15
107/11/08,"11,000","323,150",29.50,29.65,29.00,29.50, 0.00,11
107/11/09,"12,000","352,000",29.25,29.55,29.00,29.45,-0.05,11
107/11/12,"33,100","937,285",28.90,28.95,27.85,28.95,-0.50,26
107/11/13,"8,000","228,850",28.95,28.95,28.40,28.90,-0.05,7
107/11/14,"25,000","717,350",28.55,28.90,28.40,28.90, 0.00,23
107/11/15,"6,000","171,400",28.45,28.65,28.45,28.65,-0.25,6
107/11/16,"66,000","1,837,750",28.10,28.20,27.50,28.10,-0.55,50
107/11/19,"241,000","6,522,650",28.10,28.10,26.95,27.15,-0.95,80
107/11/20,"15,000","405,750",27.15,27.25,27.00,27.00,-0.15,11
107/11/21,"3,000","81,550",27.10,27.25,27.10,27.25,+0.25,3
107/11/22,"10,000","272,850",27.15,27.40,27.15,27.35,+0.10,8
107/11/23,"10,000","271,950",27.20,27.25,27.10,27.25,-0.10,8
107/11/26,"7,000","192,400",27.10,27.55,27.10,27.55,+0.30,7
107/11/27,"9,000","246,500",27.25,27.50,27.20,27.50,-0.05,5
107/11/28,"17,000","471,600",28.20,28.20,27.40,27.70,+0.20,11
107/11/29,"22,000","607,650",27.70,27.70,27.45,27.45,-0.25,8
107/11/30,"8,000","219,100",27.50,27.55,27.10,27.10,-0.35,8
107/12/03,"14,000","379,050",27.10,27.15,26.95,27.10, 0.00,12
107/12/04,"12,000","324,050",26.95,27.10,26.90,27.10, 0.00,7
107/12/05,"25,000","668,900",27.10,27.10,26.10,27.10, 0.00,21
107/12/06,"40,000","1,057,250",27.15,27.15,26.15,26.50,-0.60,25
107/12/07,"10,000","264,950",26.55,26.60,26.15,26.55,+0.05,9
107/12/10,"10,000","263,900",26.35,26.55,26.30,26.55, 0.00,8
107/12/11,"2,000","53,400",26.70,26.70,26.70,26.70,+0.15,2
107/12/12,"5,010","132,867",26.65,26.65,26.45,26.45,-0.25,6
107/12/13,"38,000","1,010,300",26.65,26.70,26.50,26.70,+0.25,17
107/12/14,"4,000","106,800",26.70,26.70,26.70,26.70, 0.00,3
107/12/17,"10,000","264,850",26.60,26.75,26.15,26.75,+0.05,7
107/12/18,"3,000","80,550",26.75,26.90,26.75,26.90,+0.15,3
107/12/19,"2,000","54,150",27.10,27.10,27.05,27.05,+0.15,2
107/12/20,"3,000","81,500",27.20,27.20,27.15,27.15,+0.10,3
107/12/21,"2,000","54,500",27.25,27.25,27.25,27.25,+0.10,2
107/12/22,"8,000","213,700",26.15,27.15,26.15,27.00,-0.25,5
107/12/24,"26,000","696,250",26.75,27.00,26.70,26.75,-0.25,17
107/12/25,"9,000","240,650",26.75,26.85,26.70,26.85,+0.10,6
107/12/26,"6,000","160,250",26.70,26.75,26.70,26.75,-0.10,4
107/12/27,"2,000","53,650",26.80,26.85,26.80,26.85,+0.10,2
107/12/28,"10,000","267,850",26.80,26.85,26.75,26.80,-0.05,8
108/01/02,"1,000","26,800",26.80,26.80,26.80,26.80, 0.00,1
108/01/03,"6,000","158,100",26.30,26.80,26.25,26.80, 0.00,3
108/01/04,"6,000","158,900",26.40,26.70,26.35,26.70,-0.10,6
108/01/07,"1,000","26,750",26.75,26.75,26.75,26.75,+0.05,1
108/01/08,"10,000","265,000",26.35,26.70,26.35,26.70,-0.05,8
108/01/09,"63,000","1,681,150",26.70,26.75,26.60,26.75,+0.05,22
108/01/10,"15,000","400,150",26.75,26.75,26.55,26.75, 0.00,11
108/01/11,"5,000","132,250",26.25,26.65,26.25,26.65,-0.10,5
108/01/14,"11,000","290,850",26.45,26.60,26.05,26.60,-0.05,8
108/01/15,"21,000","556,950",26.60,26.60,26.25,26.55,-0.05,15
108/01/16,"23,000","611,450",26.55,26.70,26.45,26.60,+0.05,20
108/01/17,"23,000","608,850",26.40,26.65,26.25,26.65,+0.05,10
108/01/18,"14,000","373,050",26.60,26.70,26.60,26.70,+0.05,8
108/01/21,"1,000","26,800",26.80,26.80,26.80,26.80,+0.10,1
108/01/22,"9,000","239,900",26.65,26.70,26.65,26.70,-0.10,5
108/01/23,"13,000","347,150",26.70,26.75,26.70,26.75,+0.05,4
108/01/24,"53,000","1,421,700",26.75,26.85,26.75,26.85,+0.10,12
108/01/25,"6,001","160,427",26.50,26.80,26.50,26.75,-0.10,6
