date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,1,20,20.00,20.00,20.00,20.00,0.05,1
107/07/03,12,232,19.30,19.35,19.30,19.30,-0.7,7
107/07/04,2,38,18.80,19.45,18.80,19.45,0.15,2
107/07/05,3,58,19.45,19.45,19.45,19.45,0.0,3
107/07/06,5,104,19.45,19.55,19.30,19.55,0.1,6
107/07/09,1,20,19.55,19.55,19.55,19.55,0.0,1
107/07/10,2,39,19.70,19.70,19.70,19.70,0.15,1
107/07/11,9,170,19.70,19.80,19.70,19.80,0.1,8
107/07/12,3,59,19.25,19.80,19.25,19.80,0.0,3
107/07/13,1,20,19.95,19.95,19.95,19.95,0.15,1
107/07/16,0,0,--,--,--,--,0.0,0
107/07/17,0,0,--,--,--,--,0.0,0
107/07/18,0,0,--,--,--,--,0.0,0
107/07/19,1,20,19.90,19.90,19.90,19.90,-0.05,1
107/07/20,0,0,--,--,--,--,0.0,0
107/07/23,13,256,19.75,19.75,19.55,19.60,-0.3,6
107/07/24,7,137,19.60,19.60,19.50,19.55,-0.05,4
107/07/25,19,362,19.00,19.50,18.75,19.50,0.55,12
107/07/26,5,95,19.00,19.00,19.00,19.00,-0.5,2
107/07/27,5,102,19.00,19.55,19.00,19.55,0.55,4
107/07/30,6,117,19.60,19.60,19.45,19.45,-0.1,4
107/07/31,2,39,19.40,19.50,19.40,19.50,0.05,2
107/08/01,5,97,19.35,19.50,19.35,19.50,0.0,3
107/08/02,0,0,--,--,--,--,0.0,0
107/08/03,1,19,19.45,19.45,19.45,19.45,0.25,1
107/08/06,1,19,19.45,19.45,19.45,19.45,0.0,1
107/08/07,0,0,--,--,--,--,0.0,0
107/08/08,1,19,19.10,19.10,19.10,19.10,-0.35,1
107/08/09,18,342,18.95,19.00,18.95,18.95,-0.15,8
107/08/10,17,317,18.85,18.95,18.50,18.80,-0.15,10
107/08/13,22,401,18.80,18.80,17.90,18.65,-0.15,14
107/08/14,13,236,18.05,18.20,18.05,18.20,-0.45,10
107/08/15,16,286,18.00,18.10,17.80,17.80,-0.4,9
107/08/16,0,0,--,--,--,--,0.0,0
107/08/17,1,18,17.80,17.80,17.80,17.80,0.0,1
107/08/20,9,164,17.80,18.45,17.80,18.45,0.65,10
107/08/21,0,0,--,--,--,--,0.0,0
107/08/22,0,0,--,--,--,--,0.0,0
107/08/23,1,22,18.50,18.50,18.50,18.50,0.2,2
107/08/24,9,163,18.30,18.40,17.90,18.40,-0.1,8
107/08/27,2,37,18.35,18.35,18.35,18.35,-0.05,2
107/08/28,0,0,--,--,--,--,0.0,0
107/08/29,0,0,--,--,--,--,0.0,0
107/08/30,0,0,--,--,--,--,0.0,0
107/08/31,1,9,--,--,--,--,0.0,2
107/09/03,0,0,--,--,--,--,0.0,0
107/09/04,8,143,17.65,17.80,17.60,17.80,-0.15,9
107/09/05,9,158,17.80,17.80,17.55,17.55,-0.25,7
107/09/06,10,171,17.40,17.40,16.80,17.40,-0.15,7
107/09/07,33,561,17.20,17.20,16.95,17.00,-0.4,22
107/09/10,15,255,17.00,17.25,16.85,16.85,-0.15,9
107/09/11,5,85,16.90,16.90,16.90,16.90,0.05,3
107/09/12,9,153,16.95,17.00,16.90,16.90,0.0,5
107/09/13,9,153,17.00,17.20,17.00,17.10,0.2,4
107/09/14,0,0,--,--,--,--,0.0,0
107/09/17,7,121,17.30,17.40,17.30,17.30,0.2,7
107/09/18,9,165,17.60,17.60,17.50,17.50,0.2,8
107/09/19,0,0,--,--,--,--,0.0,0
107/09/20,2,34,17.05,17.05,17.00,17.00,-0.45,2
107/09/21,9,154,17.00,17.10,17.00,17.00,0.0,7
107/09/25,3,52,17.05,17.75,17.05,17.75,0.75,3
107/09/26,3,54,17.75,18.25,17.75,18.25,0.5,2
107/09/27,14,240,17.15,17.25,17.10,17.10,-1.15,10
107/09/28,3,52,17.05,17.55,17.05,17.55,0.45,3
107/10/01,4,71,17.50,17.90,17.45,17.85,0.3,4
107/10/02,7,122,17.10,17.10,17.05,17.05,-0.8,7
107/10/03,5,86,17.10,17.30,17.10,17.30,0.25,4
107/10/04,2,34,17.25,17.25,17.00,17.00,-0.3,2
107/10/05,3,51,17.05,17.05,17.05,17.05,0.05,2
107/10/08,2,34,17.05,17.05,17.05,17.05,0.0,1
107/10/09,4,68,17.05,17.05,17.05,17.05,0.0,2
107/10/11,22,370,17.00,17.00,16.50,16.95,-0.1,9
107/10/12,5,85,16.90,16.90,16.90,16.90,-0.05,3
107/10/15,10,174,17.20,17.70,17.20,17.70,0.8,6
107/10/16,1,17,16.70,16.70,16.70,16.70,-1.0,1
107/10/17,1,17,16.70,16.70,16.70,16.70,0.0,1
107/10/18,0,0,--,--,--,--,0.0,0
107/10/19,0,0,--,--,--,--,0.0,0
107/10/22,0,0,--,--,--,--,0.0,0
107/10/23,0,0,--,--,--,--,0.0,0
107/10/24,0,0,--,--,--,--,0.0,0
107/10/25,13,216,17.10,17.10,16.50,16.50,-0.2,4
107/10/26,6,99,16.50,16.75,16.50,16.75,0.25,2
107/10/29,0,0,--,--,--,--,0.0,0
107/10/30,5,84,16.70,16.75,16.70,16.75,0.0,5
