date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"558,326","12,835,748",22.95,23.35,22.7,22.7,-0.15,268
107/07/03,"593,200","13,417,719",23.0,23.0,22.35,22.6,-0.10,307
107/07/04,"1,103,914","24,402,558",22.6,22.6,21.85,21.95,-0.65,568
107/07/05,"644,354","14,310,362",22.1,22.5,21.95,21.95, 0.00,400
107/07/06,"1,457,225","32,603,984",22.45,23.0,21.8,22.8,+0.85,737
107/07/09,"742,072","16,781,479",22.8,22.9,22.4,22.6,-0.20,404
107/07/10,"560,193","12,773,808",22.8,23.15,22.5,22.65,+0.05,352
107/07/11,"354,423","8,044,169",22.5,22.9,22.45,22.75,+0.10,220
107/07/12,"573,289","13,153,400",22.75,23.15,22.7,22.85,+0.10,313
107/07/13,"1,308,670","30,403,824",23.15,23.4,22.9,23.25,+0.40,523
107/07/16,"590,809","13,778,307",23.5,23.55,23.15,23.2,-0.05,319
107/07/17,"311,600","7,214,119",23.35,23.35,23.05,23.05,-0.15,208
107/07/18,"1,069,924","24,978,856",23.1,23.7,23.1,23.6,+0.55,468
107/07/19,"1,833,600","43,343,377",23.7,23.95,23.4,23.5,-0.10,882
107/07/20,"765,619","17,787,266",23.45,23.5,23.05,23.1,-0.40,389
107/07/23,"495,633","11,339,711",23.0,23.1,22.75,22.85,-0.25,254
107/07/24,"364,870","8,403,360",22.85,23.1,22.8,23.0,+0.15,200
107/07/25,"318,070","7,379,267",23.3,23.3,23.05,23.1,+0.10,195
107/07/26,"2,053,284","48,864,166",23.1,24.2,23.05,24.1,+1.00,994
107/07/27,"4,519,553","108,895,971",24.1,24.3,23.85,24.15,+0.05,"1,785"
107/07/30,"992,900","23,680,898",24.05,24.05,23.7,23.75,-0.40,511
107/07/31,"989,150","23,671,600",23.8,24.2,23.65,23.85,+0.10,576
107/08/01,"664,647","15,864,562",24.0,24.05,23.75,23.8,-0.05,397
107/08/02,"1,056,407","25,072,129",24.0,24.05,23.45,23.55,-0.25,571
107/08/03,"514,991","12,167,381",23.6,23.75,23.45,23.75,+0.20,301
107/08/06,"8,412,468","206,471,513",25.0,25.3,23.6,23.65,-0.10,"4,296"
107/08/07,"2,539,534","60,679,393",23.85,24.1,23.75,23.75,+0.10,"1,196"
107/08/08,"854,671","20,358,850",23.95,24.0,23.65,23.65,-0.10,483
107/08/09,"996,125","23,320,724",23.65,23.65,23.3,23.35,-0.30,525
107/08/10,"717,391","16,705,067",23.3,23.5,23.15,23.2,-0.15,422
107/08/13,"2,016,276","45,432,364",23.0,23.0,22.2,22.45,-0.75,871
107/08/14,"519,700","11,740,467",22.45,22.75,22.45,22.75,+0.30,307
107/08/15,"700,200","15,822,077",22.9,22.9,22.35,22.75, 0.00,392
107/08/16,"446,588","10,119,755",22.75,22.75,22.5,22.65,-0.10,275
107/08/17,"903,990","20,406,823",22.8,22.8,22.45,22.45,-0.20,431
107/08/20,"1,421,978","31,987,794",22.5,22.65,22.4,22.45, 0.00,627
107/08/21,"1,060,167","22,720,720",21.3,21.55,21.3,21.4,X0.00,548
107/08/22,"627,928","13,305,122",21.45,21.45,21.1,21.1,-0.30,363
107/08/23,"415,243","8,767,449",21.15,21.25,21.0,21.0,-0.10,202
107/08/24,"642,901","13,336,244",21.0,21.0,20.6,20.7,-0.30,350
107/08/27,"478,164","10,006,976",20.7,21.1,20.7,21.05,+0.35,294
107/08/28,"384,100","8,109,020",21.1,21.2,21.05,21.1,+0.05,234
107/08/29,"341,000","7,234,400",21.1,21.4,21.1,21.2,+0.10,193
107/08/30,"293,284","6,197,656",21.25,21.3,21.0,21.05,-0.15,171
107/08/31,"252,231","5,292,523",21.05,21.1,20.85,21.0,-0.05,137
107/09/03,"452,856","9,422,571",21.1,21.1,20.6,20.65,-0.35,291
107/09/04,"190,153","3,941,620",20.7,20.8,20.7,20.75,+0.10,124
107/09/05,"249,200","5,148,567",20.75,20.85,20.5,20.6,-0.15,159
107/09/06,"571,000","11,570,800",20.6,20.6,20.15,20.2,-0.40,313
107/09/07,"870,000","17,405,100",20.2,20.3,19.8,19.8,-0.40,441
107/09/10,"753,042","14,615,080",19.8,19.8,19.2,19.25,-0.55,410
107/09/11,"390,082","7,649,984",19.25,19.85,19.25,19.7,+0.45,228
107/09/12,"336,250","6,546,245",19.7,19.7,19.35,19.45,-0.25,198
107/09/13,"280,392","5,555,990",19.5,20.05,19.5,19.9,+0.45,200
107/09/14,"307,911","6,190,891",20.1,20.2,19.95,20.2,+0.30,185
107/09/17,"182,045","3,656,195",20.2,20.2,20.0,20.05,-0.15,117
107/09/18,"161,193","3,220,817",20.05,20.05,19.9,19.95,-0.10,125
107/09/19,"334,204","6,767,900",20.1,20.35,20.1,20.2,+0.25,206
107/09/20,"247,157","4,965,996",20.15,20.2,20.0,20.1,-0.10,170
107/09/21,"135,082","2,713,602",20.1,20.15,20.05,20.1, 0.00,105
107/09/25,"293,362","5,882,592",20.1,20.2,20.0,20.05,-0.05,149
107/09/26,"264,568","5,313,986",20.1,20.15,20.0,20.05, 0.00,115
107/09/27,"190,000","3,794,650",20.0,20.05,19.9,19.9,-0.15,128
107/09/28,"345,399","6,843,080",19.9,20.0,19.7,19.75,-0.15,230
107/10/01,"198,464","3,946,479",19.75,19.95,19.75,19.85,+0.10,137
107/10/02,"272,394","5,419,035",20.05,20.05,19.8,19.9,+0.05,149
107/10/03,"194,121","3,845,270",19.8,19.9,19.75,19.8,-0.10,105
107/10/04,"159,332","3,153,990",19.8,19.95,19.7,19.8, 0.00,96
107/10/05,"453,040","8,865,885",19.95,19.95,19.3,19.4,-0.40,266
107/10/08,"285,013","5,543,873",19.45,19.6,19.35,19.4, 0.00,165
107/10/09,"458,712","8,834,489",19.65,19.65,19.1,19.2,-0.20,318
107/10/11,"1,260,603","22,747,071",18.45,18.45,17.7,18.1,-1.10,647
107/10/12,"428,202","7,838,890",18.1,18.75,18.1,18.6,+0.50,270
107/10/15,"175,665","3,237,675",18.55,18.55,18.2,18.5,-0.10,127
107/10/16,"242,658","4,533,561",18.5,18.9,18.5,18.65,+0.15,177
107/10/17,"391,102","7,399,827",19.0,19.1,18.8,18.8,+0.15,251
107/10/18,"199,000","3,749,900",18.9,19.0,18.75,18.75,-0.05,118
107/10/19,"288,203","5,322,525",18.65,18.65,18.3,18.65,-0.10,155
107/10/22,"152,004","2,848,723",18.65,18.9,18.5,18.9,+0.25,118
107/10/23,"222,103","4,135,074",18.7,18.9,18.45,18.5,-0.40,144
107/10/24,"224,711","4,142,409",18.5,18.65,18.3,18.5, 0.00,136
107/10/25,"523,192","9,394,742",18.05,18.1,17.8,18.0,-0.50,299
107/10/26,"335,868","6,051,807",18.15,18.3,17.8,17.85,-0.15,206
107/10/29,"279,140","5,024,947",18.05,18.15,17.85,17.85, 0.00,172
107/10/30,"119,845","2,146,526",17.85,18.05,17.85,18.0,+0.15,106
107/10/31,"1,506,790","28,443,747",18.4,19.25,18.4,18.65,+0.65,904
107/11/01,"472,250","8,869,237",18.65,18.9,18.6,18.85,+0.20,273
107/11/02,"1,768,160","34,560,282",19.0,20.35,18.8,20.35,+1.50,790
107/11/05,"5,327,820","107,654,458",20.1,20.45,19.9,20.25,-0.10,"1,898"
107/11/06,"889,244","17,905,140",20.1,20.4,20.0,20.05,-0.20,553
107/11/07,"578,132","11,615,533",20.1,20.2,20.0,20.2,+0.15,345
107/11/08,"508,823","10,240,060",20.3,20.35,20.0,20.0,-0.20,330
107/11/09,"441,000","8,731,350",20.0,20.05,19.65,19.9,-0.10,262
107/11/12,"259,122","5,164,244",19.8,20.05,19.8,19.95,+0.05,164
107/11/13,"223,592","4,399,168",19.5,19.8,19.5,19.8,-0.15,171
107/11/14,"281,558","5,559,718",19.8,19.85,19.7,19.7,-0.10,190
107/11/15,"223,010","4,379,398",19.55,19.8,19.55,19.65,-0.05,145
107/11/16,"314,704","6,212,896",19.9,19.9,19.65,19.7,+0.05,188
107/11/19,"406,338","8,105,760",19.9,20.05,19.8,20.05,+0.35,218
107/11/20,"392,669","7,880,058",20.1,20.25,19.95,20.05, 0.00,258
107/11/21,"313,261","6,221,331",19.8,20.0,19.75,19.85,-0.20,132
107/11/22,"249,001","4,951,221",19.9,20.05,19.75,19.75,-0.10,167
