date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"1,412,449","88,828,603",63.0,64.0,62.2,62.6, 0.00,"1,004"
107/07/03,"3,093,870","193,167,692",63.0,65.0,60.0,60.5,-2.10,"2,031"
107/07/04,"967,639","58,756,679",60.9,61.9,60.2,60.7,+0.20,691
107/07/05,"2,751,244","160,859,127",61.0,61.0,56.9,57.0,-3.70,"1,697"
107/07/06,"2,056,230","117,780,700",58.0,58.8,56.0,58.1,+1.10,"1,308"
107/07/09,"1,521,823","90,355,507",59.5,60.6,58.4,58.8,+0.70,"1,038"
107/07/10,"852,075","50,328,137",59.5,59.7,58.6,59.2,+0.40,642
107/07/11,"721,250","42,251,225",58.8,59.1,57.5,58.5,-0.70,513
107/07/12,"968,057","57,422,865",59.4,60.2,58.5,59.4,+0.90,722
107/07/13,"1,558,729","93,735,702",60.0,60.7,59.6,60.4,+1.00,977
107/07/16,"737,258","44,139,280",60.1,60.4,59.4,59.8,-0.60,511
107/07/17,"721,720","43,190,508",60.6,60.6,59.4,59.6,-0.20,520
107/07/18,"1,106,641","65,040,567",59.8,60.1,58.0,58.1,-1.50,770
107/07/19,"555,303","32,654,523",58.3,59.5,58.3,58.5,+0.40,442
107/07/20,"826,500","48,214,300",59.0,59.1,57.5,58.6,+0.10,604
107/07/23,"888,413","52,331,001",59.0,60.0,58.0,58.4,-0.20,659
107/07/24,"643,252","37,188,916",58.2,58.4,57.5,58.0,-0.40,487
107/07/25,"770,183","45,314,197",58.6,59.2,58.1,59.0,+1.00,612
107/07/26,"1,365,453","81,423,670",59.5,60.6,59.1,59.1,+0.10,"1,039"
107/07/27,"1,072,160","63,047,420",59.1,59.5,58.3,59.0,-0.10,629
107/07/30,"1,066,100","62,198,810",59.5,59.5,57.6,57.9,-1.10,736
107/07/31,"1,378,605","79,450,587",57.8,58.3,57.1,57.2,-0.70,874
107/08/01,"1,137,138","66,234,627",57.6,58.8,57.6,58.5,+1.30,764
107/08/02,"2,354,154","137,576,498",59.3,59.4,57.3,57.3,-1.20,"1,590"
107/08/03,"1,242,682","71,056,714",57.5,57.9,56.5,57.2,-0.10,883
107/08/06,"707,244","40,468,428",57.4,57.5,57.0,57.1,-0.10,460
107/08/07,"1,158,158","65,411,774",57.4,57.4,56.0,56.0,-1.10,845
107/08/08,"1,201,732","68,132,429",56.8,57.3,56.1,56.2,+0.20,896
107/08/09,"1,458,304","80,619,924",56.1,56.2,54.8,55.5,-0.70,"1,025"
107/08/10,"913,505","50,881,780",55.4,56.4,55.2,55.3,-0.20,662
107/08/13,"2,192,731","117,140,053",55.3,55.3,51.9,52.9,-2.40,"1,484"
107/08/14,"929,305","49,776,821",53.2,54.9,52.6,54.5,+1.60,724
107/08/15,"1,175,853","62,641,674",54.6,54.6,52.8,52.9,-1.60,729
107/08/16,"714,200","37,793,117",52.8,53.5,52.0,53.3,+0.40,544
107/08/17,"1,153,180","60,957,154",53.7,53.7,52.5,52.6,-0.70,806
107/08/20,"1,580,525","81,184,684",52.5,52.7,50.8,51.0,-1.60,"1,140"
107/08/21,"1,258,800","64,021,300",51.0,51.5,50.3,51.0, 0.00,937
