date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"600,795","9,580,767",16.2,16.25,15.75,15.75,-0.25,344
107/07/03,"904,019","14,188,645",15.85,16.1,15.4,15.4,-0.35,468
107/07/04,"494,000","7,590,550",15.45,15.6,15.3,15.35,-0.05,254
107/07/05,"436,000","6,665,550",15.4,15.5,15.2,15.2,-0.15,221
107/07/06,"1,750,220","26,789,176",15.3,15.5,15.0,15.35,+0.15,509
107/07/09,"980,000","14,709,100",15.2,15.2,14.9,14.95,-0.40,468
107/07/10,"396,270","5,953,727",15.05,15.1,14.95,15.1,+0.15,153
107/07/11,"162,350","2,449,017",15.2,15.2,15.05,15.05,-0.05,96
107/07/12,"231,169","3,513,166",15.1,15.25,15.1,15.2,+0.15,152
107/07/13,"256,610","3,934,330",15.35,15.45,15.25,15.35,+0.15,162
107/07/16,"479,000","7,293,150",15.35,15.45,15.05,15.25,-0.10,214
107/07/17,"1,075,442","16,576,822",15.35,15.6,15.15,15.15,-0.10,349
107/07/18,"303,656","4,598,155",15.15,15.35,15.05,15.1,-0.05,156
107/07/19,"178,366","2,699,922",15.15,15.2,15.1,15.1, 0.00,79
107/07/20,"196,151","2,958,280",15.15,15.15,15.05,15.05,-0.05,134
107/07/23,"239,665","3,600,375",15.05,15.1,15.0,15.0,-0.05,136
107/07/24,"314,036","4,761,047",15.0,15.35,15.0,15.35,+0.35,159
107/07/25,"311,804","4,734,729",15.35,15.35,15.1,15.15,-0.20,140
107/07/26,"172,640","2,622,775",15.25,15.25,15.15,15.2,+0.05,104
107/07/27,"265,989","4,066,980",15.25,15.35,15.2,15.35,+0.15,146
107/07/30,"288,468","4,373,766",15.35,15.35,15.05,15.1,-0.25,131
107/07/31,"282,020","4,256,550",15.1,15.15,15.05,15.15,+0.05,129
107/08/01,"219,847","3,342,581",15.2,15.3,15.15,15.2,+0.05,134
107/08/02,"512,357","7,823,190",15.3,15.45,15.1,15.1,-0.10,272
107/08/03,"160,763","2,438,795",15.25,15.25,15.1,15.15,+0.05,86
107/08/06,"133,239","2,026,932",15.15,15.3,15.1,15.2,+0.05,87
107/08/07,"175,467","2,661,601",15.2,15.25,15.1,15.1,-0.10,109
107/08/08,"167,715","2,536,345",15.25,15.25,15.1,15.1, 0.00,117
107/08/09,"869,332","12,897,628",15.1,15.1,14.7,14.75,-0.35,407
107/08/10,"448,710","6,560,723",14.4,14.9,14.4,14.55,-0.20,200
107/08/13,"1,448,200","20,154,819",14.45,14.45,13.45,13.75,-0.80,508
107/08/14,"262,400","3,642,578",14.1,14.1,13.75,13.95,+0.20,141
107/08/15,"447,394","6,144,108",13.95,13.95,13.55,13.7,-0.25,219
