date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"14,715","318,255",21.50,22.30,21.50,22.30,+0.80,14
107/07/03,"14,354","310,230",22.30,22.30,21.50,21.65,-0.65,14
107/07/04,"23,746","513,938",22.00,22.00,21.30,21.55,-0.10,21
107/07/05,"24,012","508,253",21.30,21.30,21.10,21.20,-0.35,10
107/07/06,"25,001","516,620",21.00,21.00,20.45,20.80,-0.40,13
107/07/09,"38,007","801,142",20.80,21.20,20.50,20.90,+0.10,20
107/07/10,"1,000","21,400",21.40,21.40,21.40,21.40,+0.50,1
107/07/11,"110,960","2,219,201",20.55,20.75,19.80,20.00,-1.40,59
107/07/12,"48,029","949,418",19.75,20.00,19.70,20.00, 0.00,28
107/07/13,"26,357","522,840",19.95,20.05,19.60,19.90,-0.10,23
107/07/16,"118,705","2,266,596",19.90,19.90,18.75,18.90,-1.00,72
107/07/17,"28,816","546,769",19.05,19.50,18.90,18.90, 0.00,29
107/07/18,"30,061","576,070",19.30,19.30,18.80,19.30,+0.40,20
107/07/19,508,"9,547",--,--,--,--, 0.00,5
107/07/20,"18,244","346,007",19.25,19.25,18.80,18.95,X0.00,20
107/07/23,"66,672","1,221,125",18.85,19.00,18.00,18.05,-0.90,59
107/07/24,"51,505","919,587",18.00,18.00,17.70,18.00,-0.05,29
107/07/25,"20,700","372,900",17.80,18.25,17.80,18.00, 0.00,21
107/07/26,"12,999","235,831",18.05,18.50,18.00,18.30,+0.30,16
107/07/27,"24,210","453,019",18.25,19.20,18.10,19.20,+0.90,19
107/07/30,"29,423","564,628",19.05,19.25,19.05,19.25,+0.05,12
107/07/31,"9,354","180,563",19.50,19.50,19.25,19.50,+0.25,12
107/08/01,"23,153","441,385",19.45,19.45,19.00,19.20,-0.30,19
107/08/02,"11,456","218,764",19.10,19.10,19.10,19.10,-0.10,7
107/08/03,"19,467","371,317",19.10,19.10,19.00,19.10, 0.00,18
107/08/06,"7,300","139,940",19.10,19.30,19.10,19.20,+0.10,6
107/08/07,"9,313","178,514",19.20,19.20,19.10,19.20, 0.00,10
107/08/08,"123,251","2,506,478",19.25,21.10,19.25,20.90,+1.70,79
107/08/09,"45,300","919,265",20.90,20.90,19.95,20.40,-0.50,32
107/08/10,"35,805","725,020",20.10,20.55,19.80,20.50,+0.10,25
107/08/13,"29,812","596,140",20.10,20.40,19.90,20.40,-0.10,19
107/08/14,"59,694","1,169,630",20.00,20.00,19.50,19.85,-0.55,37
107/08/15,"26,708","535,551",19.85,20.35,19.85,19.95,+0.10,19
107/08/16,"43,226","886,670",20.30,20.80,20.15,20.20,+0.25,23
107/08/17,"1,251","25,320",20.30,20.30,20.30,20.30,+0.10,4
107/08/20,"11,280","227,795",19.90,20.40,19.90,20.35,+0.05,14
107/08/21,"5,050","102,709",20.40,20.45,20.20,20.45,+0.10,9
107/08/22,34,634,--,--,--,--, 0.00,3
107/08/23,"8,289","175,152",21.00,21.35,21.00,21.00,X0.00,8
107/08/24,"5,770","116,400",20.00,20.50,20.00,20.50,-0.50,11
107/08/27,"21,684","439,130",21.00,21.50,20.00,20.00,-0.50,20
107/08/28,"20,777","414,890",20.00,20.00,19.95,19.95,-0.05,20
107/08/29,"8,494","169,503",19.90,20.10,19.90,20.10,+0.15,7
107/08/30,"4,300","86,210",20.00,20.15,20.00,20.10, 0.00,5
107/08/31,"10,236","202,222",19.90,20.00,19.60,20.00,-0.10,10
107/09/03,554,"10,303",--,--,--,--, 0.00,4
107/09/04,447,"8,940",--,--,--,--, 0.00,3
107/09/05,"5,141","102,368",19.80,20.00,19.80,20.00,X0.00,8
107/09/06,"11,598","231,027",20.00,20.10,19.80,20.05,+0.05,13
107/09/07,"9,140","179,257",19.60,19.65,19.60,19.65,-0.40,10
107/09/10,"12,500","244,749",19.65,19.80,19.50,19.80,+0.15,9
107/09/11,"160,772","3,315,093",19.85,21.50,19.85,20.30,+0.50,89
107/09/12,"37,556","772,191",20.40,20.85,20.25,20.50,+0.20,34
107/09/13,"33,446","677,175",20.40,20.70,20.00,20.70,+0.20,30
107/09/14,"13,276","272,734",20.45,21.05,20.45,21.05,+0.35,14
107/09/17,"7,233","148,959",20.55,20.85,20.55,20.85,-0.20,9
107/09/18,"21,087","432,571",20.50,20.80,20.35,20.80,-0.05,21
107/09/19,"20,289","426,101",21.00,21.10,20.60,20.60,-0.20,20
107/09/20,"36,026","742,226",21.20,21.20,20.50,20.60, 0.00,20
107/09/21,"12,462","255,620",20.45,20.90,20.45,20.90,+0.30,13
107/09/25,"635,472","13,499,062",20.55,21.60,20.55,21.25,+0.35,102
107/09/26,"35,567","748,284",21.20,21.30,21.00,21.30,+0.05,14
107/09/27,"8,004","169,933",21.00,21.35,21.00,21.30, 0.00,4
107/09/28,"40,700","856,529",21.05,21.05,21.00,21.00,-0.30,22
107/10/01,"20,093","422,981",21.10,21.10,21.00,21.00, 0.00,13
107/10/02,"21,306","444,797",21.00,21.00,20.85,20.85,-0.15,16
107/10/03,"19,102","402,606",21.50,22.00,20.65,20.90,+0.05,20
107/10/04,"13,221","273,553",20.75,20.75,20.55,20.55,-0.35,10
107/10/05,"25,228","506,928",20.55,20.55,19.80,20.30,-0.25,21
107/10/08,"9,003","181,310",20.20,20.60,19.60,20.15,-0.15,10
107/10/09,"10,000","202,200",20.15,20.85,20.15,20.85,+0.70,5
107/10/11,"23,020","458,502",19.80,20.85,19.60,20.50,-0.35,14
107/10/12,"25,309","506,852",19.70,20.30,19.70,20.30,-0.20,23
107/10/15,"1,003","20,360",20.30,20.30,20.30,20.30, 0.00,4
107/10/16,"5,410","110,380",20.50,20.50,20.40,20.40,+0.10,11
107/10/17,"1,087","22,169",20.40,20.40,20.40,20.40, 0.00,5
107/10/18,"15,772","315,133",20.05,20.25,19.90,20.25,-0.15,11
107/10/19,"26,001","519,219",19.90,20.30,19.50,20.00,-0.25,17
107/10/22,"9,295","184,200",19.80,20.20,19.65,20.20,+0.20,9
107/10/23,"11,013","218,756",20.30,20.30,19.65,20.15,-0.05,7
107/10/24,"4,516","89,213",19.70,20.00,19.70,20.00,-0.15,6
107/10/25,"19,205","380,525",19.70,20.05,19.50,19.50,-0.50,22
107/10/26,"10,550","205,400",20.00,20.00,19.35,19.35,-0.15,13
107/10/29,"4,001","79,119",20.00,20.00,19.35,19.75,+0.40,4
107/10/30,"11,421","221,505",19.45,19.95,19.25,19.25,-0.50,14
107/10/31,"17,251","332,356",19.30,19.30,19.25,19.30,+0.05,14
107/11/01,"13,608","261,952",19.25,19.25,19.25,19.25,-0.05,16
107/11/02,"63,227","1,194,216",19.05,19.80,18.50,18.65,-0.60,37
107/11/05,"22,057","414,733",19.30,19.30,18.50,18.50,-0.15,21
107/11/06,"13,039","241,355",18.55,18.55,18.50,18.50, 0.00,10
107/11/07,"34,047","631,271",18.50,19.00,18.35,19.00,+0.50,18
107/11/08,"38,583","715,105",18.50,18.80,18.50,18.80,-0.20,22
107/11/09,"23,300","427,559",19.50,19.50,18.00,18.05,-0.75,17
107/11/12,"42,000","773,750",18.60,19.00,18.05,18.15,+0.10,27
107/11/13,"9,129","164,269",18.00,18.00,18.00,18.00,-0.15,7
107/11/14,"17,001","305,517",18.05,18.25,17.80,18.20,+0.20,13
107/11/15,"19,117","343,649",18.20,18.20,17.90,17.90,-0.30,21
107/11/16,"21,085","385,664",18.90,18.90,18.00,18.00,+0.10,22
107/11/19,"18,027","335,645",18.50,18.70,18.50,18.70,+0.70,17
107/11/20,"65,281","1,307,298",18.85,20.50,18.85,20.10,+1.40,49
107/11/21,"34,000","688,500",20.50,20.50,20.05,20.05,-0.05,26
107/11/22,"10,116","198,197",19.65,19.80,19.50,19.80,-0.25,15
107/11/23,"8,080","160,040",19.50,20.10,19.50,19.65,-0.15,13
107/11/26,"12,795","247,293",19.20,19.65,19.00,19.65, 0.00,15
107/11/27,"2,001","39,569",19.60,19.95,19.60,19.95,+0.30,3
107/11/28,"19,000","376,300",19.90,19.90,19.65,19.90,-0.05,9
107/11/29,"3,005","59,597",19.80,19.90,19.80,19.90, 0.00,4
107/11/30,"15,500","299,224",19.60,19.70,19.30,19.70,-0.20,12
107/12/03,"28,700","562,380",19.60,19.70,19.40,19.70, 0.00,11
107/12/04,"16,062","314,946",19.30,19.95,19.30,19.40,-0.30,17
107/12/05,"7,004","137,727",19.40,19.80,19.40,19.75,+0.35,10
107/12/06,"18,216","356,714",19.45,19.70,19.40,19.40,-0.35,9
107/12/07,"3,516","68,709",19.40,19.75,19.40,19.75,+0.35,7
107/12/10,"9,000","175,300",19.75,19.75,19.20,19.40,-0.35,9
107/12/11,"11,000","216,700",19.65,19.75,19.65,19.75,+0.35,8
107/12/12,"10,171","199,684",19.55,19.75,19.50,19.75, 0.00,8
107/12/13,"21,000","401,800",19.60,19.60,19.00,19.40,-0.35,11
107/12/14,"9,489","184,838",19.40,19.60,19.35,19.40, 0.00,14
107/12/17,"10,815","209,614",19.00,19.55,19.00,19.50,+0.10,15
107/12/18,"1,000","19,300",19.30,19.30,19.30,19.30,-0.20,1
107/12/19,"16,502","312,032",19.15,19.25,19.00,19.25,-0.05,20
107/12/20,861,"15,021",--,--,--,--, 0.00,6
107/12/21,"8,925","168,845",19.35,19.35,18.80,19.10,X0.00,13
107/12/22,"1,000","18,800",18.80,18.80,18.80,18.80,-0.30,1
107/12/24,"2,000","37,950",19.00,19.00,18.95,18.95,+0.15,2
107/12/25,"2,009","37,766",18.50,19.10,18.50,19.10,+0.15,6
107/12/26,"8,213","155,240",19.10,19.10,18.65,18.85,-0.25,9
107/12/27,"6,312","118,219",19.00,19.00,18.60,18.60,-0.25,13
107/12/28,"1,747","32,842",18.80,18.80,18.80,18.80,+0.20,5
108/01/02,"2,255","41,829",18.50,18.60,18.50,18.60,-0.20,4
108/01/03,"8,001","147,368",18.40,18.75,18.30,18.75,+0.15,4
