date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"420,071","7,610,878",18.15,18.3,18.0,18.0,-0.05,216
107/07/03,"620,430","11,109,640",18.15,18.25,17.8,17.8,-0.20,408
107/07/04,"483,532","8,659,915",17.9,18.1,17.75,17.85,+0.05,279
107/07/05,"478,102","8,483,440",17.95,17.95,17.55,17.55,-0.30,260
107/07/06,"797,222","13,926,327",17.65,18.0,17.25,17.4,-0.15,423
107/07/09,"360,692","6,330,691",17.7,17.7,17.45,17.55,+0.15,212
107/07/10,"406,764","7,164,519",17.75,17.75,17.5,17.55, 0.00,242
107/07/11,"518,161","9,098,816",17.45,17.8,17.4,17.5,-0.05,270
107/07/12,"959,258","17,178,069",17.5,18.2,17.5,18.1,+0.60,415
107/07/13,"3,068,204","56,218,010",18.35,18.5,18.1,18.15,+0.05,"1,304"
107/07/16,"537,594","9,738,292",18.25,18.25,18.0,18.0,-0.15,265
107/07/17,"426,696","7,681,191",18.05,18.15,17.9,18.0, 0.00,249
107/07/18,"922,441","16,798,580",18.0,18.45,18.0,18.15,+0.15,566
107/07/19,"443,793","8,037,431",18.2,18.25,17.95,18.0,-0.15,213
107/07/20,"472,212","8,492,540",18.1,18.2,17.85,18.0, 0.00,259
107/07/23,"315,614","5,637,515",18.0,18.0,17.7,17.8,-0.20,200
107/07/24,"422,740","7,536,056",17.8,17.95,17.75,17.9,+0.10,222
107/07/25,"320,134","5,706,384",17.9,17.9,17.75,17.8,-0.10,202
107/07/26,"310,000","5,534,300",18.0,18.0,17.75,17.8, 0.00,192
107/07/27,"403,789","7,207,418",17.8,17.9,17.75,17.9,+0.10,228
107/07/30,"332,114","5,914,923",17.9,17.9,17.75,17.75,-0.15,179
107/07/31,"293,639","5,231,339",17.75,17.9,17.75,17.75, 0.00,185
107/08/01,"290,030","5,188,436",17.85,17.95,17.85,17.9,+0.15,201
107/08/02,"533,102","9,470,454",17.95,17.95,17.6,17.7,-0.20,229
107/08/03,"421,008","7,506,394",17.75,17.95,17.75,17.85,+0.15,202
107/08/06,"679,347","12,128,671",17.9,17.95,17.75,17.95,+0.10,322
107/08/07,"865,434","15,360,809",17.65,18.0,17.6,17.65,X0.00,423
107/08/08,"288,938","5,107,845",17.7,17.8,17.6,17.6,-0.05,165
107/08/09,"346,498","6,112,163",17.65,17.7,17.55,17.6, 0.00,153
107/08/10,"454,120","7,954,449",17.6,17.65,17.45,17.5,-0.10,198
107/08/13,"1,049,778","17,902,929",17.4,17.4,16.7,16.9,-0.60,500
107/08/14,"469,224","7,944,112",16.85,17.1,16.85,17.0,+0.10,207
107/08/15,"526,030","8,864,858",17.2,17.2,16.75,16.85,-0.15,253
107/08/16,"468,473","7,830,846",16.75,16.85,16.55,16.8,-0.05,234
107/08/17,"348,373","5,856,315",17.05,17.05,16.7,16.7,-0.10,162
107/08/20,"395,593","6,584,849",16.7,16.8,16.55,16.55,-0.15,181
107/08/21,"255,544","4,258,830",16.6,16.75,16.6,16.65,+0.10,132
107/08/22,"211,120","3,520,366",16.6,16.75,16.6,16.65, 0.00,106
