date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,0,0,--,--,--,--,0.0,0
107/07/03,1,4,--,--,--,--,0.0,2
107/07/04,1,7,7.00,7.00,7.00,7.00,-0.12,1
107/07/05,5,35,7.00,7.00,7.00,7.00,0.0,2
107/07/06,2,14,6.98,6.98,6.80,6.80,-0.2,2
107/07/09,9,63,6.80,6.80,6.80,6.80,0.0,7
107/07/10,1,7,6.80,6.80,6.80,6.80,0.0,1
107/07/11,0,0,--,--,--,--,0.0,1
107/07/12,6,41,6.80,6.80,6.80,6.80,0.0,4
107/07/13,3,19,6.65,6.65,6.65,6.65,-0.15,5
107/07/16,21,146,6.90,6.90,6.90,6.90,0.25,9
107/07/17,1,4,--,--,--,--,0.0,2
107/07/18,0,0,--,--,--,--,0.0,3
107/07/19,11,73,6.90,6.90,6.90,6.90,0.0,7
107/07/20,3,18,6.98,6.98,6.98,6.98,0.08,3
107/07/23,3,21,7.11,7.11,7.11,7.11,0.13,3
107/07/24,50,330,6.76,6.96,6.51,6.96,-0.15,15
107/07/25,13,85,6.66,6.80,6.65,6.79,-0.17,9
107/07/26,44,288,6.86,6.86,6.51,6.74,-0.05,18
107/07/27,15,99,6.51,6.60,6.41,6.58,-0.16,18
107/07/30,49,322,6.25,6.78,6.25,6.76,0.18,28
107/07/31,32,206,6.46,6.71,6.40,6.71,-0.05,12
107/08/01,44,291,6.57,6.59,6.50,6.55,-0.16,17
107/08/02,51,332,6.50,6.51,6.49,6.50,-0.05,7
107/08/03,39,253,6.52,6.52,6.45,6.45,-0.05,9
107/08/06,3,17,6.57,6.57,6.57,6.57,0.12,3
107/08/07,1,7,6.51,6.51,6.51,6.51,-0.06,1
107/08/08,2,13,6.51,6.51,6.51,6.51,0.0,2
107/08/09,9,60,6.51,6.51,6.50,6.50,-0.01,47
107/08/10,20,133,6.50,6.50,6.45,6.46,-0.04,12
107/08/13,8,53,6.46,6.46,6.46,6.46,0.0,5
107/08/14,1,7,6.50,6.50,6.50,6.50,0.04,1
107/08/15,4,23,6.49,6.49,6.49,6.49,-0.01,3
107/08/16,4,26,6.50,6.50,6.50,6.50,0.01,1
107/08/17,2,13,6.50,6.50,6.50,6.50,0.0,2
107/08/20,8,53,6.40,6.40,6.32,6.32,-0.18,6
107/08/21,9,57,6.33,6.44,6.32,6.44,0.12,6
107/08/22,9,58,6.44,6.44,6.40,6.40,-0.04,5
107/08/23,1,6,6.43,6.43,6.43,6.43,0.03,1
107/08/24,1,6,6.40,6.40,6.40,6.40,-0.03,1
107/08/27,26,158,6.02,6.47,6.02,6.47,0.07,12
107/08/28,26,163,6.39,6.39,6.30,6.30,-0.17,11
