date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"1,495","31,002",20.7,21.3,20.35,21.3,0.95,570
107/07/03,"1,893","39,912",21.35,21.75,20.5,20.7,-0.6,754
107/07/04,582,"12,179",20.7,21.3,20.7,20.9,0.2,291
107/07/05,450,"9,343",21.05,21.05,20.55,20.6,-0.3,215
107/07/06,995,"19,904",20.8,20.8,19.25,20.3,-0.3,414
107/07/09,"5,456","120,409",20.6,22.3,20.6,22.3,2.0,"2,321"
107/07/10,"5,007","111,903",21.75,23.4,21.25,22.7,0.4,"2,746"
107/07/11,"2,031","45,314",22.3,23.25,21.85,22.1,-0.6,"1,058"
107/07/12,"1,518","33,943",22.15,22.9,21.95,22.4,0.3,818
107/07/13,"1,968","44,573",22.4,23.2,22.2,22.3,-0.1,"1,016"
107/07/16,948,"21,032",22.5,22.65,21.9,21.95,-0.35,536
107/07/17,"1,271","28,667",21.95,23.2,21.95,23.2,1.25,634
107/07/18,"1,979","45,337",23.1,23.4,22.5,22.65,-0.55,"1,035"
107/07/19,926,"20,944",22.75,23.15,22.2,22.2,-0.45,458
107/07/20,"1,585","35,033",22.35,23.0,21.3,21.55,-0.65,773
107/07/23,669,"14,044",20.8,21.45,20.4,21.0,0.35,380
107/07/24,455,"9,753",20.85,21.8,20.85,21.4,0.4,266
107/07/25,318,"6,775",21.4,21.7,21.1,21.15,-0.25,169
107/07/26,281,"5,957",21.15,21.45,21.0,21.2,0.05,145
107/07/27,"1,080","23,708",21.35,22.3,21.3,22.0,0.8,559
107/07/30,826,"18,410",21.95,22.5,21.95,22.3,0.3,393
107/07/31,445,"9,911",22.35,22.8,22.0,22.15,-0.15,260
107/08/01,570,"12,750",22.4,22.55,22.15,22.25,0.1,267
107/08/02,566,"12,354",22.55,22.6,21.55,21.8,-0.45,321
107/08/03,413,"8,933",21.8,22.0,21.3,21.75,-0.05,213
107/08/06,259,"5,618",21.8,21.8,21.5,21.7,-0.05,148
107/08/07,353,"7,567",21.65,21.65,21.15,21.15,-0.55,176
107/08/08,455,"9,606",21.3,21.35,20.85,20.9,-0.25,202
107/08/09,545,"11,571",20.95,21.5,20.75,21.1,0.2,239
107/08/10,404,"8,502",21.0,21.25,20.85,21.1,0.0,157
107/08/13,"1,191","23,549",21.1,21.1,19.15,19.2,-1.9,528
107/08/14,427,"8,259",19.2,19.65,19.2,19.3,0.1,234
107/08/15,467,"8,892",19.5,19.5,18.75,19.0,-0.3,228
107/08/16,549,"10,306",18.7,19.0,18.5,18.75,-0.25,231
107/08/17,373,"7,237",19.0,19.75,19.0,19.55,0.8,220
107/08/20,165,"3,207",19.4,19.6,19.3,19.45,-0.1,102
107/08/21,183,"3,555",19.5,19.6,19.35,19.5,0.05,81
107/08/22,191,"3,712",19.5,19.6,19.4,19.45,-0.05,83
107/08/23,227,"4,406",19.45,19.6,19.3,19.6,0.15,88
107/08/24,242,"4,680",19.45,19.5,19.25,19.4,-0.2,100
107/08/27,76,"1,483",19.4,19.6,19.4,19.6,0.2,42
107/08/28,382,"7,435",19.75,19.85,19.2,19.35,-0.25,145
107/08/29,52,"1,006",19.35,19.5,19.35,19.45,0.1,42
107/08/30,96,"1,868",19.5,19.55,19.35,19.45,0.0,60
107/08/31,147,"2,830",19.4,19.5,19.2,19.35,-0.1,92
107/09/03,204,"3,913",19.35,19.35,19.05,19.1,-0.25,111
107/09/04,150,"2,858",19.2,19.25,18.85,19.05,-0.05,79
107/09/05,111,"2,119",19.05,19.2,19.0,19.05,0.0,60
107/09/06,115,"2,178",19.25,19.25,18.8,18.95,-0.1,63
107/09/07,481,"8,906",18.8,18.85,18.25,18.25,-0.7,246
107/09/10,782,"13,934",18.25,18.35,17.55,17.55,-0.7,229
107/09/11,242,"4,376",17.95,18.4,17.9,18.05,0.5,143
107/09/12,176,"3,144",18.1,18.1,17.65,17.65,-0.4,96
107/09/13,134,"2,394",17.9,17.95,17.8,17.9,0.25,58
107/09/14,170,"3,090",17.95,18.25,17.95,18.1,0.2,103
107/09/17,131,"2,353",18.1,18.2,17.75,17.95,-0.15,72
107/09/18,133,"2,381",17.85,18.2,17.85,18.0,0.05,58
107/09/19,80,"1,457",18.05,18.25,18.05,18.05,0.05,35
107/09/20,62,"1,117",18.1,18.1,17.9,18.0,-0.05,36
107/09/21,184,"3,290",18.2,18.2,17.8,17.95,-0.05,69
