date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,102,934,9.09,9.29,9.07,9.07,-0.16,38
107/07/03,214,"1,881",9.07,9.07,8.51,8.74,-0.33,99
107/07/04,42,364,8.66,8.76,8.59,8.59,-0.15,22
107/07/05,96,784,8.53,8.53,8.03,8.10,-0.49,51
107/07/06,140,"1,096",8.07,8.08,7.60,7.87,-0.23,77
107/07/09,18,145,7.87,8.17,7.82,8.00,0.13,12
107/07/10,23,188,8.00,8.39,8.00,8.39,0.39,20
107/07/11,14,116,8.28,8.36,8.10,8.36,-0.03,14
107/07/12,17,141,8.36,8.46,8.11,8.32,-0.04,13
107/07/13,15,124,8.21,8.36,8.18,8.18,-0.14,14
107/07/16,9,77,8.11,8.18,8.11,8.15,-0.03,10
107/07/17,8,67,8.34,8.34,8.20,8.24,0.09,9
107/07/18,20,164,8.23,8.24,8.01,8.23,-0.01,15
107/07/19,26,211,8.23,8.23,8.01,8.02,-0.21,18
107/07/20,49,386,8.03,8.03,7.75,7.93,-0.09,34
107/07/23,42,335,7.98,8.00,7.97,7.97,0.04,19
107/07/24,8,66,7.80,8.37,7.80,8.29,0.32,8
107/07/25,34,275,8.02,8.39,8.00,8.07,-0.22,26
107/07/26,20,161,8.07,8.07,8.02,8.07,0.0,7
107/07/27,16,130,8.10,8.21,8.10,8.21,0.14,6
107/07/30,88,724,8.20,8.30,8.10,8.24,0.03,31
107/07/31,7,58,8.29,8.39,8.29,8.39,0.15,6
107/08/01,5,41,8.10,8.16,8.08,8.16,-0.23,5
107/08/02,20,162,8.03,8.03,8.00,8.01,-0.15,14
107/08/03,0,0,--,--,--,--,0.0,0
107/08/06,14,112,7.99,8.25,7.85,8.25,0.24,6
107/08/07,13,104,8.22,8.22,7.81,8.10,-0.15,13
107/08/08,37,296,8.00,8.00,7.99,8.00,-0.1,17
107/08/09,29,226,7.83,7.83,7.75,7.80,-0.2,19
107/08/10,48,376,7.80,8.00,7.78,7.80,0.0,17
107/08/13,118,884,7.62,7.80,7.21,7.22,-0.58,98
107/08/14,25,184,7.22,7.40,7.22,7.38,0.16,17
107/08/15,68,485,7.10,7.30,7.05,7.05,-0.33,31
107/08/16,30,211,7.06,7.06,7.00,7.02,-0.03,18
107/08/17,52,354,6.93,6.93,6.60,6.80,-0.22,35
107/08/20,75,491,6.80,6.88,6.33,6.34,-0.46,38
107/08/21,56,375,6.16,6.90,6.16,6.88,0.54,37
107/08/22,29,193,6.86,6.86,6.60,6.81,-0.07,16
107/08/23,0,0,--,--,--,--,0.0,0
107/08/24,47,310,6.90,6.90,6.50,6.61,-0.19,28
107/08/27,37,248,6.70,6.71,6.70,6.70,0.09,11
107/08/28,17,115,6.70,6.75,6.70,6.70,0.0,9
107/08/29,22,148,6.58,6.70,6.58,6.70,0.0,9
107/08/30,49,329,6.70,6.70,6.62,6.70,0.0,19
107/08/31,31,208,6.70,6.71,6.70,6.71,0.01,8
107/09/03,11,72,6.70,6.70,6.45,6.51,-0.2,8
107/09/04,29,189,6.51,6.88,6.50,6.88,0.37,15
107/09/05,21,142,6.88,6.88,6.61,6.61,-0.27,11
107/09/06,8,53,6.60,6.70,6.60,6.70,0.09,5
107/09/07,15,101,6.90,6.90,6.56,6.56,-0.14,11
107/09/10,47,306,6.56,6.56,6.31,6.31,-0.25,13
107/09/11,9,58,6.05,6.25,6.05,6.25,-0.06,9
107/09/12,0,0,--,--,--,--,0.0,0
107/09/13,29,180,6.42,6.42,6.12,6.24,-0.01,11
107/09/14,67,406,6.24,6.24,6.00,6.01,-0.23,34
107/09/17,40,243,6.21,6.21,6.02,6.02,0.01,18
107/09/18,54,317,5.90,6.00,5.80,6.00,-0.02,22
107/09/19,31,187,6.08,6.08,5.91,5.91,-0.09,14
107/09/20,12,72,5.91,6.10,5.91,5.98,0.07,10
107/09/21,132,858,6.15,6.57,6.15,6.57,0.59,73
107/09/25,248,"1,722",6.57,7.22,6.43,7.22,0.65,109
107/09/26,291,"2,274",7.58,7.94,7.58,7.94,0.72,156
107/09/27,368,"3,020",8.35,8.48,7.60,7.90,-0.04,215
107/09/28,98,754,7.80,7.83,7.52,7.52,-0.38,61
107/10/01,66,498,7.23,8.00,7.17,7.84,0.32,48
107/10/02,52,399,7.90,8.00,7.45,7.47,-0.37,35
107/10/03,42,313,7.50,7.58,7.25,7.33,-0.14,29
107/10/04,70,537,7.32,7.98,7.32,7.43,0.1,45
107/10/05,52,363,7.28,7.28,6.76,6.88,-0.55,41
107/10/08,31,213,6.88,7.12,6.81,6.85,-0.03,20
107/10/09,44,301,7.06,7.06,6.72,6.72,-0.13,30
107/10/11,104,635,6.72,6.72,6.05,6.05,-0.67,42
107/10/12,18,108,6.05,6.09,5.78,6.09,0.04,12
107/10/15,26,164,6.20,6.25,6.10,6.11,0.02,23
107/10/16,39,238,6.20,6.21,6.02,6.02,-0.09,20
107/10/17,14,85,6.02,6.19,6.02,6.15,0.13,12
107/10/18,22,131,6.01,6.01,5.85,6.00,-0.15,18
107/10/19,35,208,5.99,5.99,5.80,5.98,-0.02,21
107/10/22,16,94,5.63,6.01,5.61,6.00,0.02,14
107/10/23,10,60,5.88,6.00,5.88,5.88,-0.12,10
107/10/24,14,82,5.80,5.99,5.80,5.81,-0.07,7
107/10/25,16,93,5.80,5.85,5.58,5.58,-0.23,9
107/10/26,29,159,5.76,5.78,5.30,5.35,-0.23,21
107/10/29,5,26,5.06,5.32,5.06,5.32,-0.03,5
107/10/30,4,21,5.32,5.35,5.32,5.35,0.03,3
107/10/31,19,102,5.27,5.52,5.21,5.52,0.17,14
107/11/01,6,33,5.52,5.52,5.32,5.50,-0.02,7
107/11/02,4,22,5.52,5.55,5.52,5.55,0.05,3
107/11/05,0,0,--,--,--,--,0.0,0
107/11/06,1,5,5.36,5.36,5.36,5.36,-0.19,1
107/11/07,24,132,5.60,5.60,5.42,5.42,0.06,17
107/11/08,40,218,5.41,5.50,5.41,5.42,0.0,18
107/11/09,24,126,5.33,5.39,5.21,5.39,-0.03,14
107/11/12,47,250,5.39,5.42,5.24,5.26,-0.13,33
107/11/13,16,83,5.25,5.30,5.10,5.30,0.04,10
107/11/14,48,257,5.38,5.45,5.21,5.42,0.12,20
107/11/15,21,110,5.30,5.30,5.21,5.21,-0.21,14
107/11/16,6,31,5.22,5.22,5.20,5.21,0.0,5
107/11/19,4,21,5.15,5.30,5.15,5.30,0.09,4
107/11/20,20,102,5.12,5.12,5.06,5.06,-0.24,13
107/11/21,23,117,5.10,5.16,4.90,5.05,-0.01,22
107/11/22,15,78,5.06,5.30,5.06,5.10,0.05,9
107/11/23,9,47,5.14,5.14,5.13,5.13,0.03,8
107/11/26,8,42,5.14,5.14,5.13,5.13,0.0,6
107/11/27,23,122,5.22,5.39,5.22,5.32,0.19,16
107/11/28,46,243,5.32,5.36,5.20,5.25,-0.07,21
107/11/29,21,110,5.25,5.32,5.15,5.15,-0.1,11
107/11/30,43,241,5.35,5.66,5.35,5.66,0.51,20
107/12/03,99,577,6.00,6.00,5.55,5.83,0.17,49
107/12/04,28,159,5.78,5.78,5.60,5.74,-0.09,21
107/12/05,16,89,5.48,5.73,5.48,5.51,-0.23,12
107/12/06,14,75,5.36,5.36,5.30,5.30,-0.21,10
107/12/07,17,91,5.37,5.37,5.37,5.37,0.07,8
107/12/10,9,47,5.20,5.37,5.20,5.36,-0.01,7
107/12/11,20,105,5.12,5.37,5.12,5.33,-0.03,12
107/12/12,19,102,5.43,5.45,5.28,5.45,0.12,11
107/12/13,0,0,--,--,--,--,0.0,0
107/12/14,4,23,5.70,5.72,5.70,5.72,0.27,4
107/12/17,19,106,5.50,5.56,5.40,5.40,-0.32,15
107/12/18,5,27,5.33,5.33,5.31,5.31,-0.09,5
107/12/19,2,13,5.31,5.47,5.31,5.47,0.16,6
107/12/20,6,31,5.14,5.14,5.13,5.13,-0.34,6
107/12/21,19,99,5.39,5.39,5.14,5.15,0.02,14
107/12/22,9,46,5.03,5.05,5.03,5.05,-0.1,7
107/12/24,47,240,5.11,5.11,5.03,5.03,-0.02,22
107/12/25,43,217,5.05,5.11,5.03,5.03,0.0,17
107/12/26,22,111,5.09,5.09,5.00,5.00,-0.03,16
107/12/27,4,20,5.19,5.19,5.03,5.03,0.03,3
107/12/28,2,8,5.02,5.02,5.02,5.02,-0.01,3
108/01/02,21,108,5.12,5.29,5.06,5.06,0.04,15
108/01/03,17,85,5.06,5.06,5.01,5.03,-0.03,13
108/01/04,1,5,5.03,5.03,5.03,5.03,0.0,2
108/01/07,15,77,5.15,5.15,5.11,5.11,0.08,8
108/01/08,26,132,5.12,5.12,5.03,5.03,-0.08,9
108/01/09,26,131,5.06,5.06,5.00,5.00,-0.03,18
108/01/10,37,186,5.02,5.04,5.00,5.03,0.03,22
108/01/11,112,614,5.03,5.53,5.03,5.53,0.5,57
108/01/14,102,620,6.08,6.08,6.08,6.08,0.55,31
108/01/15,483,"3,216",6.67,6.68,6.40,6.68,0.6,175
