date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,19,363,19.00,19.10,18.95,19.10,-0.15,18
107/07/03,78,"1,472",19.10,19.70,18.60,18.60,-0.5,58
107/07/04,37,685,18.50,18.60,18.45,18.45,-0.15,29
107/07/05,130,"2,363",18.50,18.50,17.60,18.40,-0.05,73
107/07/06,93,"1,674",18.45,18.45,17.80,17.80,-0.6,57
107/07/09,31,555,17.80,18.45,17.80,18.00,0.2,18
107/07/10,174,"3,251",18.00,19.00,18.00,18.70,0.7,38
107/07/11,29,536,18.70,18.70,18.35,18.35,-0.35,24
107/07/12,45,817,18.20,18.20,18.05,18.05,-0.3,32
107/07/13,50,902,18.00,18.20,18.00,18.20,0.15,37
107/07/16,18,327,18.20,18.60,18.00,18.35,0.15,10
107/07/17,20,366,18.35,18.45,18.20,18.35,0.0,14
107/07/18,25,461,18.35,18.50,18.25,18.25,-0.1,22
107/07/19,44,795,18.40,18.40,17.95,18.20,-0.05,29
107/07/20,39,701,18.30,18.30,17.80,18.00,-0.2,21
107/07/23,20,361,18.00,18.10,17.80,17.80,-0.2,12
107/07/24,50,899,17.70,18.20,17.65,18.00,0.2,31
107/07/25,18,321,17.70,17.95,17.70,17.90,-0.1,13
107/07/26,70,"1,252",18.00,18.00,17.80,17.95,0.05,27
107/07/27,41,728,17.70,17.90,17.65,17.80,-0.15,35
107/07/30,87,"1,570",17.85,18.40,17.85,18.10,0.3,50
107/07/31,32,583,18.30,18.30,18.05,18.20,0.1,22
107/08/01,50,914,18.45,18.50,18.20,18.20,0.0,27
107/08/02,43,776,18.20,18.20,17.90,18.00,-0.2,25
107/08/03,91,"1,614",18.00,18.00,17.65,17.65,-0.35,50
107/08/06,76,"1,344",17.65,18.25,17.60,17.70,0.05,50
107/08/07,86,"1,517",17.70,17.90,17.55,17.55,-0.15,47
107/08/08,243,"4,133",17.55,17.55,16.60,17.00,-0.55,142
107/08/09,108,"1,810",17.00,17.00,16.60,16.80,-0.2,65
107/08/10,55,918,16.80,17.00,16.50,16.90,0.1,39
107/08/13,97,"1,625",17.80,17.90,16.40,16.50,-0.4,63
107/08/14,70,"1,142",16.50,16.50,16.00,16.00,-0.5,47
107/08/15,323,"4,925",16.00,16.45,15.00,15.10,-0.9,166
107/08/16,496,"6,913",15.10,15.10,13.60,14.00,-1.1,237
107/08/17,238,"3,340",14.60,14.60,13.85,14.20,0.2,100
107/08/20,122,"1,684",13.40,14.30,13.40,13.70,-0.5,76
107/08/21,91,"1,254",13.75,14.05,13.60,13.95,0.25,50
107/08/22,91,"1,280",14.15,14.30,13.90,13.90,-0.05,44
107/08/23,51,710,14.15,14.15,13.75,13.90,0.0,30
107/08/24,33,460,14.05,14.05,13.75,13.90,0.0,14
107/08/27,48,663,13.70,14.00,13.70,13.95,0.05,25
107/08/28,72,"1,003",13.90,14.00,13.80,14.00,0.05,36
107/08/29,93,"1,301",14.00,14.00,13.95,14.00,0.0,36
107/08/30,110,"1,544",14.00,14.45,13.95,14.00,0.0,47
107/08/31,77,"1,081",14.35,14.35,13.85,13.95,-0.05,35
107/09/03,46,633,13.95,13.95,13.50,13.50,-0.45,21
107/09/04,77,"1,046",13.50,13.75,13.50,13.65,0.15,43
107/09/05,71,972,13.85,13.90,13.55,13.80,0.15,15
107/09/06,39,537,13.80,13.80,13.55,13.70,-0.1,16
107/09/07,105,"1,413",13.20,13.70,13.20,13.50,-0.2,30
107/09/10,93,"1,225",13.60,13.60,13.00,13.00,-0.5,44
107/09/11,225,"2,731",13.45,13.45,11.75,12.25,-0.75,109
107/09/12,276,"3,138",12.05,12.05,11.05,11.30,-0.95,133
107/09/13,234,"2,856",11.65,12.40,11.65,12.40,1.1,76
107/09/14,281,"3,474",12.30,12.90,12.00,12.40,0.0,143
107/09/17,101,"1,258",12.25,12.60,12.25,12.45,0.05,32
107/09/18,124,"1,542",12.45,12.60,12.25,12.50,0.05,41
107/09/19,31,382,12.55,12.55,12.25,12.45,-0.05,22
107/09/20,103,"1,269",12.40,12.40,12.15,12.40,-0.05,25
107/09/21,14,173,12.35,12.35,12.35,12.35,-0.05,5
107/09/25,123,"1,438",11.65,12.15,11.50,11.50,-0.85,61
107/09/26,137,"1,590",11.55,11.80,11.25,11.70,0.2,61
107/09/27,115,"1,329",11.70,11.95,11.35,11.60,-0.1,44
107/09/28,315,"3,477",11.90,11.90,10.45,10.80,-0.8,152
107/10/01,259,"2,660",10.80,10.80,10.00,10.20,-0.6,121
107/10/02,166,"1,836",10.35,11.20,10.35,11.20,1.0,71
107/10/03,484,"5,740",11.10,12.30,10.95,11.75,0.55,251
107/10/04,220,"2,551",11.20,12.00,11.20,11.45,-0.3,113
107/10/05,186,"2,034",11.45,11.45,10.70,10.80,-0.65,100
107/10/08,90,985,11.15,11.30,10.60,10.95,0.15,36
107/10/09,69,752,11.15,11.20,10.65,10.80,-0.15,25
107/10/11,227,"2,260",10.10,10.60,9.72,10.30,-0.5,121
107/10/12,64,641,10.15,10.15,9.95,10.00,-0.3,31
107/10/15,109,"1,087",9.99,10.50,9.80,9.90,-0.1,53
107/10/16,90,903,10.20,10.20,9.90,9.99,0.09,33
107/10/17,159,"1,609",10.00,10.40,10.00,10.05,0.06,60
107/10/18,68,677,10.05,10.05,9.83,9.85,-0.2,29
107/10/19,41,405,9.70,9.99,9.70,9.92,0.07,13
107/10/22,29,290,9.92,10.15,9.92,10.15,0.23,16
107/10/23,75,746,10.05,10.35,9.87,9.90,-0.25,34
107/10/24,49,487,9.98,9.98,9.90,9.97,0.07,24
107/10/25,90,883,9.96,9.96,9.55,9.70,-0.27,46
107/10/26,75,711,9.70,9.86,9.08,9.30,-0.4,48
107/10/29,69,622,9.68,9.68,8.75,8.99,-0.31,39
107/10/30,48,433,8.99,9.45,8.81,9.00,0.01,22
107/10/31,31,279,9.00,9.24,8.92,9.09,0.09,24
107/11/01,50,450,9.26,9.26,8.95,8.95,-0.14,25
107/11/02,53,478,9.08,9.14,8.92,9.00,0.05,27
107/11/05,20,179,8.82,9.02,8.82,9.02,0.02,16
107/11/06,29,263,9.03,9.26,9.00,9.10,0.08,17
107/11/07,45,413,9.01,9.24,9.00,9.17,0.07,27
