date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"2,126,183","50,423,998",23.6,24.05,23.45,23.5,+0.05,"1,020"
107/07/03,"447,440","10,310,808",23.4,23.65,22.75,22.75,-0.75,263
107/07/04,"195,183","4,438,301",22.8,22.95,22.65,22.65,-0.10,130
107/07/05,"359,524","8,029,732",22.65,22.65,22.2,22.2,-0.45,171
107/07/06,"330,000","7,255,800",22.25,22.35,21.75,21.8,-0.40,176
107/07/09,"93,039","2,037,708",22.0,22.0,21.8,21.95,+0.15,67
107/07/10,"177,002","3,900,894",21.95,22.2,21.95,21.95, 0.00,98
107/07/11,"223,251","4,823,195",21.9,21.9,21.45,21.5,-0.45,141
107/07/12,"157,110","3,402,920",21.6,21.8,21.5,21.8,+0.30,87
107/07/13,"151,120","3,306,940",21.9,22.0,21.8,21.9,+0.10,89
107/07/16,"220,122","4,859,251",22.1,22.3,21.9,21.95,+0.05,115
107/07/17,"82,542","1,809,661",21.95,22.15,21.8,21.95, 0.00,73
107/07/18,"101,301","2,228,540",21.9,22.15,21.9,22.0,+0.05,79
107/07/19,"92,099","2,020,416",22.05,22.05,21.85,21.95,-0.05,61
107/07/20,"1,157,417","26,139,798",22.0,23.0,21.9,23.0,+1.05,637
107/07/23,"1,191,472","26,970,264",23.0,23.0,22.3,22.6,-0.40,597
107/07/24,"178,644","4,024,522",22.6,22.6,22.4,22.5,-0.10,125
107/07/25,"126,100","2,849,998",22.5,23.0,22.4,22.5, 0.00,88
107/07/26,"109,421","2,459,179",22.5,22.55,22.4,22.4,-0.10,72
107/07/27,"173,928","3,880,586",22.6,22.6,22.25,22.25,-0.15,100
107/07/30,"200,704","4,465,472",22.25,22.55,22.05,22.2,-0.05,108
107/07/31,"79,500","1,767,550",22.2,22.4,22.2,22.2, 0.00,49
107/08/01,"120,034","2,679,609",22.2,22.45,22.2,22.3,+0.10,66
107/08/02,"167,183","3,690,529",22.25,22.3,21.9,21.9,-0.40,112
107/08/03,"191,232","4,194,526",22.0,22.2,21.8,22.0,+0.10,103
107/08/06,"93,235","2,061,454",22.0,22.2,21.9,22.15,+0.15,58
107/08/07,"101,247","2,247,618",22.1,22.45,22.05,22.05,-0.10,69
107/08/08,"126,623","2,789,135",22.0,22.1,22.0,22.05, 0.00,69
107/08/09,"93,082","2,047,595",22.05,22.05,21.9,21.9,-0.15,57
107/08/10,"101,741","2,226,227",21.9,22.0,21.8,21.8,-0.10,69
107/08/13,"308,000","6,559,150",21.65,21.65,21.05,21.15,-0.65,191
107/08/14,"171,143","3,606,487",21.15,21.2,20.9,21.1,-0.05,75
107/08/15,"703,160","14,777,677",21.1,21.45,20.3,20.9,-0.20,231
107/08/16,"137,100","2,799,650",20.15,20.9,20.05,20.5,-0.40,87
107/08/17,"136,503","2,810,939",20.5,20.75,20.5,20.5, 0.00,67
107/08/20,"152,100","3,078,925",20.5,20.5,20.1,20.2,-0.30,67
107/08/21,"177,201","3,588,840",20.2,20.5,20.05,20.2, 0.00,80
107/08/22,"95,618","1,944,193",20.45,20.5,20.2,20.45,+0.25,60
107/08/23,"105,507","2,157,790",20.4,20.8,20.3,20.3,-0.15,59
107/08/24,"45,202","916,580",20.5,20.5,20.2,20.3, 0.00,33
107/08/27,"112,184","2,280,234",20.3,20.5,20.25,20.45,+0.15,82
107/08/28,"84,220","1,725,488",20.45,20.6,20.4,20.5,+0.05,59
107/08/29,"159,354","3,284,906",20.5,20.75,20.5,20.55,+0.05,82
107/08/30,"95,341","1,964,856",20.65,20.75,20.5,20.6,+0.05,60
107/08/31,"126,534","2,640,250",20.6,21.15,20.6,20.75,+0.15,78
107/09/03,"132,019","2,720,937",20.65,21.05,20.5,20.5,-0.25,53
107/09/04,"36,104","741,298",20.5,20.6,20.5,20.5, 0.00,42
107/09/05,"34,118","699,417",20.5,20.65,20.4,20.5, 0.00,33
107/09/06,"81,355","1,658,076",20.4,20.7,20.25,20.3,-0.20,65
107/09/07,"84,060","1,694,456",20.25,20.4,20.0,20.05,-0.25,67
107/09/10,"179,142","3,523,724",20.0,20.05,19.3,19.5,-0.55,102
107/09/11,"71,080","1,380,508",19.5,19.6,19.1,19.45,-0.05,52
107/09/12,"144,000","2,747,850",19.45,19.45,18.9,18.9,-0.55,93
107/09/13,"211,032","4,011,005",19.0,19.15,18.85,18.95,+0.05,92
107/09/14,"170,020","3,293,444",19.0,20.0,19.0,19.5,+0.55,99
107/09/17,"27,063","526,465",19.5,19.6,19.4,19.45,-0.05,28
107/09/18,"106,333","2,059,509",19.45,19.65,19.15,19.25,-0.20,88
107/09/19,"176,117","3,449,028",19.45,19.9,19.4,19.55,+0.30,129
107/09/20,"167,003","3,277,857",19.5,19.95,19.4,19.55, 0.00,98
107/09/21,"128,001","2,506,869",19.55,19.8,19.45,19.6,+0.05,73
107/09/25,"62,998","1,224,511",19.45,19.7,19.25,19.35,-0.25,51
107/09/26,"151,384","2,955,709",19.4,19.9,19.25,19.4,+0.05,89
107/09/27,"40,020","780,438",19.4,19.6,19.35,19.45,+0.05,30
107/09/28,"74,101","1,447,284",19.45,19.65,19.45,19.65,+0.20,44
107/10/01,"107,139","2,116,451",19.45,19.9,19.45,19.75,+0.10,60
107/10/02,"23,029","454,822",19.65,19.9,19.65,19.65,-0.10,25
107/10/03,"50,103","984,977",19.65,19.85,19.45,19.55,-0.10,38
107/10/04,"45,079","879,536",19.7,19.75,19.4,19.4,-0.15,29
107/10/05,"253,999","4,776,879",19.25,19.3,18.5,18.5,-0.90,146
107/10/08,"208,140","3,769,732",18.8,18.85,18.0,18.05,-0.45,112
107/10/09,"161,086","2,885,733",18.25,18.25,17.6,17.7,-0.35,88
107/10/11,"564,081","9,024,453",16.1,16.3,15.95,15.95,-1.75,259
107/10/12,"327,633","5,148,092",15.3,16.0,15.3,15.9,-0.05,200
107/10/15,"285,102","4,520,491",15.95,16.1,15.6,15.95,+0.05,122
107/10/16,"193,378","3,066,571",15.8,16.15,15.65,15.8,-0.15,94
107/10/17,"204,100","3,246,839",16.05,16.15,15.7,15.95,+0.15,103
107/10/18,"58,141","922,613",15.95,16.0,15.8,15.8,-0.15,43
107/10/19,"93,101","1,443,040",15.75,15.75,15.15,15.6,-0.20,48
107/10/22,"62,120","978,257",15.5,15.95,15.5,15.95,+0.35,40
107/10/23,"191,187","2,959,110",15.8,16.2,15.15,15.15,-0.80,101
107/10/24,"144,427","2,211,280",15.15,15.5,15.15,15.3,+0.15,69
107/10/25,"350,004","5,267,114",15.1,15.3,14.9,15.3, 0.00,130
107/10/26,"185,337","2,783,621",15.45,15.45,14.85,15.0,-0.30,83
107/10/29,"121,001","1,803,766",15.0,15.1,14.75,14.95,-0.05,72
107/10/30,"139,001","2,069,565",14.95,15.05,14.75,14.9,-0.05,58
107/10/31,"93,001","1,416,065",15.15,15.45,15.1,15.25,+0.35,62
107/11/01,"82,060","1,278,860",15.25,15.8,15.25,15.8,+0.55,50
107/11/02,"249,164","3,997,872",15.9,16.7,15.7,16.7,+0.90,124
107/11/05,"608,401","10,112,525",16.4,16.85,16.25,16.55,-0.15,379
107/11/06,"146,069","2,387,290",16.95,16.95,16.0,16.0,-0.55,99
107/11/07,"155,221","2,527,811",15.85,16.8,15.85,16.2,+0.20,82
107/11/08,"176,189","2,840,892",16.6,16.6,15.85,16.1,-0.10,103
107/11/09,"77,000","1,224,400",16.2,16.2,15.8,16.0,-0.10,54
107/11/12,"109,501","1,730,365",15.9,16.0,15.65,15.7,-0.30,59
107/11/13,"84,138","1,307,985",15.6,15.9,15.3,15.75,+0.05,56
107/11/14,"35,500","556,749",15.8,15.8,15.55,15.55,-0.20,28
107/11/15,"26,539","414,183",15.55,15.65,15.55,15.65,+0.10,26
107/11/16,"248,001","3,869,115",15.65,15.85,15.45,15.45,-0.20,124
107/11/19,"149,476","2,320,477",15.55,15.7,15.35,15.55,+0.10,86
107/11/20,"82,001","1,276,065",15.55,15.65,15.45,15.6,+0.05,52
107/11/21,"91,000","1,415,850",15.6,15.65,15.4,15.55,-0.05,52
107/11/22,"717,221","11,394,696",15.6,16.3,15.6,15.9,+0.35,265
107/11/23,"157,241","2,497,282",16.1,16.1,15.7,15.8,-0.10,93
107/11/26,"84,001","1,341,566",16.0,16.1,15.85,15.9,+0.10,56
107/11/27,"92,125","1,471,417",15.95,16.0,15.85,16.0,+0.10,38
107/11/28,"1,336,230","22,628,105",16.05,17.3,16.0,17.25,+1.25,777
107/11/29,"346,001","5,891,166",17.25,17.35,16.9,16.9,-0.35,230
107/11/30,"173,000","2,916,600",16.7,17.0,16.7,16.8,-0.10,103
107/12/03,"750,261","12,834,408",17.05,17.4,16.85,16.85,+0.05,292
107/12/04,"273,337","4,705,479",16.95,17.35,16.95,17.1,+0.25,172
107/12/05,"178,003","2,986,748",16.8,16.95,16.7,16.75,-0.35,110
107/12/06,"176,617","2,892,330",16.75,16.85,16.1,16.1,-0.65,121
107/12/07,"98,081","1,593,425",16.2,16.4,16.15,16.35,+0.25,67
107/12/10,"75,080","1,203,103",16.25,16.25,15.85,15.95,-0.40,52
107/12/11,"81,326","1,309,448",15.95,16.25,15.95,16.2,+0.25,42
107/12/12,"592,243","10,167,602",17.15,17.5,16.85,17.4,+1.20,356
107/12/13,"563,634","9,995,978",17.45,18.6,17.15,18.6,+1.20,343
107/12/14,"1,816,821","34,105,183",18.6,19.0,18.55,18.95,+0.35,912
107/12/17,"301,312","5,601,140",18.85,18.85,18.3,18.5,-0.45,181
107/12/18,"364,899","6,629,338",18.5,18.55,17.6,18.5, 0.00,241
107/12/19,"1,549,003","29,102,204",18.5,19.0,18.2,18.55,+0.05,494
107/12/20,"358,060","6,506,997",18.25,18.45,17.75,18.45,-0.10,224
107/12/21,"167,002","3,085,186",18.4,18.75,18.15,18.7,+0.25,95
107/12/22,"49,099","900,310",18.3,18.4,18.25,18.25,-0.45,42
107/12/24,"85,100","1,550,509",18.4,18.4,18.15,18.2,-0.05,43
107/12/25,"329,006","5,891,558",17.95,18.25,17.8,18.25,+0.05,87
107/12/26,"143,083","2,608,368",18.25,18.4,18.0,18.4,+0.15,87
107/12/27,"134,218","2,451,944",18.55,18.6,18.2,18.2,-0.20,69
107/12/28,"197,001","3,583,518",18.2,18.5,17.9,18.4,+0.20,118
108/01/02,"57,214","1,042,542",18.5,18.5,18.05,18.05,-0.35,50
108/01/03,"129,001","2,351,368",18.25,18.4,18.0,18.25,+0.20,66
108/01/04,"64,168","1,154,048",18.05,18.15,17.8,18.0,-0.25,62
108/01/07,"39,203","712,852",18.3,18.3,18.15,18.25,+0.25,35
108/01/08,"59,060","1,082,797",18.4,18.5,18.05,18.4,+0.15,48
108/01/09,"84,001","1,551,368",18.5,18.6,18.3,18.35,-0.05,54
108/01/10,"21,002","382,836",18.4,18.4,18.15,18.2,-0.15,19
108/01/11,"76,200","1,374,069",18.2,18.25,17.95,17.95,-0.25,60
108/01/14,"116,100","2,079,450",17.9,18.2,17.6,18.15,+0.20,82
108/01/15,"52,010","937,820",18.15,18.15,17.95,17.95,-0.20,41
108/01/16,"137,005","2,507,640",18.25,18.5,18.1,18.15,+0.20,74
108/01/17,"46,005","836,340",18.4,18.4,18.0,18.3,+0.15,44
108/01/18,"447,100","8,329,338",18.35,18.75,18.3,18.55,+0.25,176
108/01/21,"715,121","13,590,533",18.65,19.4,18.4,19.4,+0.85,376
108/01/22,"3,750,504","74,780,196",19.9,20.2,19.65,19.65,+0.25,"1,958"
108/01/23,"441,789","8,598,800",19.35,19.85,19.35,19.45,-0.20,286
108/01/24,"318,140","6,115,160",19.3,19.5,19.1,19.1,-0.35,178
108/01/25,"265,040","5,079,962",19.2,19.4,19.05,19.05,-0.05,182
108/01/28,"156,326","2,961,842",19.1,19.3,18.8,18.85,-0.20,119
108/01/29,"179,006","3,371,964",18.8,19.2,18.65,19.0,+0.15,116
