date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"3,369","744,924",221.0,228.5,217.0,217.0,-2.5,"2,526"
107/07/03,"9,227","1,857,624",211.0,215.0,189.0,194.5,-15.5,"6,632"
107/07/04,"4,878","960,139",192.0,199.5,192.0,199.5,5.0,"3,850"
107/07/05,"4,477","912,619",203.0,208.0,199.0,200.5,1.0,"3,686"
107/07/06,"5,293","1,064,690",206.0,207.5,195.0,202.5,2.0,"3,747"
107/07/09,"4,645","917,367",202.5,203.5,193.0,196.5,-6.0,"3,555"
107/07/10,"5,179","1,055,589",200.0,208.0,198.5,207.5,11.0,"4,193"
107/07/11,"6,954","1,474,046",204.5,217.5,201.5,215.0,7.5,"5,175"
107/07/12,"5,451","1,190,518",218.5,221.5,214.0,221.0,6.0,"4,098"
107/07/13,"15,634","3,690,417",232.0,243.0,228.5,241.0,20.0,"10,579"
107/07/16,"8,778","2,121,328",245.0,245.0,238.0,239.0,-2.0,"6,350"
107/07/17,"9,018","2,109,611",239.0,244.5,226.0,228.5,-10.5,"6,975"
107/07/18,"7,876","1,771,559",230.0,232.5,221.0,222.0,-6.5,"5,890"
107/07/19,"6,337","1,444,584",225.0,232.0,222.5,229.5,7.5,"4,816"
107/07/20,"9,987","2,302,789",232.5,238.0,222.5,225.0,-4.5,"7,166"
107/07/23,860,"174,233",202.5,202.5,202.5,202.5,-22.5,697
107/07/24,775,"141,371",182.5,182.5,182.5,182.5,-20.0,604
107/07/25,"52,539","8,868,927",170.0,173.5,164.5,165.0,-17.5,"27,125"
107/07/26,"27,728","4,628,694",166.0,170.5,163.0,166.0,1.0,"16,546"
107/07/27,"5,832","949,709",164.0,166.0,160.0,161.0,-5.0,"4,195"
107/07/30,"10,511","1,599,209",161.0,164.0,145.0,146.0,-15.0,"7,013"
107/07/31,"6,797","1,006,782",147.5,151.0,144.0,148.0,2.0,"4,458"
107/08/01,"7,031","1,090,434",148.5,159.0,148.5,156.0,8.0,"4,696"
107/08/02,"4,052","628,318",158.0,158.0,152.0,156.0,0.0,"2,937"
107/08/03,"5,463","875,457",158.5,163.0,157.0,162.0,6.0,"3,615"
107/08/06,"4,183","688,618",164.0,166.0,162.0,165.0,3.0,"2,966"
107/08/07,"6,501","1,097,972",166.0,170.5,166.0,170.5,5.5,"4,490"
107/08/08,"6,309","1,087,182",173.0,174.0,169.0,169.0,-1.5,"4,208"
107/08/09,"3,503","576,150",169.0,169.0,162.5,165.0,-4.0,"2,536"
107/08/10,"5,617","926,131",165.0,168.5,161.0,165.0,0.0,"3,840"
107/08/13,"6,649","1,034,815",162.5,164.0,149.0,153.5,-11.5,"4,757"
107/08/14,"3,927","610,701",156.0,158.0,152.5,156.0,2.5,"2,960"
107/08/15,"10,765","1,583,501",155.5,155.5,144.0,145.5,-10.5,"7,441"
107/08/16,"9,297","1,299,501",136.5,144.0,134.5,144.0,-1.5,"6,389"
107/08/17,"7,691","1,142,877",147.0,152.0,145.5,146.5,2.5,"5,404"
107/08/20,"6,703","1,005,302",149.0,153.0,147.0,151.0,4.5,"4,448"
107/08/21,"7,300","1,141,418",152.0,159.5,152.0,158.5,7.5,"5,298"
107/08/22,"13,326","2,197,711",162.5,168.0,161.5,162.5,4.0,"9,095"
107/08/23,"7,703","1,236,515",162.5,163.0,158.0,160.0,-2.5,"5,391"
107/08/24,"7,552","1,199,562",158.0,163.0,155.0,162.0,2.0,"5,374"
107/08/27,"5,327","864,448",164.0,164.0,160.0,162.5,0.5,"3,675"
107/08/28,"6,926","1,141,321",163.0,167.0,161.0,161.0,-1.5,"4,613"
107/08/29,"3,290","531,782",162.0,164.0,159.5,161.0,0.0,"2,348"
107/08/30,"7,243","1,198,638",162.5,167.0,162.5,166.0,5.0,"4,891"
107/08/31,"4,071","674,216",165.0,167.0,163.5,166.5,0.5,"2,685"
107/09/03,"4,899","802,199",167.5,168.5,161.0,161.0,-5.5,"3,388"
107/09/04,"10,880","1,922,243",175.5,177.0,175.0,177.0,16.0,"5,239"
107/09/05,"33,155","6,143,035",178.0,193.0,177.0,187.0,10.0,"20,779"
107/09/06,"11,751","2,180,471",186.0,189.5,182.0,183.0,-4.0,"8,405"
107/09/07,"11,700","2,047,882",180.0,182.0,168.5,172.5,-10.5,"8,748"
107/09/10,"12,026","1,929,363",172.0,172.0,155.5,155.5,-17.0,"8,061"
107/09/11,"11,172","1,769,388",155.0,162.5,152.5,159.0,3.5,"7,395"
107/09/12,"12,877","1,854,998",145.0,146.0,143.5,143.5,-15.5,"6,485"
107/09/13,"18,069","2,488,486",137.0,142.5,135.0,136.0,-7.5,"11,508"
107/09/14,"28,619","3,829,224",138.0,140.0,127.5,138.5,2.5,"19,080"
107/09/17,"10,225","1,426,895",136.5,143.0,133.5,143.0,4.5,"6,573"
107/09/18,"15,048","2,090,513",139.0,143.5,134.0,142.0,-1.0,"9,637"
107/09/19,"15,632","2,160,601",145.0,146.0,133.5,133.5,-8.5,"10,239"
107/09/20,"16,292","2,089,127",131.0,133.0,124.0,124.0,-9.5,"10,644"
107/09/21,"16,050","2,051,898",127.0,131.0,124.0,131.0,7.0,"9,457"
107/09/25,"10,662","1,413,378",129.0,136.0,127.5,133.5,2.5,"7,017"
107/09/26,"6,176","812,157",130.0,134.5,130.0,131.0,-2.5,"4,209"
107/09/27,"7,832","1,041,475",130.0,134.5,129.0,133.0,2.0,"5,406"
107/09/28,"7,347","990,543",135.5,136.5,133.0,134.5,1.5,"4,837"
107/10/01,"5,818","806,122",137.5,140.0,136.0,140.0,5.5,"4,147"
107/10/02,"5,723","793,895",141.0,141.0,137.0,138.0,-2.0,"4,118"
107/10/03,"5,744","783,451",138.0,140.0,134.0,134.5,-3.5,"3,813"
107/10/04,"5,446","722,294",132.5,134.0,131.5,132.0,-2.5,"3,815"
107/10/05,"11,199","1,373,974",125.5,127.5,119.0,119.0,-13.0,"7,734"
107/10/08,"8,601","1,015,338",118.0,122.0,114.5,118.5,-0.5,"5,942"
107/10/09,"17,177","1,899,567",116.0,118.5,107.0,107.0,-11.5,"11,359"
107/10/11,"23,749","2,418,235",96.3,109.0,96.3,109.0,2.0,"14,096"
107/10/12,"18,009","2,053,826",111.0,119.5,109.0,119.0,10.0,"12,129"
107/10/15,"16,563","2,000,761",116.0,125.0,115.0,125.0,6.0,"10,459"
107/10/16,"14,706","1,771,447",124.5,124.5,116.5,116.5,-8.5,"9,712"
107/10/17,"11,044","1,323,812",120.5,122.0,117.5,118.0,1.5,"7,468"
107/10/18,"7,053","829,886",118.0,119.5,115.5,116.0,-2.0,"4,854"
107/10/19,"18,125","2,136,212",114.0,121.5,112.0,120.5,4.5,"11,177"
107/10/22,"11,003","1,331,441",118.0,123.0,118.0,120.0,-0.5,"6,646"
107/10/23,"18,240","2,031,903",114.5,115.0,108.0,108.0,-12.0,"11,979"
107/10/24,"23,751","2,371,920",97.9,105.0,97.2,97.2,-10.8,"15,119"
107/10/25,"13,747","1,274,651",91.4,95.2,90.0,95.2,-2.0,"9,023"
107/10/26,"21,132","1,918,533",96.2,98.0,86.8,88.0,-7.2,"14,268"
107/10/29,"14,346","1,297,174",89.5,92.7,86.7,91.6,3.6,"9,553"
107/10/30,"8,922","814,155",91.8,93.8,89.5,90.0,-1.6,"6,152"
