date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,85,"2,303",27.20,27.85,26.90,27.75,-0.05,49
107/07/03,87,"2,306",26.50,27.30,26.30,26.40,-1.35,53
107/07/04,73,"1,911",26.50,26.60,26.00,26.40,0.0,47
107/07/05,25,663,26.50,26.60,26.50,26.50,0.1,16
107/07/06,34,889,26.00,26.20,26.00,26.10,-0.4,22
107/07/09,24,634,26.55,27.50,26.05,27.50,1.4,15
107/07/10,18,481,27.50,27.50,26.40,26.90,-0.6,15
107/07/11,21,561,26.65,26.70,26.50,26.50,-0.4,14
107/07/12,46,"1,213",26.25,26.50,26.20,26.30,-0.2,25
107/07/13,86,"2,250",26.00,26.30,26.00,26.10,-0.2,41
107/07/16,45,"1,167",26.00,26.00,25.80,26.00,-0.1,27
107/07/17,76,"1,915",25.80,25.80,24.80,25.05,-0.95,48
107/07/18,43,"1,079",24.20,25.45,24.20,25.00,-0.05,33
107/07/19,18,454,25.00,25.55,25.00,25.10,0.1,17
107/07/20,21,552,25.55,27.50,25.55,26.20,1.1,20
107/07/23,28,745,26.70,27.00,26.20,26.70,0.5,22
107/07/24,8,219,27.70,27.70,26.60,26.60,-0.1,7
107/07/25,36,963,27.30,27.30,25.85,26.50,-0.1,25
107/07/26,20,530,26.75,26.75,26.40,26.45,-0.05,14
107/07/27,20,532,27.20,27.20,26.30,26.50,0.05,17
107/07/30,43,"1,132",28.65,28.65,25.80,25.80,-0.7,33
107/07/31,112,"2,788",25.60,25.60,24.50,24.50,-1.3,66
107/08/01,31,760,25.25,25.25,24.35,24.45,-0.05,25
107/08/02,145,"3,353",24.45,24.45,22.50,22.50,-1.95,77
107/08/03,94,"2,154",22.75,23.35,22.30,22.50,0.0,78
107/08/06,73,"1,599",24.55,24.55,21.20,21.65,-0.85,59
107/08/07,299,"5,990",21.20,21.25,19.50,19.50,-2.15,145
107/08/08,87,"1,738",19.95,20.55,19.55,20.00,0.5,60
107/08/09,53,"1,060",20.00,20.10,19.90,19.90,-0.1,35
107/08/10,251,"4,834",19.80,20.00,19.00,19.00,-0.9,127
107/08/13,46,901,19.15,20.00,19.15,19.35,0.35,40
107/08/14,51,"1,013",19.50,20.50,19.50,19.90,0.55,40
107/08/15,23,462,20.15,20.15,20.05,20.10,0.2,17
107/08/16,51,"1,017",20.05,20.10,19.80,20.10,0.0,24
107/08/17,124,"2,539",20.10,20.95,20.10,20.40,0.3,63
