date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"1,740","26,665",14.8,15.8,14.8,14.85,-0.3,774
107/07/03,234,"3,464",14.9,15.1,14.5,14.5,-0.35,132
107/07/04,104,"1,517",14.6,15.0,14.5,14.55,0.05,72
107/07/05,212,"3,007",14.8,14.8,13.9,14.05,-0.5,122
107/07/06,404,"5,552",14.1,14.3,13.5,13.6,-0.45,221
107/07/09,219,"2,956",13.65,13.75,13.4,13.4,-0.2,116
107/07/10,138,"1,847",13.45,13.5,13.3,13.4,0.0,85
107/07/11,993,"14,283",13.55,14.7,13.45,14.65,1.25,567
107/07/12,"1,042","14,712",14.35,14.5,13.95,14.0,-0.65,518
107/07/13,334,"4,723",14.2,14.25,14.05,14.2,0.2,200
107/07/16,480,"6,926",14.25,14.6,14.05,14.3,0.1,155
107/07/17,385,"5,454",14.45,14.5,14.0,14.0,-0.3,195
107/07/18,189,"2,678",14.0,14.3,14.0,14.1,0.1,88
107/07/19,139,"1,967",14.3,14.3,14.1,14.1,0.0,61
107/07/20,179,"2,536",14.1,14.3,14.05,14.05,-0.05,90
107/07/23,157,"2,220",14.1,14.3,14.0,14.15,0.1,81
107/07/24,153,"2,169",14.2,14.45,14.05,14.05,-0.1,99
107/07/25,"1,673","24,498",14.2,15.45,14.1,14.6,0.55,588
107/07/26,559,"7,995",14.55,14.6,14.05,14.2,-0.4,278
107/07/27,181,"2,562",14.3,14.3,14.1,14.15,-0.05,102
107/07/30,110,"1,553",14.2,14.2,14.05,14.05,-0.1,75
107/07/31,180,"2,539",14.2,14.2,14.05,14.1,0.05,73
107/08/01,373,"5,325",14.15,14.5,14.1,14.4,0.3,148
107/08/02,912,"12,890",14.15,14.4,13.8,13.8,-0.2,343
107/08/03,135,"1,876",14.0,14.1,13.8,13.9,0.1,96
107/08/06,305,"4,199",13.95,14.0,13.6,13.7,-0.2,139
107/08/07,136,"1,899",13.75,14.1,13.75,13.9,0.2,73
107/08/08,913,"12,834",14.0,14.25,13.6,13.6,-0.3,256
107/08/09,226,"3,076",13.75,13.75,13.5,13.5,-0.1,152
107/08/10,192,"2,598",13.5,13.65,13.4,13.5,0.0,93
107/08/13,673,"8,390",13.4,13.45,12.15,12.25,-1.25,304
107/08/14,168,"2,083",12.3,12.6,12.2,12.45,0.2,102
107/08/15,428,"5,395",12.65,12.7,12.25,12.45,0.0,117
107/08/16,74,920,12.4,12.55,12.35,12.45,0.0,47
107/08/17,76,944,12.55,12.6,12.4,12.4,-0.05,53
107/08/20,546,"6,407",12.5,12.5,11.3,11.5,-0.9,271
107/08/21,81,950,11.65,11.9,11.5,11.8,0.3,64
107/08/22,256,"3,087",11.8,12.3,11.8,12.15,0.35,136
107/08/23,56,681,12.15,12.2,12.1,12.15,0.0,45
107/08/24,300,"3,728",12.8,12.8,12.15,12.15,0.0,171
107/08/27,87,"1,059",12.15,12.35,12.1,12.25,0.1,58
107/08/28,110,"1,341",12.25,12.4,12.15,12.15,-0.1,74
107/08/29,226,"2,822",12.25,12.6,12.25,12.6,0.45,109
107/08/30,464,"5,901",12.85,13.2,12.35,12.35,-0.25,283
107/08/31,90,"1,122",12.3,12.55,12.3,12.45,0.1,57
107/09/03,114,"1,418",12.45,12.6,12.25,12.3,-0.15,66
107/09/04,37,458,12.4,12.4,12.25,12.35,0.05,30
107/09/05,315,"3,999",12.35,13.05,12.35,12.6,0.25,183
107/09/06,133,"1,689",12.6,12.85,12.55,12.7,0.1,63
107/09/07,273,"3,389",12.8,12.9,12.1,12.25,-0.45,136
107/09/10,113,"1,352",12.3,12.3,11.7,11.95,-0.3,74
107/09/11,71,866,12.1,12.3,12.1,12.2,0.25,53
107/09/12,37,446,12.1,12.15,12.0,12.05,-0.15,30
107/09/13,107,"1,314",12.05,12.4,12.05,12.25,0.2,59
107/09/14,174,"2,171",12.5,12.6,12.3,12.5,0.25,87
107/09/17,139,"1,741",12.6,12.65,12.3,12.3,-0.2,66
107/09/18,211,"2,640",12.45,12.75,12.35,12.45,0.15,139
107/09/19,59,734,12.6,12.6,12.35,12.45,0.0,39
107/09/20,47,581,12.5,12.5,12.2,12.25,-0.2,32
107/09/21,73,889,12.25,12.3,12.1,12.15,-0.1,41
107/09/25,52,629,12.1,12.2,12.05,12.15,0.0,41
107/09/26,79,952,12.1,12.1,11.95,12.0,-0.15,53
107/09/27,81,978,12.1,12.15,12.0,12.0,0.0,49
107/09/28,36,430,12.1,12.1,11.9,12.05,0.05,31
107/10/01,462,"5,823",12.05,12.8,11.95,12.65,0.6,262
107/10/02,84,"1,050",12.65,12.65,12.4,12.5,-0.15,60
107/10/03,"9,066","121,109",12.4,13.75,12.35,13.25,0.75,"1,660"
107/10/04,803,"10,522",13.0,13.45,12.9,13.45,0.2,449
107/10/05,786,"10,355",13.45,13.85,12.65,12.85,-0.6,480
107/10/08,275,"3,537",12.85,13.15,12.6,12.6,-0.25,156
107/10/09,256,"3,152",12.7,12.7,12.05,12.4,-0.2,151
107/10/11,244,"2,744",11.5,11.5,11.2,11.2,-1.2,108
107/10/12,460,"4,838",10.3,10.8,10.15,10.6,-0.6,213
107/10/15,181,"2,012",10.6,11.5,10.6,11.2,0.6,111
107/10/16,161,"1,833",11.5,11.65,11.15,11.15,-0.05,101
107/10/17,143,"1,613",11.2,11.5,11.05,11.05,-0.1,88
107/10/18,95,"1,048",11.25,11.3,10.9,10.9,-0.15,76
107/10/19,67,721,10.85,10.9,10.6,10.9,0.0,49
107/10/22,32,355,10.9,11.2,10.9,11.0,0.1,25
107/10/23,116,"1,264",11.0,11.1,10.8,11.0,0.0,57
107/10/24,314,"3,517",11.05,11.4,10.95,11.0,0.0,184
107/10/25,197,"2,099",10.75,10.85,10.5,10.5,-0.5,111
107/10/26,173,"1,836",10.65,10.8,10.5,10.55,0.05,87
107/10/29,165,"1,718",10.6,10.6,10.25,10.4,-0.15,79
107/10/30,154,"1,596",10.4,10.45,10.3,10.35,-0.05,80
107/10/31,63,667,10.6,10.7,10.5,10.55,0.2,40
107/11/01,97,"1,044",10.55,10.85,10.55,10.85,0.3,52
107/11/02,105,"1,134",10.85,10.95,10.65,10.95,0.1,73
107/11/05,87,951,10.9,11.1,10.9,11.05,0.1,53
107/11/06,116,"1,276",11.15,11.15,10.9,11.05,0.0,55
107/11/07,115,"1,287",11.05,11.35,11.05,11.15,0.1,66
107/11/08,115,"1,293",11.25,11.35,11.1,11.3,0.15,68
107/11/09,53,599,11.3,11.4,11.2,11.35,0.05,31
107/11/12,144,"1,661",11.5,11.8,11.35,11.4,0.05,86
107/11/13,107,"1,234",11.45,11.65,11.3,11.65,0.25,57
107/11/14,83,972,11.9,11.9,11.6,11.75,0.1,42
107/11/15,163,"1,951",11.7,12.1,11.7,12.1,0.35,87
107/11/16,206,"2,492",12.15,12.25,11.95,12.05,-0.05,97
107/11/19,127,"1,535",12.05,12.25,12.05,12.15,0.1,55
107/11/20,"3,240","42,703",12.1,13.35,12.1,13.35,1.2,"1,063"
