date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,43,"6,341",149.0,149.0,145.0,145.0,2.0,48
107/07/03,13,"1,881",144.5,146.0,144.0,145.0,0.0,12
107/07/04,24,"3,447",144.5,144.5,143.0,144.5,-0.5,28
107/07/05,50,"7,089",143.5,143.5,140.5,140.5,-4.0,49
107/07/06,64,"8,839",141.0,141.5,137.0,140.5,0.0,67
107/07/09,65,"9,020",140.5,140.5,137.0,138.0,-2.5,55
107/07/10,40,"5,521",139.0,139.0,136.5,138.0,0.0,42
107/07/11,46,"6,270",137.5,137.5,136.5,137.0,-1.0,50
107/07/12,52,"7,120",137.0,138.0,135.5,137.5,0.5,42
107/07/13,79,"11,214",138.5,143.0,138.0,142.5,5.0,81
107/07/16,75,"10,974",142.5,147.5,142.5,147.0,4.5,75
107/07/17,60,"8,853",147.0,148.0,145.0,146.0,-1.0,65
107/07/18,91,"13,314",146.5,148.5,144.5,145.0,-1.0,70
107/07/19,72,"10,525",145.5,147.0,145.5,146.0,1.0,49
107/07/20,240,"35,383",146.5,148.0,146.5,147.0,1.0,193
107/07/23,187,"25,853",138.5,139.5,137.0,137.0,0.0,118
107/07/24,36,"4,961",137.0,138.0,137.0,138.0,1.0,29
107/07/25,45,"6,243",140.0,140.0,137.0,137.5,-0.5,43
107/07/26,42,"5,692",136.5,137.0,136.0,136.5,-1.0,49
107/07/27,15,"2,082",136.5,138.5,136.5,137.0,0.5,16
107/07/30,48,"6,530",137.0,137.0,135.0,135.5,-1.5,43
107/07/31,10,"1,395",136.0,136.5,136.0,136.5,1.0,16
107/08/01,24,"3,255",136.0,136.0,135.0,135.5,-1.0,25
107/08/02,33,"4,463",135.0,136.0,135.0,135.5,0.0,32
107/08/03,28,"3,842",137.0,138.0,136.0,136.0,0.5,26
107/08/06,27,"3,690",136.5,137.5,136.0,137.0,1.0,28
107/08/07,65,"9,009",138.0,139.0,137.5,138.0,1.0,60
107/08/08,74,"10,281",139.5,140.5,138.5,140.5,2.5,69
107/08/09,44,"6,129",140.5,140.5,137.0,140.0,-0.5,50
107/08/10,101,"13,593",134.0,136.0,133.0,133.5,-6.5,102
107/08/13,125,"16,169",133.5,133.5,127.5,127.5,-6.0,120
107/08/14,27,"3,480",127.5,129.5,127.5,129.0,1.5,27
107/08/15,26,"3,365",128.5,130.0,128.5,128.5,-0.5,22
107/08/16,21,"2,683",128.5,128.5,127.0,128.0,-0.5,15
107/08/17,86,"10,839",128.0,128.0,124.0,125.0,-3.0,84
107/08/20,64,"7,815",125.5,125.5,122.0,122.0,-3.0,65
107/08/21,160,"18,977",121.0,121.0,117.5,119.0,-3.0,148
107/08/22,68,"8,134",120.0,120.5,118.0,118.5,-0.5,54
