date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"178,305","2,730,285",15.5,15.6,15.2,15.2,-0.35,90
107/07/03,"167,898","2,539,820",15.3,15.3,15.05,15.05,-0.15,92
107/07/04,"174,239","2,627,985",15.7,15.7,15.0,15.1,0.05,68
107/07/05,"289,265","4,321,944",15.1,15.1,14.8,14.8,-0.3,123
107/07/06,"247,797","3,620,104",14.9,14.9,14.35,14.6,-0.2,127
107/07/09,"123,238","1,808,833",14.7,14.75,14.6,14.75,0.15,62
107/07/10,"104,035","1,553,572",14.9,15.05,14.85,14.95,0.2,49
107/07/11,"111,818","1,673,254",14.85,15.0,14.75,14.9,-0.05,58
107/07/12,"181,264","2,755,085",14.9,15.4,14.9,15.2,0.3,96
107/07/13,"148,428","2,254,103",15.1,15.3,15.1,15.3,0.1,68
107/07/16,"275,781","4,147,115",15.3,15.3,14.95,15.1,-0.2,104
107/07/17,"219,339","3,284,412",15.05,15.05,14.9,15.05,-0.05,71
107/07/18,"199,642","2,989,500",15.0,15.1,14.85,14.9,-0.15,103
107/07/19,"118,113","1,767,114",14.9,15.05,14.9,14.9,0.0,63
107/07/20,"216,401","3,207,782",14.9,15.0,14.75,14.75,-0.15,99
107/07/23,"287,637","4,171,269",14.55,14.6,14.4,14.5,-0.25,113
107/07/24,"106,036","1,553,171",14.5,14.75,14.5,14.65,0.15,47
107/07/25,"110,795","1,609,727",14.6,14.6,14.35,14.6,-0.05,58
107/07/26,"79,498","1,167,019",14.6,14.8,14.6,14.7,0.1,52
107/07/27,"177,533","2,586,050",14.7,14.7,14.5,14.55,-0.15,86
107/07/30,"182,264","2,660,128",14.6,14.7,14.55,14.6,0.05,76
107/07/31,"206,794","3,028,912",14.6,14.75,14.6,14.6,0.0,84
107/08/01,"296,057","4,310,276",14.6,14.75,14.5,14.55,-0.05,119
107/08/02,"207,001","2,991,763",14.7,14.7,14.4,14.4,-0.15,112
107/08/03,"284,330","4,095,217",14.65,14.65,14.35,14.4,0.0,118
107/08/06,"262,654","3,758,235",14.35,14.45,14.25,14.35,-0.05,114
107/08/07,"276,324","3,925,817",14.25,14.3,14.15,14.2,-0.15,93
107/08/08,"331,747","4,684,058",14.15,14.25,14.05,14.1,-0.1,125
107/08/09,"508,632","7,165,498",14.1,14.3,14.0,14.05,-0.05,151
107/08/10,"296,935","4,160,591",14.1,14.2,13.9,14.0,-0.05,136
107/08/13,"384,343","5,186,791",13.85,13.85,13.3,13.4,-0.6,146
107/08/14,"516,831","7,209,681",14.0,14.1,13.8,13.8,0.4,190
107/08/15,"341,530","4,680,328",13.7,13.85,13.6,13.65,-0.15,131
107/08/16,"281,428","3,860,618",13.65,13.95,13.55,13.65,0.0,148
107/08/17,"107,733","1,483,168",13.9,13.9,13.7,13.7,0.05,58
107/08/20,"5,400,146","67,011,399",12.35,12.75,12.35,12.35,-1.35,"1,008"
107/08/21,"1,032,341","12,719,973",12.4,12.45,12.15,12.15,-0.2,353
107/08/22,"356,450","4,348,787",12.15,12.25,12.15,12.25,0.1,168
107/08/23,"434,233","5,370,140",12.25,12.5,12.25,12.3,0.05,164
107/08/24,"431,818","5,361,972",12.4,12.55,12.25,12.55,0.25,197
107/08/27,"496,265","6,123,359",12.5,12.55,12.25,12.35,-0.2,185
107/08/28,"612,162","7,524,242",12.45,12.45,12.2,12.3,-0.05,157
107/08/29,"216,040","2,663,136",12.35,12.4,12.3,12.3,0.0,100
107/08/30,"257,601","3,180,289",12.3,12.4,12.3,12.35,0.05,84
107/08/31,"289,814","3,547,348",12.35,12.35,12.15,12.2,-0.15,141
107/09/03,"525,061","6,330,622",12.2,12.3,11.95,11.95,-0.25,215
107/09/04,"377,363","4,505,294",11.75,12.05,11.75,11.95,0.0,120
107/09/05,"428,359","5,001,659",11.95,12.0,11.5,11.6,-0.35,203
107/09/06,"2,180,215","27,328,937",11.6,12.75,11.45,12.75,1.15,481
107/09/07,"3,216,702","41,413,032",12.9,13.2,12.35,12.35,-0.4,"1,009"
