date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,51,552,10.75,11.20,10.75,10.75,-0.95,17
107/07/03,4,39,9.80,9.89,9.80,9.89,-0.86,3
107/07/04,0,0,--,--,--,--,0.0,1
107/07/05,36,355,10.20,10.20,9.50,9.50,-1.0,12
107/07/06,12,124,10.30,10.30,10.30,10.30,0.8,6
107/07/09,24,258,11.00,11.25,10.50,10.50,0.2,14
107/07/10,2,20,10.15,10.15,10.15,10.15,-0.35,1
107/07/11,2,20,9.59,10.25,9.59,10.25,0.1,4
107/07/12,0,0,--,--,--,--,0.0,4
107/07/13,0,0,--,--,--,--,0.0,0
107/07/16,5,53,10.30,10.30,10.30,10.30,0.0,3
107/07/17,0,0,--,--,--,--,0.0,1
107/07/18,0,0,--,--,--,--,0.0,0
107/07/19,6,64,11.00,11.00,10.50,10.50,0.15,2
107/07/20,0,0,--,--,--,--,0.0,1
107/07/23,0,0,--,--,--,--,0.0,0
107/07/24,41,440,10.50,11.45,10.50,10.80,0.3,6
107/07/25,0,0,--,--,--,--,0.0,0
107/07/26,0,0,--,--,--,--,0.0,0
107/07/27,0,0,--,--,--,--,0.0,4
107/07/30,0,0,--,--,--,--,0.0,1
107/07/31,11,118,10.80,10.80,10.50,10.50,0.0,6
107/08/01,28,314,10.80,11.45,10.80,11.45,0.95,16
107/08/02,0,0,--,--,--,--,0.0,2
107/08/03,0,1,--,--,--,--,0.0,2
107/08/06,0,0,--,--,--,--,0.0,0
107/08/07,6,62,10.30,10.30,10.30,10.30,-1.1,5
107/08/08,3,29,9.80,9.80,9.80,9.80,-0.5,2
107/08/09,19,193,10.00,10.60,9.40,9.40,-0.4,13
107/08/10,3,30,9.50,10.30,9.50,10.30,0.9,4
107/08/13,0,0,--,--,--,--,0.0,12
107/08/14,0,0,--,--,--,--,0.0,0
107/08/15,0,0,--,--,--,--,0.0,0
107/08/16,0,0,--,--,--,--,0.0,0
107/08/17,0,0,--,--,--,--,0.0,0
107/08/20,25,260,10.35,10.70,10.30,10.70,0.45,3
107/08/21,12,132,11.00,11.00,11.00,11.00,0.3,7
107/08/22,0,0,--,--,--,--,0.0,0
107/08/23,0,0,--,--,--,--,0.0,1
107/08/24,0,0,--,--,--,--,0.0,2
107/08/27,0,0,--,--,--,--,0.0,1
107/08/28,0,0,--,--,--,--,0.0,0
107/08/29,0,0,--,--,--,--,0.0,0
107/08/30,14,153,10.90,10.90,10.90,10.90,0.1,4
107/08/31,31,336,10.70,10.70,10.50,10.70,-0.2,10
107/09/03,12,130,10.70,11.00,10.70,10.85,0.15,3
107/09/04,28,310,10.85,11.00,10.85,11.00,0.15,15
107/09/05,15,163,10.80,10.90,10.80,10.90,-0.1,6
107/09/06,15,169,10.90,10.90,10.90,10.90,0.0,5
107/09/07,0,0,--,--,--,--,0.0,2
107/09/10,0,0,--,--,--,--,0.0,0
107/09/11,0,0,--,--,--,--,0.0,2
107/09/12,11,120,10.65,10.85,10.65,10.85,0.2,4
107/09/13,1,11,10.85,10.85,10.85,10.85,0.0,1
107/09/14,43,465,10.85,10.95,10.50,10.95,0.1,9
107/09/17,17,188,10.85,10.85,10.85,10.85,-0.1,8
107/09/18,6,63,10.50,10.50,10.50,10.50,-0.35,1
107/09/19,24,259,10.70,10.85,10.70,10.80,0.3,10
107/09/20,129,"1,360",10.85,10.90,10.50,10.50,-0.3,22
107/09/21,17,184,10.85,10.90,10.45,10.45,-0.05,9
107/09/25,19,205,10.70,10.85,10.70,10.85,0.4,6
107/09/26,9,99,10.85,10.85,10.85,10.85,0.0,5
107/09/27,10,109,10.85,10.85,10.85,10.85,0.0,2
107/09/28,62,663,10.80,10.85,10.55,10.85,0.0,6
107/10/01,28,303,10.85,10.85,10.80,10.80,-0.05,15
107/10/02,28,295,10.80,10.80,10.50,10.50,-0.3,10
107/10/03,0,0,--,--,--,--,0.0,3
107/10/04,3,32,10.70,10.70,10.70,10.70,0.2,1
107/10/05,10,105,10.50,10.50,10.50,10.50,-0.2,4
107/10/08,0,0,--,--,--,--,0.0,3
