date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"102,448","2,062,074",20.2,20.2,20.1,20.1,-0.10,48
107/07/03,"81,510","1,632,750",20.1,20.1,20.0,20.0,-0.10,49
107/07/04,"93,691","1,868,370",20.05,20.05,19.9,20.0, 0.00,78
107/07/05,"78,295","1,560,314",19.9,20.0,19.9,19.95,-0.05,54
107/07/06,"187,193","3,708,915",20.0,20.0,19.7,19.8,-0.15,120
107/07/09,"79,665","1,588,350",19.8,20.05,19.8,20.0,+0.20,55
107/07/10,"142,192","2,864,534",20.0,20.25,20.0,20.25,+0.25,86
107/07/11,"96,133","1,928,260",20.2,20.2,20.0,20.0,-0.25,58
107/07/12,"194,855","3,910,502",20.0,20.15,20.0,20.05,+0.05,74
107/07/13,"180,746","3,637,042",20.15,20.2,20.1,20.15,+0.10,92
107/07/16,"188,440","3,788,512",20.15,20.25,20.0,20.15, 0.00,106
107/07/17,"119,421","2,397,839",20.15,20.2,20.0,20.05,-0.10,48
107/07/18,"162,422","3,265,857",20.15,20.2,20.05,20.05, 0.00,95
107/07/19,"115,175","2,312,458",20.1,20.1,20.05,20.1,+0.05,55
107/07/20,"140,818","2,827,698",20.0,20.15,20.0,20.05,-0.05,78
107/07/23,"145,858","2,921,550",20.05,20.1,20.0,20.1,+0.05,75
107/07/24,"132,100","2,657,210",20.15,20.15,20.1,20.15,+0.05,59
107/07/25,"129,719","2,616,268",20.25,20.25,20.15,20.15, 0.00,88
107/07/26,"274,360","5,550,484",20.25,20.3,20.15,20.25,+0.10,143
107/07/27,"427,030","8,768,014",20.35,20.65,20.35,20.6,+0.35,221
107/07/30,"222,143","4,612,667",20.8,20.9,20.65,20.75,+0.15,150
107/07/31,"183,350","3,803,860",20.75,20.85,20.6,20.7,-0.05,124
107/08/01,"1,264,961","26,432,631",20.75,21.25,20.75,20.9,+0.20,295
107/08/02,"1,429,810","29,858,860",20.9,21.1,20.75,20.85,-0.05,184
107/08/03,"1,028,705","21,570,172",21.0,21.05,20.9,20.95,+0.10,221
107/08/06,"1,338,340","28,183,401",21.0,21.2,21.0,21.05,+0.10,606
107/08/07,"2,318,747","45,071,961",19.45,19.5,19.35,19.4,X0.00,505
107/08/08,"1,081,047","21,084,666",19.5,19.55,19.45,19.45,+0.05,181
107/08/09,"764,844","14,897,455",19.45,19.6,19.45,19.55,+0.10,112
107/08/10,"206,500","4,043,549",19.65,19.65,19.5,19.55, 0.00,117
107/08/13,"429,509","8,239,116",19.5,19.5,19.0,19.05,-0.50,245
107/08/14,"113,624","2,184,782",19.1,19.35,19.1,19.25,+0.20,72
107/08/15,"291,081","5,524,988",19.25,19.25,18.9,18.95,-0.30,182
107/08/16,"150,741","2,842,129",18.95,18.95,18.8,18.85,-0.10,101
107/08/17,"89,175","1,692,325",19.1,19.1,18.85,19.0,+0.15,67
107/08/20,"146,954","2,777,474",19.0,19.0,18.8,18.85,-0.15,104
107/08/21,"103,852","1,970,812",18.85,19.0,18.85,19.0,+0.15,45
107/08/22,"125,886","2,388,184",19.0,19.0,18.9,18.95,-0.05,71
107/08/23,"139,006","2,630,822",18.9,19.0,18.85,19.0,+0.05,73
107/08/24,"153,248","2,894,712",19.0,19.0,18.85,18.95,-0.05,74
107/08/27,"46,338","877,317",18.9,19.0,18.9,18.95, 0.00,46
107/08/28,"112,380","2,132,920",18.95,19.1,18.95,18.95, 0.00,72
107/08/29,"62,539","1,183,293",18.95,18.95,18.85,18.9,-0.05,41
107/08/30,"119,712","2,262,478",18.85,18.95,18.85,18.9, 0.00,72
107/08/31,"151,200","2,856,500",18.9,19.0,18.85,19.0,+0.10,94
107/09/03,"99,674","1,896,555",19.0,19.1,18.95,18.95,-0.05,63
107/09/04,"71,077","1,347,765",18.9,19.0,18.9,18.95, 0.00,59
107/09/05,"90,192","1,712,021",18.95,19.0,18.95,18.95, 0.00,48
107/09/06,"67,896","1,283,952",18.95,18.95,18.85,18.85,-0.10,57
107/09/07,"172,044","3,220,522",18.85,18.85,18.55,18.65,-0.20,133
107/09/10,"307,670","5,660,109",18.8,18.8,18.2,18.25,-0.40,180
107/09/11,"84,551","1,548,024",18.25,18.4,18.2,18.4,+0.15,59
107/09/12,"78,266","1,433,919",18.4,18.4,18.25,18.3,-0.10,63
107/09/13,"57,312","1,056,284",18.3,18.5,18.3,18.4,+0.10,51
107/09/14,"227,470","4,208,282",18.4,18.75,18.4,18.55,+0.15,138
107/09/17,"73,797","1,366,855",18.55,18.6,18.5,18.5,-0.05,110
107/09/18,"78,866","1,453,715",18.5,18.5,18.4,18.4,-0.10,77
107/09/19,"168,862","3,105,992",18.3,18.45,18.3,18.4, 0.00,124
107/09/20,"93,385","1,714,344",18.4,18.4,18.35,18.35,-0.05,75
107/09/21,"83,126","1,530,309",18.35,18.45,18.35,18.4,+0.05,79
107/09/25,"63,688","1,171,233",18.5,18.5,18.35,18.4, 0.00,65
107/09/26,"55,604","1,023,583",18.4,18.45,18.35,18.4, 0.00,53
107/09/27,"66,760","1,226,162",18.45,18.45,18.35,18.35,-0.05,56
107/09/28,"103,526","1,903,422",18.4,18.5,18.35,18.35, 0.00,77
107/10/01,"71,088","1,310,771",18.4,18.5,18.35,18.45,+0.10,58
107/10/02,"58,058","1,069,414",18.45,18.5,18.35,18.35,-0.10,57
107/10/03,"66,161","1,219,058",18.4,18.45,18.4,18.4,+0.05,54
107/10/04,"77,536","1,422,608",18.4,18.4,18.3,18.35,-0.05,63
107/10/05,"187,772","3,413,759",18.25,18.25,18.1,18.2,-0.15,110
107/10/08,"167,883","3,039,452",18.05,18.15,18.05,18.1,-0.10,98
107/10/09,"173,704","3,127,385",18.1,18.1,17.95,18.0,-0.10,107
107/10/11,"534,312","9,098,930",17.6,17.7,16.65,16.7,-1.30,303
107/10/12,"412,695","6,796,609",16.35,16.75,16.05,16.75,+0.05,225
107/10/15,"95,102","1,587,257",16.75,16.8,16.6,16.8,+0.05,76
107/10/16,"102,094","1,721,083",16.7,17.0,16.7,16.9,+0.10,62
107/10/17,"109,687","1,864,408",16.9,17.1,16.9,17.0,+0.10,61
107/10/18,"106,774","1,813,558",17.0,17.05,16.95,17.0, 0.00,51
107/10/19,"102,405","1,703,810",16.5,16.75,16.5,16.65,-0.35,73
107/10/22,"32,575","537,946",16.5,16.6,16.45,16.6,-0.05,43
107/10/23,"82,273","1,372,353",16.6,16.85,16.5,16.7,+0.10,66
107/10/24,"44,462","742,735",16.7,16.75,16.65,16.7, 0.00,36
107/10/25,"133,463","2,161,743",16.2,16.35,16.1,16.2,-0.50,77
107/10/26,"152,541","2,484,991",16.35,16.5,16.1,16.25,+0.05,94
107/10/29,"143,593","2,285,333",15.85,16.2,15.8,15.85,-0.40,98
107/10/30,"118,499","1,873,334",15.85,16.0,15.65,15.8,-0.05,79
107/10/31,"56,379","900,082",15.8,16.0,15.8,16.0,+0.20,49
107/11/01,"41,351","663,398",16.1,16.1,16.0,16.05,+0.05,36
107/11/02,"91,875","1,473,877",16.1,16.15,16.0,16.1,+0.05,72
107/11/05,"174,020","2,856,583",16.1,16.7,16.1,16.65,+0.55,119
107/11/06,"49,100","816,234",16.65,16.7,16.55,16.55,-0.10,35
107/11/07,"76,004","1,253,168",16.6,16.6,16.4,16.55, 0.00,50
107/11/08,"50,708","841,496",16.85,16.9,16.5,16.55, 0.00,58
107/11/09,"24,183","398,903",16.5,16.5,16.45,16.5,-0.05,21
107/11/12,"35,251","579,490",16.5,16.5,16.3,16.5, 0.00,34
107/11/13,"66,212","1,079,947",16.5,16.5,16.2,16.5, 0.00,61
107/11/14,"106,450","1,783,508",16.6,16.8,16.6,16.75,+0.25,65
107/11/15,"42,757","716,924",16.75,16.85,16.7,16.85,+0.10,43
107/11/16,"143,243","2,430,638",16.85,17.05,16.85,17.05,+0.20,112
107/11/19,"72,624","1,251,392",17.15,17.3,17.15,17.3,+0.25,65
107/11/20,"115,211","1,965,542",17.1,17.2,17.0,17.0,-0.30,83
107/11/21,"54,238","924,143",16.95,17.1,16.95,17.1,+0.10,46
107/11/22,"47,055","805,135",17.05,17.15,17.05,17.15,+0.05,40
107/11/23,"131,900","2,265,380",17.2,17.25,17.1,17.25,+0.10,65
