date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,175,"8,358",47.6,48.15,47.6,47.9,0.3,98
107/07/03,215,"10,258",47.9,48.0,47.5,47.5,-0.4,113
107/07/04,307,"14,586",47.5,47.9,47.1,47.5,0.0,180
107/07/05,318,"13,706",43.5,43.55,42.5,42.6,-0.9,171
107/07/06,140,"5,913",42.9,42.9,42.0,42.2,-0.4,127
107/07/09,105,"4,385",42.2,42.2,41.4,41.45,-0.75,90
107/07/10,55,"2,276",41.45,41.5,41.3,41.5,0.05,46
107/07/11,26,"1,085",41.5,41.9,41.5,41.8,0.3,25
107/07/12,46,"1,926",41.55,42.2,41.55,42.2,0.4,41
107/07/13,50,"2,132",42.5,42.9,42.5,42.9,0.7,40
107/07/16,71,"3,097",43.8,44.0,43.2,44.0,1.1,52
107/07/17,58,"2,543",44.0,44.5,43.65,44.5,0.5,51
107/07/18,58,"2,549",44.5,44.5,43.5,43.5,-1.0,42
107/07/19,33,"1,406",44.6,44.6,42.15,43.35,-0.15,39
107/07/20,28,"1,218",43.35,43.7,42.85,43.5,0.15,28
107/07/23,30,"1,313",43.5,43.5,43.25,43.3,-0.2,24
107/07/24,20,863,43.0,43.3,43.0,43.0,-0.3,21
107/07/25,18,794,43.0,43.85,42.7,43.2,0.2,20
107/07/26,35,"1,507",43.2,43.2,42.8,42.95,-0.25,36
107/07/27,45,"1,961",42.95,43.65,42.8,43.2,0.25,42
107/07/30,40,"1,723",43.5,43.5,42.85,42.85,-0.35,37
107/07/31,38,"1,632",42.3,43.0,42.3,43.0,0.15,36
107/08/01,55,"2,362",43.0,43.0,42.35,42.65,-0.35,57
107/08/02,40,"1,721",42.65,42.95,42.6,42.75,0.1,47
107/08/03,39,"1,688",42.6,43.0,42.6,43.0,0.25,32
107/08/06,216,"9,546",43.0,44.6,43.0,44.45,1.45,173
107/08/07,59,"2,628",45.0,45.0,44.4,44.55,0.1,53
107/08/08,44,"1,954",44.8,44.8,44.0,44.45,-0.1,41
