date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"3,012","204,439",66.3,68.8,66.0,67.8,2.1,"1,822"
107/07/03,"1,730","116,717",68.4,68.4,67.0,67.0,-0.8,"1,020"
107/07/04,795,"53,187",66.8,67.4,66.6,66.9,-0.1,454
107/07/05,"1,407","93,338",66.9,66.9,66.0,66.4,-0.5,817
107/07/06,"2,321","152,268",66.6,66.8,64.6,65.1,-1.3,"1,103"
107/07/09,"1,940","127,070",65.5,66.0,65.3,65.3,0.2,836
107/07/10,"3,418","224,780",65.4,66.8,65.4,65.7,0.4,"1,613"
107/07/11,"4,948","289,490",59.0,59.1,57.5,58.1,-1.6,"1,988"
107/07/12,987,"57,378",57.9,58.6,57.7,58.1,0.0,713
107/07/13,840,"48,960",58.5,58.5,58.1,58.2,0.1,561
107/07/16,847,"49,331",58.5,58.8,58.0,58.0,-0.2,534
107/07/17,"1,440","82,534",58.0,58.0,57.0,57.0,-1.0,908
107/07/18,"1,464","82,848",57.2,57.5,56.1,56.4,-0.6,"1,088"
107/07/19,"2,321","128,875",56.7,56.8,54.7,54.8,-1.6,"1,529"
107/07/20,"2,866","154,770",54.8,55.0,53.2,53.2,-1.6,"1,884"
107/07/23,"3,849","197,839",52.9,53.0,50.4,50.4,-2.8,"2,296"
107/07/24,"4,026","212,068",50.6,54.2,50.6,53.9,3.5,"2,585"
107/07/25,"1,541","83,425",53.7,54.7,53.2,54.2,0.3,"1,072"
107/07/26,629,"33,904",54.3,54.4,53.6,54.0,-0.2,467
107/07/27,609,"32,725",54.3,54.3,53.6,53.7,-0.3,442
107/07/30,906,"48,261",53.9,54.0,52.7,52.9,-0.8,632
107/07/31,"1,202","64,735",53.4,54.3,53.3,54.0,1.1,776
107/08/01,996,"53,665",54.0,54.2,53.5,54.0,0.0,608
107/08/02,"4,880","271,258",54.0,56.7,54.0,56.3,2.3,"2,788"
107/08/03,"5,632","320,997",56.9,57.5,56.4,57.4,1.1,"3,372"
107/08/06,"1,923","109,938",57.2,57.7,56.6,57.4,0.0,"1,197"
107/08/07,"2,429","140,794",57.7,58.3,57.6,57.7,0.3,"1,434"
107/08/08,"1,326","76,208",58.0,58.1,57.2,57.2,-0.5,896
107/08/09,"1,458","82,012",57.0,57.0,55.8,56.0,-1.2,"1,017"
107/08/10,"2,269","125,430",56.0,56.4,54.7,54.7,-1.3,"1,506"
107/08/13,"4,887","249,951",52.1,52.4,50.5,51.8,-2.9,"2,785"
107/08/14,"1,874","96,339",52.2,52.3,50.6,51.6,-0.2,"1,041"
107/08/15,"1,557","79,751",51.5,51.9,50.6,51.3,-0.3,"1,121"
107/08/16,"1,538","79,077",51.2,52.2,50.3,51.6,0.3,987
107/08/17,"1,428","73,148",51.6,52.2,50.7,50.7,-0.9,897
107/08/20,"2,472","122,298",50.7,51.3,48.1,48.8,-1.9,"1,598"
107/08/21,"2,260","109,684",48.8,49.1,48.0,48.55,-0.25,"1,477"
107/08/22,"1,203","59,234",48.85,49.9,48.65,49.55,1.0,772
107/08/23,"1,236","62,300",50.1,50.9,49.9,50.3,0.75,873
107/08/24,791,"39,923",50.0,51.5,50.0,50.2,-0.1,565
107/08/27,"1,308","66,860",50.3,51.6,50.3,51.6,1.4,815
107/08/28,"2,570","135,843",53.0,53.3,52.3,52.4,0.8,"1,686"
107/08/29,950,"49,804",52.4,52.9,52.0,52.7,0.3,717
107/08/30,625,"32,824",52.7,53.1,52.2,52.3,-0.4,468
107/08/31,708,"36,844",52.3,52.5,51.8,52.3,0.0,478
107/09/03,821,"42,362",52.3,52.5,50.9,50.9,-1.4,551
107/09/04,597,"30,556",51.5,51.5,50.6,51.0,0.1,345
107/09/05,"4,609","245,697",53.0,54.1,52.8,52.8,1.8,"2,839"
107/09/06,"2,098","108,716",52.4,52.5,51.2,51.6,-1.2,"1,263"
107/09/07,"2,629","131,869",51.0,51.2,49.0,49.75,-1.85,"1,701"
107/09/10,"1,551","75,449",50.0,50.3,48.0,48.3,-1.45,"1,045"
107/09/11,931,"45,746",48.7,49.8,48.6,49.4,1.1,593
107/09/12,671,"33,038",49.9,49.9,48.65,49.45,0.05,486
107/09/13,559,"27,846",49.85,50.1,49.5,49.5,0.05,405
107/09/14,"1,512","76,189",49.5,51.0,49.5,50.7,1.2,895
107/09/17,942,"47,815",50.8,51.3,50.2,50.9,0.2,630
107/09/18,807,"41,034",50.3,51.2,50.2,51.1,0.2,554
107/09/19,"1,281","66,261",51.6,52.4,51.3,51.7,0.6,894
107/09/20,"1,023","51,773",51.9,51.9,50.0,50.1,-1.6,681
107/09/21,"1,000","50,024",50.2,50.8,49.2,50.3,0.2,667
107/09/25,867,"43,917",50.1,51.3,50.0,50.3,0.0,491
107/09/26,718,"35,816",50.1,50.1,49.7,49.75,-0.55,509
107/09/27,647,"31,974",49.3,49.75,49.3,49.3,-0.45,486
107/09/28,594,"29,263",49.7,49.8,49.1,49.1,-0.2,359
107/10/01,382,"18,940",49.1,49.8,49.1,49.6,0.5,283
107/10/02,395,"19,502",49.75,49.8,49.15,49.3,-0.3,285
107/10/03,784,"38,603",49.4,49.8,48.6,48.6,-0.7,493
107/10/04,751,"36,383",48.6,49.0,48.25,48.3,-0.3,487
107/10/05,"2,188","101,420",48.0,48.0,44.8,46.0,-2.3,"1,340"
107/10/08,"1,053","48,311",46.0,46.6,45.2,45.55,-0.45,658
107/10/09,"1,058","48,388",45.7,46.4,45.1,45.55,0.0,590
107/10/11,"3,818","157,538",41.1,43.0,41.0,41.0,-4.55,"1,721"
107/10/12,"1,652","67,670",39.8,41.8,39.8,41.35,0.35,918
107/10/15,"1,698","68,195",40.3,40.9,39.8,40.0,-1.35,"1,077"
107/10/16,"1,274","51,773",39.8,41.2,39.6,40.35,0.35,777
107/10/17,"1,268","51,455",41.2,41.35,40.0,40.4,0.05,862
107/10/18,522,"21,023",40.6,40.9,40.0,40.05,-0.35,395
107/10/19,826,"32,404",39.3,39.5,38.9,39.5,-0.55,565
107/10/22,391,"15,572",39.5,40.25,39.2,40.1,0.6,294
107/10/23,603,"23,670",39.8,39.9,39.0,39.0,-1.1,471
107/10/24,"1,167","45,350",39.0,39.3,38.55,38.55,-0.45,719
107/10/25,"1,575","56,636",35.6,36.8,35.0,35.15,-3.4,884
107/10/26,"1,978","69,551",35.8,36.6,34.05,35.15,0.0,"1,074"
107/10/29,940,"33,180",35.2,35.9,34.8,35.6,0.45,520
107/10/30,740,"26,713",35.6,36.5,35.6,36.2,0.6,555
107/10/31,"1,028","38,434",36.6,37.8,36.6,37.7,1.5,722
107/11/01,744,"28,524",38.95,38.95,37.75,38.5,0.8,513
107/11/02,"1,150","44,637",38.85,39.25,38.15,38.55,0.05,750
107/11/05,470,"18,117",38.5,38.85,38.1,38.7,0.15,316
107/11/06,477,"18,280",39.0,39.0,38.05,38.15,-0.55,319
107/11/07,811,"31,328",38.0,39.0,38.0,38.85,0.7,455
107/11/08,"2,857","106,762",38.3,38.6,36.5,37.1,-1.75,"1,816"
107/11/09,"1,005","36,836",36.8,37.4,36.3,36.55,-0.55,633
107/11/12,774,"28,524",36.1,37.35,36.0,37.2,0.65,526
107/11/13,764,"28,477",37.2,37.6,36.45,37.6,0.4,520
107/11/14,"2,065","80,254",37.8,39.3,37.8,38.95,1.35,"1,280"
107/11/15,826,"32,226",39.0,39.55,38.5,39.0,0.05,603
107/11/16,670,"26,151",39.3,39.35,38.8,39.0,0.0,425
107/11/19,"1,281","51,171",39.5,40.65,39.2,40.45,1.45,883
107/11/20,905,"36,359",40.25,40.6,39.85,40.15,-0.3,523
107/11/21,"1,777","72,445",39.75,41.2,39.7,41.0,0.85,"1,137"
107/11/22,945,"38,414",41.2,41.2,40.15,40.4,-0.6,652
107/11/23,799,"32,368",40.7,41.1,40.2,40.25,-0.15,566
107/11/26,673,"27,276",39.5,41.0,39.5,41.0,0.75,449
107/11/27,848,"34,754",41.05,41.35,40.5,41.1,0.1,594
107/11/28,"1,225","50,282",41.4,41.4,40.65,41.4,0.3,825
107/11/29,"1,460","61,424",42.4,42.7,41.1,41.2,-0.2,963
107/11/30,"1,441","59,189",41.25,42.25,39.8,39.8,-1.4,770
107/12/03,"2,768","117,263",41.1,43.5,41.0,43.5,3.7,"1,657"
107/12/04,"4,914","220,840",44.1,45.35,44.05,45.3,1.8,"2,527"
107/12/05,"3,118","138,434",44.1,45.55,43.05,45.55,0.25,"1,648"
107/12/06,"2,168","95,044",45.6,45.7,42.15,42.4,-3.15,"1,287"
107/12/07,705,"30,640",43.1,43.9,43.1,43.4,1.0,502
107/12/10,956,"39,695",41.6,42.5,41.0,41.15,-2.25,702
107/12/11,585,"24,092",41.5,41.95,40.55,40.7,-0.45,453
107/12/12,669,"27,734",40.9,41.7,40.9,41.7,1.0,444
107/12/13,514,"21,568",42.0,42.2,41.7,41.9,0.2,358
107/12/14,649,"26,564",41.3,41.3,40.4,40.9,-1.0,443
107/12/17,543,"22,072",40.7,40.95,40.4,40.5,-0.4,311
107/12/18,741,"29,605",40.05,40.3,39.6,39.8,-0.7,548
107/12/19,404,"16,142",40.0,40.15,39.75,39.85,0.05,321
107/12/20,424,"16,759",39.8,40.0,39.05,39.1,-0.75,316
107/12/21,382,"14,990",38.55,39.75,38.55,39.75,0.65,238
107/12/22,192,"7,580",39.75,39.75,39.3,39.3,-0.45,131
107/12/24,396,"15,761",39.5,40.15,39.25,40.1,0.8,261
107/12/25,379,"15,092",39.9,39.95,39.55,39.85,-0.25,239
