date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,29,420,14.5,14.5,14.45,14.5,-0.15,10
107/07/03,10,148,14.5,14.5,14.35,14.5,0.0,12
107/07/04,27,391,14.4,14.6,14.4,14.55,0.05,14
107/07/05,10,144,14.55,14.55,14.35,14.5,-0.05,9
107/07/06,10,145,14.4,14.45,14.4,14.4,-0.1,8
107/07/09,65,950,14.4,14.75,14.4,14.55,0.15,22
107/07/10,20,288,14.5,14.5,14.25,14.5,-0.05,18
107/07/11,15,216,14.55,14.55,14.3,14.45,-0.05,13
107/07/12,12,173,14.45,14.5,14.3,14.4,-0.05,8
107/07/13,13,188,14.35,14.5,14.35,14.5,0.1,11
107/07/16,30,432,14.35,14.45,14.3,14.4,-0.1,20
107/07/17,23,332,14.4,14.55,14.4,14.4,0.0,15
107/07/18,18,259,14.5,14.5,14.35,14.35,-0.05,11
107/07/19,13,187,14.35,14.4,14.35,14.4,0.05,9
107/07/20,27,390,14.35,14.5,14.35,14.5,0.1,8
107/07/23,41,599,14.7,14.8,14.45,14.55,0.05,23
107/07/24,39,572,14.4,14.8,14.4,14.8,0.25,20
107/07/25,41,609,14.9,15.05,14.7,14.7,-0.1,33
107/07/26,27,400,14.85,14.9,14.7,14.8,0.1,20
107/07/27,16,236,14.9,14.9,14.65,14.65,-0.15,13
107/07/30,8,118,14.65,14.8,14.6,14.7,0.05,6
107/07/31,27,403,14.7,14.8,14.6,14.8,0.1,27
107/08/01,36,521,14.5,14.5,14.4,14.4,0.1,20
107/08/02,27,388,14.4,14.6,14.3,14.35,-0.05,21
107/08/03,31,448,14.5,14.55,14.35,14.4,0.05,22
107/08/06,26,374,14.4,14.45,14.3,14.35,-0.05,20
107/08/07,33,472,14.35,14.35,14.25,14.35,0.0,22
107/08/08,258,"3,866",14.75,15.55,14.65,14.85,0.5,170
107/08/09,36,540,14.9,15.1,14.7,14.8,-0.05,33
107/08/10,43,641,14.75,15.0,14.65,14.9,0.1,36
107/08/13,93,"1,372",14.75,14.85,14.7,14.85,-0.05,47
107/08/14,30,449,14.8,14.95,14.75,14.95,0.1,20
107/08/15,46,681,14.95,14.95,14.65,14.7,-0.25,27
107/08/16,16,237,14.75,14.75,14.6,14.7,0.0,11
107/08/17,15,221,14.85,14.85,14.65,14.8,0.1,7
107/08/20,31,460,14.8,14.85,14.75,14.85,0.05,17
107/08/21,67,"1,003",15.0,15.05,14.85,15.0,0.15,38
107/08/22,21,318,15.0,15.15,14.9,14.9,-0.1,17
107/08/23,15,224,15.0,15.0,14.9,14.95,0.05,9
107/08/24,20,298,14.95,14.95,14.8,14.9,-0.05,15
107/08/27,36,532,14.75,15.0,14.75,14.9,0.0,11
107/08/28,44,654,15.0,15.05,15.0,15.05,0.15,25
107/08/29,37,555,15.1,15.1,14.95,15.1,0.05,28
107/08/30,304,"4,668",15.0,15.6,15.0,15.55,0.45,153
107/08/31,242,"3,813",15.8,16.1,15.5,15.5,-0.05,149
107/09/03,130,"1,969",15.5,15.5,15.0,15.05,-0.45,82
107/09/04,107,"1,615",15.0,15.2,15.0,15.1,0.05,47
107/09/05,81,"1,218",15.0,15.1,14.9,15.0,-0.1,41
107/09/06,64,966,15.15,15.15,14.95,15.0,0.0,19
107/09/07,56,840,15.0,15.1,14.95,15.05,0.05,22
107/09/10,51,757,14.8,14.9,14.8,14.9,-0.15,26
107/09/11,31,463,14.8,15.0,14.8,15.0,0.1,18
107/09/12,48,720,14.9,15.1,14.8,15.1,0.1,20
107/09/13,35,526,15.05,15.1,15.0,15.1,0.0,17
107/09/14,57,864,15.15,15.15,15.05,15.05,-0.05,30
107/09/17,20,307,15.0,15.1,15.0,15.05,0.0,14
107/09/18,40,602,15.0,15.1,15.0,15.05,0.0,13
107/09/19,63,951,14.95,15.3,14.95,15.2,0.15,32
107/09/20,55,836,15.35,15.35,15.1,15.25,0.05,21
107/09/21,57,871,15.25,15.4,15.15,15.35,0.1,25
107/09/25,93,"1,421",15.35,15.4,15.15,15.35,0.0,32
107/09/26,25,384,15.35,15.4,15.25,15.35,0.0,22
107/09/27,45,692,15.4,15.4,15.3,15.4,0.05,20
107/09/28,412,"6,672",15.4,16.75,15.35,16.35,0.95,226
107/10/01,364,"5,998",16.5,16.85,15.7,15.95,-0.4,221
107/10/02,48,769,15.8,16.35,15.7,15.7,-0.25,38
107/10/03,51,793,15.65,15.8,15.35,15.6,-0.1,38
107/10/04,60,930,15.4,15.75,15.4,15.5,-0.1,39
107/10/05,238,"3,522",15.0,15.55,14.2,15.0,-0.5,151
107/10/08,11,162,14.8,14.8,14.7,14.75,-0.25,8
107/10/09,27,398,15.25,15.25,14.5,14.7,-0.05,26
107/10/11,151,"2,006",13.65,13.9,13.25,13.3,-1.4,86
107/10/12,83,"1,083",12.2,13.55,12.2,13.3,0.0,32
107/10/15,37,489,13.3,13.3,13.2,13.3,0.0,8
107/10/16,65,891,13.2,13.7,13.2,13.5,0.2,15
107/10/17,22,294,13.6,13.6,13.15,13.2,-0.3,19
107/10/18,37,484,13.2,13.2,12.8,12.95,-0.25,32
107/10/19,6,79,12.95,12.95,12.9,12.9,-0.05,7
107/10/22,8,103,12.85,13.05,12.85,13.05,0.15,7
107/10/23,103,"1,342",13.05,13.05,13.0,13.0,-0.05,5
107/10/24,13,165,12.55,12.8,12.55,12.75,-0.25,12
107/10/25,16,199,12.0,12.5,12.0,12.45,-0.3,12
107/10/26,103,"1,252",12.15,12.3,12.0,12.15,-0.3,64
107/10/29,3,36,12.1,12.15,12.1,12.15,0.0,3
107/10/30,11,134,12.15,12.45,12.15,12.35,0.2,7
107/10/31,2,25,12.5,12.5,12.5,12.5,0.15,1
107/11/01,9,110,12.35,12.35,12.1,12.35,-0.15,9
107/11/02,10,123,12.35,12.45,12.3,12.35,0.0,9
107/11/05,11,137,12.3,12.4,12.3,12.4,0.05,7
107/11/06,4,49,12.4,12.4,12.2,12.3,-0.1,4
107/11/07,8,102,12.25,12.5,12.25,12.5,0.2,6
107/11/08,8,102,12.5,12.5,12.3,12.35,-0.15,9
107/11/09,5,66,12.7,12.7,12.35,12.5,0.15,5
107/11/12,2,25,12.5,12.5,12.5,12.5,0.0,2
107/11/13,1,13,12.5,12.5,12.5,12.5,0.0,1
107/11/14,17,211,12.5,13.0,12.4,13.0,0.5,13
107/11/15,9,114,12.7,12.75,12.65,12.75,-0.25,8
107/11/16,17,217,12.75,12.75,12.75,12.75,0.0,10
107/11/19,5,68,12.75,12.8,12.75,12.8,0.05,4
107/11/20,52,696,12.85,13.8,12.85,13.25,0.45,40
107/11/21,389,"5,561",13.2,14.55,13.2,14.1,0.85,240
107/11/22,69,945,13.9,13.9,13.45,13.45,-0.65,60
107/11/23,37,488,13.45,13.45,13.05,13.05,-0.4,33
107/11/26,75,"1,032",13.05,14.25,13.05,13.75,0.7,63
107/11/27,166,"2,430",13.95,15.1,13.95,14.4,0.65,126
107/11/28,49,696,14.3,14.4,14.0,14.0,-0.4,37
107/11/29,25,349,14.25,14.25,13.8,13.8,-0.2,18
107/11/30,12,166,13.75,13.85,13.75,13.75,-0.05,9
107/12/03,55,757,13.85,13.85,13.75,13.75,0.0,25
107/12/04,6,84,13.9,13.9,13.7,13.75,0.0,7
107/12/05,6,81,13.45,13.6,13.45,13.5,-0.25,6
107/12/06,25,338,13.55,13.55,13.4,13.4,-0.1,21
107/12/07,13,176,13.5,13.75,13.4,13.4,0.0,11
107/12/10,58,784,13.6,13.65,13.4,13.45,0.05,21
107/12/11,25,338,13.45,13.65,13.4,13.65,0.2,8
107/12/12,33,459,13.75,14.2,13.55,14.0,0.35,15
107/12/13,11,151,13.95,13.95,13.6,13.75,-0.25,9
107/12/14,31,431,13.65,13.95,13.6,13.85,0.1,17
107/12/17,12,166,13.85,13.9,13.85,13.85,0.0,6
107/12/18,95,"1,342",13.85,14.4,13.65,13.8,-0.05,14
107/12/19,4,56,13.85,14.05,13.8,13.8,0.0,4
107/12/20,18,248,13.95,13.95,13.5,13.5,-0.3,11
107/12/21,4,54,13.35,13.7,13.35,13.65,0.15,4
107/12/22,7,95,13.45,13.85,13.45,13.85,0.2,7
107/12/24,33,459,14.3,14.3,13.7,13.7,-0.15,29
107/12/25,11,153,13.65,13.75,13.65,13.7,0.0,12
107/12/26,6,82,13.75,13.75,13.5,13.5,-0.2,5
107/12/27,16,220,13.65,13.95,13.55,13.55,0.05,8
107/12/28,3,41,13.75,13.75,13.7,13.7,0.15,3
108/01/02,3,41,13.55,13.55,13.55,13.55,-0.15,3
108/01/03,13,178,13.8,13.8,13.45,13.55,0.0,5
108/01/04,1,14,13.55,13.55,13.55,13.55,0.0,1
108/01/07,4,54,13.6,13.6,13.5,13.5,-0.05,4
108/01/08,1,16,13.65,13.65,13.65,13.65,0.15,2
108/01/09,31,412,13.5,13.5,13.2,13.2,-0.45,31
108/01/10,16,213,13.2,13.3,13.0,13.15,-0.05,11
108/01/11,9,121,13.4,13.4,13.15,13.2,0.05,9
108/01/14,14,183,13.1,13.2,13.05,13.05,-0.15,9
108/01/15,8,105,13.3,13.3,13.05,13.05,0.0,5
108/01/16,31,407,13.1,13.25,13.1,13.1,0.05,11
108/01/17,5,65,13.05,13.05,13.0,13.0,-0.1,5
108/01/18,17,222,13.0,13.3,13.0,13.3,0.3,13
108/01/21,49,649,13.2,13.7,13.0,13.35,0.05,31
108/01/22,4,53,13.35,13.35,13.1,13.1,-0.25,4
108/01/23,2,26,13.1,13.1,13.1,13.1,0.0,2
108/01/24,16,209,13.05,13.05,12.95,12.95,-0.15,16
108/01/25,12,156,13.0,13.15,12.95,13.1,0.15,11
108/01/28,13,169,13.05,13.25,12.95,13.0,-0.1,12
108/01/29,5,64,12.9,13.0,12.75,12.75,-0.25,5
108/01/30,109,"1,450",12.9,13.5,12.9,13.25,0.5,45
108/02/11,13,172,13.05,13.15,13.05,13.15,-0.1,11
108/02/12,52,686,13.0,13.55,12.95,13.4,0.25,27
108/02/13,39,521,13.25,13.95,13.15,13.95,0.55,29
108/02/14,27,363,13.5,13.5,13.4,13.4,-0.55,24
108/02/15,28,378,13.4,13.5,13.25,13.5,0.1,24
108/02/18,30,406,13.35,13.6,13.35,13.6,0.1,20
108/02/19,29,392,13.6,13.6,13.35,13.5,-0.1,19
108/02/20,74,"1,015",13.5,14.2,13.35,13.75,0.25,42
108/02/21,337,"4,772",13.65,14.5,13.65,14.25,0.5,178
108/02/22,19,267,14.2,14.2,13.85,13.85,-0.4,16
108/02/25,36,493,13.85,13.85,13.65,13.65,-0.2,23
108/02/26,7,96,13.65,13.7,13.65,13.65,0.0,7
108/02/27,9,123,13.8,13.8,13.6,13.6,-0.05,6
108/03/04,29,397,13.65,13.8,13.65,13.8,0.2,13
108/03/05,700,"9,826",13.6,14.25,13.55,13.7,-0.1,167
108/03/06,48,651,13.65,13.7,13.45,13.55,-0.15,34
108/03/07,13,175,13.55,13.55,13.4,13.4,-0.15,10
108/03/08,29,397,13.45,13.85,13.45,13.85,0.45,17
108/03/11,144,"1,999",13.8,14.05,13.55,14.0,0.15,41
108/03/12,422,"6,143",13.85,14.85,13.85,14.4,0.4,214
108/03/13,49,709,14.5,14.8,14.25,14.8,0.4,35
108/03/14,46,670,14.65,14.8,14.4,14.8,0.0,34
108/03/15,51,748,14.9,14.9,14.5,14.6,-0.2,21
108/03/18,68,"1,004",14.5,14.85,14.5,14.85,0.25,30
108/03/19,98,"1,465",14.85,15.1,14.6,15.0,0.15,31
108/03/20,23,342,14.65,15.0,14.5,14.9,-0.1,24
108/03/21,33,486,14.8,14.95,14.5,14.95,0.05,27
108/03/22,25,366,14.7,14.7,14.5,14.5,-0.45,23
108/03/25,52,758,14.15,14.75,14.15,14.75,0.25,31
108/03/26,162,"2,336",14.35,14.65,14.25,14.35,-0.4,71
108/03/27,45,649,14.25,14.5,14.25,14.35,0.0,20
108/03/28,20,280,14.35,14.45,14.25,14.45,0.1,17
108/03/29,97,"1,399",14.3,14.75,14.2,14.75,0.3,44
108/04/01,"1,348","20,154",14.65,15.2,14.5,14.75,0.0,246
108/04/02,41,597,14.75,14.75,14.4,14.4,-0.35,30
108/04/03,42,605,14.4,14.7,14.25,14.7,0.3,16
