date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"120,352","1,989,354",16.5,16.65,16.45,16.6,0.15,75
107/07/03,"283,721","4,643,149",16.6,16.6,16.2,16.3,-0.3,131
107/07/04,"117,533","1,910,185",16.35,16.35,16.2,16.25,-0.05,83
107/07/05,"321,381","5,159,162",16.15,16.2,15.9,15.9,-0.35,187
107/07/06,"311,183","4,866,659",15.9,16.0,15.45,15.6,-0.3,172
107/07/09,"219,563","3,401,648",15.6,15.65,15.3,15.4,-0.2,119
107/07/10,"108,138","1,695,906",15.5,16.0,15.5,15.65,0.25,88
107/07/11,"130,601","2,028,672",15.6,15.6,15.5,15.55,-0.1,90
107/07/12,"127,029","1,990,303",15.5,15.75,15.5,15.7,0.15,54
107/07/13,"241,721","3,804,288",15.75,15.8,15.65,15.7,0.0,107
107/07/16,"71,208","1,123,793",15.75,15.95,15.7,15.7,0.0,55
107/07/17,"102,118","1,604,605",15.7,15.75,15.65,15.65,-0.05,58
107/07/18,"153,312","2,410,194",15.8,15.8,15.65,15.8,0.15,87
107/07/19,"126,113","1,996,288",16.0,16.05,15.65,15.7,-0.1,76
107/07/20,"524,049","8,263,966",15.9,15.9,15.55,15.6,-0.1,169
107/07/23,"155,058","2,409,345",15.6,15.7,15.45,15.5,-0.1,85
107/07/24,"106,966","1,656,868",15.45,15.6,15.45,15.5,0.0,73
107/07/25,"153,193","2,376,158",15.5,15.6,15.45,15.5,0.0,68
107/07/26,"101,641","1,589,193",15.5,15.7,15.5,15.6,0.1,66
107/07/27,"325,505","5,037,025",15.5,15.55,15.35,15.5,-0.1,156
107/07/30,"379,300","5,858,450",15.55,15.7,15.35,15.4,-0.1,160
107/07/31,"105,526","1,625,551",15.4,15.5,15.35,15.4,0.0,61
107/08/01,"457,309","7,138,215",15.5,15.8,15.4,15.7,0.3,135
107/08/02,"268,359","4,148,161",15.7,15.7,15.3,15.35,-0.35,126
107/08/03,"136,078","2,091,861",15.35,15.45,15.35,15.35,0.0,59
107/08/06,"66,363","1,028,891",15.5,15.6,15.45,15.45,0.1,54
107/08/07,"153,531","2,369,323",15.4,15.6,15.35,15.35,-0.1,97
107/08/08,"92,510","1,423,349",15.45,15.45,15.35,15.35,0.0,62
107/08/09,"150,196","2,304,105",15.35,15.45,15.3,15.35,0.0,79
107/08/10,"182,031","2,789,979",15.35,15.45,15.25,15.25,-0.1,76
107/08/13,"616,004","9,069,710",15.15,15.15,14.35,14.5,-0.75,290
107/08/14,"140,390","2,032,743",14.75,14.75,14.4,14.5,0.0,80
107/08/15,"518,368","7,287,620",14.55,14.55,13.85,14.0,-0.5,205
107/08/16,"249,415","3,466,949",14.0,14.05,13.8,14.0,0.0,129
107/08/17,"200,550","2,831,508",14.05,14.25,13.95,14.15,0.15,95
107/08/20,"275,046","3,817,497",14.1,14.1,13.75,13.8,-0.35,126
107/08/21,"259,565","3,622,748",13.95,14.05,13.85,13.9,0.1,107
107/08/22,"187,185","2,624,706",14.0,14.1,13.95,14.05,0.15,104
107/08/23,"81,403","1,142,842",14.15,14.15,14.0,14.05,0.0,51
107/08/24,"124,049","1,738,225",14.1,14.1,13.95,13.95,-0.1,63
107/08/27,"141,551","1,988,798",14.05,14.1,14.0,14.05,0.1,90
107/08/28,"188,910","2,673,360",14.15,14.25,14.05,14.2,0.15,118
107/08/29,"135,836","1,946,801",14.2,14.45,14.2,14.3,0.1,84
107/08/30,"58,400","838,178",14.4,14.4,14.3,14.3,0.0,51
107/08/31,"84,178","1,213,886",14.3,14.5,14.3,14.5,0.2,62
107/09/03,"108,211","1,555,507",14.5,14.5,14.2,14.3,-0.2,74
107/09/04,"142,301","2,042,012",14.3,14.5,14.25,14.35,0.05,76
107/09/05,"63,199","902,985",14.4,14.4,14.25,14.25,-0.1,42
107/09/06,"115,413","1,641,074",14.25,14.35,14.1,14.25,0.0,76
107/09/07,"1,882,392","29,096,977",14.55,15.65,14.55,15.65,1.4,713
107/09/10,"6,633,438","105,783,221",16.2,16.6,15.0,15.15,-0.5,"2,692"
107/09/11,"1,019,495","15,361,470",14.85,15.45,14.7,15.4,0.25,558
107/09/12,"515,042","7,783,844",15.45,15.5,14.95,15.05,-0.35,303
107/09/13,"1,018,391","15,698,009",15.05,15.75,15.0,15.5,0.45,504
107/09/14,"464,588","7,192,512",15.65,15.8,15.35,15.35,-0.15,279
107/09/17,"261,003","4,013,698",15.35,15.5,15.2,15.2,-0.15,174
107/09/18,"482,970","7,219,397",15.1,15.15,14.8,14.9,-0.3,290
107/09/19,"231,295","3,487,640",15.0,15.15,15.0,15.05,0.15,202
107/09/20,"1,027,552","15,865,198",15.0,16.0,14.95,15.4,0.35,479
107/09/21,"247,570","3,809,268",15.5,15.5,15.25,15.3,-0.1,146
107/09/25,"164,703","2,527,022",15.3,15.45,15.25,15.25,-0.05,97
107/09/26,"156,400","2,400,359",15.4,15.45,15.25,15.25,0.0,94
107/09/27,"120,531","1,833,243",15.25,15.3,15.15,15.2,-0.05,87
107/09/28,"566,054","8,778,194",15.25,15.7,15.25,15.45,0.25,304
107/10/01,"286,374","4,474,570",15.5,15.8,15.4,15.65,0.2,186
107/10/02,"179,000","2,782,300",15.65,15.65,15.4,15.55,-0.1,98
107/10/03,"118,601","1,832,311",15.45,15.5,15.4,15.4,-0.15,81
107/10/04,"367,696","5,541,476",15.4,15.4,14.95,15.1,-0.3,243
107/10/05,"344,517","5,035,195",15.1,15.1,14.35,14.55,-0.55,182
107/10/08,"197,035","2,857,559",14.55,14.6,14.4,14.45,-0.1,108
