date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,19,230,12.2,12.25,12.05,12.05,-0.15,19
107/07/03,58,686,12.05,12.15,11.8,11.85,-0.2,50
107/07/04,39,463,11.85,11.95,11.8,11.85,0.0,21
107/07/05,133,"1,544",11.75,11.75,11.5,11.5,-0.35,66
107/07/06,88,986,11.5,11.6,11.0,11.15,-0.35,74
107/07/09,34,390,11.5,11.65,11.2,11.25,0.1,18
107/07/10,122,"1,351",11.25,11.25,11.0,11.0,-0.25,63
107/07/11,120,"1,338",11.55,11.55,10.95,11.05,0.05,67
107/07/12,93,"1,034",11.15,11.25,11.0,11.0,-0.05,52
107/07/13,26,293,11.25,11.25,11.25,11.25,0.25,16
107/07/16,61,692,11.3,11.4,11.3,11.35,0.1,35
107/07/17,26,299,11.45,11.5,11.3,11.3,-0.05,17
107/07/18,30,338,11.35,11.35,11.2,11.2,-0.1,19
107/07/19,177,"1,927",10.8,11.1,10.8,11.0,-0.2,86
107/07/20,45,506,11.3,11.3,11.1,11.1,0.1,36
107/07/23,128,"1,388",11.2,11.2,10.65,10.65,-0.45,59
107/07/24,95,"1,023",10.75,10.85,10.7,10.8,0.15,53
107/07/25,55,593,10.9,10.9,10.7,10.7,-0.1,29
107/07/26,100,"1,095",10.8,11.1,10.8,10.9,0.2,53
107/07/27,24,266,10.95,11.05,10.95,11.0,0.1,45
107/07/30,21,227,11.0,11.0,10.9,10.9,-0.1,17
107/07/31,39,427,11.15,11.15,10.95,11.0,0.1,19
107/08/01,64,709,11.1,11.1,11.0,11.05,0.05,31
107/08/02,34,375,10.95,11.1,10.9,10.9,-0.15,25
107/08/03,49,538,11.0,11.0,10.9,10.9,0.0,14
107/08/06,38,415,11.15,11.15,10.85,10.9,0.0,27
107/08/07,38,412,11.0,11.0,10.9,10.9,0.0,21
107/08/08,1,11,11.0,11.0,11.0,11.0,0.1,2
107/08/09,29,321,11.1,11.1,11.0,11.0,0.0,16
107/08/10,11,120,10.95,10.95,10.9,10.95,-0.05,10
107/08/13,110,"1,175",11.0,11.0,10.4,10.45,-0.5,66
107/08/14,40,422,10.5,10.8,10.45,10.8,0.35,30
107/08/15,71,747,10.45,10.8,10.4,10.45,-0.35,193
107/08/16,102,"1,035",10.2,10.3,10.0,10.2,-0.25,56
107/08/17,101,"1,055",10.15,10.8,10.15,10.45,0.25,58
107/08/20,102,"1,065",10.55,10.55,10.3,10.4,-0.05,22
107/08/21,55,568,10.6,10.6,10.3,10.45,0.05,22
107/08/22,54,558,10.4,10.5,10.3,10.4,-0.05,23
107/08/23,34,356,10.4,10.6,10.4,10.45,0.05,18
107/08/24,21,219,10.4,10.6,10.4,10.6,0.15,15
107/08/27,34,361,10.6,10.8,10.55,10.75,0.15,15
107/08/28,19,201,10.6,10.65,10.55,10.6,-0.15,15
107/08/29,27,288,10.6,10.7,10.6,10.6,0.0,10
107/08/30,25,262,10.6,10.6,10.4,10.5,-0.1,22
107/08/31,43,452,10.45,10.6,10.45,10.55,0.05,11
107/09/03,40,415,10.6,10.6,10.3,10.55,0.0,25
107/09/04,255,"2,924",10.5,11.6,10.5,11.6,1.05,120
107/09/05,"1,287","16,097",12.0,12.75,11.8,12.6,1.0,708
107/09/06,574,"6,879",12.15,12.25,11.65,12.0,-0.6,322
107/09/07,"1,480","18,686",12.0,13.15,11.75,12.9,0.9,725
107/09/10,"1,037","13,532",12.9,13.4,12.55,13.2,0.3,535
107/09/11,"1,304","16,910",13.2,13.3,12.3,12.5,-0.7,418
107/09/12,"5,578","71,837",12.4,13.75,12.1,13.75,1.25,"1,367"
107/09/13,"1,759","23,177",13.25,13.45,12.75,13.1,-0.65,938
107/09/14,594,"7,856",13.8,13.8,12.95,13.0,-0.1,358
107/09/17,313,"4,044",13.15,13.25,12.8,12.8,-0.2,147
107/09/18,181,"2,307",12.95,12.95,12.65,12.7,-0.1,99
107/09/19,436,"5,708",12.95,13.5,12.7,12.75,0.05,263
107/09/20,130,"1,670",12.75,13.15,12.7,12.7,-0.05,81
107/09/21,427,"5,554",12.75,13.4,12.7,12.75,0.05,252
107/09/25,174,"2,213",12.75,12.9,12.6,12.6,-0.15,89
107/09/26,75,950,12.65,12.8,12.6,12.6,0.0,44
107/09/27,219,"2,731",12.65,12.65,12.25,12.25,-0.35,110
107/09/28,115,"1,422",12.3,12.45,12.25,12.3,0.05,61
107/10/01,94,"1,153",12.2,12.4,12.2,12.25,-0.05,46
107/10/02,119,"1,511",12.3,13.0,12.3,12.7,0.45,77
107/10/03,251,"3,272",12.75,13.4,12.75,12.8,0.1,165
107/10/04,60,766,12.95,12.95,12.7,12.7,-0.1,36
107/10/05,204,"2,481",12.65,12.65,11.95,12.05,-0.65,102
107/10/08,110,"1,315",11.8,12.25,11.75,12.1,0.05,44
107/10/09,68,816,12.1,12.15,11.95,11.95,-0.15,32
107/10/11,265,"2,889",11.2,11.35,10.8,10.8,-1.15,129
107/10/12,104,"1,136",10.7,11.1,10.65,10.9,0.1,52
107/10/15,57,615,10.95,10.95,10.65,10.65,-0.25,36
