date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"3,034","185,037",60.8,62.0,60.1,61.0,0.2,"2,243"
107/07/03,"3,140","187,203",61.3,61.5,58.5,58.5,-2.5,"2,005"
107/07/04,"2,233","131,578",58.3,59.8,58.2,58.6,0.1,"1,307"
107/07/05,"2,802","164,571",58.7,60.0,57.4,57.6,-1.0,"1,752"
107/07/06,"6,908","378,347",58.5,58.7,53.1,54.3,-3.3,"4,128"
107/07/09,"3,042","167,513",55.0,55.7,54.3,55.2,0.9,"1,805"
107/07/10,"2,735","155,254",56.8,57.6,55.7,57.5,2.3,"1,776"
107/07/11,"2,401","137,992",56.5,58.6,56.0,58.1,0.6,"1,653"
107/07/12,"3,112","183,667",58.0,59.9,57.5,59.8,1.7,"1,895"
107/07/13,"12,685","809,333",61.5,65.7,61.0,63.8,4.0,"7,733"
107/07/16,"5,032","318,338",63.3,64.4,62.7,63.0,-0.8,"3,018"
107/07/17,"3,025","192,339",63.8,64.5,62.7,62.8,-0.2,"1,958"
107/07/18,"2,945","186,406",64.0,64.1,62.3,62.8,0.0,"1,860"
107/07/19,"3,003","191,610",63.5,64.6,63.0,63.0,0.2,"1,965"
107/07/20,"4,776","306,674",64.4,65.3,63.0,63.4,0.4,"3,090"
107/07/23,"6,436","377,967",59.8,60.1,57.3,58.2,-5.2,"4,017"
107/07/24,"2,781","163,551",58.0,59.6,57.7,59.6,1.4,"1,761"
107/07/25,"1,733","102,936",59.9,60.3,58.8,58.9,-0.7,"1,227"
107/07/26,"2,178","129,656",59.7,60.2,58.7,58.8,-0.1,"1,349"
107/07/27,"1,286","76,380",59.0,59.8,58.9,59.6,0.8,938
107/07/30,"2,111","123,077",59.3,59.7,57.4,57.7,-1.9,"1,432"
107/07/31,"1,955","114,611",57.7,59.3,57.4,59.3,1.6,"1,232"
107/08/01,"2,622","157,586",60.0,60.6,59.4,60.3,1.0,"1,723"
107/08/02,"2,661","160,581",61.0,61.1,59.7,59.8,-0.5,"1,625"
107/08/03,"1,366","82,206",60.6,60.7,59.6,60.1,0.3,943
107/08/06,"11,815","658,258",54.1,59.4,54.1,59.2,-0.9,"6,064"
107/08/07,"5,780","347,309",59.2,61.9,58.2,60.6,1.4,"3,688"
107/08/08,"2,982","179,979",60.9,61.2,59.7,60.1,-0.5,"1,839"
107/08/09,"6,432","396,860",61.5,62.7,60.8,61.0,0.9,"4,138"
107/08/10,"5,462","323,032",61.2,61.3,58.0,58.2,-2.8,"3,473"
107/08/13,"5,490","306,210",57.6,57.6,54.3,55.9,-2.3,"3,421"
107/08/14,"2,071","115,860",55.5,57.0,54.6,56.7,0.8,"1,367"
107/08/15,"2,325","128,967",56.7,56.7,54.6,55.3,-1.4,"1,510"
107/08/16,"3,948","216,639",54.5,56.3,54.3,54.6,-0.7,"2,416"
107/08/17,"10,555","542,518",54.7,55.5,49.15,49.2,-5.4,"6,326"
107/08/20,"19,273","887,307",49.0,49.7,44.4,44.6,-4.6,"11,200"
107/08/21,"7,657","351,454",45.15,46.5,44.55,46.5,1.9,"4,837"
107/08/22,"5,327","249,561",46.7,47.45,46.1,46.95,0.45,"3,201"
107/08/23,"4,303","199,842",46.6,47.6,45.75,47.6,0.65,"2,658"
107/08/24,"2,725","128,022",47.7,47.75,46.2,47.05,-0.55,"1,717"
107/08/27,"3,977","190,570",47.05,48.5,46.9,48.45,1.4,"2,317"
107/08/28,"6,319","318,424",49.4,51.2,49.3,50.7,2.25,"3,841"
107/08/29,"4,288","218,848",51.1,52.0,50.5,50.8,0.1,"2,643"
107/08/30,"3,384","173,016",51.6,51.8,50.5,50.5,-0.3,"2,052"
107/08/31,"4,109","208,704",50.1,51.9,49.25,51.4,0.9,"2,546"
107/09/03,"2,896","146,617",51.4,52.2,49.7,49.8,-1.6,"1,668"
107/09/04,"5,477","283,365",50.2,52.7,50.2,51.9,2.1,"3,264"
107/09/05,"3,586","185,931",52.0,52.4,51.3,51.4,-0.5,"2,040"
107/09/06,"1,806","91,844",51.4,51.4,50.3,50.5,-0.9,"1,160"
107/09/07,"4,173","205,717",50.5,51.1,47.2,49.25,-1.25,"2,482"
107/09/10,"3,494","165,448",49.3,49.5,46.2,46.2,-3.05,"2,283"
107/09/11,"3,650","171,948",48.0,48.0,46.6,46.9,0.7,"2,177"
107/09/12,"8,597","377,083",47.2,47.25,42.7,43.2,-3.7,"5,171"
107/09/13,"4,407","197,678",43.75,45.65,43.75,45.05,1.85,"2,920"
107/09/14,"4,157","193,048",45.75,47.9,45.15,47.9,2.85,"2,408"
107/09/17,"2,356","110,277",47.3,47.4,46.4,46.95,-0.95,"1,628"
107/09/18,"2,681","121,661",46.2,46.3,44.7,44.85,-2.1,"1,826"
107/09/19,"2,427","110,382",45.7,46.1,44.85,45.0,0.15,"1,422"
107/09/20,"3,149","138,024",45.0,45.25,43.0,43.3,-1.7,"2,103"
107/09/21,"2,254","99,505",43.5,44.65,43.5,44.5,1.2,"1,362"
107/09/25,"2,203","99,765",44.5,46.3,43.45,46.3,1.8,"1,422"
107/09/26,"1,758","80,692",46.0,46.5,45.4,45.4,-0.9,"1,097"
107/09/27,"1,193","53,506",45.4,45.4,44.55,44.75,-0.65,829
107/09/28,"1,260","56,360",45.0,45.5,44.35,44.5,-0.25,836
107/10/01,"1,876","85,312",44.7,46.15,44.7,46.15,1.65,"1,113"
107/10/02,"1,540","70,892",46.25,46.8,45.45,45.6,-0.55,"1,051"
107/10/03,"1,430","64,078",45.7,45.9,44.1,44.6,-1.0,934
107/10/04,"1,026","45,266",44.0,44.75,43.8,44.15,-0.45,740
107/10/05,"7,416","302,119",43.65,43.65,39.75,39.8,-4.35,"4,085"
107/10/08,"4,349","167,924",39.2,40.6,37.1,37.85,-1.95,"2,671"
107/10/09,"5,576","200,064",38.2,38.5,34.15,34.8,-3.05,"3,244"
107/10/11,"4,660","146,542",31.35,32.05,31.35,31.35,-3.45,"2,288"
107/10/12,"4,863","153,799",30.8,32.5,30.25,32.35,1.0,"2,527"
107/10/15,"4,833","164,960",32.4,35.4,31.9,34.5,2.15,"3,234"
107/10/16,"4,177","148,019",34.7,36.2,34.5,35.5,1.0,"2,690"
107/10/17,"2,961","106,430",36.25,36.8,35.25,35.5,0.0,"1,743"
107/10/18,"1,660","58,750",35.4,36.15,34.85,35.4,-0.1,"1,120"
107/10/19,"3,699","125,812",34.0,34.45,33.2,34.25,-1.15,"2,086"
107/10/22,"3,033","107,971",34.25,36.5,33.7,36.05,1.8,"1,916"
107/10/23,"2,546","89,592",35.35,35.95,34.75,34.9,-1.15,"1,474"
107/10/24,"2,912","101,995",34.6,35.75,34.15,35.35,0.45,"1,647"
107/10/25,"3,819","125,842",32.8,33.85,31.95,32.3,-3.05,"2,293"
107/10/26,"3,677","117,359",33.0,33.45,30.5,32.35,0.05,"2,372"
107/10/29,"1,765","56,624",32.45,33.15,31.35,32.0,-0.35,"1,120"
107/10/30,"2,140","67,627",32.4,32.45,31.0,31.7,-0.3,"1,223"
107/10/31,"2,992","98,826",32.55,33.6,32.35,33.0,1.3,"1,729"
107/11/01,"3,846","132,818",33.45,35.2,33.05,34.8,1.8,"2,298"
107/11/02,"3,513","123,885",34.8,36.0,34.6,35.0,0.2,"2,034"
107/11/05,"5,832","211,893",34.5,37.6,34.3,37.35,2.35,"3,674"
107/11/06,"5,651","204,235",37.85,38.0,34.8,34.85,-2.5,"3,442"
107/11/07,"2,745","98,224",35.1,36.15,35.1,36.0,1.15,"1,665"
107/11/08,"2,984","108,373",36.95,37.2,35.1,35.1,-0.9,"1,798"
107/11/09,"1,573","55,400",35.2,35.7,34.85,35.45,0.35,946
107/11/12,"2,064","74,372",35.8,36.65,35.5,35.55,0.1,"1,345"
