date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,58,"1,319",23.2,23.2,22.5,23.0,0.0,39
107/07/03,25,566,22.9,22.9,22.5,22.8,-0.2,22
107/07/04,81,"1,829",22.8,22.9,22.2,22.75,-0.05,33
107/07/05,33,744,22.3,22.85,22.3,22.6,-0.15,21
107/07/06,101,"2,287",22.5,23.0,22.3,23.0,0.4,54
107/07/09,58,"1,324",22.45,23.0,22.45,23.0,0.0,38
107/07/10,30,693,23.0,23.3,22.8,23.0,0.0,20
107/07/11,22,505,23.0,23.0,22.85,23.0,0.0,23
107/07/12,171,"3,906",22.85,23.05,22.7,23.0,0.0,47
107/07/13,167,"3,842",23.0,23.25,22.95,23.2,0.2,38
107/07/16,58,"1,342",23.2,23.25,23.0,23.05,-0.15,40
107/07/17,55,"1,260",23.05,23.05,22.8,22.8,-0.25,38
107/07/18,32,732,23.0,23.0,22.6,23.0,0.2,25
107/07/19,63,"1,446",22.9,23.25,22.75,23.25,0.25,28
107/07/20,228,"5,297",23.05,23.25,23.05,23.25,0.0,106
107/07/23,203,"4,721",23.25,23.4,23.15,23.35,0.1,64
107/07/24,160,"3,748",23.4,23.65,23.1,23.1,-0.25,93
107/07/25,370,"8,585",23.1,23.45,23.1,23.1,0.0,98
107/07/26,462,"10,417",22.5,23.0,22.2,22.9,0.8,135
107/07/27,219,"5,031",22.9,23.3,22.7,22.7,-0.2,88
107/07/30,52,"1,172",22.7,22.9,22.6,22.75,0.05,27
107/07/31,32,726,22.8,22.8,22.5,22.7,-0.05,23
107/08/01,33,750,22.8,22.9,22.6,22.8,0.1,16
107/08/02,81,"1,836",22.7,22.8,22.55,22.75,-0.05,32
107/08/03,93,"2,112",22.6,23.0,22.6,23.0,0.25,27
107/08/06,102,"2,341",23.0,23.1,22.8,22.95,-0.05,30
107/08/07,92,"2,101",22.95,23.0,22.7,23.0,0.05,32
107/08/08,80,"1,844",23.0,23.2,22.9,23.0,0.0,38
107/08/09,121,"2,787",23.15,23.2,22.9,23.05,0.05,79
107/08/10,485,"11,389",23.5,24.0,23.1,23.3,0.25,287
107/08/13,147,"3,404",23.25,23.5,22.8,23.3,0.0,76
107/08/14,49,"1,131",23.2,23.35,22.9,23.2,-0.1,29
107/08/15,44,"1,013",23.45,23.45,22.9,23.15,-0.05,19
107/08/16,60,"1,379",23.15,23.15,22.9,23.1,-0.05,35
107/08/17,89,"2,058",23.4,23.4,22.9,23.1,0.0,60
107/08/20,29,667,23.2,23.35,22.85,23.05,-0.05,26
107/08/21,31,709,22.9,23.3,22.8,23.3,0.25,13
107/08/22,32,736,23.0,23.15,22.9,22.95,-0.35,20
107/08/23,56,"1,283",23.15,23.2,22.8,23.0,0.05,26
107/08/24,50,"1,151",23.1,23.1,22.9,23.1,0.1,35
107/08/27,43,988,23.1,23.25,23.0,23.2,0.1,35
107/08/28,"1,682","41,000",23.5,25.2,23.5,24.4,1.2,894
107/08/29,678,"16,529",24.6,24.9,24.0,24.0,-0.4,379
107/08/30,299,"7,140",24.0,24.3,23.6,23.9,-0.1,144
107/08/31,167,"4,030",23.95,24.4,23.9,24.3,0.4,112
107/09/03,276,"6,658",24.5,24.65,23.9,24.2,-0.1,140
107/09/04,116,"2,808",24.15,24.5,24.0,24.25,0.05,66
107/09/05,135,"3,253",24.45,24.55,23.8,24.05,-0.2,90
107/09/06,"1,083","26,878",24.2,25.2,24.0,25.2,1.15,517
107/09/07,"6,317","166,770",25.45,27.4,25.0,25.05,-0.15,"3,479"
107/09/10,"1,924","44,737",24.65,24.65,22.6,23.5,-1.55,886
107/09/11,412,"9,662",24.0,24.0,23.0,23.45,-0.05,191
107/09/12,365,"8,436",23.8,23.8,22.95,23.25,-0.2,187
107/09/13,111,"2,572",23.1,23.35,23.05,23.2,-0.05,72
107/09/14,242,"5,720",23.2,24.1,23.2,23.7,0.5,128
107/09/17,85,"2,001",23.7,23.7,23.15,23.6,-0.1,60
107/09/18,97,"2,281",23.4,23.85,23.25,23.4,-0.2,59
107/09/19,192,"4,563",23.35,24.5,23.35,24.0,0.6,90
107/09/20,357,"8,372",23.95,23.95,23.2,23.2,-0.8,168
107/09/21,156,"3,614",23.4,23.5,23.1,23.3,0.1,78
107/09/25,160,"3,712",23.15,23.45,23.05,23.2,-0.1,61
107/09/26,87,"2,045",23.55,23.75,23.35,23.6,0.4,38
107/09/27,107,"2,516",23.6,23.7,23.4,23.65,0.05,35
107/09/28,65,"1,550",23.65,24.1,23.65,23.85,0.2,34
107/10/01,116,"2,778",24.1,24.3,23.75,24.0,0.15,50
107/10/02,168,"4,008",24.0,24.0,23.7,24.0,0.0,84
107/10/03,147,"3,498",24.15,24.15,23.55,23.75,-0.25,72
107/10/04,190,"4,502",23.8,24.0,23.4,23.9,0.15,82
107/10/05,301,"6,991",23.45,23.8,22.8,23.35,-0.55,140
107/10/08,38,877,23.0,23.4,23.0,23.35,0.0,29
107/10/09,267,"6,068",23.0,23.15,22.5,22.6,-0.75,125
107/10/11,563,"11,504",20.5,21.0,20.35,20.35,-2.25,196
107/10/12,220,"4,538",20.0,21.2,19.95,21.0,0.65,103
107/10/15,65,"1,362",21.0,21.0,20.8,20.8,-0.2,14
107/10/16,105,"2,192",20.9,21.0,20.7,21.0,0.2,27
107/10/17,126,"2,650",21.4,21.4,20.6,21.2,0.2,36
107/10/18,144,"2,927",21.2,21.4,20.0,20.95,-0.25,37
107/10/19,139,"2,825",20.25,20.6,20.15,20.6,-0.35,49
107/10/22,76,"1,545",20.15,20.4,20.15,20.3,-0.3,35
107/10/23,229,"4,593",20.15,20.5,19.95,20.15,-0.15,121
107/10/24,215,"4,342",20.1,20.8,20.0,20.5,0.35,90
107/10/25,144,"2,922",20.0,21.0,20.0,20.3,-0.2,84
107/10/26,124,"2,520",20.0,20.8,20.0,20.35,0.05,65
107/10/29,41,823,20.35,20.35,19.95,20.15,-0.2,22
107/10/30,84,"1,677",20.1,20.15,19.8,19.85,-0.3,38
107/10/31,101,"2,019",20.0,20.5,19.6,20.5,0.65,64
107/11/01,46,949,20.15,20.95,20.15,20.5,0.0,34
107/11/02,94,"1,954",20.5,21.0,20.5,20.7,0.2,59
107/11/05,32,665,20.05,21.0,20.05,20.55,-0.15,28
107/11/06,55,"1,124",20.55,20.8,20.2,20.45,-0.1,24
107/11/07,170,"3,504",20.5,20.95,20.45,20.9,0.45,93
107/11/08,414,"8,795",21.0,21.85,20.7,21.85,0.95,180
107/11/09,246,"5,200",21.5,21.5,20.95,21.0,-0.85,126
107/11/12,185,"3,790",21.1,21.1,20.2,20.5,-0.5,108
107/11/13,189,"3,760",19.15,20.5,19.15,20.25,-0.25,81
107/11/14,84,"1,697",20.25,20.8,20.0,20.3,0.05,71
107/11/15,83,"1,657",20.0,20.35,20.0,20.35,0.05,50
107/11/16,33,672,20.75,20.75,20.15,20.6,0.25,28
107/11/19,21,431,20.5,20.7,20.4,20.6,0.0,18
107/11/20,5,102,20.3,20.6,20.25,20.6,0.0,5
107/11/21,39,797,20.6,20.65,20.3,20.5,-0.1,30
107/11/22,163,"3,376",20.5,21.0,20.3,21.0,0.5,70
107/11/23,4,92,21.0,21.0,20.85,20.85,-0.15,4
107/11/26,134,"2,756",20.85,20.85,20.2,20.8,-0.05,84
107/11/27,197,"4,094",20.95,21.0,20.6,20.75,-0.05,80
107/11/28,214,"4,463",20.95,21.15,20.7,20.8,0.05,109
107/11/29,490,"10,358",21.5,21.7,20.8,20.8,0.0,285
107/11/30,412,"8,786",21.15,21.6,20.9,21.35,0.55,196
107/12/03,556,"12,397",22.0,23.0,21.55,22.4,1.05,306
107/12/04,315,"7,075",22.6,22.65,22.3,22.5,0.1,200
107/12/05,490,"11,039",22.55,22.95,22.2,22.55,0.05,259
107/12/06,773,"17,548",22.85,23.05,22.2,22.55,0.0,528
107/12/07,"1,999","46,670",23.1,23.85,22.7,22.85,0.3,"1,209"
107/12/10,"1,240","29,120",23.3,23.8,22.8,23.3,0.45,668
107/12/11,"2,160","50,705",24.0,24.2,22.75,23.05,-0.25,"1,126"
107/12/12,837,"19,489",23.2,23.75,22.85,23.15,0.1,462
107/12/13,962,"22,862",23.6,24.15,23.25,23.65,0.5,576
107/12/14,349,"8,248",23.65,23.85,23.4,23.7,0.05,199
107/12/17,272,"6,340",23.4,23.65,23.1,23.35,-0.35,146
107/12/18,446,"10,173",23.1,23.25,22.4,22.75,-0.6,263
107/12/19,159,"3,621",22.9,22.95,22.55,22.7,-0.05,91
107/12/20,311,"6,937",22.6,22.8,21.8,22.6,-0.1,177
107/12/21,149,"3,373",22.6,23.0,22.2,23.0,0.4,101
107/12/22,71,"1,612",22.8,22.95,22.6,22.6,-0.4,60
107/12/24,124,"2,781",22.6,22.65,22.2,22.3,-0.3,79
107/12/25,158,"3,444",21.9,22.1,21.6,21.8,-0.5,107
107/12/26,393,"8,426",21.75,21.85,20.9,20.9,-0.9,195
107/12/27,604,"12,871",21.25,21.8,21.1,21.35,0.45,205
107/12/28,51,"1,087",21.3,21.3,21.2,21.2,-0.15,45
108/01/02,78,"1,624",21.0,21.0,20.7,20.75,-0.45,63
108/01/03,235,"4,859",20.7,20.75,20.55,20.55,-0.2,99
108/01/04,162,"3,337",20.25,20.8,20.25,20.8,0.25,86
108/01/07,291,"6,132",21.2,21.2,20.9,21.0,0.2,84
108/01/08,159,"3,317",20.95,20.95,20.8,20.8,-0.2,52
108/01/09,114,"2,401",20.85,21.45,20.85,21.1,0.3,48
108/01/10,82,"1,740",21.45,21.9,21.05,21.05,-0.05,45
108/01/11,62,"1,295",20.95,21.1,20.7,20.7,-0.35,40
108/01/14,47,972,20.65,20.85,20.55,20.8,0.1,26
108/01/15,50,"1,044",20.8,21.0,20.8,20.85,0.05,34
108/01/16,52,"1,079",21.0,21.0,20.5,20.75,-0.1,37
108/01/17,45,937,21.0,21.0,20.75,20.75,0.0,33
108/01/18,82,"1,704",20.75,21.0,20.7,20.8,0.05,51
108/01/21,159,"3,323",20.9,21.0,20.8,20.8,0.0,87
108/01/22,76,"1,571",20.75,20.75,20.55,20.7,-0.1,43
108/01/23,58,"1,192",20.6,20.6,20.5,20.6,-0.1,26
108/01/24,147,"3,026",20.4,20.7,20.4,20.6,0.0,73
108/01/25,47,971,20.85,20.85,20.55,20.55,-0.05,33
108/01/28,259,"5,502",20.95,21.45,20.6,21.3,0.75,163
108/01/29,119,"2,534",21.3,21.5,21.0,21.4,0.1,92
108/01/30,71,"1,507",21.4,21.4,21.0,21.15,-0.25,47
108/02/11,138,"2,920",21.3,21.65,20.8,20.9,-0.25,91
108/02/12,63,"1,329",20.9,21.2,20.9,21.1,0.2,55
108/02/13,122,"2,563",21.3,21.3,20.9,21.0,-0.1,80
108/02/14,197,"4,186",21.0,21.5,21.0,21.45,0.45,140
108/02/15,170,"3,647",21.45,21.55,21.3,21.5,0.05,88
108/02/18,221,"4,732",21.1,21.65,21.1,21.45,-0.05,139
108/02/19,212,"4,621",21.45,22.1,21.3,21.7,0.25,138
108/02/20,527,"11,815",21.95,22.9,21.75,22.6,0.9,294
108/02/21,307,"6,967",22.8,22.9,22.5,22.6,0.0,155
108/02/22,196,"4,409",22.6,22.7,22.2,22.7,0.1,93
108/02/25,456,"10,482",22.8,23.2,22.7,22.85,0.15,230
108/02/26,160,"3,654",23.0,23.15,22.55,22.85,0.0,97
108/02/27,93,"2,096",23.0,23.0,22.3,22.8,-0.05,72
108/03/04,839,"19,977",22.9,24.5,22.9,23.8,1.0,382
108/03/05,"1,479","36,059",23.95,25.0,23.5,23.5,-0.3,587
108/03/06,192,"4,593",23.55,24.1,23.55,23.95,0.45,149
108/03/07,198,"4,690",23.95,23.95,23.5,23.9,-0.05,100
108/03/08,58,"1,385",24.1,24.1,23.5,23.7,-0.2,60
108/03/11,110,"2,597",23.9,23.9,23.45,23.6,-0.1,94
108/03/12,419,"10,088",23.75,24.5,23.75,24.05,0.45,201
108/03/13,333,"7,967",24.05,24.5,23.2,23.95,-0.1,142
108/03/14,406,"9,605",23.95,24.45,23.3,23.65,-0.3,183
108/03/15,191,"4,526",23.65,24.0,23.5,24.0,0.35,101
108/03/18,65,"1,559",23.95,24.1,23.8,24.0,0.0,74
108/03/19,261,"6,241",24.0,24.1,23.6,23.85,-0.15,138
108/03/20,52,"1,246",24.1,24.1,23.7,23.8,-0.05,60
108/03/21,67,"1,590",23.55,23.8,23.55,23.7,-0.1,53
108/03/22,153,"3,601",23.7,23.7,23.35,23.65,-0.05,101
108/03/25,126,"2,965",23.5,23.8,23.35,23.7,0.05,86
108/03/26,213,"5,043",23.5,23.9,23.5,23.7,0.0,109
108/03/27,66,"1,581",23.75,24.3,23.7,23.8,0.1,57
108/03/28,74,"1,755",23.55,24.2,23.5,23.8,0.0,51
108/03/29,859,"20,787",24.0,24.5,23.75,24.35,0.55,459
108/04/01,612,"15,085",24.55,24.9,24.35,24.55,0.2,474
108/04/02,"2,163","54,718",25.05,25.75,24.85,25.05,0.5,"1,165"
108/04/03,"5,114","133,929",25.15,27.0,25.15,27.0,1.95,"1,768"
108/04/08,"6,410","170,892",26.75,26.95,26.0,26.5,-0.5,"2,120"
108/04/09,"7,017","187,994",26.2,27.5,26.0,27.5,1.0,"1,972"
108/04/10,"7,844","214,835",27.5,27.8,27.1,27.4,-0.1,"2,498"
108/04/11,"6,381","175,774",27.4,27.9,27.1,27.9,0.5,"1,893"
