date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,33,728,22.2,22.2,21.85,21.85,-0.55,23
107/07/03,78,"1,697",21.85,21.85,21.6,21.65,-0.2,49
107/07/04,45,990,22.1,22.3,21.65,21.65,0.0,37
107/07/05,59,"1,275",22.0,22.0,21.5,21.5,-0.15,49
107/07/06,60,"1,314",22.0,22.2,21.55,21.6,0.1,41
107/07/09,31,680,21.65,22.1,21.6,21.75,0.15,26
107/07/10,62,"1,357",22.0,22.25,21.75,21.8,0.05,37
107/07/11,52,"1,131",22.0,22.0,21.6,21.6,-0.2,29
107/07/12,104,"2,254",21.5,21.9,21.5,21.65,0.05,49
107/07/13,35,737,21.15,21.6,20.8,21.2,0.55,28
107/07/16,33,708,21.5,21.6,21.1,21.35,0.15,21
107/07/17,34,726,21.5,21.55,21.0,21.35,0.0,24
107/07/18,66,"1,421",21.35,21.8,21.3,21.3,-0.05,41
107/07/19,53,"1,152",21.6,22.0,21.6,21.75,0.45,24
107/07/20,27,580,21.85,21.9,21.35,21.55,-0.2,19
107/07/23,19,396,21.75,21.75,21.3,21.3,-0.25,20
107/07/24,15,320,21.7,21.7,21.3,21.3,0.0,13
107/07/25,110,"2,438",21.7,22.8,21.7,22.1,0.8,66
107/07/26,27,599,22.2,22.3,22.1,22.1,0.0,22
107/07/27,30,667,22.2,22.3,22.2,22.2,0.1,19
107/07/30,35,774,22.2,22.2,21.85,22.0,-0.2,16
107/07/31,13,286,22.2,22.2,21.8,22.0,0.0,11
107/08/01,99,"2,227",22.5,23.0,22.3,22.5,0.5,51
107/08/02,42,945,22.4,22.8,22.25,22.5,0.0,24
107/08/03,27,606,22.6,22.6,22.3,22.55,0.05,21
107/08/06,42,940,22.5,22.7,22.25,22.5,-0.05,26
107/08/07,193,"4,435",22.5,23.5,22.5,23.0,0.5,97
107/08/08,75,"1,727",23.3,23.3,22.8,22.95,-0.05,33
107/08/09,416,"9,832",23.2,23.9,23.2,23.8,0.85,203
107/08/10,91,"2,147",23.9,23.9,23.3,23.4,-0.4,55
107/08/13,253,"5,734",23.25,23.25,22.15,22.9,-0.5,101
107/08/14,269,"6,333",22.9,23.9,22.9,23.8,0.9,126
107/08/15,84,"1,961",23.5,23.5,23.2,23.5,-0.3,53
107/08/16,31,728,23.3,23.6,23.3,23.35,-0.15,19
107/08/17,104,"2,457",23.75,23.8,23.35,23.5,0.15,54
107/08/20,152,"3,613",23.7,23.85,23.6,23.75,0.25,71
107/08/21,46,"1,090",23.7,23.8,23.65,23.65,-0.1,22
107/08/22,244,"5,758",23.5,23.85,23.3,23.85,0.2,86
107/08/23,53,"1,257",23.7,23.75,23.55,23.55,-0.3,32
107/08/24,41,962,23.7,23.7,23.35,23.6,0.05,24
107/08/27,22,516,23.6,23.6,23.4,23.6,0.0,15
107/08/28,66,"1,539",23.3,23.6,23.25,23.6,0.0,35
107/08/29,47,"1,098",23.6,23.6,23.25,23.6,0.0,28
107/08/30,19,443,23.6,23.6,23.25,23.5,-0.1,11
107/08/31,41,959,23.45,23.55,23.25,23.35,-0.15,20
107/09/03,22,514,23.35,23.5,23.25,23.25,-0.1,13
107/09/04,34,791,23.2,23.45,23.2,23.45,0.2,18
107/09/05,10,233,23.35,23.35,23.3,23.3,-0.15,7
107/09/06,20,467,23.3,23.45,23.3,23.35,0.05,10
107/09/07,60,"1,397",23.2,23.35,22.9,22.9,-0.45,38
107/09/10,76,"1,733",22.75,22.95,22.55,22.85,-0.05,44
107/09/11,28,642,22.6,23.2,22.6,23.15,0.3,22
107/09/12,17,388,22.8,23.0,22.8,22.8,-0.35,13
107/09/13,20,454,22.8,22.85,22.65,22.85,0.05,12
107/09/14,12,274,22.8,22.9,22.8,22.85,0.0,10
107/09/17,8,183,22.7,23.0,22.7,22.8,-0.05,7
107/09/18,25,574,22.85,23.05,22.85,23.05,0.25,13
107/09/19,19,437,23.0,23.0,23.0,23.0,-0.05,12
107/09/20,49,"1,120",23.0,23.05,22.7,23.0,0.0,32
107/09/21,31,700,22.8,22.9,22.5,22.5,-0.5,27
107/09/25,13,297,23.0,23.0,22.7,22.8,0.3,8
107/09/26,76,"1,713",22.6,22.9,22.45,22.45,-0.35,30
107/09/27,60,"1,348",22.5,22.7,22.35,22.7,0.25,28
107/09/28,19,431,22.8,22.8,22.6,22.7,0.0,12
107/10/01,15,340,22.7,22.7,22.4,22.7,0.0,12
107/10/02,49,"1,107",22.5,22.75,22.45,22.75,0.05,26
107/10/03,51,"1,144",22.75,22.75,22.3,22.4,-0.35,28
107/10/04,38,857,22.5,22.7,22.4,22.7,0.3,21
107/10/05,103,"2,300",22.75,22.75,22.05,22.6,-0.1,54
107/10/08,53,"1,180",22.15,22.65,22.1,22.65,0.05,29
107/10/09,7,157,22.6,22.65,22.25,22.25,-0.4,7
107/10/11,287,"5,761",20.15,20.2,20.05,20.05,-2.2,110
107/10/12,215,"4,170",18.1,21.0,18.1,20.4,0.35,124
107/10/15,35,709,20.4,20.7,20.0,20.6,0.2,20
107/10/16,98,"2,158",20.25,22.55,20.25,22.35,1.75,75
107/10/17,54,"1,193",22.55,22.55,21.6,22.35,0.0,35
107/10/18,158,"3,278",21.8,22.0,20.35,22.0,-0.35,88
107/10/19,146,"3,003",21.6,21.6,20.3,20.35,-1.65,75
107/10/22,130,"2,636",20.0,21.3,19.85,20.75,0.4,62
107/10/23,98,"1,970",20.3,20.6,19.95,19.95,-0.8,53
107/10/24,63,"1,255",20.0,20.3,19.65,20.0,0.05,30
107/10/25,158,"3,095",19.75,20.0,19.1,19.1,-0.9,53
107/10/26,60,"1,166",19.15,19.6,19.15,19.4,0.3,32
107/10/29,15,294,19.35,19.7,19.3,19.7,0.3,7
107/10/30,39,753,19.3,19.8,19.1,19.4,-0.3,27
107/10/31,13,255,19.8,19.8,19.4,19.65,0.25,10
107/11/01,9,180,20.0,20.0,20.0,20.0,0.35,6
107/11/02,30,597,19.85,19.9,19.85,19.9,-0.1,16
107/11/05,18,353,19.6,19.85,19.6,19.85,-0.05,8
107/11/06,73,"1,445",19.7,20.1,19.6,19.7,-0.15,20
107/11/07,73,"1,449",19.6,20.1,19.55,19.75,0.05,16
107/11/08,59,"1,179",19.85,20.0,19.8,20.0,0.25,14
107/11/09,100,"1,986",19.8,20.05,19.5,20.05,0.05,30
107/11/12,18,356,19.6,20.0,19.6,20.0,-0.05,13
107/11/13,136,"2,757",20.0,20.5,20.0,20.3,0.3,48
107/11/14,109,"2,192",20.3,20.4,19.7,20.15,-0.15,37
107/11/15,5,101,20.25,20.25,20.1,20.1,-0.05,3
107/11/16,11,223,20.25,20.25,20.2,20.2,0.1,10
107/11/19,48,948,20.5,20.5,19.5,19.6,-0.6,27
107/11/20,79,"1,592",19.6,20.4,19.6,20.4,0.8,26
107/11/21,6,120,20.05,20.2,20.0,20.05,-0.35,6
107/11/22,9,181,20.1,20.3,19.95,19.95,-0.1,8
107/11/23,18,358,19.95,20.15,19.7,19.7,-0.25,13
107/11/26,10,199,20.0,20.0,19.8,19.8,0.1,2
107/11/27,7,139,19.75,20.0,19.75,19.9,0.1,5
107/11/28,12,242,20.15,20.15,20.15,20.15,0.25,9
107/11/29,30,602,20.15,20.25,19.95,20.0,-0.15,15
107/11/30,10,200,20.0,20.0,20.0,20.0,0.0,6
107/12/03,19,381,20.1,20.25,20.0,20.1,0.1,16
107/12/04,27,544,20.1,20.1,19.85,19.95,-0.15,17
107/12/05,36,718,19.95,20.05,19.9,20.0,0.05,16
107/12/06,44,877,19.95,20.15,19.9,20.0,0.0,9
107/12/07,25,496,19.9,19.95,19.6,19.95,-0.05,17
107/12/10,32,635,19.9,19.9,19.6,19.6,-0.35,13
107/12/11,92,"1,839",19.9,20.05,19.9,20.0,0.4,30
107/12/12,21,420,20.0,20.0,19.95,20.0,0.0,14
107/12/13,28,551,19.95,20.3,19.95,20.3,0.3,10
107/12/14,2,40,20.0,20.0,20.0,20.0,-0.3,2
107/12/17,3,67,20.0,20.0,20.0,20.0,0.0,4
107/12/18,6,118,19.7,19.7,19.7,19.7,-0.3,5
107/12/19,13,260,20.0,20.0,20.0,20.0,0.3,7
107/12/20,18,357,19.95,20.0,19.8,20.0,0.0,9
107/12/21,11,219,20.0,20.0,19.7,19.95,-0.05,11
107/12/22,13,263,19.75,19.95,19.75,19.95,0.0,9
107/12/24,12,240,20.05,20.05,19.85,19.85,-0.1,12
107/12/25,12,237,19.6,19.9,19.6,19.85,0.0,6
107/12/26,6,119,19.95,19.95,19.75,19.75,-0.1,6
107/12/27,11,219,19.9,19.95,19.9,19.95,0.2,9
107/12/28,9,182,20.0,20.0,19.8,19.95,0.0,7
108/01/02,62,"1,215",19.8,19.8,19.5,19.65,-0.3,37
108/01/03,3,59,19.8,19.8,19.8,19.8,0.15,2
108/01/04,31,609,19.75,19.75,19.6,19.6,-0.2,10
108/01/07,44,881,20.0,20.1,19.9,20.1,0.5,22
108/01/08,25,510,19.95,20.15,19.95,20.15,0.05,10
108/01/09,9,181,20.15,20.15,20.0,20.1,-0.05,8
108/01/10,6,120,20.0,20.05,20.0,20.05,-0.05,4
108/01/11,61,"1,235",20.1,20.35,19.9,20.25,0.2,23
108/01/14,15,302,20.1,20.25,20.1,20.15,-0.1,11
108/01/15,22,444,20.25,20.25,20.15,20.15,0.0,19
108/01/16,149,"3,049",20.15,20.75,20.15,20.75,0.6,56
108/01/17,14,279,20.7,20.7,20.5,20.6,-0.15,11
108/01/18,319,"6,915",20.6,22.5,20.6,22.4,1.8,175
108/01/21,259,"5,888",22.6,24.0,22.0,24.0,1.6,141
108/01/22,229,"5,565",24.8,24.8,23.9,24.6,0.6,154
108/01/23,126,"3,094",24.8,24.8,24.3,24.3,-0.3,89
108/01/24,154,"3,727",24.45,24.5,23.85,23.85,-0.45,98
108/01/25,245,"6,025",23.8,25.2,23.8,24.5,0.65,140
108/01/28,29,712,24.7,24.85,24.3,24.5,0.0,24
108/01/29,74,"1,786",24.6,24.6,23.8,24.4,-0.1,46
108/01/30,165,"3,927",24.2,24.3,23.5,24.0,-0.4,64
108/02/11,62,"1,502",24.0,24.4,23.7,24.1,0.1,45
108/02/12,39,931,24.45,24.45,23.8,23.8,-0.3,28
108/02/13,38,891,24.0,24.0,23.6,23.6,-0.2,28
108/02/14,149,"3,502",23.15,23.7,23.15,23.5,-0.1,36
108/02/15,63,"1,464",23.15,23.35,23.1,23.25,-0.25,42
108/02/18,28,654,23.05,23.8,23.05,23.7,0.45,22
108/02/19,425,"10,093",24.35,24.4,23.3,24.35,0.65,135
108/02/20,61,"1,483",24.5,24.7,24.0,24.4,0.05,45
108/02/21,61,"1,482",24.8,25.05,23.95,24.25,-0.15,45
108/02/22,15,356,24.5,24.5,24.1,24.3,0.05,13
