date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,114,"5,093",44.55,44.85,44.5,44.7,0.2,70
107/07/03,272,"12,040",44.7,44.7,44.05,44.1,-0.6,137
107/07/04,128,"5,398",41.85,42.2,41.85,42.0,0.5,101
107/07/05,69,"2,884",42.4,42.4,41.5,41.6,-0.4,52
107/07/06,70,"2,911",41.6,41.85,41.2,41.5,-0.1,59
107/07/09,45,"1,868",41.7,41.7,41.2,41.4,-0.1,33
107/07/10,26,"1,083",41.1,41.5,41.1,41.25,-0.15,26
107/07/11,116,"4,749",41.1,41.2,40.8,40.9,-0.35,68
107/07/12,84,"3,410",40.7,40.7,40.55,40.6,-0.3,56
107/07/13,231,"9,380",40.4,40.8,40.4,40.7,0.1,94
107/07/16,187,"7,611",40.7,40.7,40.6,40.65,-0.05,78
107/07/17,60,"2,440",40.6,40.65,40.55,40.6,-0.05,41
107/07/18,196,"7,968",40.6,40.9,40.55,40.65,0.05,118
107/07/19,57,"2,327",40.7,40.95,40.7,40.8,0.15,41
107/07/20,71,"2,926",41.15,41.45,41.1,41.3,0.5,55
107/07/23,26,"1,065",41.4,41.4,40.9,41.0,-0.3,25
107/07/24,19,781,41.0,41.15,41.0,41.05,0.05,16
107/07/25,70,"2,860",41.0,41.0,40.7,40.7,-0.35,64
107/07/26,28,"1,139",40.8,40.9,40.55,40.7,0.0,26
107/07/27,105,"4,328",40.75,41.45,40.75,41.45,0.75,74
107/07/30,52,"2,168",41.55,41.55,41.45,41.45,0.0,42
107/07/31,33,"1,371",41.4,41.55,41.35,41.5,0.05,33
107/08/01,85,"3,555",41.5,42.35,41.5,41.65,0.15,62
107/08/02,73,"3,038",41.6,41.7,41.3,41.7,0.05,37
107/08/03,69,"2,860",41.7,41.7,41.25,41.4,-0.3,48
107/08/06,25,"1,050",41.6,41.6,41.25,41.3,-0.1,28
107/08/07,65,"2,681",41.3,41.3,41.1,41.25,-0.05,27
107/08/08,27,"1,115",41.3,41.5,41.2,41.2,-0.05,23
107/08/09,45,"1,864",41.55,41.55,41.2,41.2,0.0,32
107/08/10,74,"3,035",41.4,41.4,40.85,40.85,-0.35,43
107/08/13,98,"3,961",40.9,40.9,40.2,40.25,-0.6,84
107/08/14,71,"2,862",40.25,40.3,40.2,40.25,0.0,55
107/08/15,53,"2,138",40.3,40.5,40.2,40.25,0.0,31
107/08/16,30,"1,215",40.25,40.25,40.1,40.25,0.0,24
107/08/17,26,"1,055",40.5,40.75,40.5,40.55,0.3,21
107/08/20,117,"4,810",40.8,41.3,40.8,41.15,0.6,83
107/08/21,82,"3,407",41.5,41.6,41.3,41.3,0.15,52
107/08/22,28,"1,154",41.2,41.25,41.2,41.2,-0.1,19
107/08/23,43,"1,775",41.2,41.35,41.2,41.25,0.05,33
107/08/24,35,"1,455",41.25,41.5,41.15,41.5,0.25,30
107/08/27,27,"1,121",41.5,41.5,41.35,41.35,-0.15,22
107/08/28,30,"1,242",41.45,41.45,41.35,41.4,0.05,25
107/08/29,114,"4,734",41.45,41.8,41.1,41.3,-0.1,68
107/08/30,45,"1,845",41.55,41.55,41.3,41.55,0.25,39
107/08/31,54,"2,257",41.55,41.7,41.55,41.7,0.15,50
107/09/03,167,"7,055",41.8,42.4,41.8,42.35,0.65,120
107/09/04,46,"1,942",42.35,42.35,42.1,42.2,-0.15,37
107/09/05,38,"1,613",42.4,42.55,42.35,42.35,0.15,32
107/09/06,65,"2,751",42.35,42.5,42.05,42.45,0.1,40
107/09/07,104,"4,363",42.45,42.45,41.6,41.75,-0.7,56
107/09/10,116,"4,777",41.7,41.7,40.8,40.9,-0.85,69
107/09/11,51,"2,091",40.8,41.0,40.8,40.9,0.0,32
107/09/12,34,"1,386",40.75,40.8,40.75,40.75,-0.15,22
107/09/13,17,694,40.75,41.0,40.65,41.0,0.25,13
107/09/14,41,"1,683",41.05,41.3,41.0,41.0,0.0,33
107/09/17,29,"1,192",41.3,41.3,40.9,40.9,-0.1,39
107/09/18,39,"1,605",40.95,40.95,40.8,40.9,0.0,26
107/09/19,49,"2,010",41.0,41.1,41.0,41.05,0.15,34
107/09/20,56,"2,294",41.05,41.05,40.8,40.8,-0.25,41
107/09/21,27,"1,086",40.8,40.9,40.65,40.9,0.1,19
107/09/25,43,"1,759",40.9,40.9,40.8,40.9,0.0,24
107/09/26,65,"2,656",40.95,41.0,40.6,40.9,0.0,39
107/09/27,52,"2,139",40.95,41.3,40.9,41.0,0.1,37
107/09/28,87,"3,576",41.0,41.1,40.8,40.8,-0.2,47
107/10/01,34,"1,387",40.6,41.0,40.6,40.95,0.15,27
107/10/02,90,"3,683",40.9,41.0,40.9,40.9,-0.05,34
107/10/03,83,"3,418",40.9,41.2,40.8,41.1,0.2,55
107/10/04,86,"3,522",41.1,41.1,40.9,40.9,-0.2,44
107/10/05,135,"5,428",40.6,40.65,39.9,40.05,-0.85,106
107/10/08,145,"5,679",40.0,40.0,38.7,38.95,-1.1,121
107/10/09,90,"3,508",39.1,39.2,38.7,38.75,-0.2,67
