date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,84,"3,063",36.4,36.6,36.3,36.3,-0.1,55
107/07/03,77,"2,798",36.3,36.35,36.2,36.2,-0.1,62
107/07/04,77,"2,793",36.2,36.3,36.05,36.15,-0.05,49
107/07/05,169,"6,096",36.2,36.2,36.0,36.0,-0.15,101
107/07/06,122,"4,340",36.0,36.0,35.25,35.75,-0.25,83
107/07/09,35,"1,256",36.0,36.0,35.8,35.85,0.1,29
107/07/10,49,"1,764",35.85,35.85,35.7,35.75,-0.1,41
107/07/11,56,"2,005",35.7,35.7,35.5,35.55,-0.2,49
107/07/12,51,"1,826",35.5,35.8,35.4,35.8,0.25,41
107/07/13,56,"2,024",35.85,36.5,35.85,36.4,0.6,48
107/07/16,38,"1,387",36.45,36.6,36.1,36.1,-0.3,34
107/07/17,691,"26,149",36.35,38.25,36.1,37.9,1.8,376
107/07/18,272,"10,240",38.1,38.1,37.05,37.2,-0.7,196
107/07/19,110,"4,102",37.5,38.0,37.05,37.3,0.1,79
107/07/20,104,"3,879",37.3,37.45,37.1,37.25,-0.05,69
107/07/23,63,"2,325",37.3,37.3,37.05,37.1,-0.15,55
107/07/24,254,"9,576",37.2,37.95,37.2,37.5,0.4,153
107/07/25,40,"1,503",37.5,37.5,37.25,37.45,-0.05,39
107/07/26,403,"15,293",37.3,38.25,37.3,38.0,0.55,238
107/07/27,373,"14,254",38.0,38.65,38.0,38.1,0.1,207
107/07/30,675,"25,861",38.55,38.55,38.05,38.1,0.0,321
107/07/31,216,"8,204",38.1,38.1,37.8,37.8,-0.3,128
107/08/01,232,"8,794",37.85,38.05,37.8,37.8,0.0,128
107/08/02,150,"5,680",37.95,38.0,37.55,37.9,0.1,84
107/08/03,84,"3,191",37.95,38.1,37.8,37.85,-0.05,76
107/08/06,94,"3,556",37.95,38.0,37.7,37.75,-0.1,69
107/08/07,85,"3,229",37.85,37.95,37.75,37.95,0.2,59
107/08/08,116,"4,391",38.0,38.05,37.85,37.9,-0.05,70
107/08/09,229,"8,618",38.0,38.0,37.5,37.5,-0.4,128
107/08/10,169,"6,296",37.6,37.6,37.1,37.45,-0.05,114
107/08/13,383,"14,029",36.75,36.8,36.4,36.6,-0.85,228
107/08/14,353,"12,767",36.65,36.65,36.1,36.1,-0.5,183
107/08/15,261,"9,433",36.4,36.4,36.0,36.15,0.05,157
107/08/16,493,"17,781",36.0,36.25,35.8,36.2,0.05,222
107/08/17,406,"14,073",34.85,34.85,34.5,34.5,0.2,200
107/08/20,152,"5,193",34.5,34.6,33.9,34.15,-0.35,113
107/08/21,94,"3,205",34.2,34.2,33.9,33.95,-0.2,69
107/08/22,133,"4,509",34.0,34.0,33.65,33.65,-0.3,87
107/08/23,110,"3,682",33.65,33.65,33.25,33.5,-0.15,82
107/08/24,205,"6,782",33.3,33.3,33.0,33.0,-0.5,115
107/08/27,35,"1,179",32.9,33.55,32.9,33.55,0.55,40
107/08/28,75,"2,507",33.6,33.85,33.55,33.55,0.0,39
107/08/29,64,"2,161",33.6,33.85,33.6,33.7,0.15,49
107/08/30,37,"1,241",34.15,34.15,33.7,33.7,0.0,33
107/08/31,61,"2,055",33.7,33.75,33.5,33.6,-0.1,40
107/09/03,100,"3,326",33.6,33.6,33.0,33.0,-0.6,64
107/09/04,23,773,33.1,33.45,33.1,33.4,0.4,24
107/09/05,51,"1,701",33.3,33.4,33.25,33.3,-0.1,28
107/09/06,49,"1,643",33.3,33.55,33.25,33.4,0.1,42
107/09/07,191,"6,288",33.4,33.4,32.35,32.4,-1.0,96
107/09/10,427,"12,984",32.1,32.1,29.85,30.25,-2.15,247
107/09/11,126,"3,789",30.1,30.2,29.85,30.15,-0.1,90
107/09/12,78,"2,351",30.0,30.35,29.95,30.35,0.2,57
107/09/13,74,"2,285",30.45,31.5,30.45,31.0,0.65,71
107/09/14,30,946,31.3,31.8,31.3,31.6,0.6,27
107/09/17,24,750,31.3,31.3,31.1,31.3,-0.3,15
107/09/18,36,"1,111",31.1,31.3,31.0,31.3,0.0,41
107/09/19,19,584,31.95,31.95,31.3,31.35,0.05,25
107/09/20,116,"3,574",31.35,31.35,30.6,30.6,-0.75,71
107/09/21,33,"1,025",30.75,31.0,30.75,31.0,0.4,29
107/09/25,50,"1,592",33.0,33.0,31.15,31.45,0.45,41
107/09/26,28,883,31.5,31.5,30.9,31.2,-0.25,31
107/09/27,17,517,31.2,31.3,31.0,31.3,0.1,18
107/09/28,17,531,31.3,31.3,31.05,31.25,-0.05,14
107/10/01,10,320,31.15,31.3,31.15,31.25,0.0,14
107/10/02,28,877,31.35,31.35,31.0,31.2,-0.05,28
107/10/03,33,"1,035",31.0,31.35,31.0,31.3,0.1,29
107/10/04,28,877,31.3,31.3,30.8,31.0,-0.3,20
107/10/05,179,"5,361",30.55,30.6,29.55,29.6,-1.4,120
107/10/08,74,"2,192",29.7,29.8,29.55,29.8,0.2,58
107/10/09,285,"8,179",28.7,29.0,28.4,28.5,-1.3,195
107/10/11,483,"12,457",26.8,26.8,25.65,25.65,-2.85,265
107/10/12,432,"10,463",23.15,25.3,23.15,25.0,-0.65,242
107/10/15,150,"3,702",25.0,25.0,24.55,24.75,-0.25,86
107/10/16,157,"3,864",24.6,25.0,24.5,24.65,-0.1,103
107/10/17,189,"4,688",24.7,25.2,24.7,24.85,0.2,129
107/10/18,76,"1,888",24.6,25.0,24.6,24.9,0.05,54
107/10/19,94,"2,310",24.8,24.8,24.2,24.7,-0.2,54
107/10/22,107,"2,622",24.3,24.75,24.3,24.6,-0.1,54
107/10/23,77,"1,892",24.6,24.65,24.5,24.5,-0.1,39
107/10/24,51,"1,238",24.3,24.4,24.0,24.25,-0.25,43
107/10/25,171,"3,990",23.8,23.8,23.05,23.1,-1.15,123
107/10/26,98,"2,267",23.3,23.45,23.0,23.25,0.15,59
107/10/29,87,"2,024",23.05,23.3,23.0,23.2,-0.05,60
107/10/30,66,"1,524",23.2,23.25,23.05,23.25,0.05,50
107/10/31,71,"1,688",23.35,23.8,23.35,23.7,0.45,64
107/11/01,96,"2,288",23.8,24.1,23.8,23.95,0.25,68
107/11/02,128,"3,146",24.4,24.7,24.3,24.5,0.55,91
107/11/05,32,779,24.3,24.45,24.25,24.45,-0.05,28
107/11/06,109,"2,680",24.5,24.75,24.45,24.7,0.25,84
107/11/07,37,921,24.7,25.0,24.7,25.0,0.3,34
107/11/08,178,"4,645",25.05,27.1,25.05,25.8,0.8,147
