date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"150,239","1,435,532",9.65,9.7,9.5,9.6,-0.03,63
107/07/03,"115,007","1,100,043",9.6,9.68,9.51,9.6,0.0,68
107/07/04,"153,002","1,450,728",9.6,9.6,9.43,9.56,-0.04,69
107/07/05,"434,016","4,047,057",9.5,9.5,9.22,9.26,-0.3,135
107/07/06,"303,024","2,764,677",9.47,9.48,9.04,9.17,-0.09,123
107/07/09,"440,095","3,947,948",9.18,9.18,8.81,8.94,-0.23,175
107/07/10,"147,319","1,325,641",8.94,9.06,8.94,9.02,0.08,73
107/07/11,"212,240","1,899,002",9.02,9.03,8.88,8.94,-0.08,89
107/07/12,"342,079","3,038,389",8.92,8.95,8.83,8.85,-0.09,98
107/07/13,"208,210","1,848,025",8.89,8.97,8.84,8.87,0.02,64
107/07/16,"252,016","2,224,183",8.9,8.94,8.79,8.85,-0.02,78
107/07/17,"327,050","2,880,145",8.94,8.94,8.72,8.79,-0.06,107
107/07/18,"312,002","2,747,256",8.79,8.9,8.72,8.76,-0.03,108
107/07/19,"88,200","775,118",8.77,8.84,8.76,8.81,0.05,43
107/07/20,"259,081","2,254,574",8.8,8.81,8.57,8.57,-0.24,107
107/07/23,"424,046","3,560,625",8.59,8.62,8.21,8.35,-0.22,184
107/07/24,"740,054","6,387,002",8.26,9.08,8.23,8.95,0.6,307
107/07/25,"655,009","5,918,449",9.06,9.19,8.7,9.0,0.05,259
107/07/26,"183,026","1,627,021",9.02,9.02,8.8,8.95,-0.05,98
107/07/27,"165,000","1,457,330",8.9,8.94,8.8,8.88,-0.07,79
107/07/30,"110,319","978,962",8.88,8.95,8.8,8.85,-0.03,55
107/07/31,"40,005","352,780",8.85,8.9,8.8,8.84,-0.01,33
107/08/01,"359,002","3,116,426",8.84,8.85,8.61,8.69,-0.15,164
107/08/02,"454,002","3,972,318",8.7,9.0,8.53,8.95,0.26,187
107/08/03,"449,000","3,942,280",8.94,8.94,8.68,8.91,-0.04,155
107/08/06,"125,000","1,095,560",8.91,8.91,8.7,8.7,-0.21,67
107/08/07,"319,019","2,795,272",8.8,8.85,8.67,8.72,0.02,149
107/08/08,"149,046","1,304,493",8.75,8.8,8.71,8.71,-0.01,50
107/08/09,"226,001","1,974,908",8.74,8.78,8.68,8.75,0.04,80
107/08/10,"223,553","1,943,934",8.78,8.78,8.62,8.62,-0.13,80
107/08/13,"294,026","2,459,734",8.6,8.6,8.25,8.26,-0.36,137
107/08/14,"1,194,391","10,284,359",8.21,8.77,8.21,8.65,0.39,298
107/08/15,"162,147","1,372,117",8.66,8.69,8.36,8.36,-0.29,211
107/08/16,"120,574","1,013,214",8.5,8.5,8.36,8.48,0.12,62
107/08/17,"107,000","905,040",8.5,8.52,8.42,8.5,0.02,59
107/08/20,"377,001","3,209,568",8.55,8.6,8.5,8.52,0.02,90
107/08/21,"118,239","1,014,241",8.55,8.65,8.5,8.53,0.01,49
107/08/22,"135,001","1,145,058",8.53,8.57,8.42,8.54,0.01,57
107/08/23,"174,000","1,472,170",8.55,8.58,8.38,8.43,-0.11,73
107/08/24,"99,795","840,837",8.43,8.5,8.41,8.42,-0.01,52
107/08/27,"132,000","1,106,710",8.42,8.49,8.35,8.43,0.01,61
107/08/28,"229,002","1,908,746",8.5,8.5,8.3,8.38,-0.05,101
107/08/29,"104,171","866,928",8.42,8.42,8.3,8.37,-0.01,44
107/08/30,"126,373","1,051,040",8.38,8.4,8.28,8.3,-0.07,63
107/08/31,"144,003","1,193,314",8.38,8.38,8.26,8.3,0.0,59
107/09/03,"120,005","996,860",8.3,8.35,8.26,8.34,0.04,49
107/09/04,"145,010","1,213,803",8.34,8.43,8.31,8.41,0.07,54
107/09/05,"54,080","452,689",8.38,8.41,8.35,8.41,0.0,45
107/09/06,"142,012","1,192,656",8.38,8.47,8.36,8.39,-0.02,67
107/09/07,"341,690","2,790,302",8.35,8.41,8.07,8.15,-0.24,165
107/09/10,"824,208","6,165,014",8.05,8.05,7.34,7.34,-0.81,315
107/09/11,"1,296,003","8,760,871",7.11,7.15,6.61,6.95,-0.39,425
107/09/12,"345,000","2,347,320",6.64,6.92,6.64,6.85,-0.1,104
107/09/13,"455,477","3,271,136",6.81,7.4,6.81,7.35,0.5,184
107/09/14,"229,382","1,723,229",7.38,7.59,7.38,7.52,0.17,107
107/09/17,"101,153","767,940",7.58,7.62,7.53,7.6,0.08,63
107/09/18,"145,079","1,079,342",7.6,7.6,7.34,7.45,-0.15,71
107/09/19,"82,217","614,758",7.5,7.56,7.4,7.56,0.11,61
107/09/20,"197,036","1,481,421",7.64,7.64,7.39,7.6,0.04,127
107/09/21,"108,003","809,461",7.51,7.59,7.41,7.55,-0.05,57
107/09/25,"94,002","690,084",7.5,7.5,7.2,7.23,-0.32,55
107/09/26,"154,310","1,104,770",7.14,7.27,7.11,7.16,-0.07,76
107/09/27,"298,814","2,097,844",7.11,7.15,6.95,6.95,-0.21,118
107/09/28,"261,030","1,860,541",7.04,7.35,6.96,7.31,0.36,122
107/10/01,"95,111","693,865",7.34,7.36,7.22,7.31,0.0,66
107/10/02,"72,056","522,444",7.3,7.3,7.17,7.17,-0.14,46
107/10/03,"279,070","1,957,450",7.24,7.24,6.95,6.96,-0.21,124
107/10/04,"199,066","1,392,534",7.08,7.22,6.89,7.14,0.18,115
107/10/05,"399,041","2,691,037",7.0,7.0,6.55,6.78,-0.36,155
107/10/08,"127,051","851,123",6.78,6.79,6.62,6.78,0.0,58
107/10/09,"144,006","972,310",6.78,6.85,6.72,6.77,-0.01,65
107/10/11,"719,009","4,432,904",6.7,6.7,6.1,6.1,-0.67,231
107/10/12,"527,425","3,050,296",5.49,6.15,5.49,6.1,0.0,202
107/10/15,"158,000","948,350",5.86,6.25,5.86,6.15,0.05,56
107/10/16,"158,977","995,510",6.15,6.3,6.15,6.29,0.14,68
107/10/17,"180,043","1,171,866",6.46,6.8,6.35,6.7,0.41,80
107/10/18,"199,745","1,313,368",6.6,6.67,6.52,6.6,-0.1,67
107/10/19,"168,001","1,088,187",6.56,6.56,6.42,6.55,-0.05,43
107/10/22,"75,023","496,495",6.55,6.7,6.55,6.67,0.12,31
107/10/23,"59,080","389,850",6.6,6.7,6.53,6.53,-0.14,45
107/10/24,"189,003","1,218,488",6.49,6.55,6.4,6.54,0.01,55
107/10/25,"102,479","641,156",6.28,6.36,6.16,6.31,-0.23,50
107/10/26,"98,010","607,090",6.17,6.24,6.11,6.23,-0.08,48
107/10/29,"170,351","1,099,212",6.7,6.7,6.38,6.46,0.23,85
107/10/30,"256,835","1,671,736",6.25,6.64,6.24,6.64,0.18,137
107/10/31,"136,000","913,880",6.69,6.79,6.64,6.71,0.07,84
107/11/01,"110,000","730,410",6.62,6.77,6.49,6.74,0.03,39
107/11/02,"44,400","295,248",6.58,6.7,6.58,6.61,-0.13,15
107/11/05,"15,012","99,134",6.61,6.66,6.58,6.66,0.05,16
107/11/06,"37,001","242,416",6.61,6.61,6.52,6.55,-0.11,22
107/11/07,"131,488","875,557",6.73,6.77,6.55,6.64,0.09,64
107/11/08,"98,007","646,342",6.73,6.73,6.51,6.51,-0.13,61
107/11/09,"58,002","377,842",6.52,6.6,6.4,6.5,-0.01,29
107/11/12,"58,002","375,372",6.5,6.55,6.45,6.45,-0.05,26
107/11/13,"81,003","518,188",6.4,6.4,6.37,6.38,-0.07,35
107/11/14,"81,005","518,760",6.38,6.45,6.35,6.36,-0.02,35
107/11/15,"84,014","531,237",6.38,6.38,6.2,6.34,-0.02,41
107/11/16,"61,301","384,225",6.3,6.32,6.24,6.25,-0.09,39
107/11/19,"67,002","417,282",6.25,6.26,6.21,6.21,-0.04,27
107/11/20,"31,000","193,480",6.3,6.3,6.2,6.25,0.04,16
107/11/21,"109,679","692,174",6.32,6.35,6.25,6.35,0.1,55
107/11/22,"53,376","338,844",6.35,6.37,6.31,6.37,0.02,33
107/11/23,"76,001","487,356",6.4,6.43,6.4,6.41,0.04,42
107/11/26,"116,011","744,736",6.5,6.54,6.35,6.42,0.01,66
107/11/27,"123,006","796,808",6.51,6.59,6.36,6.53,0.11,60
107/11/28,"143,006","941,056",6.51,6.65,6.5,6.59,0.06,71
107/11/29,"215,000","1,412,480",6.7,6.7,6.52,6.56,-0.03,65
107/11/30,"218,000","1,461,920",6.56,6.79,6.56,6.7,0.14,109
107/12/03,"201,008","1,355,968",6.7,6.79,6.7,6.73,0.03,84
107/12/04,"261,007","1,765,625",6.73,6.81,6.71,6.77,0.04,86
107/12/05,"166,059","1,114,796",6.71,6.74,6.7,6.73,-0.04,65
107/12/06,"245,719","1,641,207",6.72,6.78,6.62,6.65,-0.08,119
107/12/07,"109,006","721,996",6.58,6.75,6.58,6.75,0.1,51
107/12/10,"42,006","279,679",6.68,6.69,6.61,6.67,-0.08,20
107/12/11,"547,317","3,816,199",6.71,7.18,6.7,7.16,0.49,219
107/12/12,"411,037","3,002,779",7.18,7.48,7.13,7.4,0.24,200
107/12/13,"375,234","2,778,196",7.47,7.52,7.3,7.4,0.0,128
107/12/14,"117,064","862,402",7.3,7.45,7.3,7.42,0.02,59
107/12/17,"171,014","1,262,402",7.25,7.5,7.23,7.46,0.04,57
107/12/18,"99,163","731,019",7.33,7.43,7.33,7.43,-0.03,49
107/12/19,"58,044","428,408",7.4,7.47,7.33,7.41,-0.02,60
107/12/20,"170,034","1,236,315",7.35,7.38,7.17,7.33,-0.08,79
107/12/21,"35,043","255,492",7.21,7.4,7.21,7.33,0.0,46
107/12/22,"149,004","1,078,838",7.25,7.33,7.2,7.33,0.0,47
107/12/24,"36,120","261,522",7.33,7.33,7.22,7.26,-0.07,30
107/12/25,"457,351","3,432,394",7.19,7.74,7.11,7.69,0.43,185
107/12/26,"262,061","2,025,781",7.88,7.89,7.6,7.7,0.01,115
107/12/27,"74,497","578,074",7.79,7.85,7.63,7.72,0.02,54
107/12/28,"102,002","792,194",7.79,7.8,7.66,7.79,0.07,43
108/01/02,"85,021","658,218",7.67,7.79,7.67,7.79,0.0,61
108/01/03,"69,500","540,286",7.79,7.8,7.69,7.79,0.0,36
108/01/04,"186,223","1,416,219",7.62,7.76,7.53,7.76,-0.03,92
108/01/07,"44,166","340,699",7.82,7.82,7.63,7.66,-0.1,89
108/01/08,"64,209","488,705",7.66,7.66,7.55,7.61,-0.05,39
108/01/09,"72,094","542,273",7.52,7.6,7.45,7.58,-0.03,95
108/01/10,"387,364","2,759,923",7.55,7.55,7.0,7.09,-0.49,162
108/01/11,"329,352","2,257,239",7.07,7.1,6.72,6.92,-0.17,136
108/01/14,"273,412","1,798,919",6.76,6.85,6.45,6.5,-0.42,130
108/01/15,"201,063","1,324,107",6.5,6.65,6.47,6.64,0.14,73
108/01/16,"188,023","1,225,597",6.63,6.67,6.47,6.56,-0.08,73
108/01/17,"237,261","1,524,508",6.58,6.58,6.26,6.31,-0.25,118
108/01/18,"127,252","810,154",6.33,6.41,6.31,6.41,0.1,67
108/01/21,"75,037","478,375",6.36,6.43,6.36,6.37,-0.04,54
108/01/22,"62,078","392,807",6.28,6.4,6.28,6.39,0.02,38
108/01/23,"123,036","776,372",6.39,6.39,6.27,6.34,-0.05,69
108/01/24,"217,020","1,410,149",6.45,6.7,6.4,6.6,0.26,132
108/01/25,"50,005","325,960",6.6,6.6,6.48,6.55,-0.05,41
108/01/28,"74,161","480,210",6.5,6.58,6.44,6.54,-0.01,115
108/01/29,"49,020","319,415",6.54,6.58,6.43,6.58,0.04,30
108/01/30,"37,100","242,258",6.51,6.59,6.46,6.56,-0.02,37
108/02/11,"277,180","1,754,386",6.56,6.56,6.3,6.3,-0.26,121
108/02/12,"42,095","266,559",6.3,6.4,6.27,6.35,0.05,38
108/02/13,"36,042","229,132",6.35,6.4,6.33,6.34,-0.01,48
108/02/14,"114,048","717,118",6.31,6.33,6.26,6.28,-0.06,70
108/02/15,"58,036","364,096",6.28,6.3,6.25,6.27,-0.01,49
108/02/18,"103,056","645,498",6.27,6.31,6.21,6.23,-0.04,92
108/02/19,"117,072","730,704",6.28,6.28,6.2,6.25,0.02,79
108/02/20,"183,029","1,130,914",6.21,6.26,6.1,6.1,-0.15,113
108/02/21,"85,530","529,243",6.28,6.28,6.16,6.19,0.09,73
108/02/22,"218,024","1,361,145",6.2,6.44,6.11,6.31,0.12,110
108/02/25,"129,167","818,512",6.35,6.38,6.31,6.35,0.04,111
108/02/26,"237,559","1,486,806",6.35,6.35,6.2,6.2,-0.15,127
