date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,8,103,13.15,13.15,13.10,13.10,0.15,6
107/07/03,48,603,13.05,13.05,12.20,12.65,-0.45,22
107/07/04,1,13,12.65,12.65,12.65,12.65,0.0,1
107/07/05,29,363,12.60,12.60,12.50,12.50,-0.15,12
107/07/06,3,38,12.50,12.50,12.50,12.50,0.0,2
107/07/09,4,50,12.50,12.50,12.50,12.50,0.0,4
107/07/10,14,177,12.55,12.95,12.50,12.90,0.4,8
107/07/11,0,0,--,--,--,--,0.0,0
107/07/12,14,175,12.55,13.05,12.55,12.95,0.05,10
107/07/13,0,0,--,--,--,--,0.0,0
107/07/16,6,76,12.75,12.75,12.70,12.70,-0.25,4
107/07/17,12,148,12.70,12.70,12.55,12.55,-0.15,5
107/07/18,745,"10,074",12.45,13.80,12.40,12.80,0.25,261
107/07/19,273,"3,353",12.55,12.55,12.00,12.35,-0.45,134
107/07/20,113,"1,419",12.35,12.80,12.10,12.65,0.3,68
107/07/23,26,327,12.50,12.70,12.50,12.70,0.05,15
107/07/24,146,"1,900",12.75,13.25,12.75,12.80,0.1,58
107/07/25,45,579,13.10,13.20,12.65,12.80,0.0,24
107/07/26,63,808,12.75,13.15,12.60,12.60,-0.2,38
107/07/27,54,679,12.55,12.75,12.55,12.60,0.0,22
107/07/30,83,"1,057",12.55,12.90,12.55,12.60,0.0,43
107/07/31,42,535,12.65,12.85,12.60,12.80,0.2,31
107/08/01,28,356,12.80,12.90,12.75,12.75,-0.05,15
107/08/02,47,602,12.70,13.20,12.50,12.75,0.0,34
107/08/03,36,465,12.70,13.10,12.65,12.90,0.15,26
107/08/06,35,453,12.85,13.10,12.80,12.95,0.05,14
107/08/07,43,556,12.85,13.00,12.85,12.95,0.0,13
107/08/08,40,512,12.75,13.10,12.75,12.85,-0.1,28
107/08/09,8,103,12.65,13.00,12.65,13.00,0.15,6
107/08/10,34,438,12.75,13.10,12.75,12.80,-0.2,15
107/08/13,55,706,12.80,12.95,12.65,12.90,0.1,20
107/08/14,52,668,12.80,13.10,12.65,12.85,-0.05,23
107/08/15,110,"1,425",12.75,13.10,12.75,12.90,0.05,30
107/08/16,45,579,12.60,13.00,12.60,12.95,0.05,20
107/08/17,5,65,13.00,13.00,12.90,12.95,0.0,4
107/08/20,24,312,12.80,13.00,12.80,13.00,0.05,11
107/08/21,21,276,12.85,13.00,12.80,12.80,-0.2,12
107/08/22,29,370,12.80,12.80,12.75,12.75,-0.05,10
107/08/23,30,386,12.60,13.00,12.60,12.85,0.1,13
107/08/24,14,180,12.70,13.00,12.70,12.80,-0.05,12
107/08/27,0,0,--,--,--,--,0.0,0
107/08/28,12,151,12.70,12.95,12.70,12.90,0.1,11
107/08/29,220,"2,772",12.85,12.85,12.45,12.55,-0.35,48
107/08/30,133,"1,700",12.65,13.05,12.45,13.00,0.45,59
107/08/31,64,829,13.00,13.00,12.90,12.95,-0.05,11
107/09/03,526,"6,959",13.00,13.60,12.80,12.80,-0.15,198
107/09/04,58,757,12.80,13.40,12.80,12.85,0.05,41
107/09/05,121,"1,568",12.85,13.05,12.85,13.00,0.15,50
107/09/06,51,662,13.00,13.05,12.80,13.05,0.05,20
107/09/07,39,504,12.95,13.00,12.65,12.90,-0.15,17
107/09/10,20,253,12.75,12.75,12.65,12.65,-0.25,12
107/09/11,11,138,12.65,12.65,12.50,12.55,-0.1,10
107/09/12,41,519,12.85,12.85,12.50,12.50,-0.05,20
107/09/13,189,"2,306",12.55,12.55,11.90,11.90,-0.6,59
107/09/14,40,487,12.20,12.20,12.05,12.05,0.15,25
107/09/17,17,202,12.10,12.15,12.00,12.15,0.1,9
107/09/18,4,48,12.10,12.10,12.10,12.10,-0.05,2
107/09/19,13,151,12.00,12.10,12.00,12.10,0.0,7
107/09/20,28,339,12.15,12.15,11.95,12.10,0.0,7
107/09/21,21,253,12.20,12.20,12.20,12.20,0.1,10
107/09/25,0,0,--,--,--,--,0.0,0
107/09/26,140,"1,793",12.25,13.30,12.00,12.70,0.5,60
107/09/27,16,206,12.80,12.95,12.75,12.90,0.2,10
107/09/28,23,295,12.80,12.90,12.80,12.80,-0.1,10
107/10/01,28,352,12.65,12.65,12.35,12.50,-0.3,15
107/10/02,35,441,12.40,12.95,12.30,12.95,0.45,17
107/10/03,13,166,12.90,12.90,12.70,12.80,-0.15,5
107/10/04,0,0,--,--,--,--,0.0,0
107/10/05,48,613,12.45,13.05,12.45,12.75,-0.05,12
107/10/08,23,288,12.45,12.75,12.45,12.50,-0.25,15
107/10/09,1,13,12.60,12.60,12.60,12.60,0.1,1
107/10/11,64,737,12.10,12.10,11.35,11.40,-1.2,28
107/10/12,45,523,11.40,12.00,11.40,12.00,0.6,19
107/10/15,3,35,11.50,11.75,11.50,11.75,-0.25,3
107/10/16,4,47,11.80,11.95,11.80,11.80,0.05,4
107/10/17,2,24,11.80,11.80,11.80,11.80,0.0,2
107/10/18,2,23,11.60,11.60,11.60,11.60,-0.2,2
107/10/19,31,359,11.55,11.80,11.35,11.60,0.0,14
107/10/22,30,351,11.65,12.00,11.45,11.60,0.0,14
107/10/23,13,149,11.50,11.50,11.40,11.45,-0.15,5
107/10/24,41,474,11.40,11.80,11.35,11.40,-0.05,13
107/10/25,31,366,11.70,12.00,11.50,11.50,0.1,16
107/10/26,61,687,11.45,11.45,11.00,11.05,-0.45,27
107/10/29,13,144,10.90,11.20,10.90,11.15,0.1,5
107/10/30,12,132,11.00,11.10,11.00,11.10,-0.05,5
107/10/31,23,260,11.30,11.30,11.30,11.30,0.2,6
107/11/01,2,21,11.75,11.75,11.75,11.75,0.45,3
107/11/02,26,306,11.75,11.80,11.45,11.80,0.05,10
107/11/05,0,0,--,--,--,--,0.0,0
107/11/06,30,356,11.60,12.15,11.55,11.70,-0.05,14
107/11/07,1,12,11.90,11.90,11.90,11.90,0.2,1
107/11/08,52,619,12.35,12.35,11.75,11.75,-0.15,15
107/11/09,1,12,11.75,11.75,11.75,11.75,0.0,1
107/11/12,0,0,--,--,--,--,0.0,0
107/11/13,25,294,11.40,12.10,11.35,12.10,0.35,10
107/11/14,6,64,11.65,11.80,11.60,11.80,-0.3,6
107/11/15,1,12,11.60,11.60,11.60,11.60,-0.2,1
107/11/16,22,257,11.50,11.90,11.45,11.90,0.3,9
107/11/19,14,162,11.60,11.60,11.50,11.60,-0.3,12
107/11/20,69,825,11.60,12.65,11.55,12.05,0.45,24
107/11/21,1,12,12.20,12.20,12.20,12.20,0.15,1
107/11/22,37,452,12.10,12.50,11.95,11.95,-0.25,14
107/11/23,5,59,11.90,11.90,11.80,11.80,-0.15,2
107/11/26,1,12,12.15,12.15,12.15,12.15,0.35,1
107/11/27,2,24,12.00,12.30,12.00,12.30,0.15,2
107/11/28,4,49,12.30,12.30,12.10,12.25,-0.05,4
107/11/29,0,0,--,--,--,--,0.0,0
107/11/30,4,46,12.25,12.25,12.25,12.25,0.0,3
107/12/03,232,"2,868",12.35,12.40,12.35,12.35,0.1,26
107/12/04,5,64,12.30,12.40,12.10,12.40,0.05,7
107/12/05,0,0,--,--,--,--,0.0,0
107/12/06,27,323,11.95,12.00,11.80,11.80,-0.6,9
107/12/07,8,92,11.80,11.85,11.55,11.85,0.05,5
107/12/10,8,96,11.80,12.10,11.80,12.05,0.2,6
107/12/11,67,812,11.85,12.70,11.65,12.70,0.65,30
107/12/12,64,791,12.40,12.60,12.00,12.20,-0.5,26
107/12/13,73,909,12.20,12.80,12.15,12.20,0.0,38
107/12/14,75,930,12.15,12.65,12.15,12.35,0.15,30
107/12/17,19,234,12.15,12.15,12.05,12.05,-0.3,10
107/12/18,28,330,11.75,11.75,11.65,11.75,-0.3,11
107/12/19,5,61,11.65,11.70,11.60,11.65,-0.1,6
107/12/20,78,914,11.45,11.80,11.45,11.80,0.15,19
107/12/21,4,47,11.80,11.80,11.80,11.80,0.0,2
107/12/22,0,0,--,--,--,--,0.0,0
107/12/24,33,401,12.25,12.25,11.80,11.80,0.0,5
107/12/25,2,23,11.55,11.70,11.55,11.70,-0.1,2
107/12/26,5,61,11.70,11.70,11.70,11.70,0.0,5
107/12/27,4,49,11.70,11.70,11.70,11.70,0.0,5
107/12/28,5,59,11.60,11.60,11.50,11.55,-0.15,7
108/01/02,4,43,11.55,11.55,11.55,11.55,0.0,2
108/01/03,15,173,11.50,11.55,11.45,11.45,-0.1,4
108/01/04,0,0,--,--,--,--,0.0,0
108/01/07,14,161,11.50,11.60,11.45,11.50,0.05,8
108/01/08,1,12,11.75,11.75,11.75,11.75,0.25,1
108/01/09,3,29,11.55,11.55,11.50,11.50,-0.25,3
108/01/10,23,269,11.45,11.80,11.35,11.80,0.3,15
108/01/11,60,710,11.60,12.25,11.60,11.80,0.0,24
108/01/14,20,242,11.70,12.00,11.70,11.95,0.15,14
108/01/15,47,555,11.75,12.00,11.55,11.70,-0.25,21
108/01/16,81,956,11.60,12.00,11.50,11.90,0.2,34
108/01/17,5,56,11.85,11.85,11.75,11.75,-0.15,5
108/01/18,11,123,11.75,11.75,11.65,11.75,0.0,9
108/01/21,1,12,11.60,11.60,11.60,11.60,-0.15,1
108/01/22,3,35,11.80,11.80,11.80,11.80,0.2,3
108/01/23,4,47,11.65,11.75,11.65,11.75,-0.05,4
108/01/24,45,524,11.60,12.30,11.60,12.30,0.55,21
108/01/25,67,814,12.15,12.40,11.95,11.95,-0.35,31
108/01/28,25,298,11.85,11.95,11.85,11.85,-0.1,7
108/01/29,74,911,11.85,12.50,11.85,12.40,0.55,32
108/01/30,38,472,12.50,12.60,12.40,12.60,0.2,20
108/02/11,15,184,12.60,12.85,12.55,12.70,0.1,11
108/02/12,3,38,12.60,12.60,12.60,12.60,-0.1,2
108/02/13,29,355,12.50,12.80,12.25,12.80,0.2,26
108/02/14,61,773,12.60,12.75,12.55,12.55,-0.25,8
108/02/15,5,62,12.50,12.50,12.35,12.35,-0.2,3
108/02/18,129,"1,623",12.45,12.65,12.40,12.50,0.15,18
108/02/19,12,155,12.50,12.65,12.50,12.65,0.15,8
108/02/20,0,0,--,--,--,--,0.0,0
108/02/21,6,69,12.45,12.60,12.45,12.60,0.0,5
108/02/22,2,25,12.50,12.50,12.50,12.50,-0.1,2
108/02/25,30,375,12.80,12.95,12.50,12.80,0.3,12
108/02/26,0,0,--,--,--,--,0.0,0
108/02/27,134,"1,760",12.80,13.80,12.50,13.15,0.55,63
108/03/04,259,"3,436",13.30,13.30,13.15,13.20,0.05,36
108/03/05,4,53,13.25,13.45,13.25,13.45,0.25,3
108/03/06,55,728,13.30,13.45,13.00,13.00,-0.45,19
108/03/07,0,0,--,--,--,--,0.0,1
108/03/08,2,29,12.85,12.85,12.85,12.85,-0.15,3
108/03/11,52,679,13.05,13.05,12.85,12.85,0.0,9
108/03/12,477,"6,402",13.00,13.75,13.00,13.30,0.45,126
108/03/13,11,145,13.50,13.70,13.40,13.40,0.1,9
108/03/14,23,310,13.20,13.60,13.20,13.55,0.15,20
108/03/15,6,79,13.45,13.45,13.05,13.15,-0.4,5
108/03/18,70,922,13.10,13.30,13.00,13.10,-0.05,24
108/03/19,144,"1,889",13.10,13.35,12.95,13.00,-0.1,36
108/03/20,33,431,13.00,13.10,13.00,13.00,0.0,10
108/03/21,43,560,13.00,13.10,12.95,13.00,0.0,17
108/03/22,16,208,13.10,13.10,12.90,13.00,0.0,13
108/03/25,7,91,12.80,13.00,12.80,13.00,0.0,5
108/03/26,38,496,12.95,13.20,12.95,13.10,0.1,15
108/03/27,31,403,13.00,13.15,13.00,13.10,0.0,15
108/03/28,24,308,13.00,13.00,12.90,12.90,-0.2,6
108/03/29,189,"2,415",13.00,13.00,12.55,12.65,-0.25,46
108/04/01,4,53,12.65,12.65,12.55,12.55,-0.1,5
108/04/02,52,648,12.55,12.55,12.45,12.45,-0.1,15
108/04/03,14,170,12.35,12.40,12.30,12.40,-0.05,7
108/04/08,885,"11,342",12.40,13.40,12.40,12.95,0.55,199
108/04/09,23,300,12.85,13.25,12.85,12.95,0.0,28
108/04/10,4,52,12.95,12.95,12.90,12.90,-0.05,5
108/04/11,108,"1,389",13.05,13.05,12.85,12.90,0.0,26
108/04/12,1,13,12.80,12.80,12.80,12.80,-0.1,1
108/04/15,41,528,12.85,12.95,12.75,12.90,0.1,23
108/04/16,69,886,12.70,12.90,12.70,12.80,-0.1,15
108/04/17,65,831,12.70,12.90,12.70,12.80,0.0,13
108/04/18,141,"1,774",12.80,12.80,12.25,12.25,-0.55,44
108/04/19,113,"1,405",12.25,12.70,12.25,12.60,0.35,31
108/04/22,78,973,12.60,12.60,12.45,12.60,0.0,21
108/04/23,13,162,12.75,12.75,12.65,12.65,0.05,8
108/04/24,91,"1,154",12.50,12.95,12.50,12.90,0.25,41
108/04/25,23,296,12.65,12.95,12.65,12.90,0.0,16
108/04/26,11,138,12.60,12.60,12.55,12.55,-0.35,6
108/04/29,19,235,12.40,12.70,12.40,12.65,0.1,7
108/04/30,29,369,12.75,12.75,12.50,12.60,-0.05,10
108/05/02,0,0,--,--,--,--,0.0,0
108/05/03,0,0,--,--,--,--,0.0,0
108/05/06,49,600,12.40,12.40,12.20,12.40,-0.2,19
108/05/07,1,12,12.30,12.30,12.30,12.30,-0.1,1
108/05/08,124,"1,522",12.25,12.35,12.15,12.30,0.0,29
108/05/09,68,838,12.70,12.70,12.15,12.20,-0.1,30
108/05/10,52,622,12.20,12.20,11.25,11.80,-0.4,26
108/05/13,20,238,11.80,11.85,11.30,11.85,0.05,9
108/05/14,2,23,11.60,11.60,11.60,11.60,-0.25,2
108/05/15,31,356,11.40,11.55,11.35,11.55,-0.05,12
108/05/16,20,232,11.55,11.70,11.50,11.50,-0.05,8
108/05/17,159,"1,782",12.00,12.00,10.60,10.60,-0.9,64
108/05/20,41,435,10.95,10.95,10.50,10.50,-0.1,20
108/05/21,58,609,10.65,10.70,10.50,10.55,0.05,25
108/05/22,15,164,10.80,11.05,10.80,10.95,0.4,10
108/05/23,157,"1,621",10.15,10.55,10.15,10.50,-0.45,58
108/05/24,30,313,10.50,10.70,10.50,10.55,0.05,13
108/05/27,40,421,10.55,10.65,10.45,10.45,-0.1,13
108/05/28,7,74,10.70,10.70,10.55,10.55,0.1,5
108/05/29,0,0,--,--,--,--,0.0,0
108/05/30,74,795,10.70,10.90,10.70,10.90,0.25,7
108/05/31,79,862,11.00,11.05,10.90,11.00,0.1,18
108/06/03,18,195,10.80,10.80,10.65,10.70,-0.3,9
108/06/04,57,632,10.85,11.30,10.70,10.70,0.0,20
