date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"56,069","1,268,202",22.5,22.9,22.45,22.55,-0.1,43
107/07/03,"115,444","2,542,233",22.55,22.55,21.55,21.55,-1.0,76
107/07/04,"227,003","4,906,663",21.45,22.2,21.05,21.8,0.25,134
107/07/05,"195,020","4,332,030",21.8,23.2,21.25,21.25,-0.55,150
107/07/06,"216,000","4,600,400",21.7,21.7,21.1,21.3,0.05,102
107/07/09,"432,023","9,927,437",21.5,23.4,21.5,22.9,1.6,271
107/07/10,"204,119","4,607,326",22.5,23.15,22.25,22.6,-0.3,144
107/07/11,"179,072","3,917,860",22.6,22.6,21.3,21.5,-1.1,135
107/07/12,"180,000","3,815,800",20.95,21.6,20.95,21.6,0.1,110
107/07/13,"150,453","3,281,118",21.6,22.2,21.5,22.0,0.4,84
107/07/16,"42,062","923,364",22.35,22.35,21.8,22.0,0.0,28
107/07/17,"70,020","1,539,440",22.2,22.2,21.8,22.1,0.1,50
107/07/18,"377,286","8,687,684",22.05,23.8,22.05,23.35,1.25,243
107/07/19,"206,206","4,837,467",23.55,24.15,23.0,23.25,-0.1,134
107/07/20,"96,309","2,204,232",22.85,23.9,22.5,22.6,-0.65,76
107/07/23,"66,020","1,492,608",22.4,23.2,22.25,22.9,0.3,49
107/07/24,"96,001","2,206,522",23.4,23.4,22.6,22.6,-0.3,60
107/07/25,"42,874","972,495",22.65,22.9,22.6,22.65,0.05,32
107/07/26,"61,002","1,379,844",23.0,23.0,22.35,22.45,-0.2,50
107/07/27,"62,000","1,404,050",22.6,22.85,22.4,22.85,0.4,54
107/07/30,"50,004","1,130,589",22.85,22.85,22.45,22.6,-0.25,41
107/07/31,"31,074","712,952",22.7,23.1,22.7,23.05,0.45,27
107/08/01,"204,328","4,849,772",23.2,24.4,23.05,23.8,0.75,155
107/08/02,"262,001","6,200,073",24.3,24.4,23.0,23.1,-0.7,153
107/08/03,"38,001","875,522",23.0,23.35,22.9,23.0,-0.1,31
107/08/06,"110,181","2,569,813",23.0,23.9,22.8,23.15,0.15,80
107/08/07,"45,112","1,044,098",22.8,23.4,22.8,23.3,0.15,47
107/08/08,"109,501","2,578,272",23.5,23.95,23.3,23.5,0.2,73
107/08/09,"99,397","2,344,069",23.4,23.95,23.3,23.7,0.2,68
107/08/10,"38,223","904,617",23.8,23.8,23.5,23.5,-0.2,36
107/08/13,"118,001","2,676,773",23.1,23.25,22.1,23.1,-0.4,88
107/08/14,"50,156","1,128,755",22.95,22.95,22.25,22.75,-0.35,36
107/08/15,"149,000","3,292,900",23.1,23.1,21.6,22.05,-0.7,76
107/08/16,"115,168","2,500,812",21.2,22.05,21.15,21.9,-0.15,70
107/08/17,"37,000","803,250",21.45,21.9,21.45,21.8,-0.1,28
107/08/20,"93,000","2,028,600",21.8,22.3,21.5,21.8,0.0,61
107/08/21,"76,132","1,671,454",21.8,22.3,21.8,22.15,0.35,46
107/08/22,"22,003","487,466",22.15,22.2,22.05,22.05,-0.1,23
107/08/23,"85,138","1,919,346",22.9,22.9,22.25,22.4,0.35,61
107/08/24,"23,000","511,200",22.4,22.4,22.0,22.05,-0.35,19
107/08/27,"57,684","1,260,396",22.05,22.05,21.7,21.8,-0.25,36
107/08/28,"67,105","1,490,319",22.0,22.6,21.9,22.1,0.3,63
107/08/29,"51,325","1,148,200",22.3,22.45,22.1,22.1,0.0,47
107/08/30,"91,360","2,024,209",22.2,22.4,22.0,22.25,0.15,62
107/08/31,"1,816,869","43,852,545",22.3,24.45,22.3,24.45,2.2,837
107/09/03,"2,970,297","77,432,621",25.0,26.85,24.75,26.75,2.3,"1,823"
107/09/04,"1,193,657","31,186,205",26.75,26.75,25.6,25.8,-0.95,747
107/09/05,"1,162,705","31,179,838",26.2,27.75,25.8,27.15,1.35,804
107/09/06,"486,009","12,895,434",26.95,27.1,26.05,26.15,-1.0,350
107/09/07,"1,495,500","38,309,149",26.15,27.6,23.8,23.9,-2.25,939
107/09/10,"507,001","11,809,072",23.3,24.35,22.2,22.3,-1.6,301
107/09/11,"168,390","3,871,620",22.4,23.4,22.4,23.0,0.7,139
107/09/12,"229,346","5,268,985",23.65,23.65,22.4,22.65,-0.35,141
107/09/13,"162,051","3,702,483",22.8,23.1,22.6,23.0,0.35,114
107/09/14,"116,000","2,693,000",23.5,23.5,23.0,23.15,0.15,87
107/09/17,"100,003","2,319,569",23.5,23.5,23.0,23.05,-0.1,78
107/09/18,"187,005","4,343,365",23.1,23.6,23.0,23.4,0.35,130
107/09/19,"138,139","3,250,287",23.55,23.8,23.15,23.45,0.05,100
107/09/20,"231,177","5,269,128",23.15,23.45,22.2,22.3,-1.15,185
107/09/21,"182,052","4,087,969",22.3,22.8,22.15,22.6,0.3,139
107/09/25,"60,580","1,362,597",22.7,22.7,22.25,22.5,-0.1,56
107/09/26,"62,259","1,392,301",22.65,22.7,22.2,22.5,0.0,52
107/09/27,"99,001","2,209,722",22.55,22.6,22.15,22.15,-0.35,71
107/09/28,"137,000","3,031,600",22.3,22.35,21.9,21.9,-0.25,97
107/10/01,"150,479","3,328,208",22.0,22.55,21.9,21.95,0.05,105
107/10/02,"104,114","2,290,008",22.3,22.3,21.9,21.95,0.0,76
107/10/03,"82,003","1,804,316",22.45,22.45,21.8,22.05,0.1,57
107/10/04,"35,000","766,100",21.8,22.15,21.8,21.85,-0.2,30
107/10/05,"134,002","2,846,842",21.75,21.75,20.95,21.1,-0.75,86
107/10/08,"153,059","3,144,117",20.4,20.95,20.4,20.65,-0.45,111
107/10/09,"550,197","10,567,829",20.35,20.45,18.65,18.65,-2.0,320
107/10/11,"950,003","15,965,498",16.8,17.0,16.8,16.8,-1.85,311
107/10/12,"1,181,113","19,060,119",15.2,17.5,15.2,16.1,-0.7,340
107/10/15,"237,104","3,853,264",17.0,17.0,15.9,16.0,-0.1,153
107/10/16,"208,000","3,361,950",15.55,16.7,15.55,16.1,0.1,120
107/10/17,"130,010","2,159,370",16.5,16.9,16.25,16.6,0.5,123
107/10/18,"92,114","1,553,701",16.7,17.1,16.65,16.85,0.25,76
107/10/19,"86,000","1,453,500",16.5,17.2,16.5,16.85,0.0,65
107/10/22,"60,196","1,027,578",17.2,17.25,16.85,17.1,0.25,53
107/10/23,"55,001","928,016",17.3,17.3,16.7,16.7,-0.4,39
107/10/24,"78,172","1,330,788",16.7,17.2,16.6,16.9,0.2,53
107/10/25,"128,051","2,119,040",16.2,16.9,16.2,16.55,-0.35,85
107/10/26,"92,084","1,544,534",16.6,17.0,16.6,16.6,0.05,55
107/10/29,"37,360","620,262",16.5,16.9,16.5,16.55,-0.05,28
107/10/30,"44,001","718,966",16.75,16.75,16.1,16.35,-0.2,31
107/10/31,"57,000","949,250",16.6,17.4,16.4,16.5,0.15,53
107/11/01,"70,746","1,185,857",16.55,16.95,16.55,16.85,0.35,55
107/11/02,"112,001","1,897,766",16.95,17.15,16.7,16.95,0.1,71
107/11/05,"42,050","713,002",16.9,17.15,16.8,17.0,0.05,32
107/11/06,"36,240","611,091",17.0,17.0,16.7,16.7,-0.3,28
107/11/07,"47,005","790,080",16.75,16.95,16.5,16.85,0.15,38
107/11/08,"38,004","639,964",16.85,17.0,16.7,16.7,-0.15,36
107/11/09,"382,101","6,417,296",16.7,17.4,16.65,16.65,-0.05,79
107/11/12,"28,004","463,364",16.7,16.7,16.45,16.5,-0.15,30
107/11/13,"48,001","788,766",16.55,16.6,16.3,16.5,0.0,35
107/11/14,"33,000","549,150",16.3,16.7,16.3,16.7,0.2,29
