date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,31,216,6.84,7.11,6.66,7.0,-0.01,22
107/07/03,70,455,6.73,6.73,6.3,6.3,-0.7,38
107/07/04,245,"1,424",6.31,6.31,5.67,5.85,-0.45,114
107/07/05,132,733,5.46,5.93,5.46,5.57,-0.28,51
107/07/06,114,636,5.55,5.78,5.5,5.6,0.03,32
107/07/09,79,438,5.46,5.78,5.46,5.72,0.12,31
107/07/10,24,140,5.85,6.0,5.8,5.8,0.08,12
107/07/11,77,478,6.32,6.32,6.18,6.25,0.45,23
107/07/12,56,353,6.11,6.6,6.1,6.41,0.16,24
107/07/13,308,"2,164",6.8,7.05,6.78,7.05,0.64,116
107/07/16,586,"4,525",7.73,7.75,7.36,7.75,0.7,149
107/07/17,347,"2,724",8.15,8.18,7.25,7.76,0.01,102
107/07/18,194,"1,420",8.2,8.2,7.01,7.1,-0.66,91
107/07/19,176,"1,215",7.0,7.01,6.73,6.9,-0.2,70
107/07/20,76,518,6.9,6.9,6.6,6.89,-0.01,54
107/07/23,34,230,6.5,6.9,6.5,6.64,-0.25,21
107/07/24,199,"1,413",6.7,7.3,6.5,7.3,0.66,40
107/07/25,116,891,7.4,7.89,7.4,7.51,0.21,52
107/07/26,56,420,7.38,7.68,7.37,7.6,0.09,40
107/07/27,160,"1,284",7.44,8.36,7.44,8.36,0.76,61
107/07/30,254,"2,066",8.21,8.36,8.0,8.05,-0.31,54
107/07/31,129,"1,042",7.86,8.5,7.86,8.5,0.45,69
107/08/01,333,"2,878",8.5,8.99,8.34,8.82,0.32,154
107/08/02,218,"1,867",8.43,8.99,8.1,8.8,-0.02,100
107/08/03,190,"1,671",8.35,9.08,8.35,9.03,0.23,100
107/08/06,257,"2,316",8.52,9.34,8.52,9.16,0.13,142
107/08/07,199,"1,824",9.08,9.31,8.8,9.31,0.15,95
107/08/08,201,"1,847",9.31,9.4,8.8,9.29,-0.02,91
107/08/09,343,"3,174",8.79,9.7,8.75,9.7,0.41,112
107/08/10,331,"3,244",9.5,10.2,9.4,9.75,0.05,162
107/08/13,185,"1,726",8.99,9.65,8.99,9.59,-0.16,80
107/08/14,477,"4,682",9.65,10.5,9.31,10.4,0.81,167
107/08/15,222,"2,361",11.2,11.2,10.1,10.9,0.5,128
107/08/16,277,"2,787",11.0,11.0,9.81,9.81,-1.09,210
107/08/17,201,"1,800",9.5,9.5,8.83,8.83,-0.98,66
107/08/20,265,"2,117",7.95,8.3,7.95,7.95,-0.88,93
107/08/21,228,"1,644",7.53,7.53,7.16,7.16,-0.79,93
107/08/22,502,"3,389",6.52,7.41,6.45,6.45,-0.71,197
107/08/23,100,674,6.93,6.93,6.55,6.61,0.16,62
107/08/24,178,"1,200",6.62,6.98,6.61,6.69,0.08,59
107/08/27,116,812,7.0,7.1,6.85,7.04,0.35,44
107/08/28,67,490,6.85,7.5,6.85,7.38,0.34,36
107/08/29,61,435,7.16,7.32,7.06,7.18,-0.2,27
107/08/30,40,290,7.19,7.36,7.19,7.26,0.08,21
107/08/31,19,136,7.26,7.26,7.07,7.07,-0.19,10
107/09/03,39,267,6.71,6.91,6.71,6.85,-0.22,22
107/09/04,97,708,6.8,7.53,6.8,7.53,0.68,36
107/09/05,92,709,7.53,7.9,7.5,7.7,0.17,28
107/09/06,41,320,7.66,7.95,7.65,7.9,0.2,13
107/09/07,110,907,7.95,8.39,7.95,8.18,0.28,61
107/09/10,96,780,7.91,8.4,7.89,8.15,-0.03,38
107/09/11,152,"1,263",8.31,8.8,8.0,8.0,-0.15,46
107/09/12,54,432,8.15,8.17,7.89,7.9,-0.1,31
107/09/13,49,384,7.9,8.12,7.61,7.71,-0.19,22
107/09/14,49,368,7.3,8.39,7.23,7.77,0.06,32
107/09/17,36,269,7.61,7.69,7.4,7.68,-0.09,19
107/09/18,46,340,8.34,8.34,7.29,7.29,-0.39,25
107/09/19,40,293,7.15,7.42,7.15,7.3,0.01,26
107/09/20,19,138,7.85,7.85,7.16,7.24,-0.06,9
107/09/21,63,458,7.24,7.45,7.24,7.4,0.16,26
107/09/25,108,770,7.3,7.3,6.94,6.94,-0.46,56
107/09/26,121,836,6.94,7.0,6.84,6.91,-0.03,33
107/09/27,91,620,7.2,7.2,6.45,7.0,0.09,45
107/09/28,53,372,7.48,7.48,6.83,6.98,-0.02,35
107/10/01,87,593,6.98,7.02,6.62,6.73,-0.25,36
107/10/02,74,496,6.65,6.98,6.65,6.72,-0.01,36
107/10/03,72,482,6.56,6.86,6.56,6.76,0.04,34
107/10/04,60,403,6.99,6.99,6.62,6.64,-0.12,24
107/10/05,83,537,6.99,6.99,6.43,6.43,-0.21,28
107/10/08,36,236,5.9,6.66,5.9,6.46,0.03,47
107/10/09,99,637,6.46,6.59,6.25,6.59,0.13,25
107/10/11,119,713,6.01,6.01,5.94,6.0,-0.59,58
107/10/12,200,"1,275",6.0,6.6,6.0,6.6,0.6,54
107/10/15,16,104,6.6,6.6,6.38,6.38,-0.22,25
107/10/16,36,227,5.86,6.61,5.86,6.1,-0.28,36
107/10/17,25,151,6.1,6.14,5.93,5.93,-0.17,19
107/10/18,28,170,5.68,6.35,5.68,6.22,0.29,19
107/10/19,10,61,6.22,6.22,5.94,6.19,-0.03,9
107/10/22,39,236,6.0,6.15,6.0,6.15,-0.04,21
107/10/23,28,167,6.0,6.01,5.75,5.75,-0.4,16
107/10/24,60,355,5.8,6.0,5.8,5.92,0.17,20
107/10/25,48,274,5.66,5.9,5.66,5.66,-0.26,20
107/10/26,84,457,5.2,5.75,5.2,5.63,-0.03,35
107/10/29,27,146,5.72,5.89,5.39,5.41,-0.22,16
107/10/30,133,693,5.2,5.59,5.03,5.21,-0.2,38
107/10/31,85,431,5.48,5.48,4.91,5.0,-0.21,43
107/11/01,47,241,5.2,5.2,5.0,5.01,0.01,19
107/11/02,95,486,5.05,5.33,5.02,5.02,0.01,29
107/11/05,34,173,5.05,5.15,5.05,5.1,0.08,13
107/11/06,47,235,5.05,5.05,4.93,4.99,-0.11,19
