date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,0,0,--,--,--,--,0.0,6
107/07/03,0,0,--,--,--,--,0.0,4
107/07/04,13,74,5.80,5.97,5.51,5.59,-0.49,14
107/07/05,57,299,5.50,5.50,5.04,5.10,-0.49,25
107/07/06,3,15,5.10,5.10,5.00,5.00,-0.1,4
107/07/09,11,56,5.00,5.28,5.00,5.28,0.28,12
107/07/10,14,71,5.01,5.75,5.00,5.75,0.47,8
107/07/11,21,110,5.20,5.50,5.18,5.18,-0.57,24
107/07/12,11,57,5.00,5.01,5.00,5.01,-0.17,19
107/07/13,17,86,5.00,5.20,5.00,5.01,0.0,14
107/07/16,17,91,5.39,5.40,5.30,5.30,0.29,18
107/07/17,21,106,5.07,5.08,5.02,5.06,-0.24,11
107/07/18,10,51,5.16,5.19,5.05,5.05,-0.01,7
107/07/19,5,25,5.03,5.03,5.03,5.03,-0.02,10
107/07/20,19,96,5.03,5.04,5.03,5.03,0.0,7
107/07/23,45,227,5.03,5.06,5.03,5.03,0.0,11
107/07/24,33,171,5.20,5.20,5.10,5.13,0.1,14
107/07/25,8,42,5.15,5.15,5.15,5.15,0.02,4
107/07/26,35,177,5.05,5.20,5.03,5.03,-0.12,11
107/07/27,98,472,5.05,5.05,4.53,4.62,-0.41,40
107/07/30,17,79,4.63,4.76,4.55,4.70,0.08,8
107/07/31,25,118,4.56,4.85,4.56,4.75,0.05,26
107/08/01,29,130,4.60,4.80,4.34,4.41,-0.34,45
107/08/02,13,57,4.36,4.54,4.35,4.50,0.09,10
107/08/03,37,168,4.55,4.70,4.35,4.65,0.15,28
107/08/06,11,52,4.83,4.83,4.60,4.75,0.1,20
107/08/07,86,443,4.80,5.22,4.70,5.18,0.43,42
107/08/08,1,6,5.39,5.39,5.39,5.39,0.21,15
107/08/09,6,30,5.00,5.19,4.91,5.04,-0.35,16
107/08/10,95,454,4.62,5.08,4.62,4.99,-0.05,65
107/08/13,35,173,4.98,5.08,4.75,5.07,0.08,60
107/08/14,49,252,5.15,5.30,5.15,5.15,0.08,49
107/08/15,3,16,4.71,5.18,4.71,5.10,-0.05,11
107/08/16,26,134,5.00,5.25,5.00,5.25,0.15,16
107/08/17,24,124,5.12,5.30,5.12,5.30,0.05,57
107/08/20,112,625,4.91,5.83,4.91,5.83,0.53,74
107/08/21,49,307,5.50,6.41,5.50,6.41,0.58,41
107/08/22,218,"1,512",6.89,7.05,6.30,6.30,-0.11,96
107/09/03,88,"1,137",12.60,13.20,12.05,12.05,-0.55,41
107/09/04,57,619,10.85,11.80,10.85,11.70,-0.35,33
107/09/05,172,"1,825",11.05,11.05,10.55,10.55,-1.15,46
107/09/06,9,89,10.45,10.50,10.45,10.50,-0.05,19
107/09/07,42,443,10.45,10.90,10.45,10.60,0.1,20
107/09/10,629,"6,737",10.60,11.00,10.60,10.70,0.1,95
107/09/11,"1,238","12,950",10.70,10.70,10.45,10.45,-0.25,42
107/09/12,"4,202","44,544",10.60,10.70,10.55,10.60,0.15,102
107/09/13,542,"5,533",10.70,11.05,10.05,10.05,-0.55,43
107/09/14,"4,743","48,420",10.40,11.05,10.15,10.20,0.15,97
107/09/17,"1,581","16,602",10.40,10.85,10.40,10.50,0.3,52
107/09/18,41,452,10.50,11.55,10.50,11.55,1.05,23
107/09/19,230,"2,926",12.70,12.70,12.10,12.70,1.15,46
107/09/20,24,332,13.95,13.95,13.95,13.95,1.25,10
107/09/21,698,"10,675",15.30,15.30,14.40,15.30,1.35,184
107/09/25,298,"4,860",16.75,16.80,15.40,16.60,1.3,151
107/09/26,68,"1,110",17.25,17.25,15.15,15.50,-1.1,34
107/09/27,103,"1,599",16.60,16.60,15.20,15.40,-0.1,33
107/09/28,171,"2,773",16.50,16.90,15.50,16.90,1.5,61
107/10/01,153,"2,603",17.10,17.10,16.65,17.10,0.2,64
107/10/02,81,"1,362",17.10,17.10,16.35,16.35,-0.75,35
107/10/03,80,"1,282",16.15,16.15,15.45,16.05,-0.3,39
107/10/04,26,417,16.80,16.80,15.70,15.70,-0.35,21
107/10/05,92,"1,389",15.60,15.65,14.95,15.40,-0.3,26
107/10/08,126,"1,800",13.90,16.00,13.90,16.00,0.6,54
107/10/09,54,829,15.90,15.90,15.00,15.50,-0.5,27
107/10/11,35,511,14.45,14.60,14.45,14.60,-0.9,34
107/10/12,49,726,14.90,15.00,14.90,14.90,0.3,30
107/10/15,13,190,15.00,15.10,15.00,15.10,0.2,24
107/10/16,12,173,15.00,15.35,15.00,15.10,0.0,26
107/10/17,24,374,15.40,16.00,15.40,16.00,0.9,18
107/10/18,14,219,16.45,16.45,15.40,15.40,-0.6,16
107/10/19,15,220,14.70,14.75,14.50,14.50,-0.9,10
107/10/22,19,274,14.50,14.60,14.20,14.60,0.1,14
107/10/23,34,487,14.40,14.50,14.00,14.00,-0.6,6
107/10/24,5,69,13.80,13.80,13.80,13.80,-0.2,26
107/10/25,32,420,13.05,14.45,12.50,14.45,0.65,25
107/10/26,28,377,13.45,14.85,13.45,13.50,-0.95,21
107/10/29,23,311,13.55,13.95,13.20,13.80,0.3,20
107/10/30,32,422,13.35,13.70,13.35,13.35,-0.45,21
107/10/31,51,642,12.40,13.90,12.40,13.85,0.5,26
107/11/01,4,56,13.55,14.40,13.55,14.25,0.4,7
107/11/02,3,42,14.35,14.35,14.00,14.00,-0.25,11
107/11/05,5,68,13.45,13.50,13.45,13.50,-0.5,15
107/11/06,6,75,13.10,13.95,13.10,13.95,0.45,10
107/11/07,17,219,12.60,13.00,12.60,12.80,-1.15,25
107/11/08,12,158,13.05,13.20,13.05,13.20,0.4,19
107/11/09,0,0,--,--,--,--,0.0,0
107/11/12,4,55,13.00,13.85,13.00,13.85,0.65,6
107/11/13,5,69,13.45,13.45,13.35,13.35,-0.5,16
107/11/14,12,161,13.20,14.20,13.20,14.20,0.85,16
107/11/15,0,0,--,--,--,--,0.0,0
107/11/16,23,330,15.00,15.00,14.00,14.50,0.3,9
107/11/19,96,"1,437",15.95,15.95,14.10,14.55,0.05,50
107/11/20,58,806,14.20,14.35,13.15,13.50,-1.05,62
107/11/21,12,159,13.50,13.85,13.50,13.50,0.0,14
107/11/22,31,419,13.50,13.50,13.50,13.50,0.0,24
107/11/23,5,59,13.05,13.45,13.05,13.45,-0.05,9
107/11/26,12,160,13.45,13.45,12.65,12.65,-0.8,20
107/11/27,18,232,12.70,12.95,12.70,12.90,0.25,20
107/11/28,49,635,12.90,13.10,12.85,13.10,0.2,38
107/11/29,67,920,13.15,14.30,13.15,14.30,1.2,24
107/11/30,57,815,14.60,14.60,14.00,14.00,-0.3,30
107/12/03,68,988,14.85,14.85,14.00,14.60,0.6,34
107/12/04,135,"1,977",15.00,15.00,14.60,14.65,0.05,44
107/12/05,62,904,14.65,14.65,14.45,14.45,-0.2,26
107/12/06,11,156,13.75,14.65,13.75,14.65,0.2,12
107/12/07,33,485,14.60,14.75,14.55,14.75,0.1,24
107/12/10,182,"2,729",15.00,15.00,14.85,14.95,0.2,30
107/12/11,63,943,15.05,15.10,14.80,15.00,0.05,33
107/12/12,44,664,15.00,15.20,14.90,15.05,0.05,24
107/12/13,85,"1,276",15.05,15.05,15.00,15.00,-0.05,36
107/12/14,80,"1,200",15.00,15.00,15.00,15.00,0.0,19
107/12/17,44,662,15.20,15.20,15.00,15.00,0.0,22
107/12/18,54,809,14.95,15.00,14.95,14.95,-0.05,22
107/12/19,72,"1,042",13.60,14.95,13.60,14.65,-0.3,48
107/12/20,22,321,14.50,14.70,14.50,14.55,-0.1,40
107/12/21,71,"1,086",14.80,15.50,14.80,14.90,0.35,31
107/12/22,8,121,14.90,14.90,14.60,14.60,-0.3,19
107/12/24,13,192,14.70,14.90,14.70,14.90,0.3,29
107/12/25,45,670,15.60,15.65,14.90,15.00,0.1,32
107/12/26,12,183,15.20,15.40,15.00,15.20,0.2,49
107/12/27,11,165,15.20,15.20,14.90,15.00,-0.2,15
107/12/28,31,458,15.00,15.00,14.90,14.90,-0.1,21
108/01/02,36,537,14.90,14.90,14.90,14.90,0.0,49
108/01/03,0,0,--,--,--,--,0.0,10
108/01/04,10,147,14.80,14.90,14.50,14.90,0.05,26
108/01/07,42,618,14.55,14.55,14.50,14.55,-0.35,129
108/01/08,32,468,14.60,14.60,14.60,14.60,0.05,34
108/01/09,8,120,14.60,14.95,14.60,14.95,0.35,78
108/01/10,92,"1,304",14.60,14.60,14.05,14.30,-0.65,81
108/01/11,61,868,14.40,14.40,14.00,14.20,-0.1,61
108/01/14,12,171,14.15,14.15,14.10,14.10,-0.1,63
108/01/15,15,214,14.20,14.45,14.20,14.40,0.3,20
108/01/16,3,36,14.30,14.30,14.25,14.25,-0.15,33
108/01/17,26,374,14.15,14.60,14.15,14.45,0.2,76
108/01/18,58,868,14.65,15.10,14.65,14.95,0.5,122
108/01/21,20,296,15.00,15.00,14.50,14.60,-0.35,120
108/01/22,6,91,15.45,15.50,14.70,14.70,0.1,39
108/01/23,16,235,14.70,14.70,14.50,14.60,-0.1,74
108/01/24,8,111,15.10,15.10,14.50,14.50,-0.1,52
108/01/25,65,928,14.50,14.50,14.10,14.20,-0.3,79
108/01/28,6,84,14.20,14.35,14.20,14.35,0.15,165
108/01/29,3,44,14.05,14.50,14.05,14.50,0.15,63
108/01/30,8,116,14.30,14.70,14.30,14.70,0.2,44
108/02/11,8,120,14.65,14.95,14.60,14.90,0.2,137
108/02/12,5,74,14.70,14.70,14.70,14.70,-0.2,47
108/02/13,13,194,14.50,14.50,14.50,14.50,-0.2,50
108/02/14,18,255,14.60,14.60,14.55,14.60,0.1,85
108/02/15,13,187,14.60,14.60,14.20,14.25,-0.35,112
108/02/18,28,402,14.30,14.40,14.30,14.35,0.1,125
108/02/19,3,44,14.40,14.65,14.40,14.65,0.3,68
108/02/20,3,50,14.70,14.70,14.35,14.35,-0.3,105
108/02/21,12,172,14.35,14.35,14.10,14.10,-0.25,59
108/02/22,78,"1,126",14.10,14.70,14.10,14.50,0.4,100
108/02/25,78,"1,101",14.50,14.50,14.10,14.20,-0.3,117
108/02/26,24,331,13.80,14.35,13.80,14.30,0.1,89
108/02/27,8,116,14.20,14.20,14.10,14.10,-0.2,30
108/03/04,32,444,14.00,14.10,13.80,14.10,0.0,15
108/03/05,10,146,14.35,14.40,14.30,14.30,0.2,177
108/03/06,1,17,14.30,14.30,14.30,14.30,0.0,139
108/03/07,2,22,14.20,14.20,14.20,14.20,-0.1,118
108/03/08,11,144,14.00,14.00,13.55,13.95,-0.25,122
108/03/11,6,82,13.50,13.95,13.50,13.95,0.0,246
108/03/12,11,146,13.60,14.05,13.60,14.05,0.1,90
108/03/13,3,34,13.70,13.70,13.70,13.70,-0.35,73
108/03/14,113,"1,557",13.70,13.75,13.60,13.75,0.05,81
108/03/15,9,116,13.75,13.75,13.60,13.60,-0.15,77
108/03/18,25,346,13.60,14.10,13.55,13.55,-0.05,197
108/03/19,5,68,13.55,13.55,13.35,13.40,-0.15,63
108/03/20,4,55,13.95,13.95,13.35,13.40,0.0,86
108/03/21,8,106,14.45,14.45,13.65,13.65,0.25,57
108/03/22,14,188,13.60,14.00,13.60,14.00,0.35,64
108/03/25,4,57,13.85,13.85,13.85,13.85,-0.15,137
108/03/26,6,79,13.85,13.85,13.50,13.50,-0.35,88
108/03/27,7,89,13.55,13.55,13.55,13.55,0.05,56
108/03/28,1,13,--,--,--,--,0.0,51
108/03/29,13,178,13.35,13.40,13.35,13.40,-0.15,34
108/04/01,8,99,13.15,13.15,13.15,13.15,-0.25,67
108/04/02,72,918,12.90,13.15,12.30,12.80,-0.35,73
108/04/03,9,116,12.80,13.20,12.80,13.20,0.4,42
108/04/08,4,48,12.85,12.85,12.85,12.85,-0.35,34
108/04/09,23,300,13.35,13.35,12.60,12.60,-0.25,42
108/04/10,15,188,12.60,13.00,12.60,13.00,0.4,49
108/04/11,228,"2,953",12.80,13.00,12.80,12.95,-0.05,31
108/04/12,8,104,12.90,13.00,12.70,12.70,-0.25,36
108/04/15,40,504,12.55,13.00,12.55,13.00,0.3,43
108/04/16,8,106,13.00,13.05,13.00,13.00,0.0,51
108/04/17,13,164,13.00,13.50,13.00,13.00,0.0,29
108/04/18,53,690,13.00,13.15,13.00,13.00,0.0,33
108/04/19,10,129,12.90,12.90,12.90,12.90,-0.1,8
108/04/22,1,13,12.90,12.90,12.90,12.90,0.0,40
108/04/23,93,"1,280",12.95,14.15,12.95,13.50,0.6,71
108/04/24,43,577,14.25,14.25,13.20,13.20,-0.3,48
108/04/25,4,54,13.25,13.55,13.25,13.55,0.35,9
108/04/26,59,759,13.05,13.05,12.80,12.95,-0.6,18
108/04/29,32,415,12.90,13.00,12.90,12.90,-0.05,14
108/04/30,110,"1,435",12.50,13.10,12.50,13.10,0.2,13
108/05/02,32,424,13.15,13.25,13.15,13.15,0.05,20
108/05/03,2,19,13.00,13.00,13.00,13.00,-0.15,6
