date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,2,50,25.05,25.05,25.00,25.00,-0.05,2
107/07/03,8,199,24.85,24.90,24.70,24.90,-0.1,7
107/07/04,5,124,24.90,24.95,24.80,24.80,-0.1,5
107/07/05,25,636,26.45,26.45,24.80,24.80,0.0,16
107/07/06,1,25,24.80,24.80,24.80,24.80,0.0,3
107/07/09,14,349,24.90,24.90,24.85,24.85,0.05,8
107/07/10,31,771,25.35,25.35,24.75,24.80,-0.05,17
107/07/11,18,447,25.00,25.00,24.70,24.75,-0.05,8
107/07/12,10,248,24.75,24.90,24.70,24.70,-0.05,4
107/07/13,57,"1,395",24.55,24.65,24.40,24.50,-0.2,36
107/07/16,22,539,24.50,24.50,24.40,24.50,0.0,11
107/07/17,8,195,24.45,24.45,24.40,24.40,-0.1,7
107/07/18,25,609,24.40,24.45,24.30,24.45,0.05,14
107/07/19,28,687,24.75,24.75,24.40,24.50,0.05,22
107/07/20,33,802,24.40,24.40,24.20,24.35,-0.15,23
107/07/23,43,"1,038",24.10,24.25,24.10,24.10,-0.25,26
107/07/24,25,605,24.10,24.20,24.10,24.20,0.1,13
107/07/25,29,707,24.30,24.50,24.30,24.45,0.25,18
107/07/26,38,929,24.50,24.55,24.40,24.50,0.05,24
107/07/27,67,"1,646",24.50,24.70,24.50,24.70,0.2,47
107/07/30,222,"5,519",24.75,24.90,24.75,24.80,0.1,132
107/07/31,67,"1,495",22.35,22.45,22.10,22.30,-0.5,51
107/08/01,33,734,22.30,22.30,22.15,22.25,-0.05,17
107/08/02,29,642,22.40,22.40,22.10,22.10,-0.15,8
107/08/03,7,155,22.10,22.20,22.05,22.20,0.1,6
107/08/06,48,"1,059",22.30,22.30,21.95,22.20,0.0,27
107/08/07,54,"1,179",22.15,22.15,21.70,21.70,-0.5,34
107/08/08,26,560,21.70,21.70,21.50,21.60,-0.1,15
107/08/09,111,"2,363",21.60,21.60,21.20,21.50,-0.1,51
107/08/10,49,"1,054",21.35,21.80,21.30,21.80,0.3,16
107/08/13,47,991,21.30,21.30,20.30,20.80,-1.0,30
107/08/14,15,313,20.80,21.25,20.75,21.00,0.2,12
107/08/15,35,722,21.00,21.00,20.55,20.85,-0.15,24
107/08/16,71,"1,448",20.25,20.55,20.15,20.55,-0.3,35
107/08/17,39,801,20.50,20.60,20.50,20.55,0.0,20
107/08/20,24,492,20.50,20.60,20.45,20.60,0.05,12
107/08/21,16,331,20.90,21.00,20.45,20.55,-0.05,16
107/08/22,21,438,20.95,21.00,20.75,20.75,0.2,11
107/08/23,8,166,20.75,21.05,20.65,20.90,0.15,8
107/08/24,6,124,20.70,20.85,20.70,20.85,-0.05,4
107/08/27,11,229,20.80,20.95,20.80,20.95,0.1,8
107/08/28,5,106,21.25,21.25,21.25,21.25,0.3,3
107/08/29,7,152,20.85,21.20,20.85,21.20,-0.05,7
107/08/30,4,85,21.20,21.20,21.20,21.20,0.0,3
107/08/31,16,339,20.90,21.20,20.90,21.20,0.0,13
107/09/03,7,148,21.20,21.30,21.10,21.30,0.1,6
107/09/04,12,255,21.20,21.35,21.15,21.35,0.05,10
107/09/05,6,128,21.25,21.25,21.25,21.25,-0.1,4
107/09/06,16,338,21.25,21.25,21.00,21.20,-0.05,9
107/09/07,27,564,21.05,21.05,20.80,20.80,-0.4,14
107/09/10,18,367,20.45,20.90,20.30,20.50,-0.3,15
107/09/11,7,141,20.25,20.25,20.15,20.20,-0.3,5
107/09/12,5,102,20.30,20.40,20.30,20.40,0.2,3
107/09/13,3,62,20.65,20.65,20.65,20.65,0.25,3
107/09/14,6,126,20.90,21.00,20.90,21.00,0.35,8
107/09/17,6,126,20.80,21.20,20.80,21.20,0.2,6
107/09/18,3,63,21.00,21.15,21.00,21.15,-0.05,2
107/09/19,11,233,21.15,21.20,21.15,21.20,0.05,12
107/09/20,2,42,20.95,21.15,20.95,21.15,-0.05,2
107/09/21,15,318,21.25,21.25,21.15,21.20,0.05,11
107/09/25,2,42,21.00,21.20,21.00,21.20,0.0,2
107/09/26,19,400,21.20,21.20,20.95,21.05,-0.15,11
107/09/27,23,485,21.05,21.15,20.90,21.05,0.0,9
107/09/28,13,272,21.05,21.05,20.85,21.00,-0.05,9
107/10/01,32,671,20.90,21.00,20.85,21.00,0.0,13
107/10/02,14,294,21.00,21.05,21.00,21.00,0.0,8
107/10/03,6,125,20.75,20.75,20.75,20.75,-0.25,2
107/10/04,20,417,21.00,21.00,20.80,20.80,0.05,15
107/10/05,15,309,20.70,20.75,20.50,20.50,-0.3,11
107/10/08,20,410,20.50,20.70,20.50,20.70,0.2,13
107/10/09,11,227,20.60,20.60,20.60,20.60,-0.1,7
107/10/11,136,"2,616",20.05,20.05,19.05,19.10,-1.5,80
107/10/12,14,266,17.90,19.10,17.90,19.10,0.0,12
107/10/15,2,39,19.30,19.65,19.30,19.65,0.55,4
107/10/16,1,20,19.65,19.65,19.65,19.65,0.0,2
107/10/17,3,59,19.65,19.70,19.65,19.65,0.0,3
107/10/18,21,407,19.30,19.55,19.30,19.55,-0.1,11
107/10/19,7,135,19.05,19.45,19.05,19.45,-0.1,7
107/10/22,25,482,19.35,19.35,19.25,19.25,-0.2,19
107/10/23,7,134,19.20,19.25,19.15,19.25,0.0,5
107/10/24,12,230,19.10,19.25,19.10,19.25,0.0,8
107/10/25,85,"1,596",19.05,19.05,18.75,18.90,-0.35,22
107/10/26,20,379,19.10,19.10,18.85,18.90,0.0,10
107/10/29,3,57,18.80,18.90,18.80,18.90,0.0,2
107/10/30,12,227,19.05,19.05,18.75,18.90,0.0,6
107/10/31,9,171,19.05,19.10,18.95,19.10,0.2,13
107/11/01,2,39,19.10,19.70,19.10,19.70,0.6,5
107/11/02,4,78,19.55,19.80,19.55,19.80,0.1,3
107/11/05,0,0,--,--,--,--,0.0,0
107/11/06,13,253,19.60,19.60,19.45,19.55,-0.15,11
107/11/07,17,333,19.60,19.70,19.50,19.70,0.15,12
107/11/08,3,59,19.80,19.80,19.75,19.80,0.1,3
107/11/09,6,119,19.50,19.75,19.50,19.75,-0.05,4
107/11/12,0,2,--,--,--,--,0.0,1
107/11/13,100,"1,910",19.00,19.65,19.00,19.60,-0.1,39
107/11/14,1,20,19.75,19.75,19.75,19.75,0.15,2
107/11/15,21,414,19.70,19.80,19.65,19.80,0.05,12
107/11/16,2,40,19.80,19.90,19.80,19.90,0.1,2
107/11/19,6,119,19.80,19.90,19.80,19.85,-0.05,6
107/11/20,4,79,19.55,19.90,19.55,19.90,0.05,4
107/11/21,0,1,--,--,--,--,0.0,1
107/11/22,2,40,19.80,19.80,19.80,19.80,0.0,2
107/11/23,6,116,19.25,19.60,19.25,19.60,-0.2,2
107/11/26,4,79,19.65,19.65,19.55,19.65,0.05,5
107/11/27,4,79,19.60,19.70,19.60,19.70,0.05,3
107/11/28,12,236,19.55,19.75,19.55,19.75,0.05,6
107/11/29,16,318,19.80,19.95,19.80,19.80,0.05,12
107/11/30,28,556,19.95,19.95,19.65,19.90,0.1,14
107/12/03,37,739,19.95,20.05,19.95,20.05,0.15,14
107/12/04,9,179,19.85,19.95,19.85,19.95,-0.1,7
107/12/05,15,300,20.05,20.05,19.90,20.00,0.05,11
107/12/06,11,219,20.05,20.05,19.80,19.95,-0.05,10
107/12/07,24,480,20.00,20.00,19.90,20.00,0.05,18
107/12/10,25,495,19.75,19.90,19.75,19.85,-0.15,12
107/12/11,62,"1,204",19.10,19.85,19.10,19.85,0.0,13
107/12/12,10,199,19.85,19.85,19.85,19.85,0.0,5
107/12/13,20,397,19.85,20.00,19.55,19.90,0.05,8
107/12/14,6,119,19.80,19.95,19.80,19.95,0.05,5
107/12/17,13,259,19.95,20.00,19.50,19.95,0.0,8
107/12/18,5,100,19.90,20.00,19.90,20.00,0.05,6
107/12/19,7,140,20.00,20.00,20.00,20.00,0.0,4
107/12/20,14,277,19.90,19.95,19.60,19.95,-0.05,7
107/12/21,2,39,19.45,19.90,19.45,19.90,-0.05,4
107/12/22,6,119,19.85,19.90,19.85,19.90,0.0,3
107/12/24,7,140,19.80,19.95,19.80,19.95,0.05,5
107/12/25,8,159,19.95,19.95,19.85,19.90,-0.05,6
107/12/26,2,40,19.95,19.95,19.95,19.95,0.05,1
107/12/27,13,259,19.95,19.95,19.90,19.90,-0.05,5
107/12/28,16,318,19.00,19.95,19.00,19.90,0.0,9
108/01/02,3,60,19.85,19.95,19.85,19.95,0.05,3
108/01/03,4,80,19.95,20.20,19.95,20.20,0.25,5
108/01/04,0,0,--,--,--,--,0.0,0
108/01/07,4,82,20.00,20.40,20.00,20.40,0.35,5
108/01/08,0,0,--,--,--,--,0.0,1
108/01/09,6,120,20.20,20.25,19.90,20.10,-0.15,6
108/01/10,2,40,20.00,20.10,20.00,20.10,0.0,2
108/01/11,6,120,20.00,20.00,20.00,20.00,-0.1,3
108/01/14,8,161,20.00,20.30,20.00,20.05,0.05,5
108/01/15,6,121,20.05,20.20,20.05,20.20,0.15,6
108/01/16,0,0,--,--,--,--,0.0,0
108/01/17,3,60,19.85,20.25,19.85,20.25,0.05,5
108/01/18,6,120,20.00,20.15,20.00,20.15,-0.1,6
108/01/21,6,120,20.00,20.00,19.95,19.95,-0.2,3
108/01/22,3,60,20.05,20.20,20.05,20.20,0.25,3
108/01/23,13,261,20.10,20.15,20.10,20.15,-0.05,3
108/01/24,3,61,20.15,20.20,20.15,20.20,0.05,3
108/01/25,17,340,19.95,20.10,19.90,19.90,-0.3,9
108/01/28,5,100,20.00,20.00,19.90,20.00,0.1,4
108/01/29,144,"2,961",22.00,22.00,19.95,20.00,0.0,70
108/01/30,74,"1,474",19.95,20.15,19.75,20.05,0.05,28
108/02/11,19,381,20.05,20.15,20.00,20.15,0.1,11
108/02/12,7,141,20.15,20.15,20.15,20.15,0.0,4
108/02/13,2,40,20.15,20.20,20.15,20.20,0.05,3
108/02/14,49,987,20.15,20.35,20.10,20.35,0.15,6
108/02/15,15,307,20.40,20.90,20.35,20.65,0.3,8
108/02/18,18,374,21.35,21.35,20.65,20.70,0.05,13
108/02/19,9,187,20.75,20.80,20.75,20.80,0.1,5
108/02/20,15,313,20.80,20.95,20.80,20.90,0.1,8
108/02/21,0,0,--,--,--,--,0.0,0
108/02/22,17,355,20.90,21.15,20.80,20.80,-0.1,9
108/02/25,13,273,20.90,21.10,20.80,20.90,0.1,39
108/02/26,1,21,21.15,21.15,21.15,21.15,0.25,1
108/02/27,10,210,21.00,21.10,20.95,21.10,-0.05,7
108/03/04,14,293,20.90,21.10,20.90,21.10,0.0,7
108/03/05,6,126,20.90,21.00,20.90,21.00,-0.1,4
108/03/06,4,84,20.90,21.00,20.90,21.00,0.0,7
108/03/07,10,210,21.05,21.05,20.85,20.90,-0.1,8
108/03/08,13,271,20.70,20.95,20.70,20.95,0.05,9
108/03/11,9,189,20.95,21.00,20.75,20.75,-0.2,24
108/03/12,14,292,20.95,20.95,20.80,20.95,0.2,7
108/03/13,21,444,21.05,21.10,21.00,21.10,0.15,15
108/03/14,2,42,21.10,21.10,21.10,21.10,0.0,4
108/03/15,33,706,21.25,21.50,21.25,21.25,0.15,29
108/03/18,5,106,21.25,21.35,21.25,21.35,0.1,5
108/03/19,36,774,21.45,21.65,21.40,21.65,0.3,16
108/03/20,19,410,21.55,21.65,21.45,21.65,0.0,11
108/03/21,45,972,21.50,21.90,21.50,21.55,-0.1,15
108/03/22,39,842,22.70,22.70,21.10,21.55,0.0,22
108/03/25,1,22,21.90,21.90,21.90,21.90,0.35,2
108/03/26,32,696,22.35,22.35,21.55,21.55,-0.35,15
108/03/27,14,303,21.55,21.75,21.55,21.75,0.2,8
108/03/28,10,216,21.60,21.75,21.60,21.75,0.0,3
108/03/29,32,696,21.55,21.80,21.55,21.80,0.05,19
108/04/01,1,22,21.95,21.95,21.95,21.95,0.15,1
108/04/02,0,0,--,--,--,--,0.0,0
108/04/03,8,174,21.80,21.80,21.80,21.80,-0.15,9
108/04/08,1,22,21.95,21.95,21.95,21.95,0.15,1
108/04/09,15,327,21.85,21.90,21.55,21.90,-0.05,9
108/04/10,2,50,21.90,21.90,21.90,21.90,0.0,3
108/04/11,9,195,21.75,21.75,21.65,21.75,-0.15,8
108/04/12,25,547,21.90,21.90,21.70,21.85,0.1,9
108/04/15,3,66,21.75,21.85,21.75,21.85,0.0,3
108/04/16,14,306,21.85,21.85,21.60,21.80,-0.05,7
108/04/17,33,716,21.80,21.80,21.55,21.70,-0.1,15
108/04/18,5,110,21.60,21.65,21.60,21.65,-0.05,5
108/04/19,49,"1,058",21.70,21.70,21.50,21.65,0.0,24
108/04/22,25,542,21.70,21.95,21.55,21.95,0.3,13
108/04/23,4,87,21.85,21.85,21.85,21.85,-0.1,2
108/04/24,10,219,21.85,21.85,21.85,21.85,0.0,7
108/04/25,17,371,21.85,21.90,21.80,21.80,-0.05,10
108/04/26,3,65,21.65,22.00,21.65,22.00,0.2,3
108/04/29,4,87,21.65,21.90,21.65,21.90,-0.1,4
108/04/30,0,0,--,--,--,--,0.0,0
108/05/02,5,110,21.90,21.90,21.90,21.90,0.0,4
108/05/03,31,676,22.00,22.00,21.60,21.80,-0.1,16
108/05/06,18,393,21.80,21.85,21.80,21.80,0.0,9
108/05/07,11,240,21.80,21.95,21.80,21.95,0.15,7
108/05/08,3,66,21.90,21.95,21.90,21.95,0.0,2
108/05/09,16,350,21.95,21.95,21.80,21.95,0.0,7
108/05/10,33,724,21.95,22.00,21.90,21.95,0.0,8
108/05/13,13,285,22.00,22.05,21.75,21.75,-0.2,9
108/05/14,17,365,21.15,21.85,21.15,21.85,0.1,8
108/05/15,30,651,21.60,21.95,21.40,21.65,-0.2,11
108/05/16,7,151,21.55,21.85,21.55,21.55,-0.1,4
108/05/17,1,22,21.90,21.90,21.90,21.90,0.35,1
108/05/20,19,419,21.90,22.10,21.90,22.05,0.15,10
108/05/21,3,65,21.65,21.70,21.65,21.70,-0.35,2
108/05/22,7,152,21.60,21.85,21.60,21.85,0.15,4
108/05/23,0,0,--,--,--,--,0.0,0
108/05/24,0,0,--,--,--,--,0.0,0
108/05/27,2,43,21.60,21.60,21.60,21.60,-0.2,1
108/05/28,2,43,21.65,21.65,21.65,21.65,0.05,2
108/05/29,35,758,21.90,21.90,21.50,21.85,0.2,22
108/05/30,0,0,--,--,--,--,0.0,0
108/05/31,25,546,21.85,21.90,21.80,21.90,0.05,10
108/06/03,4,88,21.90,21.90,21.90,21.90,0.0,2
108/06/04,0,0,--,--,--,--,0.0,0
108/06/05,2,44,21.75,21.75,21.75,21.75,0.0,1
108/06/06,12,260,21.75,21.80,21.25,21.70,-0.05,7
108/06/10,14,304,21.50,21.85,21.50,21.85,0.15,10
108/06/11,7,151,21.85,21.85,21.55,21.80,-0.05,3
108/06/12,13,281,21.55,21.75,21.55,21.75,-0.05,11
108/06/13,10,214,21.40,21.80,21.40,21.80,0.05,2
108/06/14,5,108,21.55,21.70,21.55,21.70,-0.1,4
108/06/17,1,22,21.95,21.95,21.95,21.95,0.25,1
108/06/18,0,0,--,--,--,--,0.0,0
108/06/19,17,369,21.75,21.75,21.65,21.75,-0.15,8
108/06/20,8,175,21.80,21.95,21.80,21.95,0.2,5
108/06/21,19,414,21.85,21.95,21.75,21.95,0.0,9
108/06/24,1,22,21.90,21.90,21.90,21.90,-0.05,1
108/06/25,45,981,21.80,22.05,21.75,22.05,0.15,16
108/06/26,3,65,21.70,21.75,21.70,21.75,-0.3,2
108/06/27,16,348,21.75,22.10,21.75,22.10,0.35,4
108/06/28,11,242,22.05,22.05,21.95,22.00,-0.1,7
108/07/01,28,615,22.00,22.15,21.90,22.05,0.05,16
108/07/02,11,241,21.85,22.10,21.85,22.10,0.05,9
108/07/03,3,66,22.00,22.05,22.00,22.05,-0.05,2
108/07/04,7,154,22.05,22.05,22.00,22.00,-0.05,4
108/07/05,15,330,22.00,22.05,21.95,22.05,0.05,7
108/07/08,32,711,22.15,22.30,22.15,22.30,0.25,16
108/07/09,6,133,22.15,22.35,22.15,22.35,0.05,3
108/07/10,17,382,22.40,22.50,22.40,22.50,0.15,12
108/07/11,51,"1,159",22.85,23.05,22.55,22.60,0.10,30
108/07/12,13,295,22.70,22.80,22.65,22.80,0.20,11
108/07/15,50,"1,154",22.85,23.30,22.85,23.30,0.50,29
108/07/16,171,"4,033",23.45,23.70,23.40,23.55,0.25,80
108/07/17,52,"1,219",23.45,23.60,23.40,23.60,0.05,31
108/07/18,29,681,23.50,23.50,23.45,23.50,-0.10,18
108/07/19,26,609,23.45,23.60,23.40,23.60,0.10,13
108/07/22,15,354,23.60,23.60,23.55,23.60,0.00,9
108/07/23,43,"1,017",23.60,23.70,23.60,23.70,0.10,23
108/07/24,47,"1,112",23.70,23.70,23.60,23.70,0.00,20
108/07/25,25,593,23.65,23.70,23.60,23.70,0.00,11
108/07/26,49,"1,160",23.65,23.70,23.60,23.70,0.00,24
