date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"4,104,196","567,620,352",144.5,145.0,135.5,135.5,-8.00,"3,187"
107/07/03,"4,720,929","630,768,156",137.0,138.0,130.0,131.0,-4.50,"3,101"
107/07/04,"4,881,547","633,979,610",131.0,133.0,127.0,130.5,-0.50,"3,323"
107/07/05,"4,151,232","535,069,732",131.5,134.0,123.5,124.0,-6.50,"3,119"
107/07/06,"7,624,002","1,023,527,272",127.5,136.0,126.0,136.0,+12.00,"4,644"
107/07/09,"7,624,445","1,064,089,300",140.5,143.0,135.5,137.5,+1.50,"5,213"
107/07/10,"9,457,052","1,376,992,664",140.0,149.5,138.5,146.5,+9.00,"6,146"
107/07/11,"5,313,627","773,786,788",142.0,148.5,140.5,144.0,X0.00,"3,856"
107/07/12,"4,027,972","589,093,940",146.0,149.0,143.5,144.5,+0.50,"2,992"
107/07/13,"3,729,345","545,140,525",146.0,148.5,144.0,144.5, 0.00,"2,603"
107/07/16,"10,427,623","1,577,315,743",146.5,156.0,145.0,154.5,+10.00,"7,142"
107/07/17,"10,691,540","1,666,893,080",156.0,160.0,150.5,150.5,-4.00,"7,429"
107/07/18,"4,390,397","657,662,848",153.0,154.0,147.0,148.0,-2.50,"3,250"
107/07/19,"4,394,383","657,861,184",148.0,152.0,147.0,149.0,+1.00,"3,068"
107/07/20,"5,185,726","778,908,311",151.0,154.5,145.5,147.5,-1.50,"3,832"
107/07/23,"4,664,996","656,927,436",148.0,148.0,137.0,141.0,-6.50,"3,218"
107/07/24,"2,754,421","397,262,466",142.0,147.0,140.0,147.0,+6.00,"2,032"
107/07/25,"7,589,616","1,165,751,199",158.0,158.0,150.5,150.5,+3.50,"4,827"
107/07/26,"3,322,751","500,090,020",151.5,153.5,148.5,148.5,-2.00,"2,360"
107/07/27,"1,991,850","298,843,200",149.5,152.0,148.0,152.0,+3.50,"1,610"
107/07/30,"2,706,650","397,309,050",152.0,152.0,144.0,146.0,-6.00,"1,976"
107/07/31,"1,970,950","290,150,075",146.0,149.0,144.0,148.0,+2.00,"1,462"
107/08/01,"3,547,715","517,891,105",150.0,150.5,143.5,146.0,-2.00,"2,592"
107/08/02,"3,533,105","494,600,200",144.5,145.0,138.0,139.0,-7.00,"2,617"
