date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"269,058","4,156,092",15.7,15.7,15.35,15.35,0.05,108
107/07/03,"246,010","3,757,702",15.35,15.4,15.2,15.3,-0.05,115
107/07/04,"664,789","10,423,182",15.3,15.85,15.3,15.75,0.45,255
107/07/05,"1,317,000","21,149,850",15.8,16.35,15.8,16.1,0.35,540
107/07/06,"6,021,032","101,542,962",16.35,17.7,15.65,16.0,-0.1,"2,528"
107/07/09,"1,442,371","22,204,593",16.0,16.05,14.6,15.3,-0.7,584
107/07/10,"743,001","11,657,665",15.35,15.95,15.35,15.7,0.4,278
107/07/11,"425,502","6,627,629",15.55,15.75,15.5,15.6,-0.1,141
107/07/12,"768,629","11,799,647",15.55,15.55,15.0,15.2,-0.4,216
107/07/13,"258,131","4,014,337",15.3,15.75,15.3,15.45,0.25,125
107/07/16,"723,658","11,439,094",15.5,16.05,15.45,15.9,0.45,280
107/07/17,"405,021","6,452,681",15.85,16.25,15.7,15.8,-0.1,183
107/07/18,"225,070","3,524,688",15.75,15.95,15.55,15.55,-0.25,124
107/07/19,"748,314","11,919,810",15.55,16.3,15.55,15.85,0.3,256
107/07/20,"474,471","7,494,694",16.0,16.05,15.55,15.8,-0.05,154
107/07/23,"767,021","12,315,989",15.8,16.45,15.65,16.1,0.3,270
107/07/24,"629,086","10,122,547",16.2,16.35,15.85,16.1,0.0,240
107/07/25,"528,003","8,531,999",16.0,16.3,16.0,16.2,0.1,197
107/07/26,"872,150","14,258,880",16.3,16.65,16.15,16.3,0.1,307
107/07/27,"723,164","11,922,414",16.45,16.7,16.25,16.3,0.0,268
107/07/30,"796,089","13,069,700",16.4,16.6,16.15,16.35,0.05,232
107/07/31,"494,100","8,158,300",16.6,16.65,16.4,16.5,0.15,181
107/08/01,"355,250","5,767,887",16.5,16.6,16.1,16.15,-0.35,163
107/08/02,"563,017","9,047,368",16.05,16.25,15.85,15.9,-0.25,185
107/08/03,"411,131","6,478,080",15.9,16.05,15.45,15.6,-0.3,156
107/08/06,"271,002","4,209,180",16.0,16.0,15.35,15.4,-0.2,130
107/08/07,"186,000","2,854,350",15.3,15.55,15.25,15.4,0.0,105
107/08/08,"218,575","3,393,520",15.5,15.8,15.4,15.75,0.35,110
107/08/09,"466,086","7,424,584",15.8,16.3,15.55,16.1,0.35,166
107/08/10,"744,003","12,116,498",16.1,16.5,16.0,16.05,-0.05,207
107/08/13,"745,086","11,645,857",16.1,16.3,14.85,15.25,-0.8,312
107/08/14,"439,010","6,582,750",15.5,15.5,14.75,15.2,-0.05,230
107/08/15,"530,000","7,844,400",15.2,15.2,14.6,14.7,-0.5,211
107/08/16,"498,000","7,126,000",14.2,14.65,14.0,14.25,-0.45,284
107/08/17,"304,400","4,330,400",14.3,14.35,14.1,14.1,-0.15,154
107/08/20,"133,103","1,875,042",14.1,14.25,14.0,14.0,-0.1,76
107/08/21,"158,200","2,275,919",14.2,14.55,14.2,14.4,0.4,102
107/08/22,"117,000","1,685,150",14.25,14.5,14.25,14.3,-0.1,48
107/08/23,"107,086","1,525,075",14.3,14.3,14.2,14.25,-0.05,45
107/08/24,"210,022","2,982,264",14.15,14.5,14.0,14.4,0.15,87
107/08/27,"112,002","1,618,228",14.45,14.55,14.25,14.4,0.0,55
107/08/28,"496,000","6,977,400",14.4,14.65,13.9,14.2,-0.2,186
107/08/29,"329,000","4,614,750",14.2,14.2,13.9,14.1,-0.1,129
107/08/30,"240,012","3,360,219",14.15,14.15,13.9,14.0,-0.1,95
107/08/31,"118,200","1,650,150",13.9,14.05,13.9,14.05,0.05,66
107/09/03,"305,030","4,183,508",14.05,14.05,13.5,13.7,-0.35,116
107/09/04,"112,000","1,544,300",13.75,13.9,13.7,13.7,0.0,58
107/09/05,"97,405","1,348,597",13.7,14.0,13.7,13.8,0.1,51
107/09/06,"99,002","1,362,226",13.85,13.85,13.65,13.8,0.0,38
107/09/07,"267,001","3,621,313",13.65,13.75,13.4,13.6,-0.2,104
107/09/10,"348,001","4,509,512",13.45,13.45,12.7,12.8,-0.8,136
107/09/11,"300,013","3,881,569",12.8,13.2,12.7,13.05,0.25,147
107/09/12,"147,010","1,893,678",12.9,13.1,12.8,12.8,-0.25,88
107/09/13,"172,000","2,233,350",12.8,13.2,12.8,12.95,0.15,86
107/09/14,"176,000","2,373,400",13.25,13.75,13.15,13.5,0.55,95
107/09/17,"58,003","781,889",13.45,13.6,13.35,13.4,-0.1,43
107/09/18,"56,005","744,015",13.3,13.35,13.25,13.25,-0.15,38
107/09/19,"132,302","1,762,831",13.4,13.65,13.2,13.25,0.0,78
107/09/20,"84,061","1,115,749",13.25,13.35,13.2,13.2,-0.05,40
107/09/21,"32,002","422,576",13.15,13.25,13.15,13.25,0.05,19
107/09/25,"89,250","1,187,299",13.3,13.45,13.2,13.45,0.2,51
107/09/26,"105,100","1,410,340",13.4,13.5,13.4,13.5,0.05,46
107/09/27,"337,171","4,595,541",13.5,13.85,13.4,13.4,-0.1,165
107/09/28,"104,756","1,407,254",13.45,13.5,13.4,13.4,0.0,48
107/10/01,"92,000","1,240,300",13.75,13.75,13.4,13.4,0.0,48
107/10/02,"43,000","576,800",13.4,13.5,13.35,13.35,-0.05,23
107/10/03,"59,021","782,476",13.3,13.35,13.2,13.25,-0.1,35
107/10/04,"64,020","838,311",13.15,13.2,13.05,13.2,-0.05,43
107/10/05,"163,003","2,108,239",13.2,13.2,12.8,12.9,-0.3,64
107/10/08,"194,102","2,485,842",12.8,13.3,12.7,12.8,-0.1,114
107/10/09,"129,000","1,638,800",12.9,13.15,12.6,13.15,0.35,65
107/10/11,"313,000","3,807,450",12.4,12.75,11.95,12.65,-0.5,128
107/10/12,"121,022","1,489,773",12.2,12.5,12.2,12.35,-0.3,71
107/10/15,"57,161","711,711",12.65,12.65,12.4,12.4,0.05,38
107/10/16,"41,001","509,112",12.4,12.55,12.35,12.35,-0.05,20
107/10/17,"101,000","1,296,650",12.6,13.1,12.6,12.65,0.3,55
107/10/18,"20,000","249,250",12.45,12.5,12.45,12.45,-0.2,15
107/10/19,"71,000","873,500",12.4,12.5,12.2,12.4,-0.05,49
107/10/22,"55,000","689,900",12.6,12.75,12.45,12.6,0.2,36
107/10/23,"24,001","300,062",12.8,12.8,12.4,12.5,-0.1,19
107/10/24,"20,000","250,950",12.55,12.75,12.4,12.4,-0.1,17
107/10/25,"146,001","1,751,562",12.05,12.2,11.9,12.0,-0.4,82
107/10/26,"477,100","6,159,539",12.2,13.2,12.2,12.45,0.45,268
107/10/29,"190,100","2,355,670",12.55,12.85,12.1,12.25,-0.2,113
107/10/30,"99,000","1,195,700",12.2,12.3,12.0,12.2,-0.05,63
107/10/31,"50,000","617,350",12.45,12.45,12.3,12.35,0.15,33
107/11/01,"53,010","661,624",12.5,12.6,12.4,12.55,0.2,44
107/11/02,"54,000","679,900",12.7,12.7,12.5,12.6,0.05,41
107/11/05,"34,002","425,174",12.6,12.6,12.45,12.45,-0.15,31
107/11/06,"309,000","4,046,900",12.95,13.6,12.75,12.95,0.5,128
107/11/07,"255,004","3,352,752",13.05,13.3,13.0,13.15,0.2,112
107/11/08,"510,004","6,791,752",13.3,13.4,13.15,13.15,0.0,145
107/11/09,"141,000","1,851,650",13.3,13.3,13.0,13.25,0.1,58
107/11/12,"120,001","1,545,562",12.9,12.95,12.8,12.9,-0.35,68
107/11/13,"41,001","524,712",12.75,12.85,12.65,12.85,-0.05,32
107/11/14,"49,000","634,250",12.7,13.15,12.7,12.9,0.05,29
107/11/15,"149,001","1,919,662",13.0,13.0,12.8,12.85,-0.05,93
107/11/16,"48,010","625,829",13.1,13.1,13.0,13.0,0.15,28
107/11/19,"91,080","1,198,790",13.2,13.2,13.1,13.1,0.1,46
