date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"4,224","190,933",45.5,46.0,44.2,44.35,-0.7,"2,693"
107/07/03,"5,041","227,254",45.2,46.2,43.6,43.95,-0.4,"3,317"
107/07/04,"2,880","125,907",45.0,45.1,42.2,42.65,-1.3,"1,792"
107/07/05,"7,807","346,320",43.0,45.8,43.0,44.2,1.55,"4,621"
107/07/06,"4,200","180,713",43.8,44.4,42.0,42.7,-1.5,"2,492"
107/07/09,"3,666","149,864",42.0,42.5,39.85,40.0,-2.7,"2,200"
107/07/10,"2,025","80,286",40.5,40.8,39.0,39.0,-1.0,"1,192"
107/07/11,"2,374","92,221",38.5,39.9,37.9,38.0,-1.0,"1,435"
107/07/12,"1,180","45,477",38.3,39.1,38.05,39.0,1.0,735
107/07/13,"3,266","132,098",39.55,41.45,39.2,41.0,2.0,"2,075"
107/07/16,"1,452","58,193",41.55,41.55,39.3,39.3,-1.7,906
107/07/17,"1,317","51,556",39.45,40.4,37.85,38.3,-1.0,893
107/07/18,"1,521","56,962",39.0,39.1,36.55,37.25,-1.05,998
107/07/19,"1,033","36,967",35.85,36.25,35.5,35.55,0.1,702
107/07/20,"1,981","66,588",35.6,36.0,32.2,32.5,-3.05,"1,257"
107/07/23,"2,506","86,242",32.95,35.75,32.9,35.75,3.25,"1,693"
107/07/24,"3,327","117,567",36.0,36.15,34.55,35.3,-0.45,"2,064"
107/07/25,853,"30,137",35.6,35.7,35.1,35.1,-0.2,558
107/07/26,958,"33,711",35.5,35.85,34.5,34.5,-0.6,657
107/07/27,851,"30,182",35.0,35.8,34.95,35.4,0.9,630
107/07/30,"1,098","37,427",35.4,35.7,33.0,34.5,-0.9,782
107/07/31,836,"28,957",34.5,35.3,33.5,35.05,0.55,609
107/08/01,651,"22,837",35.3,35.6,34.75,34.8,-0.25,416
107/08/02,763,"26,118",35.2,35.2,33.6,34.0,-0.8,541
107/08/03,525,"17,870",34.65,34.65,33.2,34.0,0.0,386
107/08/06,330,"11,364",34.5,34.85,34.15,34.55,0.55,245
107/08/07,605,"21,099",34.65,35.3,34.4,35.3,0.75,371
107/08/08,843,"29,146",35.3,35.85,33.75,33.9,-1.4,558
107/08/09,"1,129","37,877",33.7,34.1,33.0,33.7,-0.2,603
107/08/10,720,"23,553",33.35,33.5,32.2,32.2,-1.5,518
107/08/13,"1,781","53,222",31.5,31.5,29.0,29.3,-2.9,917
107/08/14,"1,226","37,137",29.9,31.6,29.1,30.9,1.6,703
107/08/15,837,"24,958",30.6,30.6,29.4,29.75,-1.15,539
107/08/16,"1,028","31,086",29.2,30.9,29.0,30.4,0.65,587
107/08/17,888,"26,945",30.75,31.15,29.5,29.55,-0.85,528
