date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"1,994,719","54,276,255",26.95,27.4,26.9,27.15,+0.55,967
107/07/03,"4,496,926","124,382,275",27.55,28.05,27.05,27.35,+0.20,"2,012"
107/07/04,"1,099,667","29,749,134",27.35,27.35,26.8,26.9,-0.45,672
107/07/05,"989,007","26,734,583",27.15,27.45,26.65,26.7,-0.20,599
107/07/06,"1,079,590","28,537,371",26.8,27.05,26.1,26.45,-0.25,600
107/07/09,"672,068","17,880,892",26.55,26.9,26.4,26.4,-0.05,387
107/07/10,"1,429,468","37,509,909",26.5,26.5,26.1,26.2,-0.20,847
107/07/11,"3,851,437","98,091,191",26.0,26.0,25.0,25.0,-1.20,"2,021"
107/07/12,"2,503,510","62,185,197",24.75,25.15,24.5,25.05,+0.05,"1,180"
107/07/13,"1,513,561","38,293,485",25.15,25.5,25.1,25.2,+0.15,756
107/07/16,"615,188","15,541,004",25.2,25.4,25.2,25.25,+0.05,343
107/07/17,"1,034,779","26,205,365",25.25,25.5,25.2,25.4,+0.15,529
107/07/18,"1,340,711","34,188,158",25.6,25.7,25.35,25.4, 0.00,613
107/07/19,"901,141","23,100,119",25.6,25.8,25.5,25.55,+0.15,497
107/07/20,"1,263,012","32,207,553",25.75,25.75,25.35,25.45,-0.10,595
107/07/23,"883,647","22,076,125",25.1,25.15,24.9,25.0,X0.00,461
107/07/24,"656,565","16,513,643",25.1,25.4,24.95,25.3,+0.30,430
107/07/25,"653,030","16,515,604",25.35,25.45,25.15,25.25,-0.05,356
107/07/26,"1,124,740","28,701,989",25.3,25.7,25.3,25.6,+0.35,571
107/07/27,"1,673,104","43,191,742",25.9,26.0,25.6,25.6, 0.00,705
107/07/30,"1,271,403","32,376,124",25.7,25.8,25.2,25.25,-0.35,664
107/07/31,"1,104,657","27,703,488",25.2,25.25,25.0,25.1,-0.15,616
107/08/01,"780,600","19,652,755",25.35,25.4,25.05,25.15,+0.05,464
107/08/02,"1,196,505","29,835,495",25.2,25.2,24.75,24.75,-0.40,556
107/08/03,"755,188","18,803,558",24.85,25.1,24.75,24.85,+0.10,406
107/08/06,"1,334,723","33,147,560",24.85,25.15,24.6,25.0,+0.15,603
107/08/07,"503,732","12,569,420",24.95,25.1,24.85,24.9,-0.10,261
107/08/08,"1,172,713","29,469,327",25.0,25.4,24.9,25.3,+0.40,537
107/08/09,"735,999","18,533,275",25.3,25.3,25.05,25.15,-0.15,281
107/08/10,"1,721,857","42,612,119",25.05,25.05,24.55,24.6,-0.55,715
107/08/13,"4,156,421","96,947,376",24.5,24.5,22.9,23.35,-1.25,"1,774"
107/08/14,"2,925,801","67,137,634",23.3,23.55,22.6,22.9,-0.45,"1,262"
107/08/15,"1,870,372","43,220,540",22.9,23.4,22.9,23.2,+0.30,756
107/08/16,"2,143,193","50,174,045",23.2,23.8,22.9,23.45,+0.25,750
107/08/17,"4,452,207","109,224,348",23.45,25.05,23.45,24.5,+1.05,"1,719"
107/08/20,"2,271,858","55,703,372",24.75,24.95,24.05,24.95,+0.45,"1,037"
107/08/21,"582,103","14,341,572",24.6,24.85,24.55,24.6,-0.35,364
107/08/22,"546,348","13,417,658",24.65,24.8,24.4,24.5,-0.10,274
107/08/23,"415,138","10,191,114",24.7,24.7,24.45,24.6,+0.10,205
107/08/24,"4,247,609","108,218,945",24.9,25.8,24.8,25.3,+0.70,"2,065"
107/08/27,"4,404,613","114,081,295",25.7,26.2,25.65,26.1,+0.80,"1,862"
107/08/28,"1,776,700","46,069,710",26.05,26.1,25.7,25.95,-0.15,845
107/08/29,"1,761,910","46,165,590",25.9,26.4,25.8,26.35,+0.40,871
107/08/30,"3,579,900","94,771,685",26.8,26.8,25.85,26.7,+0.35,"1,717"
107/08/31,"1,595,976","42,389,504",26.35,26.8,26.3,26.8,+0.10,649
107/09/03,"1,616,502","42,773,000",26.8,26.8,26.3,26.55,-0.25,593
107/09/04,"759,562","20,110,356",26.65,26.75,26.3,26.4,-0.15,431
107/09/05,"2,540,015","68,415,448",26.55,27.35,26.3,26.75,+0.35,"1,258"
107/09/06,"1,061,266","28,083,279",26.85,26.85,26.25,26.25,-0.50,505
107/09/07,"6,516,086","160,798,877",26.0,26.6,23.65,24.1,-2.15,"2,399"
107/09/10,"3,096,512","75,538,369",24.3,25.0,23.1,24.85,+0.75,"1,438"
107/09/11,"1,174,869","29,224,059",24.5,25.35,24.45,25.25,+0.40,602
107/09/12,"1,057,710","26,386,134",25.1,25.3,24.6,24.7,-0.55,564
107/09/13,"756,972","18,885,106",25.0,25.15,24.7,24.7, 0.00,484
107/09/14,"1,299,103","32,729,644",25.1,25.45,24.75,25.25,+0.55,597
107/09/17,"489,716","12,299,200",25.1,25.35,24.9,25.0,-0.25,276
