date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,50,"2,489",50.0,50.0,49.45,49.9,0.1,43
107/07/03,87,"4,298",49.9,49.9,49.05,49.05,-0.85,71
107/07/04,142,"6,984",49.7,49.7,48.9,49.4,0.35,75
107/07/05,129,"6,325",49.0,49.2,48.75,49.0,-0.4,64
107/07/06,94,"4,585",49.1,49.5,48.25,48.6,-0.4,65
107/07/09,139,"6,883",48.9,50.0,48.85,49.25,0.65,110
107/07/10,91,"4,494",49.25,49.5,49.2,49.5,0.25,79
107/07/11,203,"9,970",49.5,49.5,48.9,49.0,-0.5,101
107/07/12,86,"4,216",48.8,49.35,48.8,49.35,0.35,57
107/07/13,74,"3,634",49.45,49.55,49.25,49.4,0.05,59
107/07/16,134,"6,632",49.5,49.6,49.4,49.5,0.1,90
107/07/17,128,"6,350",49.5,49.65,49.45,49.65,0.15,93
107/07/18,514,"25,936",49.8,51.0,49.8,51.0,1.35,321
107/07/19,155,"7,873",51.0,51.0,50.5,50.5,-0.5,127
107/07/20,256,"12,962",50.7,50.9,50.3,50.5,0.0,136
107/07/23,290,"14,518",50.6,50.6,49.55,49.65,-0.85,164
107/07/24,282,"14,006",49.8,49.85,49.5,49.7,0.05,144
107/07/25,392,"19,547",49.95,50.0,49.7,49.7,0.0,242
107/07/26,692,"33,043",47.2,48.5,47.1,47.9,1.2,382
107/07/27,137,"6,617",48.4,48.5,47.95,48.1,0.2,95
107/07/30,117,"5,636",48.2,48.45,48.0,48.0,-0.1,92
107/07/31,943,"46,929",48.3,50.8,48.1,49.8,1.8,580
107/08/01,"4,882","259,322",50.0,54.7,50.0,54.3,4.5,"2,558"
107/08/02,"1,536","82,319",54.4,54.4,52.5,54.1,-0.2,"1,076"
107/08/03,986,"53,109",54.5,54.6,53.0,53.4,-0.7,637
107/08/06,763,"40,404",53.9,53.9,52.5,53.0,-0.4,443
107/08/07,395,"20,976",53.0,53.6,52.6,53.0,0.0,270
107/08/08,"1,564","83,737",53.7,54.4,52.8,52.8,-0.2,859
107/08/09,725,"37,766",53.0,53.0,51.6,51.9,-0.9,451
107/08/10,512,"26,855",52.5,52.9,51.9,52.2,0.3,323
107/08/13,805,"40,599",52.5,52.5,48.9,50.0,-2.2,525
107/08/14,355,"17,759",49.5,50.3,49.5,50.3,0.3,183
107/08/15,380,"18,823",50.4,50.4,49.1,49.45,-0.85,230
107/08/16,251,"12,508",49.5,50.3,49.2,50.2,0.75,167
107/08/17,313,"15,796",50.5,50.9,50.1,50.1,-0.1,160
107/08/20,230,"11,437",50.3,50.5,49.3,49.85,-0.25,171
107/08/21,97,"4,852",49.7,49.95,49.7,49.95,0.1,75
107/08/22,118,"5,889",50.1,50.1,49.45,50.0,0.05,84
107/08/23,317,"16,066",49.95,51.1,49.9,50.7,0.7,202
107/08/24,104,"5,232",50.8,50.8,49.9,49.9,-0.8,79
107/08/27,123,"6,166",50.0,50.3,49.85,50.3,0.4,92
107/08/28,94,"4,719",50.4,50.4,49.95,50.2,-0.1,78
107/08/29,139,"6,981",50.2,50.5,50.1,50.2,0.0,111
107/08/30,130,"6,524",50.3,50.3,49.95,50.2,0.0,92
107/08/31,109,"5,458",50.1,50.2,49.95,50.2,0.0,58
107/09/03,189,"9,426",50.5,50.5,49.5,49.5,-0.7,154
107/09/04,36,"1,803",50.0,50.0,49.8,50.0,0.5,33
107/09/05,72,"3,596",50.0,50.0,49.7,49.8,-0.2,57
107/09/06,52,"2,585",49.6,49.8,49.55,49.65,-0.15,42
107/09/07,350,"17,109",49.3,49.4,47.8,48.45,-1.2,195
107/09/10,349,"16,524",48.45,48.45,47.0,47.05,-1.4,197
107/09/11,118,"5,572",47.05,47.6,47.05,47.25,0.2,76
107/09/12,117,"5,521",47.25,47.25,46.85,47.0,-0.25,90
107/09/13,66,"3,122",47.4,47.4,47.0,47.1,0.1,34
107/09/14,100,"4,760",47.3,47.9,47.2,47.65,0.55,68
