date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,130,"6,866",52.8,53.4,52.8,52.8,0.1,92
107/07/03,103,"5,426",53.0,53.3,52.4,52.5,-0.3,94
107/07/04,69,"3,590",52.3,52.6,52.1,52.2,-0.3,74
107/07/05,148,"7,673",52.2,52.3,51.5,51.5,-0.7,126
107/07/06,173,"8,841",51.7,51.7,50.8,51.3,-0.2,143
107/07/09,198,"10,013",51.0,51.3,50.4,50.5,-0.8,165
107/07/10,121,"6,134",50.7,50.9,50.5,50.8,0.3,107
107/07/11,77,"3,914",50.5,51.0,50.5,50.7,-0.1,78
107/07/12,86,"4,399",50.8,51.4,50.6,51.3,0.6,86
107/07/13,190,"9,933",51.6,53.0,51.5,52.8,1.5,182
107/07/16,103,"5,411",52.8,53.0,52.4,53.0,0.2,85
107/07/17,43,"2,250",52.8,53.0,52.5,52.5,-0.5,50
107/07/18,101,"5,378",52.6,53.4,52.6,53.0,0.5,96
107/07/19,62,"3,290",52.8,53.0,52.8,52.8,-0.2,67
107/07/20,101,"5,339",52.9,53.5,52.8,53.0,0.2,73
107/07/23,90,"4,757",53.0,53.1,52.8,53.0,0.0,70
107/07/24,151,"7,999",53.2,53.4,52.8,53.1,0.1,79
107/07/25,71,"3,763",53.4,53.4,53.1,53.2,0.1,64
107/07/26,148,"7,902",53.3,53.7,53.2,53.6,0.4,112
107/07/27,148,"7,907",53.6,53.7,53.4,53.6,0.0,89
107/07/30,66,"3,510",53.6,53.6,53.1,53.2,-0.4,61
107/07/31,102,"5,427",53.3,53.5,53.2,53.2,0.0,76
107/08/01,134,"7,167",53.3,53.6,53.1,53.5,0.3,125
107/08/02,141,"7,556",53.5,53.7,53.4,53.5,0.0,114
107/08/03,123,"6,587",53.5,53.7,53.5,53.5,0.0,95
107/08/06,169,"9,035",53.8,53.8,53.2,53.5,0.0,131
107/08/07,144,"7,672",53.5,53.5,53.1,53.3,-0.2,114
107/08/08,135,"7,201",53.5,53.5,53.1,53.2,-0.1,118
107/08/09,92,"4,891",53.4,53.6,53.2,53.4,0.2,87
107/08/10,268,"14,442",53.8,54.3,53.5,54.1,0.7,235
107/08/13,369,"19,589",54.0,54.0,52.4,52.7,-1.4,300
107/08/14,172,"9,156",52.9,53.5,52.7,53.4,0.7,130
107/08/15,101,"5,381",54.0,54.0,52.9,52.9,-0.5,100
107/08/16,64,"3,372",53.0,53.3,52.9,53.1,0.2,62
107/08/17,71,"3,778",52.8,53.5,52.8,53.0,-0.1,66
107/08/20,183,"9,686",53.0,53.4,52.7,52.9,-0.1,117
107/08/21,113,"6,000",53.2,53.2,52.8,52.8,-0.1,78
107/08/22,133,"7,037",52.9,52.9,52.6,52.6,-0.2,108
107/08/23,229,"11,996",52.5,52.8,52.1,52.2,-0.4,190
107/08/24,192,"9,989",52.2,52.2,51.8,52.0,-0.2,161
107/08/27,189,"9,920",52.2,52.9,52.2,52.9,0.9,127
107/08/28,361,"19,201",53.1,53.4,53.0,53.2,0.3,218
107/08/29,657,"35,056",53.5,53.6,53.2,53.4,0.2,445
107/08/30,495,"24,645",49.6,49.95,49.6,49.8,0.5,319
107/08/31,107,"5,312",49.8,49.95,49.75,49.95,0.15,105
107/09/03,408,"20,715",49.95,51.5,49.95,50.6,0.65,284
107/09/04,73,"3,713",50.7,51.3,50.5,50.6,0.0,78
107/09/05,98,"4,962",50.6,51.0,50.6,50.8,0.2,98
107/09/06,114,"5,726",50.7,50.7,50.1,50.1,-0.7,100
107/09/07,189,"9,405",50.0,50.2,49.5,49.6,-0.5,150
107/09/10,226,"11,064",49.6,49.6,48.6,48.7,-0.9,175
107/09/11,98,"4,765",48.7,49.05,48.7,48.9,0.2,88
107/09/12,149,"7,237",49.1,49.35,48.5,48.5,-0.4,125
107/09/13,96,"4,638",48.1,48.9,48.1,48.6,0.1,84
107/09/14,72,"3,509",49.05,49.25,48.6,49.15,0.55,73
107/09/17,46,"2,266",49.15,49.15,48.6,48.8,-0.35,53
107/09/18,182,"8,718",47.65,48.3,47.65,47.9,-0.9,166
107/09/19,141,"6,714",48.1,48.1,47.6,47.65,-0.25,120
107/09/20,141,"6,680",47.8,47.8,47.0,47.05,-0.6,126
107/09/21,102,"4,805",47.4,47.5,47.05,47.25,0.2,93
107/09/25,85,"4,017",47.25,47.25,47.05,47.15,-0.1,85
107/09/26,56,"2,657",47.3,47.6,47.3,47.35,0.2,49
107/09/27,58,"2,741",47.6,47.6,47.4,47.5,0.15,63
107/09/28,63,"3,039",47.7,48.25,47.65,48.25,0.75,83
107/10/01,42,"2,038",48.0,48.35,48.0,48.3,0.05,46
107/10/02,42,"2,044",48.3,48.35,48.05,48.25,-0.05,39
107/10/03,43,"2,073",48.25,48.25,47.8,48.0,-0.25,38
107/10/04,33,"1,563",48.0,48.0,47.65,47.7,-0.3,46
107/10/05,253,"11,831",47.7,47.7,45.5,46.3,-1.4,170
107/10/08,94,"4,329",46.0,46.3,45.6,46.0,-0.3,84
107/10/09,118,"5,379",45.9,45.9,45.0,45.3,-0.7,113
107/10/11,378,"15,633",43.7,43.7,40.8,41.25,-4.05,267
107/10/12,135,"5,600",41.1,42.5,40.3,41.75,0.5,113
107/10/15,111,"4,606",42.0,42.0,41.2,41.3,-0.45,87
107/10/16,38,"1,585",41.3,42.0,41.3,41.8,0.5,31
107/10/17,102,"4,274",42.5,43.3,41.5,41.95,0.15,90
107/10/18,62,"2,580",41.55,41.8,41.35,41.4,-0.55,43
107/10/19,147,"5,926",41.0,41.0,40.2,40.25,-1.15,140
107/10/22,44,"1,798",40.3,40.8,40.3,40.8,0.55,31
107/10/23,137,"5,500",40.3,40.45,40.0,40.0,-0.8,99
107/10/24,92,"3,643",40.0,40.0,39.5,39.9,-0.1,82
107/10/25,126,"4,881",39.0,39.0,38.45,38.5,-1.4,120
107/10/26,96,"3,681",38.85,39.0,37.8,38.05,-0.45,92
107/10/29,75,"2,826",38.05,38.15,37.7,37.75,-0.3,70
107/10/30,119,"4,509",37.8,38.0,37.7,37.8,0.05,61
107/10/31,79,"3,051",37.9,39.0,37.9,39.0,1.2,64
107/11/01,98,"3,869",39.4,39.6,39.05,39.4,0.4,82
107/11/02,70,"2,795",39.6,40.0,39.5,39.7,0.3,67
107/11/05,46,"1,822",39.75,39.75,39.3,39.4,-0.3,43
107/11/06,28,"1,107",39.4,39.4,39.1,39.1,-0.3,30
107/11/07,57,"2,231",39.25,39.25,39.05,39.05,-0.05,69
107/11/08,127,"5,105",39.45,41.3,39.45,40.35,1.3,99
107/11/09,78,"3,134",40.5,40.5,40.3,40.4,0.05,68
107/11/12,44,"1,787",40.4,40.75,40.4,40.6,0.2,48
107/11/13,64,"2,555",40.5,40.5,39.45,40.0,-0.6,58
107/11/14,44,"1,780",41.0,41.0,40.0,40.3,0.3,36
107/11/15,29,"1,165",40.3,40.3,40.1,40.2,-0.1,39
107/11/16,33,"1,325",40.7,40.7,40.15,40.25,0.05,36
107/11/19,50,"2,004",40.3,40.45,40.2,40.35,0.1,47
107/11/20,112,"4,465",40.5,40.5,39.2,39.55,-0.8,104
107/11/21,48,"1,904",39.5,40.0,39.5,39.8,0.25,43
107/11/22,45,"1,786",40.2,40.3,39.8,39.8,0.0,42
107/11/23,50,"1,999",39.8,39.9,39.5,39.55,-0.25,45
107/11/26,49,"1,966",39.55,40.1,39.55,40.05,0.5,55
107/11/27,74,"3,030",40.6,41.2,40.5,40.95,0.9,69
107/11/28,66,"2,727",40.7,41.25,40.65,40.95,0.0,62
107/11/29,62,"2,570",41.0,41.4,41.0,41.4,0.45,57
107/11/30,92,"3,881",41.4,42.3,41.4,42.0,0.6,100
107/12/03,118,"5,022",42.15,43.0,42.15,42.6,0.6,93
107/12/04,120,"5,059",42.6,42.7,42.0,42.0,-0.6,124
107/12/05,40,"1,656",42.0,42.0,41.3,41.5,-0.5,39
107/12/06,60,"2,451",42.0,42.0,40.95,40.95,-0.55,59
107/12/07,129,"5,451",43.25,43.25,41.5,41.65,0.7,99
107/12/10,51,"2,118",41.5,41.65,41.0,41.65,0.0,45
107/12/11,33,"1,373",41.65,41.65,41.3,41.4,-0.25,28
107/12/12,77,"3,226",41.85,42.5,41.65,42.0,0.6,61
107/12/13,96,"4,010",42.3,42.3,41.55,41.6,-0.4,66
107/12/14,51,"2,113",41.7,41.9,41.7,41.7,0.1,53
107/12/17,33,"1,354",41.7,41.7,41.45,41.45,-0.25,42
107/12/18,34,"1,408",41.6,41.6,41.05,41.05,-0.4,39
107/12/19,36,"1,478",41.9,41.9,41.15,41.3,0.25,69
107/12/20,55,"2,283",41.7,41.7,41.15,41.15,-0.15,47
107/12/21,85,"3,467",41.0,41.0,40.4,40.4,-0.75,87
107/12/22,115,"4,605",40.25,40.6,39.9,39.9,-0.5,102
107/12/24,99,"3,968",40.7,40.7,39.95,40.2,0.3,79
107/12/25,80,"3,184",40.0,40.2,39.95,39.95,-0.25,76
107/12/26,54,"2,144",39.6,40.1,39.6,39.8,-0.15,66
107/12/27,70,"2,793",40.2,40.2,39.9,39.9,0.1,68
107/12/28,94,"3,734",40.05,40.15,39.65,39.65,-0.25,79
108/01/02,40,"1,595",39.95,39.95,39.65,39.8,0.15,37
108/01/03,45,"1,794",39.8,39.95,39.65,39.75,-0.05,53
108/01/04,51,"2,000",39.6,39.6,39.0,39.35,-0.4,63
108/01/07,92,"3,646",39.8,40.0,39.55,39.6,0.25,110
108/01/08,55,"2,195",39.9,39.9,39.45,39.6,0.0,48
108/01/09,124,"4,931",39.6,39.85,39.55,39.85,0.25,114
108/01/10,39,"1,573",39.95,40.15,39.9,40.1,0.25,42
108/01/11,93,"3,724",40.2,40.3,39.9,39.9,-0.2,77
108/01/14,97,"3,850",40.0,40.1,39.5,39.6,-0.3,75
108/01/15,57,"2,284",39.8,40.2,39.6,40.2,0.6,70
108/01/16,70,"2,806",40.35,40.5,40.2,40.4,0.2,85
108/01/17,68,"2,763",40.45,40.6,40.3,40.6,0.2,70
108/01/18,47,"1,911",40.7,41.0,40.5,40.5,-0.1,48
108/01/21,62,"2,502",40.8,40.8,40.45,40.55,0.05,66
108/01/22,31,"1,255",40.55,40.55,40.2,40.25,-0.3,42
108/01/23,16,636,40.1,40.4,40.1,40.3,0.05,27
108/01/24,67,"2,716",40.3,40.5,40.25,40.5,0.2,64
108/01/25,129,"5,295",40.55,41.3,40.55,41.2,0.7,110
108/01/28,109,"4,475",41.2,41.45,40.8,40.9,-0.3,126
108/01/29,96,"3,889",40.6,40.8,40.5,40.6,-0.3,125
108/01/30,151,"6,165",40.6,40.95,40.5,40.95,0.35,158
108/02/11,99,"4,093",41.25,41.4,41.1,41.2,0.25,111
108/02/12,146,"6,082",41.25,42.45,41.15,42.2,1.0,143
