date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,868,"30,508",35.5,35.85,34.65,34.75,-0.65,572
107/07/03,"1,013","35,561",35.1,35.75,34.7,34.85,0.1,676
107/07/04,492,"17,277",34.85,35.5,34.85,35.0,0.15,338
107/07/05,"1,114","37,808",35.1,35.15,33.3,33.4,-1.6,706
107/07/06,763,"25,454",34.05,34.15,32.5,33.65,0.25,415
107/07/09,411,"13,855",34.0,34.3,33.4,33.4,-0.25,246
107/07/10,256,"8,553",33.45,33.8,33.1,33.6,0.2,175
107/07/11,163,"5,493",33.7,33.9,33.4,33.6,0.0,122
107/07/12,322,"10,911",33.6,34.45,33.4,34.15,0.55,191
107/07/13,328,"11,279",34.7,34.7,34.1,34.35,0.2,204
107/07/16,"1,611","57,985",34.4,36.75,34.35,35.35,1.0,"1,125"
107/07/17,605,"21,037",35.35,35.5,34.2,34.2,-1.15,399
107/07/18,396,"13,544",34.5,34.6,33.55,33.7,-0.5,251
107/07/19,184,"6,211",33.7,33.9,33.55,33.7,0.0,121
107/07/20,322,"10,758",33.7,33.85,33.0,33.0,-0.7,225
107/07/23,270,"8,955",33.0,33.6,32.9,33.15,0.15,179
107/07/24,550,"18,596",33.5,34.15,33.5,33.9,0.75,363
107/07/25,364,"11,519",31.8,31.9,31.4,31.4,-0.2,240
107/07/26,200,"6,298",31.5,31.8,31.3,31.4,0.0,133
107/07/27,187,"5,864",31.7,31.7,31.1,31.1,-0.3,121
107/07/30,336,"10,229",31.1,31.1,30.2,30.25,-0.85,236
107/07/31,201,"6,116",30.4,30.65,30.25,30.35,0.1,122
107/08/01,125,"3,805",30.6,30.6,30.35,30.35,0.0,91
107/08/02,314,"9,469",30.4,30.45,30.05,30.1,-0.25,203
107/08/03,157,"4,733",30.1,30.4,30.0,30.2,0.1,95
107/08/06,627,"19,490",30.7,31.8,30.2,31.8,1.6,293
107/08/07,"2,104","68,900",33.0,33.1,32.3,32.4,0.6,"1,229"
107/08/08,409,"13,086",32.6,32.7,31.55,31.6,-0.8,264
107/08/09,211,"6,640",32.15,32.15,31.3,31.35,-0.25,141
107/08/10,317,"9,795",31.2,31.2,30.65,30.7,-0.65,218
107/08/13,595,"17,634",30.75,30.75,28.9,29.2,-1.5,342
107/08/14,218,"6,395",29.15,29.6,29.1,29.45,0.25,163
107/08/15,373,"10,859",29.8,29.8,28.9,28.9,-0.55,203
107/08/16,153,"4,425",28.95,29.35,28.35,28.9,0.0,82
107/08/17,223,"6,545",29.2,29.65,29.0,29.5,0.6,134
107/08/20,460,"13,710",29.5,30.2,29.5,29.6,0.1,159
107/08/21,65,"1,916",29.6,29.75,29.4,29.45,-0.15,51
107/08/22,115,"3,364",29.5,29.5,29.05,29.05,-0.4,79
107/08/23,144,"4,172",29.05,29.1,28.85,28.9,-0.15,91
107/08/24,144,"4,101",29.0,29.0,28.4,28.4,-0.5,112
107/08/27,144,"4,137",28.65,29.05,28.45,28.9,0.5,107
107/08/28,93,"2,711",28.95,29.35,28.9,29.25,0.35,75
