date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"1,632,598","125,560,124",75.7,79.0,75.7,76.7,+1.00,"1,084"
107/07/03,"815,652","61,660,408",77.0,77.4,74.5,74.5,-2.20,555
107/07/04,"321,120","23,881,504",74.5,75.4,73.9,74.3,-0.20,228
107/07/05,"788,500","57,024,100",74.3,74.3,71.5,72.0,-2.30,533
107/07/06,"697,040","50,291,384",71.8,73.5,71.5,72.5,+0.50,403
107/07/09,"1,083,689","82,635,197",73.0,78.0,73.0,77.4,+4.90,753
107/07/10,"850,050","65,669,700",75.4,78.5,75.4,78.0,+0.60,626
107/07/11,"878,070","69,211,918",76.9,80.5,76.9,77.4,-0.60,633
107/07/12,"1,788,233","145,979,487",77.5,83.6,77.5,81.8,+4.40,"1,313"
107/07/13,"2,112,159","179,104,456",85.0,86.5,81.9,84.0,+2.20,"1,392"
107/07/16,"1,235,702","106,844,288",84.7,88.0,84.1,86.0,+2.00,893
107/07/17,"966,457","83,703,167",86.5,88.5,84.2,86.0, 0.00,705
107/07/18,"694,122","58,948,172",86.6,87.6,83.1,84.7,-1.30,537
107/07/19,"4,259,408","381,921,968",86.2,92.5,86.0,89.3,+4.60,"2,863"
107/07/20,"5,610,736","522,470,384",92.2,95.7,89.2,95.5,+6.20,"3,492"
107/07/23,"3,394,274","304,547,391",95.5,95.5,86.0,87.1,-8.40,"2,397"
107/07/24,"2,067,070","173,105,602",87.6,88.5,81.0,82.9,-4.20,"1,568"
107/07/25,"1,295,115","109,446,829",84.0,85.9,83.5,84.0,+1.10,931
107/07/26,"798,053","65,818,539",82.5,83.4,81.5,81.7,X0.00,567
107/07/27,"1,531,330","130,053,984",82.5,86.0,82.3,84.7,+3.00,"1,262"
107/07/30,"788,122","66,223,723",84.0,85.0,82.8,83.2,-1.50,636
107/07/31,"1,442,258","121,959,338",82.3,86.7,82.3,86.0,+2.80,"1,025"
107/08/01,"1,967,051","171,145,984",87.2,89.5,84.0,84.0,-2.00,"1,449"
107/08/02,"509,501","42,992,783",84.8,85.6,83.5,83.5,-0.50,412
107/08/03,"1,124,862","90,689,628",84.7,84.8,79.2,79.5,-4.00,890
107/08/06,"2,474,485","192,807,879",78.6,81.1,75.6,81.1,+1.60,"1,714"
107/08/07,"1,068,510","86,975,000",80.3,83.2,79.5,80.1,-1.00,776
107/08/08,"474,000","38,113,800",79.8,81.8,79.5,79.8,-0.30,333
107/08/09,"406,151","32,676,770",80.0,81.4,79.6,81.0,+1.20,286
107/08/10,"890,460","70,243,904",81.1,81.1,77.8,77.9,-3.10,570
107/08/13,"1,075,066","80,958,335",77.9,78.0,73.9,75.6,-2.30,720
107/08/14,"724,094","54,985,511",75.6,78.0,74.9,77.4,+1.80,447
107/08/15,"351,010","26,872,965",76.5,78.2,74.9,76.2,-1.20,269
107/08/16,"266,000","20,359,100",76.2,77.8,74.7,76.3,+0.10,176
107/08/17,"211,100","16,141,600",76.3,77.3,75.7,75.7,-0.60,143
107/08/20,"231,000","17,375,800",75.7,76.4,74.3,74.3,-1.40,146
107/08/21,"749,365","58,556,860",75.5,79.8,75.0,77.9,+3.60,582
107/08/22,"1,237,094","101,125,714",80.0,83.5,79.4,80.6,+2.70,960
107/08/23,"736,847","57,339,363",80.3,80.3,75.8,77.0,-3.60,588
107/08/24,"360,230","27,178,171",77.0,77.0,75.0,75.2,-1.80,288
107/08/27,"134,299","10,206,552",75.5,77.1,74.8,77.1,+1.90,119
107/08/28,"628,600","49,478,500",77.2,80.0,76.5,79.2,+2.10,434
107/08/29,"337,030","26,675,173",79.2,80.0,78.8,79.0,-0.20,196
107/08/30,"179,038","14,033,767",79.0,79.8,77.5,78.4,-0.60,132
107/08/31,"883,646","71,728,134",78.5,82.7,78.4,82.3,+3.90,738
107/09/03,"466,100","37,821,040",82.5,82.5,80.4,80.4,-1.90,315
107/09/04,"401,121","32,707,457",80.8,82.5,79.4,82.0,+1.60,295
107/09/05,"952,016","75,047,444",82.0,82.3,76.5,76.7,-5.30,735
107/09/06,"376,000","28,977,000",76.9,77.5,76.8,76.9,+0.20,300
107/09/07,"1,615,050","117,604,990",76.8,77.8,69.3,69.9,-7.00,"1,043"
107/09/10,"1,762,000","114,139,000",69.1,69.7,63.0,63.0,-6.90,"1,051"
107/09/11,"1,262,010","77,885,850",63.0,64.7,59.4,64.0,+1.00,875
107/09/12,"1,527,207","91,396,367",64.0,64.0,58.6,59.0,-5.00,"1,167"
107/09/13,"1,009,500","59,910,748",60.9,61.0,58.6,59.3,+0.30,778
