date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"2,031,499","36,488,630",18.8,18.8,17.45,17.6,-1.20,876
107/07/03,"1,421,220","24,616,268",17.5,18.1,16.7,17.0,-0.60,636
107/07/04,"676,209","11,530,603",17.5,17.5,16.85,17.15,+0.15,347
107/07/05,"748,716","12,424,542",17.25,17.25,16.15,16.4,-0.75,364
107/07/06,"1,749,200","29,132,769",16.5,17.85,15.8,17.2,+0.80,859
107/07/09,"2,400,580","42,536,705",17.6,18.3,17.3,17.65,+0.45,"1,057"
107/07/10,"1,294,462","23,326,557",17.6,18.4,17.4,18.3,+0.65,557
107/07/11,"1,038,658","18,703,290",18.1,18.3,17.7,18.0,-0.30,479
107/07/12,"555,552","10,059,829",18.0,18.45,17.9,18.0, 0.00,274
107/07/13,"692,000","12,396,300",18.1,18.25,17.75,17.75,-0.25,323
107/07/16,"472,699","8,388,299",17.9,18.0,17.5,17.55,-0.20,218
107/07/17,"263,311","4,673,773",17.6,17.95,17.55,17.6,+0.05,154
107/07/18,"414,001","7,349,517",18.1,18.1,17.55,17.55,-0.05,193
107/07/19,"370,000","6,414,050",17.6,17.6,17.05,17.05,-0.50,196
107/07/20,"455,499","7,723,882",17.2,17.25,16.75,16.9,-0.15,248
107/07/23,"349,372","5,842,360",17.1,17.1,16.5,16.85,-0.05,176
107/07/24,"264,200","4,505,850",16.85,17.3,16.8,17.25,+0.40,138
107/07/25,"143,659","2,464,584",17.25,17.35,17.05,17.3,+0.05,91
107/07/26,"313,150","5,452,774",17.25,17.6,17.25,17.5,+0.20,169
107/07/27,"209,992","3,706,305",17.5,17.75,17.5,17.7,+0.20,126
107/07/30,"258,155","4,539,595",17.7,17.8,17.4,17.5,-0.20,147
107/07/31,"357,307","6,339,795",17.5,18.05,17.45,18.0,+0.50,181
107/08/01,"403,104","7,321,358",18.1,18.4,17.95,17.95,-0.05,211
107/08/02,"379,100","6,756,639",17.95,18.3,17.5,17.55,-0.40,203
107/08/03,"186,358","3,280,364",17.6,17.8,17.45,17.6,+0.05,99
107/08/06,"223,257","3,989,460",17.9,18.0,17.7,17.8,+0.20,103
107/08/07,"135,100","2,403,930",17.8,17.9,17.7,17.7,-0.10,76
107/08/08,"725,040","12,431,518",17.55,17.7,16.75,16.75,-0.95,353
107/08/09,"516,300","8,559,894",16.9,16.9,16.3,16.75, 0.00,190
107/08/10,"124,418","2,083,628",16.6,17.0,16.55,16.8,+0.05,73
107/08/13,"1,258,844","19,759,532",16.5,16.5,15.15,15.45,-1.35,447
107/08/14,"395,417","6,143,312",15.55,15.75,15.4,15.55,+0.10,163
107/08/15,"162,301","2,519,044",15.6,15.7,15.35,15.55, 0.00,80
107/08/16,"216,276","3,347,739",15.45,15.65,15.2,15.55, 0.00,108
107/08/17,"157,990","2,460,793",15.55,15.75,15.5,15.5,-0.05,77
107/08/20,"188,717","2,933,154",15.5,15.7,15.45,15.45,-0.05,82
107/08/21,"106,280","1,641,067",15.35,15.55,15.3,15.45, 0.00,56
107/08/22,"384,465","5,899,280",15.55,15.55,15.25,15.55,+0.10,133
107/08/23,"91,001","1,414,815",15.5,15.7,15.45,15.45,-0.10,45
107/08/24,"189,301","2,895,475",15.35,15.45,15.25,15.25,-0.20,91
107/08/27,"197,250","3,056,610",15.5,15.7,15.35,15.6,+0.35,82
107/08/28,"214,250","3,413,600",15.8,16.2,15.65,15.85,+0.25,113
107/08/29,"479,421","7,676,655",15.95,16.2,15.8,16.0,+0.15,124
107/08/30,"190,402","3,043,441",16.0,16.1,15.9,15.9,-0.10,83
107/08/31,"308,391","4,950,032",15.85,16.25,15.75,16.25,+0.35,138
107/09/03,"210,004","3,340,061",16.25,16.25,15.75,15.75,-0.50,87
107/09/04,"73,506","1,169,994",15.8,16.05,15.8,15.9,+0.15,49
107/09/05,"73,302","1,159,490",15.85,15.95,15.75,15.75,-0.15,45
107/09/06,"156,050","2,451,579",15.8,15.95,15.55,15.6,-0.15,81
107/09/07,"506,001","7,658,165",15.7,15.7,14.8,15.0,-0.60,198
107/09/10,"773,206","11,214,796",14.9,15.0,14.2,14.25,-0.75,255
107/09/11,"137,602","1,996,278",14.25,14.6,14.25,14.5,+0.25,79
107/09/12,"114,198","1,651,920",14.55,14.55,14.35,14.5, 0.00,42
107/09/13,"159,452","2,323,592",14.5,14.7,14.4,14.5, 0.00,85
107/09/14,"143,000","2,100,450",14.7,14.85,14.55,14.85,+0.35,78
107/09/17,"53,300","784,650",14.6,14.85,14.6,14.8,-0.05,37
107/09/18,"151,100","2,188,507",14.8,14.8,14.3,14.45,-0.35,69
107/09/19,"83,050","1,211,183",14.6,14.6,14.5,14.5,+0.05,56
107/09/20,"165,101","2,358,599",14.5,14.5,14.2,14.25,-0.25,104
107/09/21,"80,052","1,144,000",14.25,14.35,14.2,14.3,+0.05,54
107/09/25,"280,007","4,101,051",14.4,14.95,14.4,14.65,+0.35,104
107/09/26,"86,050","1,250,680",14.65,14.65,14.5,14.5,-0.15,44
107/09/27,"68,050","985,772",14.5,14.6,14.4,14.45,-0.05,41
107/09/28,"85,328","1,233,023",14.4,14.6,14.35,14.4,-0.05,54
107/10/01,"151,001","2,201,415",14.4,14.7,14.4,14.65,+0.25,63
107/10/02,"133,564","1,935,219",14.8,14.8,14.45,14.45,-0.20,62
107/10/03,"129,051","1,864,628",14.5,14.55,14.35,14.35,-0.10,59
107/10/04,"44,001","627,264",14.25,14.35,14.2,14.25,-0.10,32
107/10/05,"625,102","8,623,805",14.15,14.15,13.5,13.7,-0.55,211
107/10/08,"159,103","2,137,438",13.7,13.7,13.3,13.4,-0.30,73
107/10/09,"446,207","5,810,330",13.3,13.35,12.9,12.9,-0.50,169
107/10/11,"661,101","7,751,135",11.9,12.1,11.65,11.65,-1.25,230
107/10/12,"750,002","8,400,472",10.65,11.55,10.65,11.4,-0.25,244
107/10/15,"225,050","2,612,881",11.35,12.0,11.25,11.6,+0.20,120
107/10/16,"340,269","4,072,279",11.6,12.2,11.55,11.85,+0.25,125
107/10/17,"249,791","3,036,818",12.0,12.25,12.0,12.1,+0.25,101
107/10/18,"279,365","3,402,866",12.0,12.35,12.0,12.2,+0.10,107
107/10/19,"112,100","1,349,924",12.1,12.25,11.7,12.25,+0.05,63
107/10/22,"295,723","3,798,953",12.35,13.15,12.35,12.85,+0.60,165
