date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,189,"4,347",23.3,23.45,22.85,22.85,-0.35,119
107/07/03,342,"7,722",23.0,23.0,22.45,22.5,-0.35,183
107/07/04,156,"3,416",21.7,22.1,21.7,21.85,-0.05,110
107/07/05,136,"2,942",21.8,22.1,21.2,21.35,-0.5,90
107/07/06,422,"8,736",21.5,21.5,20.3,20.85,-0.5,252
107/07/09,126,"2,645",21.25,21.25,20.9,21.0,0.15,87
107/07/10,117,"2,484",21.2,21.3,21.1,21.2,0.2,72
107/07/11,238,"4,927",20.8,20.95,20.5,20.65,-0.55,145
107/07/12,89,"1,850",20.65,20.95,20.6,20.9,0.25,61
107/07/13,102,"2,169",21.0,21.4,20.95,21.25,0.35,72
107/07/16,156,"3,329",21.45,21.45,21.15,21.25,0.0,86
107/07/17,198,"4,168",21.4,21.4,20.95,21.0,-0.25,91
107/07/18,170,"3,627",21.1,21.55,21.1,21.3,0.3,115
107/07/19,86,"1,832",21.3,21.4,21.1,21.1,-0.2,60
107/07/20,94,"1,983",21.3,21.3,20.95,21.1,0.0,65
107/07/23,164,"3,407",21.0,21.0,20.6,20.65,-0.45,123
107/07/24,68,"1,410",20.6,20.75,20.6,20.75,0.1,59
107/07/25,47,989,20.85,20.95,20.8,20.9,0.15,38
107/07/26,88,"1,846",20.9,21.0,20.85,21.0,0.1,60
107/07/27,128,"2,696",21.0,21.15,20.95,21.15,0.15,69
107/07/30,76,"1,599",21.2,21.2,20.85,20.9,-0.25,58
107/07/31,85,"1,786",20.8,21.05,20.8,20.9,0.0,54
107/08/01,541,"11,778",21.0,22.4,21.0,21.6,0.7,399
107/08/02,215,"4,618",21.6,21.8,21.3,21.5,-0.1,146
107/08/03,121,"2,600",21.5,21.65,21.4,21.4,-0.1,88
107/08/06,77,"1,649",21.4,21.6,21.3,21.45,0.05,67
107/08/07,149,"3,186",21.6,21.6,21.3,21.4,-0.05,91
107/08/08,95,"2,039",21.55,21.65,21.25,21.25,-0.15,66
107/08/09,308,"6,365",21.0,21.0,20.5,20.55,-0.7,210
107/08/10,240,"4,861",20.4,20.8,20.0,20.25,-0.3,151
107/08/13,500,"9,806",20.0,20.4,19.2,19.4,-0.85,274
107/08/14,174,"3,411",19.6,19.8,19.4,19.6,0.2,102
107/08/15,155,"3,043",19.8,19.9,19.45,19.8,0.2,105
107/08/16,224,"4,460",19.85,20.15,19.8,20.05,0.25,121
107/08/17,197,"3,961",20.25,20.3,19.9,19.95,-0.1,91
107/08/20,77,"1,527",19.9,19.95,19.65,19.65,-0.3,48
107/08/21,57,"1,132",19.7,19.75,19.6,19.65,0.0,39
107/08/22,60,"1,185",19.65,19.8,19.6,19.6,-0.05,43
107/08/23,137,"2,707",19.8,19.9,19.5,19.7,0.1,84
