date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"1,699,721","143,651,764",84.0,85.7,83.5,84.4,+0.90,"1,116"
107/07/03,"2,451,423","203,112,353",84.8,84.8,80.2,82.4,-2.00,"1,624"
107/07/04,"2,299,504","183,160,610",81.6,82.2,78.5,78.8,-3.60,"1,548"
107/07/05,"1,808,300","140,993,770",79.0,79.7,76.0,76.4,-2.40,"1,299"
107/07/06,"3,313,268","248,813,633",77.0,78.2,73.0,74.2,-2.20,"2,154"
107/07/09,"1,875,041","138,972,613",76.3,76.3,72.8,73.2,-1.00,"1,284"
107/07/10,"1,226,251","91,061,224",74.5,75.3,73.5,75.3,+2.10,826
107/07/11,"789,200","58,570,800",75.2,75.2,73.6,73.7,-1.60,542
107/07/12,"918,078","68,596,828",74.1,75.4,73.9,75.0,+1.30,646
107/07/13,"2,335,801","180,644,512",76.1,78.6,76.0,77.8,+2.80,"1,553"
107/07/16,"1,788,713","134,350,770",76.9,76.9,74.2,74.2,X0.00,"1,147"
107/07/17,"2,118,704","153,380,731",74.5,74.9,70.6,71.5,-2.70,"1,512"
107/07/18,"1,840,101","130,385,271",72.2,72.4,69.8,70.6,-0.90,"1,141"
107/07/19,"581,466","41,337,659",71.0,71.6,70.5,71.6,+1.00,437
107/07/20,"2,640,273","185,525,655",72.0,72.4,68.5,68.8,-2.80,"1,720"
107/07/23,"3,606,116","236,788,178",68.5,68.5,64.1,66.0,-2.80,"2,261"
107/07/24,"2,430,383","166,432,555",66.5,69.9,66.2,69.5,+3.50,"1,848"
107/07/25,"3,181,500","213,990,450",68.8,68.8,66.5,67.4,-2.10,"2,222"
107/07/26,"4,175,761","274,536,726",67.4,67.5,64.7,65.0,-2.40,"2,877"
107/07/27,"2,991,749","192,932,885",65.2,65.2,63.8,64.3,-0.70,"1,941"
107/07/30,"4,725,751","310,088,186",64.9,66.5,64.6,66.3,+2.00,"2,759"
107/07/31,"10,530,380","747,902,302",67.9,72.9,67.8,72.9,+6.60,"5,813"
107/08/01,"9,882,830","721,468,320",73.5,73.9,71.8,72.2,-0.70,"6,413"
107/08/02,"3,633,200","255,199,600",72.7,72.7,69.0,69.7,-2.50,"2,449"
107/08/03,"2,683,070","190,387,161",70.6,72.0,70.4,70.5,+0.80,"1,747"
107/08/06,"6,092,490","442,776,270",71.0,73.8,70.7,72.9,+2.40,"3,576"
107/08/07,"8,119,496","602,728,645",73.2,75.5,72.4,75.5,+2.60,"4,517"
107/08/08,"6,876,705","519,797,770",76.2,76.7,74.1,74.3,-1.20,"4,139"
107/08/09,"3,830,280","285,987,580",74.3,75.7,73.1,75.0,+0.70,"2,302"
107/08/10,"2,410,824","177,989,577",74.6,75.6,72.8,72.8,-2.20,"1,790"
107/08/13,"4,490,409","311,127,909",71.3,72.0,65.8,70.0,-2.80,"2,626"
107/08/14,"4,408,793","312,903,888",70.0,72.5,69.3,72.5,+2.50,"2,472"
107/08/15,"5,793,720","400,491,329",71.9,71.9,67.2,67.7,-4.80,"3,795"
107/08/16,"7,260,206","491,312,035",65.0,69.7,64.4,69.6,+1.90,"4,141"
107/08/17,"7,016,550","491,637,090",70.3,71.1,69.0,69.0,-0.60,"4,163"
107/08/20,"4,346,823","301,723,710",69.0,70.1,68.2,70.0,+1.00,"2,549"
107/08/21,"1,630,108","113,741,960",69.7,70.3,69.2,69.8,-0.20,"1,094"
107/08/22,"1,871,300","129,507,809",69.8,70.2,68.5,68.5,-1.30,"1,185"
107/08/23,"4,238,681","283,168,408",68.6,69.0,65.6,66.3,-2.20,"2,865"
107/08/24,"4,636,676","314,656,967",66.8,69.0,66.5,68.3,+2.00,"2,965"
107/08/27,"7,048,759","495,474,459",68.9,71.6,68.8,71.1,+2.80,"4,257"
107/08/28,"5,724,587","407,311,977",70.5,72.2,69.8,70.7,-0.40,"3,294"
107/08/29,"2,134,350","152,224,258",71.1,72.0,70.8,71.2,+0.50,"1,430"
107/08/30,"2,078,737","147,642,076",71.6,72.1,70.1,70.4,-0.80,"1,225"
107/08/31,"2,086,275","145,757,151",69.2,71.2,68.5,71.1,+0.70,"1,288"
107/09/03,"1,879,208","131,128,452",70.7,71.4,68.7,68.8,-2.30,"1,216"
107/09/04,"1,419,575","99,575,925",69.3,71.1,69.0,71.0,+2.20,982
107/09/05,"985,175","69,273,050",70.5,70.9,69.6,70.0,-1.00,745
107/09/06,"5,440,125","386,251,287",70.5,72.9,68.7,68.9,-1.10,"3,351"
107/09/07,"7,487,450","489,214,765",68.1,68.4,63.5,64.0,-4.90,"5,102"
107/09/10,"4,239,828","258,140,980",64.2,64.9,59.0,59.2,-4.80,"2,828"
107/09/11,"2,964,301","176,672,409",60.2,61.2,58.3,60.1,+0.90,"1,967"
107/09/12,"2,851,140","166,048,603",60.3,60.3,56.8,57.5,-2.60,"1,934"
107/09/13,"1,501,343","86,577,622",57.5,58.8,57.0,57.0,-0.50,"1,179"
107/09/14,"2,671,049","158,229,540",57.9,60.5,57.7,59.9,+2.90,"1,659"
107/09/17,"1,349,348","79,788,031",60.0,60.0,58.5,59.3,-0.60,872
107/09/18,"2,739,005","165,550,400",59.5,62.0,58.7,58.7,-0.60,"2,093"
107/09/19,"1,317,122","77,360,134",59.5,59.9,57.6,57.6,-1.10,918
107/09/20,"2,615,731","147,213,967",58.1,58.5,55.3,55.8,-1.80,"1,752"
107/09/21,"1,842,236","105,160,224",56.4,57.9,56.4,57.9,+2.10,"1,134"
107/09/25,"1,583,552","92,266,816",57.0,59.6,56.6,57.7,-0.20,"1,036"
107/09/26,"539,090","31,184,265",57.1,58.4,57.1,57.9,+0.20,432
107/09/27,"652,060","37,867,397",57.9,58.7,57.6,57.9, 0.00,447
107/09/28,"1,005,141","58,277,889",58.0,58.7,57.3,57.5,-0.40,608
107/10/01,"1,358,001","79,700,860",57.5,59.4,57.5,59.4,+1.90,942
107/10/02,"736,324","43,430,512",59.7,59.9,58.6,58.8,-0.60,521
107/10/03,"953,040","54,772,543",58.5,58.7,56.6,57.5,-1.30,703
107/10/04,"917,401","52,902,156",57.8,58.8,57.0,57.0,-0.50,659
107/10/05,"5,473,850","285,400,150",55.9,55.9,51.3,51.6,-5.40,"2,956"
107/10/08,"2,725,194","142,100,482",51.7,52.5,51.4,51.9,+0.30,"1,343"
107/10/09,"2,676,220","134,562,083",52.3,52.3,48.65,51.1,-0.80,"1,726"
107/10/11,"747,500","34,385,287",46.0,46.0,46.0,46.0,-5.10,398
107/10/12,"3,604,051","163,802,103",42.2,47.5,42.2,47.05,+1.05,"2,105"
107/10/15,"1,468,001","69,613,497",47.05,48.5,46.25,46.9,-0.15,939
107/10/16,"1,556,177","72,409,449",46.05,47.95,45.15,45.9,-1.00,"1,013"
107/10/17,"1,256,003","58,409,147",47.0,47.5,45.7,46.1,+0.20,832
107/10/18,"958,536","44,721,873",46.45,47.3,45.8,46.75,+0.65,680
107/10/19,"1,151,700","52,993,296",45.85,46.8,45.05,46.8,+0.05,628
107/10/22,"1,793,052","85,674,407",46.35,48.7,46.1,48.25,+1.45,"1,142"
107/10/23,"1,426,251","66,185,657",47.8,48.0,45.2,45.2,-3.05,894
107/10/24,"932,020","42,333,309",45.2,46.25,44.2,45.5,+0.30,644
107/10/25,"1,901,934","79,262,444",41.6,42.9,40.95,40.95,-4.55,"1,235"
107/10/26,"1,932,034","81,614,482",42.2,43.2,41.4,41.75,+0.80,"1,247"
107/10/29,"751,010","31,801,172",42.4,42.8,41.75,42.3,+0.55,455
107/10/30,"678,242","28,236,914",41.7,42.6,40.95,41.4,-0.90,498
107/10/31,"829,643","35,827,975",43.0,43.6,42.55,43.2,+1.80,584
107/11/01,"1,957,375","89,086,044",44.9,46.35,44.45,45.0,+1.80,"1,384"
107/11/02,"1,558,102","72,055,681",45.0,47.3,45.0,46.0,+1.00,"1,070"
107/11/05,"931,300","43,681,956",45.95,47.7,45.85,46.95,+0.95,688
107/11/06,"867,000","40,022,198",47.1,47.4,45.2,45.35,-1.60,652
107/11/07,"671,305","31,115,639",46.0,47.0,45.8,46.6,+1.25,480
107/11/08,"985,157","46,584,552",47.4,47.85,46.05,46.05,-0.55,717
107/11/09,"4,472,345","221,334,004",46.85,50.6,46.35,50.6,+4.55,"2,922"
107/11/12,"11,917,353","621,354,772",50.9,54.6,49.2,49.2,-1.40,"8,186"
107/11/13,"8,344,147","418,431,612",48.9,51.7,47.4,51.2,+2.00,"5,688"
107/11/14,"3,937,050","201,968,289",51.0,52.3,50.0,50.4,-0.80,"2,633"
107/11/15,"2,012,661","101,297,361",50.8,51.3,49.7,50.2,-0.20,"1,452"
107/11/16,"6,960,360","366,703,320",51.6,54.0,51.0,51.0,+0.80,"4,744"
107/11/19,"3,095,060","157,826,314",51.0,51.7,50.6,50.8,-0.20,"2,008"
107/11/20,"3,480,271","170,929,070",50.2,50.4,48.15,48.3,-2.50,"2,484"
107/11/21,"3,046,400","148,531,220",48.0,49.7,47.4,49.7,+1.40,"2,053"
107/11/22,"2,597,400","127,341,526",49.7,50.3,47.7,47.8,-1.90,"1,805"
107/11/23,"1,691,500","81,708,950",48.95,49.15,47.7,47.8, 0.00,"1,202"
107/11/26,"3,365,341","168,009,850",48.5,51.5,48.3,50.0,+2.20,"2,469"
107/11/27,"2,536,701","126,160,987",49.35,50.8,48.8,50.7,+0.70,"1,864"
107/11/28,"2,747,228","139,176,050",50.6,51.3,49.9,50.8,+0.10,"1,809"
107/11/29,"6,367,205","331,038,110",51.8,53.6,50.5,50.6,-0.20,"4,037"
107/11/30,"2,435,201","124,213,651",50.7,51.7,50.5,50.8,+0.20,"1,687"
107/12/03,"4,769,491","252,122,616",53.0,53.5,52.1,53.5,+2.70,"2,902"
107/12/04,"4,654,041","246,757,940",53.8,54.9,51.6,51.7,-1.80,"3,078"
107/12/05,"1,781,300","90,828,376",50.4,51.7,50.1,51.4,-0.30,"1,214"
107/12/06,"3,798,030","191,456,501",51.8,52.3,48.8,48.8,-2.60,"2,488"
107/12/07,"1,287,000","63,248,050",49.5,49.8,48.5,49.1,+0.30,914
107/12/10,"2,894,285","133,322,479",47.5,47.9,44.9,45.1,-4.00,"1,908"
107/12/11,"1,142,040","52,062,229",45.6,45.9,45.15,45.75,+0.65,763
107/12/12,"1,571,919","74,306,382",46.65,47.8,46.55,47.7,+1.95,"1,125"
107/12/13,"990,350","47,058,290",48.1,48.25,46.8,48.0,+0.30,727
107/12/14,"659,705","31,537,240",48.2,48.35,47.25,48.0, 0.00,503
107/12/17,"500,442","24,046,270",47.9,48.5,47.6,47.9,-0.10,369
107/12/18,"1,258,516","58,428,111",47.85,47.85,45.8,45.8,-2.10,898
107/12/19,"868,506","39,960,798",46.3,46.7,45.65,45.7,-0.10,616
107/12/20,"1,013,161","45,455,624",44.95,45.3,44.35,44.65,-1.05,674
107/12/21,"1,487,016","66,376,586",44.5,45.95,43.15,45.9,+1.25,"1,010"
107/12/22,"220,004","10,054,534",45.8,45.9,45.45,45.8,-0.10,186
107/12/24,"624,010","28,418,410",46.0,46.0,45.15,45.6,-0.20,461
107/12/25,"908,044","39,988,316",43.8,45.0,43.65,44.35,-1.25,641
107/12/26,"947,093","42,388,160",45.3,46.0,43.75,43.8,-0.55,606
107/12/27,"714,005","31,728,872",45.0,45.1,44.05,44.2,+0.40,517
107/12/28,"560,108","24,723,606",44.4,44.55,43.85,44.1,-0.10,392
108/01/02,"636,213","27,978,772",44.8,44.8,43.6,43.6,-0.50,404
108/01/03,"1,184,081","50,465,988",43.6,43.6,42.15,42.15,-1.45,756
108/01/04,"1,440,004","60,391,226",41.7,43.85,40.3,43.85,+1.70,"1,063"
108/01/07,"1,406,205","61,518,293",44.5,44.5,43.3,43.3,-0.55,"1,075"
108/01/08,"888,004","38,817,626",43.6,44.2,43.1,43.7,+0.40,623
108/01/09,"3,195,029","144,538,791",44.7,46.0,44.3,44.3,+0.60,"2,007"
108/01/10,"2,131,103","94,396,576",44.0,45.3,42.6,44.75,+0.45,"1,387"
108/01/11,"1,040,002","46,940,590",45.25,45.7,44.85,45.2,+0.45,703
108/01/14,"691,006","31,179,870",45.35,45.5,44.7,45.0,-0.20,495
108/01/15,"673,504","30,604,728",45.45,45.75,45.2,45.55,+0.55,525
108/01/16,"1,209,009","55,404,655",45.55,46.4,45.3,45.3,-0.25,851
108/01/17,"1,140,280","51,840,431",45.5,46.05,44.65,45.3, 0.00,748
108/01/18,"759,004","34,702,134",45.6,45.95,45.0,45.8,+0.50,483
108/01/21,"664,050","30,672,778",46.5,46.5,45.9,46.05,+0.25,455
108/01/22,"601,136","27,718,462",46.3,46.8,45.6,45.6,-0.45,422
108/01/23,"807,021","37,363,566",45.3,46.7,45.25,46.55,+0.95,594
108/01/24,"5,223,575","256,736,055",47.2,50.2,47.0,49.5,+2.95,"3,842"
108/01/25,"4,350,081","217,927,200",50.6,51.4,48.95,49.55,+0.05,"3,018"
108/01/28,"1,251,452","61,186,227",49.45,49.55,48.6,48.9,-0.65,996
108/01/29,"1,446,194","71,013,006",48.45,49.5,48.45,48.95,+0.05,952
108/01/30,"1,136,996","55,053,991",49.0,49.35,48.1,48.1,-0.85,840
108/02/11,"667,253","32,423,718",48.75,49.1,48.2,48.7,+0.60,511
108/02/12,"2,128,210","106,397,550",49.15,50.5,48.85,50.2,+1.50,"1,471"
108/02/13,"3,678,589","188,495,920",50.8,52.3,49.85,51.2,+1.00,"2,411"
108/02/14,"5,079,276","271,202,182",52.0,54.7,51.4,52.8,+1.60,"3,424"
108/02/15,"2,158,017","112,113,791",52.7,52.7,51.5,51.5,-1.30,"1,443"
108/02/18,"9,926,829","552,638,419",52.6,56.6,52.1,56.6,+5.10,"4,560"
108/02/19,"17,091,789","997,702,175",57.1,60.0,56.5,59.2,+2.60,"10,531"
108/02/20,"12,027,850","740,670,109",60.1,62.5,60.1,62.5,+3.30,"7,854"
108/02/21,"5,886,703","361,829,815",62.2,62.5,60.5,61.2,-1.30,"3,994"
108/02/22,"7,609,605","451,329,900",61.2,61.8,58.0,58.6,-2.60,"4,833"
108/02/25,"6,520,627","391,364,048",59.4,61.4,58.4,60.9,+2.30,"4,267"
108/02/26,"4,400,860","262,710,947",60.9,61.3,58.6,59.9,-1.00,"2,938"
108/02/27,"2,210,810","130,663,978",60.0,60.1,58.5,59.1,-0.80,"1,605"
108/03/04,"2,705,564","157,033,360",59.6,59.6,57.2,58.2,-0.90,"1,922"
