date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"101,398","8,047,342",79.30,79.70,79.10,79.20,-0.10,61
107/07/03,"20,001","1,563,778",78.50,78.50,77.80,77.80,-1.40,20
107/07/04,"98,000","7,558,600",77.80,77.80,76.90,77.50,-0.30,26
107/07/05,"115,000","8,970,100",77.70,78.50,76.90,77.50, 0.00,35
107/07/06,"78,219","5,976,364",77.00,77.00,76.10,76.10,-1.40,45
107/07/09,"5,000","382,700",76.90,76.90,76.20,76.20,+0.10,5
107/07/10,"48,000","3,694,400",76.80,77.40,76.50,77.40,+1.20,21
107/07/11,"72,010","5,502,766",76.60,76.80,75.70,76.00,-1.40,24
107/07/12,"74,000","5,547,800",75.30,75.40,74.60,74.60,-1.40,59
107/07/13,"24,106","1,812,034",75.50,75.50,74.80,75.10,+0.50,25
107/07/16,"33,000","2,492,900",76.90,76.90,75.00,75.30,+0.20,29
107/07/17,"85,261","6,483,470",75.80,76.70,75.60,76.20,+0.90,53
107/07/18,"68,167","4,779,973",70.20,70.50,69.80,70.40,X0.00,56
107/07/19,"11,154","780,956",70.40,70.40,69.80,69.80,-0.60,13
107/07/20,"22,095","1,569,659",72.00,72.00,70.20,70.80,+1.00,22
107/07/23,"16,000","1,122,700",70.40,70.40,70.00,70.00,-0.80,15
107/07/24,"15,000","1,053,600",70.20,70.40,70.20,70.20,+0.20,12
107/07/25,"13,000","910,400",70.00,70.40,70.00,70.40,+0.20,12
107/07/26,"6,000","425,300",70.40,71.40,70.40,70.70,+0.30,6
107/07/27,"16,000","1,133,100",70.70,71.00,70.60,71.00,+0.30,15
107/07/30,"16,000","1,129,600",70.70,70.80,70.30,70.30,-0.70,14
107/07/31,"18,000","1,266,900",70.10,70.60,70.10,70.50,+0.20,17
107/08/01,"12,000","840,600",70.20,70.40,69.90,70.10,-0.40,10
107/08/02,"19,002","1,324,540",69.20,70.00,69.20,69.50,-0.60,19
107/08/03,"18,000","1,242,900",69.30,69.30,68.80,69.20,-0.30,15
107/08/06,"6,003","418,210",69.90,70.00,69.40,69.40,+0.20,8
107/08/07,"22,000","1,548,800",69.40,70.60,69.40,70.40,+1.00,17
107/08/08,"32,000","2,245,700",70.70,70.70,70.00,70.30,-0.10,23
107/08/09,"7,000","493,900",69.70,70.80,69.70,70.80,+0.50,6
107/08/10,"51,100","3,614,370",71.00,71.00,69.90,70.40,-0.40,30
107/08/13,"22,000","1,524,900",70.50,70.50,69.00,69.20,-1.20,20
107/08/14,"7,010","483,696",69.00,69.00,69.00,69.00,-0.20,7
107/08/15,"17,000","1,172,400",69.00,69.10,68.80,68.80,-0.20,15
107/08/16,"12,000","814,100",68.90,68.90,67.00,68.00,-0.80,11
107/08/17,"37,000","2,511,200",68.00,69.00,67.10,68.10,+0.10,34
107/08/20,"20,050","1,348,595",67.00,67.60,67.00,67.30,-0.80,20
107/08/21,"40,000","2,715,400",67.30,68.00,67.30,68.00,+0.70,22
107/08/22,200,"13,600",--,--,--,--, 0.00,2
107/08/23,"2,807","195,862",68.00,68.00,67.50,67.50,X0.00,7
107/08/24,"22,000","1,473,500",67.20,67.30,66.20,67.20,-0.30,20
107/08/27,"24,000","1,618,600",68.00,68.00,67.20,68.00,+0.80,14
107/08/28,"52,239","3,584,577",67.10,69.10,67.10,69.00,+1.00,29
107/08/29,"29,001","2,030,569",69.10,70.40,69.10,70.00,+1.00,28
107/08/30,"34,000","2,392,800",70.10,70.60,70.10,70.40,+0.40,22
107/08/31,"28,000","1,962,100",70.40,70.80,69.50,70.80,+0.40,18
107/09/03,"25,000","1,760,100",70.00,70.70,70.00,70.70,-0.10,14
107/09/04,"96,000","6,767,900",70.80,71.00,70.00,70.90,+0.20,58
107/09/05,"25,001","1,762,277",70.20,70.90,70.10,70.10,-0.80,22
107/09/06,"17,000","1,192,300",70.20,70.50,69.80,70.10, 0.00,8
107/09/07,"36,000","2,491,700",70.00,70.00,68.50,68.60,-1.50,21
107/09/10,"27,001","1,828,768",67.40,68.20,67.10,67.20,-1.40,25
107/09/11,"41,000","2,747,000",67.20,67.20,66.70,67.20, 0.00,26
107/09/12,"31,110","2,076,270",66.80,67.00,66.30,67.00,-0.20,26
107/09/25,"47,202","3,927,581",84.50,84.60,80.60,80.60,X0.00,52
107/09/26,"52,811","4,108,758",79.10,80.40,76.50,77.70,-2.90,62
107/09/27,"23,200","1,792,360",78.00,78.00,76.20,76.60,-1.10,27
107/09/28,"33,800","2,551,600",75.50,76.70,73.50,75.00,-1.60,35
107/10/01,"17,401","1,293,830",74.00,74.90,73.90,74.90,-0.10,29
107/10/02,"12,400","920,540",74.20,74.80,73.90,74.60,-0.30,13
107/10/03,"11,858","865,234",73.70,73.70,71.10,73.00,-1.60,21
107/10/04,"89,207","6,197,113",71.90,71.90,68.20,68.20,-4.80,96
107/10/05,"85,000","5,515,000",67.80,67.80,63.20,63.90,-4.30,72
107/10/08,"32,802","2,083,543",64.50,64.50,63.00,63.70,-0.20,39
107/10/09,"21,265","1,343,827",63.00,63.70,62.50,63.60,-0.10,22
107/10/11,"154,300","8,946,580",62.70,62.70,57.30,57.60,-6.00,110
107/10/12,"39,200","2,220,880",57.00,57.40,56.00,57.40,-0.20,42
107/10/15,"25,535","1,477,516",58.00,58.50,57.50,57.50,+0.10,16
107/10/16,"72,200","4,205,500",58.00,60.00,58.00,59.10,+1.60,28
107/10/17,"32,800","1,966,000",59.10,61.00,59.10,59.60,+0.50,21
107/10/18,"3,000","176,000",58.30,59.40,58.30,59.40,-0.20,3
107/10/19,"15,145","896,800",58.20,60.00,57.10,60.00,+0.60,15
107/10/22,"6,800","402,400",59.00,59.60,59.00,59.60,-0.40,10
107/10/23,"17,500","1,022,900",59.40,59.40,58.00,58.00,-1.60,17
107/10/24,"17,200","986,200",57.50,57.50,57.20,57.50,-0.50,11
107/10/25,"32,040","1,775,628",57.00,57.00,54.60,55.70,-1.80,30
107/10/26,"34,540","1,910,570",55.70,55.70,54.60,55.50,-0.20,40
107/10/29,"58,600","3,225,960",55.10,55.30,54.00,55.00,-0.50,17
107/10/30,"8,800","471,700",53.70,53.70,53.50,53.50,-1.50,15
107/10/31,"16,800","919,140",54.60,54.90,54.30,54.30,+0.80,18
107/11/01,"27,200","1,471,400",54.30,54.30,53.60,54.00,-0.30,26
107/11/02,"41,600","2,281,100",54.00,55.50,54.00,55.50,+1.50,34
107/11/05,"51,200","2,873,680",56.00,57.40,55.60,55.90,+0.40,39
107/11/06,"24,801","1,372,114",55.90,56.30,54.30,54.50,-1.40,27
107/11/07,"8,622","474,210",54.50,55.40,54.50,55.30,+0.80,10
107/11/08,"13,528","748,902",55.20,55.60,55.20,55.20,-0.10,16
107/11/09,"9,000","494,900",55.20,55.30,54.50,55.30,+0.10,5
107/11/12,"4,050","222,075",54.80,55.20,54.50,55.20,-0.10,5
107/11/13,"27,532","1,511,792",53.60,56.50,53.60,56.50,+1.30,27
107/11/14,"2,000","112,300",56.50,56.50,55.80,55.80,-0.70,2
107/11/15,"7,000","385,400",55.40,55.40,55.00,55.00,-0.80,6
107/11/16,"28,000","1,514,900",54.60,54.60,53.90,54.00,-1.00,24
107/11/19,"5,000","270,600",54.10,54.50,54.00,54.00, 0.00,4
107/11/20,"11,820","638,280",54.00,54.00,54.00,54.00, 0.00,14
107/11/21,"8,400","454,000",54.00,54.10,54.00,54.00, 0.00,8
107/11/22,"7,000","379,700",54.50,54.50,54.00,54.00, 0.00,6
107/11/23,"4,000","218,600",54.90,54.90,54.10,54.10,+0.10,4
107/11/26,"9,000","488,000",54.10,54.50,53.70,54.50,+0.40,9
107/11/27,"9,000","487,300",54.00,54.50,54.00,54.30,-0.20,5
107/11/28,"9,800","535,020",54.80,55.00,54.30,54.80,+0.50,14
107/11/29,"26,601","1,469,894",55.20,55.70,54.90,54.90,+0.10,27
107/11/30,"6,300","345,269",54.90,54.90,54.60,54.60,-0.30,10
107/12/03,"35,800","1,968,040",55.50,55.70,54.60,55.40,+0.80,28
107/12/04,"29,799","1,667,984",55.40,56.30,55.40,55.90,+0.50,22
107/12/05,"11,000","604,800",54.90,55.40,54.70,55.40,-0.50,10
107/12/06,"19,800","1,078,259",54.80,54.80,54.10,54.30,-1.10,22
107/12/07,"4,200","230,500",55.00,55.00,54.50,54.50,+0.20,5
107/12/10,"5,125","280,612",54.50,55.30,54.50,54.50, 0.00,7
107/12/11,"19,076","1,060,025",56.50,56.50,55.20,55.60,+1.10,20
107/12/12,"27,400","1,536,960",55.80,56.90,55.80,56.80,+1.20,27
107/12/13,"10,444","591,674",56.50,57.30,56.40,57.30,+0.50,10
107/12/14,"29,061","1,666,507",57.30,58.10,56.80,57.50,+0.20,26
107/12/17,"26,200","1,490,460",57.50,57.50,56.30,56.30,-1.20,24
107/12/18,"25,400","1,423,459",56.20,56.40,55.60,55.90,-0.40,27
107/12/19,"9,400","528,040",56.10,56.40,56.10,56.10,+0.20,11
107/12/20,"4,200","235,119",55.60,56.10,55.60,56.10, 0.00,4
107/12/21,"2,800","155,900",55.50,56.00,55.50,56.00,-0.10,5
107/12/22,"13,001","732,356",56.00,57.40,56.00,56.10,+0.10,14
107/12/24,"8,800","497,239",56.40,56.70,56.40,56.40,+0.30,10
107/12/25,"4,222","234,743",55.60,55.60,55.60,55.60,-0.80,4
107/12/26,"13,378","753,230",57.20,57.20,55.60,56.40,+0.80,15
107/12/27,"14,600","834,280",57.50,57.50,56.90,57.30,+0.90,15
107/12/28,"33,600","1,920,879",57.20,57.40,56.60,57.40,+0.10,30
108/01/02,"68,400","3,933,838",57.50,58.00,56.80,56.80,-0.60,36
108/01/03,"27,201","1,529,136",57.80,57.80,55.20,57.40,+0.60,27
108/01/04,"19,001","1,064,956",56.00,56.40,55.80,55.90,-1.50,18
108/01/07,"9,105","514,140",56.40,56.80,56.10,56.60,+0.70,14
108/01/08,"25,000","1,408,800",56.60,56.70,56.10,56.60, 0.00,22
108/01/09,"40,200","2,282,439",56.70,57.20,56.60,57.20,+0.60,26
